"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","位置","種類","略称","本社所在地"
"豊前長洲駅","豊前長洲駅（ぶぜんながすえき）","https://ja.wikipedia.org/wiki/豊前長洲駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度33分54.41秒東経131度22分58.10秒","■日豊本線","71.0 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1911年（明治44年）4月22日[2]","1面2線[1]","大分県宇佐市大字長洲[1]字小黒928北緯33度33分54.41秒東経131度22分58.10秒","無人駅[1]（自動券売機 有）[要出典]","","フナ","81人/日（降車客含まず）-2015年-","162人/日-2015年-","","","","","","",""
"豊前桝田駅","豊前桝田駅（ぶぜんますだえき）","https://ja.wikipedia.org/wiki/豊前桝田駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度32分8.37秒東経130度51分44.19秒","■日田彦山線","43.2 km（城野起点）","九州旅客鉄道（JR九州）","地上駅","1942年（昭和17年）8月25日[1]","1面1線[1]","福岡県田川郡添田町大字桝田[1]1558北緯33度32分8.37秒東経130度51分44.19秒","無人駅[1]","","マス","","","","","","","","",""
"扶桑駅","扶桑駅（ふそうえき）","https://ja.wikipedia.org/wiki/扶桑駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度21分34.5秒東経136度54分57.35秒","犬山線","21.2 km（枇杷島分岐点起点）","名古屋鉄道","地上駅（橋上駅）","1912年（大正元年）8月6日","2面4線","愛知県丹羽郡扶桑町大字高雄字下山91北緯35度21分34.5秒東経136度54分57.35秒﻿ / ﻿北緯35.359583度 東経136.9159306度﻿ /35.359583; 136.9159306座標:北緯35度21分34.5秒東経136度54分57.35秒﻿ / ﻿北緯35.359583度 東経136.9159306度﻿ /35.359583; 136.9159306","","IY  12 ","","","6,799人/日-2019年[1]-","","","","","","",""
"附属中学前駅","附属中学前駅（ふぞくちゅうがくまええき）","https://ja.wikipedia.org/wiki/附属中学前駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度39分45.0秒東経138度14分54.0秒","長野線","7.0 km（長野起点）","長野電鉄","地上駅","1985年（昭和60年）3月14日[1]","単式1面1線[1]","長野県長野市大字南堀[1]83-1北緯36度39分45.0秒東経138度14分54.0秒﻿ / ﻿北緯36.662500度 東経138.248333度﻿ /36.662500; 138.248333座標:北緯36度39分45.0秒東経138度14分54.0秒﻿ / ﻿北緯36.662500度 東経138.248333度﻿ /36.662500; 138.248333","終日駅員無配置駅[2]","N9","フマ[1]","1,131人/日（降車客含まず）-2018年-","","","","","","","",""
"布田駅","布田駅（ふだえき）","https://ja.wikipedia.org/wiki/布田駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度38分59.7秒東経139度33分5秒","■京王線","14.9 km（新宿起点）","京王電鉄","地下駅","1917年（大正6年）","1面2線","東京都調布市国領町五丁目67番地1北緯35度38分59.7秒東経139度33分5秒﻿ / ﻿北緯35.649917度 東経139.55139度﻿ /35.649917; 139.55139﻿ (布田駅)座標:北緯35度38分59.7秒東経139度33分5秒﻿ / ﻿北緯35.649917度 東経139.55139度﻿ /35.649917; 139.55139﻿ (布田駅)","1927年、現在地に移設2012年、地下化","KO17","","","16,784人/日-2019年-","","","","","","",""
"普代駅","普代駅（ふだいえき）","https://ja.wikipedia.org/wiki/普代駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","■リアス線","136.9 km（盛起点）","三陸鉄道","地上駅","1975年（昭和50年）7月20日","1面2線","","","","フイ","","198人/日-2018年-","","","","","","",""
"双岩駅","双岩駅（ふたいわえき）","https://ja.wikipedia.org/wiki/双岩駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度25分28.77秒東経132度27分28.41秒","■予讃線","267.5 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1945年（昭和20年）6月20日","2面2線","愛媛県八幡浜市若山北緯33度25分28.77秒東経132度27分28.41秒﻿ / ﻿北緯33.4246583度 東経132.4578917度﻿ /33.4246583; 132.4578917座標:北緯33度25分28.77秒東経132度27分28.41秒﻿ / ﻿北緯33.4246583度 東経132.4578917度﻿ /33.4246583; 132.4578917","無人駅","○U19","フワ","","62[1]人/日-2019年-","","","","","","",""
"二川駅","二川駅（ふたがわえき）","https://ja.wikipedia.org/wiki/二川駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度43分32.620秒東経137度26分20.130秒","CA東海道本線","286.7 km（東京起点）","東海旅客鉄道（JR東海）","地上駅（橋上駅）","1896年（明治29年）4月7日","2面3線","愛知県豊橋市大岩町字南元屋敷北緯34度43分32.620秒東経137度26分20.130秒座標:北緯34度43分32.620秒 東経137度26分20.130秒","業務委託駅JR全線きっぷうりば有","CA  41 ","フタ","3,175人/日（降車客含まず）-2019年-","","","","","","","",""
"札木停留場","札木停留場（ふだぎていりゅうじょう）","https://ja.wikipedia.org/wiki/札木停留場","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度45分57.13秒東経137度23分24.85秒","東田本線","1.0 km（駅前起点）","豊橋鉄道","地上駅","","2面2線","愛知県豊橋市札木町・魚町北緯34度45分57.13秒東経137度23分24.85秒﻿ / ﻿北緯34.7658694度 東経137.3902361度﻿ /34.7658694; 137.3902361座標:北緯34度45分57.13秒東経137度23分24.85秒﻿ / ﻿北緯34.7658694度 東経137.3902361度﻿ /34.7658694; 137.3902361",""," 4 ","","","","","","","","","",""
"二子駅","二子駅（ふたごえき）","https://ja.wikipedia.org/wiki/二子駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度17分2秒東経136度45分58秒","尾西線","21.3 km（弥富起点）","名古屋鉄道","地上駅","1924年（大正13年）10月1日","単式 1面1線","愛知県一宮市萩原町萩原大日2903の3北緯35度17分2秒東経136度45分58秒﻿ / ﻿北緯35.28389度 東経136.76611度﻿ /35.28389; 136.76611座標:北緯35度17分2秒東経136度45分58秒﻿ / ﻿北緯35.28389度 東経136.76611度﻿ /35.28389; 136.76611","","BS  10 ","","","2,735人/日-2019年[1]-","","","","","","",""
"二子新地駅","二子新地駅（ふたこしんちえき）","https://ja.wikipedia.org/wiki/二子新地駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度36分25.5秒東経139度37分20.6秒","■田園都市線（■大井町線列車を含む）","田園都市線：10.1km（渋谷起点）大井町線：11.1 km（大井町起点）","東急電鉄","高架駅","1927年（昭和2年）7月15日","2面4線（うち乗降は2面2線のみ）","川崎市高津区二子二丁目2番1号北緯35度36分25.5秒東経139度37分20.6秒﻿ / ﻿北緯35.607083度 東経139.622389度﻿ /35.607083; 139.622389﻿ (二子新地駅)座標:北緯35度36分25.5秒東経139度37分20.6秒﻿ / ﻿北緯35.607083度 東経139.622389度﻿ /35.607083; 139.622389﻿ (二子新地駅)","東急電鉄直営駅","DT08","","","21,734人/日-2019年-","","","","","","",""
"二子玉川駅","二子玉川駅（ふたこたまがわえき）","https://ja.wikipedia.org/wiki/二子玉川駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度36分41.4秒東経139度37分35.8秒","■田園都市線","9.4 km（渋谷起点）","東急電鉄","高架駅（一部橋梁上駅）","1927年（昭和2年）7月15日[1]","2面4線","東京都世田谷区玉川二丁目22番13号北緯35度36分41.4秒東経139度37分35.8秒﻿ / ﻿北緯35.611500度 東経139.626611度﻿ /35.611500; 139.626611座標:北緯35度36分41.4秒東経139度37分35.8秒﻿ / ﻿北緯35.611500度 東経139.626611度﻿ /35.611500; 139.626611","東急電鉄直営駅","DT07","","","（田園都市線）102,468人/日（大井町線）60,672人/日（合計）163,140人/日-2019年-","","","","","","",""
"二島駅","二島駅（ふたじまえき）","https://ja.wikipedia.org/wiki/二島駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度53分22.87秒東経130度44分54.29秒","JE筑豊本線（若松線）","6.3 km（若松起点）","九州旅客鉄道（JR九州）","地上駅","1899年（明治32年）8月5日[1][2]","2面2線[1]","北九州市若松区二島[1]一丁目1-1北緯33度53分22.87秒東経130度44分54.29秒﻿ / ﻿北緯33.8896861度 東経130.7484139度﻿ /33.8896861; 130.7484139﻿ (二島駅)","無人駅駅集中管理システム（Smart Support Station）採用北九州市内駅","JE  03 ","フタ","1,281人/日（降車客含まず）-2019年-","","","","","","","",""
"二田駅","二田駅（ふただえき）","https://ja.wikipedia.org/wiki/二田駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯39度52分54.2秒東経139度59分13.8秒","■男鹿線","10.4km（追分起点）秋田から23.4 km","東日本旅客鉄道（JR東日本）","地上駅","1913年（大正2年）11月9日","1面2線","秋田県潟上市天王字上江川47北緯39度52分54.2秒東経139度59分13.8秒﻿ / ﻿北緯39.881722度 東経139.987167度﻿ /39.881722; 139.987167座標:北緯39度52分54.2秒東経139度59分13.8秒﻿ / ﻿北緯39.881722度 東経139.987167度﻿ /39.881722; 139.987167","簡易委託駅","","フタ","318人/日（降車客含まず）-2019年-","","","","","","","",""
"二ツ井駅","二ツ井駅（ふたついえき）","https://ja.wikipedia.org/wiki/二ツ井駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯40度12分44.87秒東経140度14分8.51秒","■奥羽本線","372.2 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1901年（明治34年）11月1日[1]","2面3線[1]","秋田県能代市二ツ井町字太田面[1]北緯40度12分44.87秒東経140度14分8.51秒座標:北緯40度12分44.87秒 東経140度14分8.51秒","簡易委託駅みどりの窓口有[1]","","フイ","302人/日（降車客含まず）-2019年-","","","","","","","",""
"二ツ杁駅","二ツ杁駅（ふたついりえき）","https://ja.wikipedia.org/wiki/二ツ杁駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","名古屋本線","72.2 km（豊橋起点）","名古屋鉄道","地上駅","1942年（昭和17年）2月1日","2面4線（ただし本線にホームなし）","","無人駅（駅集中管理システム導入駅）","NH  40 ","","","3,265人/日-2019年[1]-","","","","","","",""
"二塚駅","二塚駅（ふたつかえき）","https://ja.wikipedia.org/wiki/二塚駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度42分51.81秒東経137度0分22.14秒","■城端線","3.3 km（高岡起点）","西日本旅客鉄道（JR西日本）","地上駅","1914年（大正3年）2月20日","2面3線","富山県高岡市二塚2209北緯36度42分51.81秒東経137度0分22.14秒﻿ / ﻿北緯36.7143917度 東経137.0061500度﻿ /36.7143917; 137.0061500座標:北緯36度42分51.81秒東経137度0分22.14秒﻿ / ﻿北緯36.7143917度 東経137.0061500度﻿ /36.7143917; 137.0061500","無人駅","","フツ","39人/日（降車客含まず）-2019年-","","","","","","","",""
"二名駅","二名駅（ふたなえき）","https://ja.wikipedia.org/wiki/二名駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度17分29.67秒東経132度37分44.70秒","■予土線","66.9 km（若井起点）","四国旅客鉄道（JR四国）","地上駅","1914年（大正3年）10月18日","1面1線","愛媛県宇和島市三間町中野中北緯33度17分29.67秒東経132度37分44.70秒﻿ / ﻿北緯33.2915750度 東経132.6290833度﻿ /33.2915750; 132.6290833座標:北緯33度17分29.67秒東経132度37分44.70秒﻿ / ﻿北緯33.2915750度 東経132.6290833度﻿ /33.2915750; 132.6290833","無人駅","○G43","フタ","","36人/日-2018年-","","","","","","",""
"双葉駅","双葉駅（ふたばえき）","https://ja.wikipedia.org/wiki/双葉駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","■常磐線","263.7 km（日暮里起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1898年（明治31年）8月23日[1]","1面1線[新聞 1]","","無人駅（Smart Station for EXPRESS導入駅）[報道 1]話せる指定席券売機設置駅[報道 1]","","フハ","542人/日（降車客含まず）-2010年-","","","","","","","",""
"二股駅","二股駅（ふたまたえき・北海道旅客鉄道函館本線）","https://ja.wikipedia.org/wiki/二股駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯42度34分33.13秒東経140度19分14.96秒","■函館本線","120.9 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1903年（明治36年）11月3日","1面1線","北海道山越郡長万部町字双葉北緯42度34分33.13秒東経140度19分14.96秒﻿ / ﻿北緯42.5758694度 東経140.3208222度﻿ /42.5758694; 140.3208222﻿ (二股駅)座標:北緯42度34分33.13秒東経140度19分14.96秒﻿ / ﻿北緯42.5758694度 東経140.3208222度﻿ /42.5758694; 140.3208222﻿ (二股駅)","無人駅","○S32","フタ","","2人/日-2012年-","","","","","","",""
"二俣駅","二俣駅（ふたまたえき・京都丹後鉄道宮福線）","https://ja.wikipedia.org/wiki/二俣駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度24分48.08秒東経135度9分16.35秒","宮福線","15.4 km（*福知山起点）","WILLER TRAINS（京都丹後鉄道）","地上駅","1988年（昭和63年）7月16日[1]","1面1線","京都府福知山市大江町二俣北緯35度24分48.08秒東経135度9分16.35秒﻿ / ﻿北緯35.4133556度 東経135.1545417度﻿ /35.4133556; 135.1545417﻿ (二俣駅)座標:北緯35度24分48.08秒東経135度9分16.35秒﻿ / ﻿北緯35.4133556度 東経135.1545417度﻿ /35.4133556; 135.1545417﻿ (二俣駅)","無人駅* 正式な起点は宮津駅","F9","","0人/日（降車客含まず）-2018年-","","","","","","","",""
"二俣尾駅","二俣尾駅（ふたまたおえき）","https://ja.wikipedia.org/wiki/二俣尾駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度48分16.1秒東経139度12分55.6秒","■青梅線（東京アドベンチャーライン）","23.6 km（立川起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1920年（大正9年）1月1日[2]","1面2線[1]","東京都青梅市二俣尾四丁目1074北緯35度48分16.1秒東経139度12分55.6秒座標:北緯35度48分16.1秒 東経139度12分55.6秒","無人駅（乗車駅証明書発行機 有）","JC66","フマ","475人/日（降車客含まず）-2014年-","","","","","","","",""
"二俣川駅","二俣川駅（ふたまたがわえき）","https://ja.wikipedia.org/wiki/二俣川駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度27分48.9秒東経139度31分56.3秒","本線","10.5 km（横浜起点）","相模鉄道","地上駅（橋上駅）","1926年（大正15年）5月12日","2面4線","横浜市旭区二俣川2丁目91-7北緯35度27分48.9秒東経139度31分56.3秒﻿ / ﻿北緯35.463583度 東経139.532306度﻿ /35.463583; 139.532306座標:北緯35度27分48.9秒東経139度31分56.3秒﻿ / ﻿北緯35.463583度 東経139.532306度﻿ /35.463583; 139.532306","","SO10","フタ","","82,853人/日-2018年-","","","","","","",""
