"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","初登頂","プロミネンス","総称","所属山脈","種類","アイソレーション","山の種類","最容易,ルート","最新噴火","最新の噴火","公式サイト","翻訳","公用語","住民の呼称","海外領土"
"中華人民共和国","[222  マカオ中華人民共和国Coloane Alto172 m] 中華ソビエト共和国 としてはじまった中華人民共和国は、 中華民国統治下 の中国で 1921年 7月に結党された 中国共産党 が ソビエト連邦 の支援を受けながら、 国共合作 ・ 日中戦争  ・ 国共内戦 を経て 中華民国政府 を 台湾 へ放逐  し、 1949年 10月1日 に 毛沢東 中国共産党主席 が北京市 天安門広場 で 建国宣言 を行ったことで成立した。","https://ja.wikipedia.org/wiki/中華人民共和国","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯35度 東経103度","","","","","","","","","","","","","","","","","","",""
"イギリス王室","[226  ジャージー島イギリス王室属領Les Platons143 m] 王族の範囲に関する明確な定義は存在しないが、少なくとも Her Majesty（HM, 陛下 〈王妃〉）や His/Her Royal Highness（HRH, 殿下 ）の敬称を持つ人物は、一般的に王族であると考えられている。そこで有力な指針のひとつとされているのが、 1917年 11月に ジョージ5世 により発表された、王子・王女の身分と陛下・殿下の敬称の運用方針を定めた勅許状である。これによると、王子・王女の身分と陛下・殿下の敬称は、国王、国王の子供、国王の息子の子、 プリンス・オブ・ウェールズ （王太子）の長男の長男に与えられるものとされている。","https://ja.wikipedia.org/wiki/イギリス王室","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","イギリス王室公式サイト","","","",""
"イギリス王室","[228  ガーンジー島イギリス王室属領Le Moulin,Sark114 m] 王族の範囲に関する明確な定義は存在しないが、少なくとも Her Majesty（HM, 陛下 〈王妃〉）や His/Her Royal Highness（HRH, 殿下 ）の敬称を持つ人物は、一般的に王族であると考えられている。そこで有力な指針のひとつとされているのが、 1917年 11月に ジョージ5世 により発表された、王子・王女の身分と陛下・殿下の敬称の運用方針を定めた勅許状である。これによると、王子・王女の身分と陛下・殿下の敬称は、国王、国王の子供、国王の息子の子、 プリンス・オブ・ウェールズ （王太子）の長男の長男に与えられるものとされている。","https://ja.wikipedia.org/wiki/イギリス王室","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","イギリス王室公式サイト","","","",""
"イギリス王室","[231  バミューダ諸島イギリス王室属領Town Hill, Bermuda76 m] 王族の範囲に関する明確な定義は存在しないが、少なくとも Her Majesty（HM, 陛下 〈王妃〉）や His/Her Royal Highness（HRH, 殿下 ）の敬称を持つ人物は、一般的に王族であると考えられている。そこで有力な指針のひとつとされているのが、 1917年 11月に ジョージ5世 により発表された、王子・王女の身分と陛下・殿下の敬称の運用方針を定めた勅許状である。これによると、王子・王女の身分と陛下・殿下の敬称は、国王、国王の子供、国王の息子の子、 プリンス・オブ・ウェールズ （王太子）の長男の長男に与えられるものとされている。","https://ja.wikipedia.org/wiki/イギリス王室","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","イギリス王室公式サイト","","","",""
"ニュージーランド","[234  ニウエニュージーランドunnamed location nearMutalausettlement68 m日本は独立国として承認] 島国 であり、二つの主要な島と、多くの小さな島々からなる。北西に2,000km離れた オーストラリア大陸 （ オーストラリア連邦 ）と対する。南方の 南極大陸 とは2,600km離れている。北は トンガ 、 ニューカレドニア 、 フィジー がある。 イギリス連邦 加盟国であり、 英連邦王国 の一国となっている。また、 ニュージーランド王国 を構成する最大の主体地域である。","https://ja.wikipedia.org/wiki/ニュージーランド","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯42度 東経174度","","","","","","","","","","","","","","","","","","",""
"イギリス","[235  アンギライギリスCrocus Hill, nearThe Valley65 m] かつてのイギリスの海外領土としては 自治領 (Dominion)、 王領植民地 (Crown Colony)、 保護国 (Protectorate)、 信託統治 領 (Trusteeship)、 租借地 (leased territory) が存在した。 第二次世界大戦 以降、そのほとんどは独立国となるか、 香港 のように返還された。独立した地域には イギリス連邦 に参加する国と参加しない国があり、前者はさらに、イギリスの王を君主とする 英連邦王国 (Commonwealth realm) と、それ以外の国に分かれる。","https://ja.wikipedia.org/wiki/イギリスの海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"イギリス","[238  タークス・カイコス諸島イギリスBlue Hillson the island ofProvidenciales49 m] かつてのイギリスの海外領土としては 自治領 (Dominion)、 王領植民地 (Crown Colony)、 保護国 (Protectorate)、 信託統治 領 (Trusteeship)、 租借地 (leased territory) が存在した。 第二次世界大戦 以降、そのほとんどは独立国となるか、 香港 のように返還された。独立した地域には イギリス連邦 に参加する国と参加しない国があり、前者はさらに、イギリスの王を君主とする 英連邦王国 (Commonwealth realm) と、それ以外の国に分かれる。","https://ja.wikipedia.org/wiki/イギリスの海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"イギリス","[239  ケイマン諸島イギリスケイマンブラックのThe Bluff43 m] かつてのイギリスの海外領土としては 自治領 (Dominion)、 王領植民地 (Crown Colony)、 保護国 (Protectorate)、 信託統治 領 (Trusteeship)、 租借地 (leased territory) が存在した。 第二次世界大戦 以降、そのほとんどは独立国となるか、 香港 のように返還された。独立した地域には イギリス連邦 に参加する国と参加しない国があり、前者はさらに、イギリスの王を君主とする 英連邦王国 (Commonwealth realm) と、それ以外の国に分かれる。","https://ja.wikipedia.org/wiki/イギリスの海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"イギリス","[240  イギリス領インド洋地域イギリスディエゴガルシア島15 m最高地点に特に名は無い。] かつてのイギリスの海外領土としては 自治領 (Dominion)、 王領植民地 (Crown Colony)、 保護国 (Protectorate)、 信託統治 領 (Trusteeship)、 租借地 (leased territory) が存在した。 第二次世界大戦 以降、そのほとんどは独立国となるか、 香港 のように返還された。独立した地域には イギリス連邦 に参加する国と参加しない国があり、前者はさらに、イギリスの王を君主とする 英連邦王国 (Commonwealth realm) と、それ以外の国に分かれる。","https://ja.wikipedia.org/wiki/イギリスの海外領土","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"オーストラリア","[242  ココス諸島オーストラリア特に名は無い5 m] オーストラリアの州と特別地域 （オーストラリアのしゅうととくべつちいき）では、 オーストラリア の 行政区画 について述べる。","https://ja.wikipedia.org/wiki/オーストラリアの州と特別地域","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ニュージーランド","[242  トケラウニュージーランド特に名は無い5 m] 島国 であり、二つの主要な島と、多くの小さな島々からなる。北西に2,000km離れた オーストラリア大陸 （ オーストラリア連邦 ）と対する。南方の 南極大陸 とは2,600km離れている。北は トンガ 、 ニューカレドニア 、 フィジー がある。 イギリス連邦 加盟国であり、 英連邦王国 の一国となっている。また、 ニュージーランド王国 を構成する最大の主体地域である。","https://ja.wikipedia.org/wiki/ニュージーランド","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯42度 東経174度","","","","","","","","","","","","","","","","","","",""
