"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","泉質","交通","泉温（,摂氏,）","外部リンク","宿泊施設数","液性の分類","pH","湧出量","浸透圧の分類","総収容人員数","特記事項","年間浴客数","統計年","営業時間","温泉施設数","登録路線","登録回","登録日"
"湯田川温泉","[湯田川温泉] 湯田川温泉 （ゆたがわおんせん）は、 山形県 鶴岡市 （旧国 出羽国 、 明治 以降は 羽前国 ）にある 温泉 。鶴岡の 奥座敷 とも呼ばれる。 庄内平野 の南西に起伏する丘陵の間にあり、三方を山に囲まれた静かな 保養温泉 で、付近に 由豆佐売神社 、 長福寺 、 日本海 を遠望する 金峰山 などがあり、冬はスキーもできる。","https://ja.wikipedia.org/wiki/湯田川温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県鶴岡市","硫酸塩泉","鉄道：羽越本線鶴岡駅よりバスで約30分","40 - 44°C","","","","","","","","","","","","","","",""
"由良温泉","[由良温泉] 由良温泉 （ゆらおんせん）は、 山形県 鶴岡市 （旧国 出羽国 、 明治 以降は 羽前国 ）由良地区にある 温泉 。","https://ja.wikipedia.org/wiki/由良温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県鶴岡市","硫酸塩泉","鉄道：羽越本線三瀬駅下車、タクシーで10分バス：鶴岡駅-あつみ温泉駅-あつみ温泉間を結ぶ庄内交通バス利用、由良温泉口下車","","","","","","","","","","","","","","","",""
"湯野浜温泉","[（ゆのはま）温泉] 湯野浜温泉 （ゆのはまおんせん）とは、 山形県 鶴岡市 湯野浜（旧 出羽国 、 明治 以降は 羽前国 ）にある 温泉 である。","https://ja.wikipedia.org/wiki/湯野浜温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度47分3.9秒東経139度45分16.9秒","山形県鶴岡市湯野浜北緯38度47分3.9秒東経139度45分16.9秒﻿ / ﻿北緯38.784417度 東経139.754694度﻿ /38.784417; 139.754694","塩化物泉","#アクセス参照","","www.yunohamaonsen.com","","","","","","","","","","","","","",""
"湯ノ田温泉","[湯ノ田温泉] 湯ノ田温泉 （ゆのたおんせん）は、 山形県 飽海郡 遊佐町 （旧国 出羽国 、 明治 以降は 羽後国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/湯ノ田温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県飽海郡遊佐町","塩化物泉","鉄道：羽越本線吹浦駅下車","","","1","","","","","","","","","","","","",""
"道の駅鳥海","[鳥海温泉] 道の駅鳥海 （みちのえき ちょうかい）は、 山形県 飽海郡 遊佐町 にある 国道7号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅鳥海","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯39度03分37秒東経139度52分32秒","〒999-8531山形県飽海郡遊佐町大字菅里字菅野308-1","","","","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","","","","","","","","","8:00 - 19:00","","国道7号","第12回（06009）","1997年4月11日"
"長沼温泉 (山形県)","[長沼温泉] 長沼温泉 （ながぬまおんせん）は、 山形県 鶴岡市 にある 温泉 。","https://ja.wikipedia.org/wiki/長沼温泉_(山形県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県鶴岡市","塩化物泉、単純温泉","鉄道 :羽越本線鶴岡駅よりバスで約30分","32、70","","1","","","","","","","","","","","","",""
"松山温泉 (山形県)","[松山温泉] 松山温泉 （まつやまおんせん）は、 山形県 酒田市 （旧 出羽国 、 明治 以降の旧 羽前国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/松山温泉_(山形県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県酒田市","単純温泉","鉄道 :陸羽西線清川駅下車、タクシーで約5分","14°C","","1","アルカリ性","","","","","","","","","","","",""
"波渡崎温泉","[波渡崎温泉] 波渡崎温泉 （はとざきおんせん）は、かつて 山形県 鶴岡市 にあった 温泉 。 波渡崎 に近い 堅苔沢 （かたのりざわ）地区に位置し 日本海 に沿って走る 国道7号 線のそばにある。山形県では100番目に開湯した温泉といわれている。温泉宿が1軒あったが、 2007年 に廃業している  。","https://ja.wikipedia.org/wiki/波渡崎温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","山形県鶴岡市","塩化物泉","鉄道 :JR羽越本線の小波渡駅より庄内交通バスのあつみ温泉行き利用で5分、堅苔沢バス停下車後、徒歩5分。鶴岡駅やあつみ温泉駅からも、同じく庄内交通バス利用で堅苔沢バス停下車後、徒歩5分。","19〜20","","","","","","","","","","","","","","",""
"立岩海底温泉 (存在しないページ)","[立岩海底温泉]","https://ja.wikipedia.org/w/index.php?title=立岩海底温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東山温泉","[東山温泉] 東山温泉 （ひがしやまおんせん）とは、 福島県 会津若松市  にある 温泉 。","https://ja.wikipedia.org/wiki/東山温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度28分47秒 東経139度57分39秒","福島県会津若松市","硫酸塩泉","会津若松駅よりバスで約15分","45 - 58°C","東山温泉観光協会","23","","","","","","","","","","","","",""
"芦ノ牧温泉","[芦ノ牧温泉] 芦ノ牧温泉 （あしのまきおんせん）は、 福島県 会津若松市 （旧国 陸奥国 、 明治 以降は 岩代国 ）にある 温泉 。「会津芦ノ牧温泉」と呼ばれることも多い。最寄りの駅は芦ノ牧温泉駅、芦ノ牧温泉駅周辺にはホテル、旅館等の宿泊施設はない。車で10分（4.2km）ほどのところに温泉街がありホテル、旅館が点在している。","https://ja.wikipedia.org/wiki/芦ノ牧温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","福島県会津若松市","塩化物泉、単純温泉","鉄道：会津鉄道芦ノ牧温泉駅より会津バスで約15分","60°C","","14","","","","","","","","","","","","",""
"熱塩温泉","[（あつしお）温泉] 熱塩温泉 （あつしおおんせん）は、 福島県 喜多方市 熱塩加納町 （旧国 陸奥国 、 明治 以降は 岩代国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/熱塩温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度43分52.9秒東経139度53分6.8秒","福島県喜多方市熱塩加納町","塩化物泉","鉄道：磐越西線喜多方駅よりバスで約25分","64 - 72°C","","","","","","","","","","","","","","",""
"日中温泉","[日中温泉] 日中温泉 （にっちゅうおんせん）は、 福島県 喜多方市 熱塩加納町 （旧国 陸奥国 、 明治 以降は 岩代国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/日中温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度45分5.9秒東経139度54分20秒","福島県喜多方市熱塩加納町","炭酸水素塩泉","鉄道：磐越西線喜多方駅よりバスで約35分で千石沢バス停に到着。そこから徒歩約15分","約40","","","","","毎分56L","","","","","","","","","",""
"大塩裏磐梯温泉","[大塩裏磐梯温泉] 大塩裏磐梯温泉 （おおしお うらばんだい おんせん）は、 福島県 耶麻郡 北塩原村 にある 温泉 。","https://ja.wikipedia.org/wiki/大塩裏磐梯温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","福島県耶麻郡北塩原村","塩化物泉","鉄道 :磐越西線猪苗代駅よりバス約60分、喜多方駅よりバス約25分（磐梯東都バス）","40〜52","","","","","","","","","","","","","","",""
"裏磐梯川上温泉","[裏磐梯川上温泉] 裏磐梯川上温泉 （うらばんだいかわかみおんせん）は、 福島県 耶麻郡 猪苗代町 （旧国 陸奥国 ）にある 温泉 である。","https://ja.wikipedia.org/wiki/裏磐梯川上温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度38分23.3秒東経140度06分03秒","福島県耶麻郡猪苗代町","単純温泉","鉄道 :磐越西線猪苗代駅よりバスで約30分","","","","","","","","","","","","","","","",""
"中ノ沢温泉","[中ノ沢温泉] 中ノ沢温泉 （なかのさわおんせん）は、 福島県 耶麻郡 猪苗代町 （旧国 陸奥国 、 明治 以降は 岩代国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/中ノ沢温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度36分52.6秒東経140度12分41.8秒","福島県耶麻郡猪苗代町","酸性・含硫黄-カルシウム・アルミニウム-硫酸塩・塩化物泉","鉄道：磐越西線・猪苗代駅よりバス約30分（磐梯東都バス）","68.3℃","","11","","2.1","13400ℓ/分","","1658名 人/日","","","","","","","",""
"横向温泉","[横向温泉] 横向温泉 （よこむきおんせん）は、 福島県 耶麻郡 猪苗代町 若宮にある 温泉 。","https://ja.wikipedia.org/wiki/横向温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度39分23.8秒東経140度15分17.6秒","福島県耶麻郡猪苗代町若宮","単純温泉","鉄道：JR磐越西線猪苗代駅よりタクシー30分車：土湯バイパス経由福島県道30号本宮土湯温泉線分岐付近","39.9°C","","3","","6.2","27.8L（毎分）自噴","","","データは（下の湯）","","","","","","",""
"沼尻温泉","[沼尻温泉] 沼尻温泉 （ぬまじり おんせん）は、 日本 の 東北地方 南東部、 福島県 耶麻郡 猪苗代町 蚕養 こがい （ 江戸時代 における 陸奥国 耶麻郡の小田村・白木城村〈 幕藩体制 下の陸奥 会津藩 知行 小田村・白木城村〉。1875年〈明治8年〉における福島県耶麻郡蚕養村。1889年〈明治22年〉における耶麻郡 吾妻村 蚕養）にある 温泉 である。","https://ja.wikipedia.org/wiki/沼尻温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度37分6.4秒東経140度13分39.5秒","福島県耶麻郡猪苗代町蚕養","硫黄泉","磐越西線猪苗代駅、磐越自動車道猪苗代磐梯高原インターチェンジから自動車で約30分","71.8℃","","3","","1.9","10000ℓ/min","","","","","","","","","",""
"高田温泉 (存在しないページ)","[高田温泉]","https://ja.wikipedia.org/w/index.php?title=高田温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新鶴温泉","[新鶴温泉] 新鶴温泉 （にいつるおんせん）は、 福島県 大沼郡 会津美里町 にある 温泉 。","https://ja.wikipedia.org/wiki/新鶴温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度30分26.8秒東経139度48分47.8秒","福島県大沼郡会津美里町","単純温泉","鉄道 :只見線根岸駅より徒歩約20分バス :会津若松駅前より新鶴温泉行きで約50分（日祝日運休）、新鶴温泉下車道路 :磐越自動車道新鶴スマートインターチェンジから約5分、会津若松インターチェンジから約20分","45.6°C","","","","","毎分300L","","","","","","","","","",""
"本郷温泉 (福島県) (存在しないページ)","[本郷温泉]","https://ja.wikipedia.org/w/index.php?title=本郷温泉_(福島県)&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"柳津温泉","[柳津温泉] 柳津温泉 （やないづおんせん）は、 福島県 河沼郡 柳津町 （旧国 陸奥国 、 明治 以降は 岩代国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/柳津温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度31分53.7秒東経139度43分28.2秒","福島県河沼郡柳津町柳津温泉-地理院地図柳津温泉-Google マップ柳津温泉 (福島県)","塩化物泉","鉄道 :只見線会津柳津駅下車徒歩約10分","47°C","","","","","毎分510L","","","","","","","","","",""
"西山温泉 (福島県)","[西山温泉] 西山温泉 （にしやまおんせん）は、 奥会津 、 福島県 河沼郡 柳津町 （旧国 陸奥国 、 明治 以降は 岩代国 ）にある 温泉 である。奥会津は福島県会津地方の西南部の新潟県と接する、 柳津町 、 三島町 、 金山町 、 昭和村 、 只見町 、 南会津町 、 桧枝岐村 の7町村を指し、いわゆる秘湯が多いことで知られる。なかでも西山温泉は、多田三川の支流・滝谷川沿いに湧く閑静な山村の趣の秘湯らしさを残す。開湯は 奈良時代 初期まで遡るといわれ、「神の隠れ湯」の温泉信仰を今なお色濃く残す  。なお、 山梨県 南巨摩郡 早川町 にも同名の温泉（ 西山温泉 (山梨県) ）がある。","https://ja.wikipedia.org/wiki/西山温泉_(福島県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","福島県河沼郡柳津町","塩化物泉、含塩硫化水素泉","車：磐越自動車道会津坂下ICより約40分鉄道：只見線会津柳津駅よりバスで約30分。滝谷駅よりバスで約15分（会津乗合自動車）","","","","","","","","","","","","","","","",""
