"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","種類","市場情報","本社所在地"
"簗場駅","簗場駅（やなばえき）","https://ja.wikipedia.org/wiki/簗場駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度35分41.05秒東経137度50分40.48秒","■大糸線","46.3 km（松本起点）","東日本旅客鉄道（JR東日本）","1929年（昭和4年）9月25日[2]","地上駅","2面2線[1]","長野県大町市平中綱20329北緯36度35分41.05秒東経137度50分40.48秒﻿ / ﻿北緯36.5947361度 東経137.8445778度﻿ /36.5947361; 137.8445778座標:北緯36度35分41.05秒東経137度50分40.48秒﻿ / ﻿北緯36.5947361度 東経137.8445778度﻿ /36.5947361; 137.8445778","無人駅[1]標高：827.2m[1]","ヤハ[1]","23人/日（降車客含まず）-2011年-","□18[報道 1]","","","","","","","",""
"矢野駅","矢野駅（やのえき）","https://ja.wikipedia.org/wiki/矢野駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度21分7.78秒東経132度31分55.29秒","Y呉線","84.4 km（三原起点）","西日本旅客鉄道（JR西日本）","1903年（明治36年）12月27日","地上駅（橋上駅）","2面2線","広島市安芸区矢野西一丁目32-1北緯34度21分7.78秒東経132度31分55.29秒﻿ / ﻿北緯34.3521611度 東経132.5320250度﻿ /34.3521611; 132.5320250座標:北緯34度21分7.78秒東経132度31分55.29秒﻿ / ﻿北緯34.3521611度 東経132.5320250度﻿ /34.3521611; 132.5320250","業務委託駅みどりの券売機プラス設置駅広島市内駅","ヤノ","7,717人/日（降車客含まず）-2019年-","JR-Y05","","","","","","","",""
"矢野口駅","矢野口駅（やのくちえき）","https://ja.wikipedia.org/wiki/矢野口駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度38分30秒東経139度31分13.6秒","■南武線","22.4 km（川崎起点）","東日本旅客鉄道（JR東日本）","1927年（昭和2年）11月1日[1]","高架駅","1面2線","東京都稲城市矢野口北緯35度38分30秒東経139度31分13.6秒﻿ / ﻿北緯35.64167度 東経139.520444度﻿ /35.64167; 139.520444座標:北緯35度38分30秒東経139度31分13.6秒﻿ / ﻿北緯35.64167度 東経139.520444度﻿ /35.64167; 139.520444","業務委託駅","ノク","10,147人/日（降車客含まず）-2019年-","JN17","","","","","","","",""
"矢作駅","矢作駅（やはぎえき）","https://ja.wikipedia.org/wiki/矢作駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯37度41分26.68秒東経138度51分5.76秒","■弥彦線","2.0 km（弥彦起点）","東日本旅客鉄道（JR東日本）","1916年（大正5年）10月16日[1]","地上駅","1面1線[1]","新潟県西蒲原郡弥彦村大字矢作[1]北緯37度41分26.68秒東経138度51分5.76秒","無人駅[1]（自動券売機 有）","ヤハ←ヱヤ","","","","","","","","","",""
"矢作橋駅","矢作橋駅（やはぎばしえき）","https://ja.wikipedia.org/wiki/矢作橋駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度57分40秒東経137度8分23秒","名古屋本線","32.5 km（豊橋起点）","名古屋鉄道","1923年（大正12年）6月1日","地上駅","2面3線","愛知県岡崎市矢作町馬乗46北緯34度57分40秒東経137度8分23秒﻿ / ﻿北緯34.96111度 東経137.13972度﻿ /34.96111; 137.13972座標:北緯34度57分40秒東経137度8分23秒﻿ / ﻿北緯34.96111度 東経137.13972度﻿ /34.96111; 137.13972","特殊勤務駅（駅集中管理システム導入駅）","","","NH  15 ","7,068人/日-2019年[1]-","","","","","","",""
"八柱駅","八柱駅（やばしらえき）","https://ja.wikipedia.org/wiki/八柱駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度47分30.1秒東経139度56分16秒","■新京成線","3.8 km（松戸起点）","新京成電鉄","1955年（昭和30年）4月21日","地上駅（橋上駅）","1面2線","千葉県松戸市日暮一丁目1番地の16北緯35度47分30.1秒東経139度56分16秒﻿ / ﻿北緯35.791694度 東経139.93778度﻿ /35.791694; 139.93778座標:北緯35度47分30.1秒東経139度56分16秒﻿ / ﻿北緯35.791694度 東経139.93778度﻿ /35.791694; 139.93778","","","","SL05","45,332人/日-2019年-","JM14新八柱駅（JR武蔵野線）","","","","","",""
"八橋駅","八橋駅（やばせえき）","https://ja.wikipedia.org/wiki/八橋駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度30分11.82秒東経133度40分25.16秒","A山陰本線","287.6 km（京都起点）","西日本旅客鉄道（JR西日本）","1928年（昭和3年）7月4日*","地上駅","1面1線","鳥取県東伯郡琴浦町大字八橋字下勝見988北緯35度30分11.82秒東経133度40分25.16秒﻿ / ﻿北緯35.5032833度 東経133.6736556度﻿ /35.5032833; 133.6736556﻿ (八橋駅*)","無人駅（自動券売機 有）","ヤハ","","","142人/日-2018年-","","","","","","",""
"八幡駅 (福岡県)","八幡駅 (福岡県)（やはたえき・九州旅客鉄道鹿児島本線）","https://ja.wikipedia.org/wiki/八幡駅_(福岡県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度52分8.05秒東経130度47分43.31秒","JA鹿児島本線","22.2 km（門司港起点）","九州旅客鉄道（JR九州）","1902年（明治35年）12月27日[2]","高架駅（盛土上）","2面4線[2]","北九州市八幡東区西本町三丁目6-1[1][2]北緯33度52分8.05秒東経130度47分43.31秒﻿ / ﻿北緯33.8689028度 東経130.7953639度﻿ /33.8689028; 130.7953639座標:北緯33度52分8.05秒東経130度47分43.31秒﻿ / ﻿北緯33.8689028度 東経130.7953639度﻿ /33.8689028; 130.7953639","業務委託駅[1]みどりの窓口有北九州市内駅","ヤタ","6,672人/日（降車客含まず）-2019年-","JA  22 ","","","","","","","",""
"矢場町駅","矢場町駅（やばちょうえき）","https://ja.wikipedia.org/wiki/矢場町駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度9分49秒東経136度54分32秒","名城線","6.6 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","1967年（昭和42年）3月30日","地下駅","2面2線","名古屋市中区栄三丁目31-13北緯35度9分49秒東経136度54分32秒﻿ / ﻿北緯35.16361度 東経136.90889度﻿ /35.16361; 136.90889座標:北緯35度9分49秒東経136度54分32秒﻿ / ﻿北緯35.16361度 東経136.90889度﻿ /35.16361; 136.90889","","","31,590人/日（降車客含まず）-2019年-","M04","65,313[1]人/日-2019年-","","","","","","",""
"矢幅駅","矢幅駅（やはばえき）","https://ja.wikipedia.org/wiki/矢幅駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■東北本線","525.1 km（東京起点）","東日本旅客鉄道（JR東日本）","1898年（明治31年）9月1日[2]","地上駅（橋上駅）[1]","2面3線[2]","","業務委託駅みどりの窓口有[2]","ヤハ","3,145人/日（降車客含まず）-2019年-","","","","","","","","",""
"矢原駅","矢原駅（やばらえき）","https://ja.wikipedia.org/wiki/矢原駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度9分1.57秒東経131度26分44.50秒","■山口線","8.6 km（新山口起点）","西日本旅客鉄道（JR西日本）","1935年（昭和10年）10月1日","地上駅","1面1線","山口県山口市矢原北緯34度9分1.57秒東経131度26分44.50秒﻿ / ﻿北緯34.1504361度 東経131.4456944度﻿ /34.1504361; 131.4456944座標:北緯34度9分1.57秒東経131度26分44.50秒﻿ / ﻿北緯34.1504361度 東経131.4456944度﻿ /34.1504361; 131.4456944","無人駅（自動券売機 有）","ヤハ","650人/日（降車客含まず）-2019年-","","","","","","","","",""
"弥彦駅","弥彦駅（やひこえき）","https://ja.wikipedia.org/wiki/弥彦駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯37度41分57.32秒東経138度49分54.59秒","■弥彦線","0.0 km（弥彦起点）","東日本旅客鉄道（JR東日本）","1916年（大正5年）10月16日[1]","地上駅","1面1線[1]","新潟県西蒲原郡弥彦村大字弥彦[1]北緯37度41分57.32秒東経138度49分54.59秒","業務委託駅みどりの窓口有[1]","ヒコ","215人/日（降車客含まず）-2019年-","","","","","","","","",""
"矢美津駅","矢美津駅（やびつえき）","https://ja.wikipedia.org/wiki/矢美津駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度17分27.5秒東経140度35分32.1秒","■北上線","56.6 km（北上起点）","東日本旅客鉄道（JR東日本）","1963年（昭和38年）7月15日[1]","地上駅","1面1線","秋田県横手市山内大沢字矢櫃7-4北緯39度17分27.5秒東経140度35分32.1秒座標:北緯39度17分27.5秒 東経140度35分32.1秒","無人駅[2]","ヤツ","","","","","","","","","",""
"八広駅","八広駅（やひろえき）","https://ja.wikipedia.org/wiki/八広駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度43分38秒東経139度49分41.8秒","■押上線","2.3 km（押上起点）","京成電鉄","1923年（大正12年）7月11日","高架駅","2面3線","東京都墨田区八広六丁目25番20号北緯35度43分38秒東経139度49分41.8秒﻿ / ﻿北緯35.72722度 東経139.828278度﻿ /35.72722; 139.828278座標:北緯35度43分38秒東経139度49分41.8秒﻿ / ﻿北緯35.72722度 東経139.828278度﻿ /35.72722; 139.828278","","","","KS47","12,678人/日-2019年-","","","","","","",""
"養父駅","養父駅（やぶえき）","https://ja.wikipedia.org/wiki/養父駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度22分15.35秒東経134度48分42.30秒","E山陰本線","124.2 km（京都起点）","西日本旅客鉄道（JR西日本）","1908年（明治41年）7月1日[1]","地上駅[1]","1面2線[1]","兵庫県養父市堀畑字石郡133-2[1]北緯35度22分15.35秒東経134度48分42.30秒﻿ / ﻿北緯35.3709306度 東経134.8117500度﻿ /35.3709306; 134.8117500﻿ (養父駅)座標:北緯35度22分15.35秒東経134度48分42.30秒﻿ / ﻿北緯35.3709306度 東経134.8117500度﻿ /35.3709306; 134.8117500﻿ (養父駅)","簡易委託駅[1]","ヤフ","76人/日（降車客含まず）-2016年-","","","","","","","","",""
"藪神駅","藪神駅（やぶかみえき）","https://ja.wikipedia.org/wiki/藪神駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■只見線","131.6 km（会津若松起点）","東日本旅客鉄道（JR東日本）","1951年（昭和26年）10月1日[1]*","地上駅","1面1線","","無人駅","ヤカ","","","","","","","","","",""
"矢吹駅","矢吹駅（やぶきえき）","https://ja.wikipedia.org/wiki/矢吹駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯37度12分18.89秒東経140度19分40.86秒","■東北本線","203.4 km（東京起点）","東日本旅客鉄道（JR東日本）","1887年（明治20年）7月16日","地上駅（橋上駅）","2面3線","福島県西白河郡矢吹町中町235-4北緯37度12分18.89秒東経140度19分40.86秒座標:北緯37度12分18.89秒 東経140度19分40.86秒","業務委託駅みどりの窓口有","ヤフ","1,047人/日（降車客含まず）-2019年-","","","","","","","","",""
"藪塚駅","藪塚駅（やぶづかえき）","https://ja.wikipedia.org/wiki/藪塚駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度21分32.32秒東経139度18分54.99秒","■桐生線","9.7 km（太田起点）","東武鉄道","1913年（大正2年）3月19日","地上駅","2面2線","群馬県太田市藪塚町字八石379-2北緯36度21分32.32秒東経139度18分54.99秒﻿ / ﻿北緯36.3589778度 東経139.3152750度﻿ /36.3589778; 139.3152750﻿ (藪塚駅)座標:北緯36度21分32.32秒東経139度18分54.99秒﻿ / ﻿北緯36.3589778度 東経139.3152750度﻿ /36.3589778; 139.3152750﻿ (藪塚駅)","","ヤブ","","TI53","1,071人/日-2016年（平成28年）-","","","","","","",""
"藪原駅","藪原駅（やぶはらえき）","https://ja.wikipedia.org/wiki/藪原駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度55分48.54秒東経137度47分3.72秒","CF中央本線","249.8km（東京起点）名古屋から147.1 km","東海旅客鉄道（JR東海）","1910年（明治43年）10月5日[1]","地上駅","2面3線[1]","長野県木曽郡木祖村大字薮原[1]北緯35度55分48.54秒東経137度47分3.72秒﻿ / ﻿北緯35.9301500度 東経137.7843667度﻿ /35.9301500; 137.7843667﻿ (藪原駅)","簡易委託駅[1]標高：924.2m[1]","ヤラ[1]","114人/日（降車客含まず）-2018年-","","","","","","","","",""
"矢部駅","矢部駅（やべえき）","https://ja.wikipedia.org/wiki/矢部駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度34分23秒東経139度23分12.5秒","■横浜線","29.2 km（東神奈川起点）","東日本旅客鉄道（JR東日本）","1957年（昭和32年）10月1日","地上駅（橋上駅）","1面2線","相模原市中央区矢部三丁目18北緯35度34分23秒東経139度23分12.5秒﻿ / ﻿北緯35.57306度 東経139.386806度﻿ /35.57306; 139.386806座標:北緯35度34分23秒東経139度23分12.5秒﻿ / ﻿北緯35.57306度 東経139.386806度﻿ /35.57306; 139.386806","業務委託駅","ヤヘ","12,378人/日（降車客含まず）-2019年-","JH26","","","","","","","",""
"谷保駅","谷保駅（やほえき）","https://ja.wikipedia.org/wiki/谷保駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度40分53.1秒東経139度26分47.7秒","■南武線","31.6 km（川崎起点）","東日本旅客鉄道（JR東日本）","1929年（昭和4年）12月11日[1]","地上駅（橋上駅）","2面2線","東京都国立市谷保5012北緯35度40分53.1秒東経139度26分47.7秒﻿ / ﻿北緯35.681417度 東経139.446583度﻿ /35.681417; 139.446583座標:北緯35度40分53.1秒東経139度26分47.7秒﻿ / ﻿北緯35.681417度 東経139.446583度﻿ /35.681417; 139.446583","業務委託駅","ヤホ","10,390人/日（降車客含まず）-2019年-","JN23","","","","","","","",""
"山岡駅","山岡駅（やまおかえき）","https://ja.wikipedia.org/wiki/山岡駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度21分0.48秒東経137度23分44.4秒","明知線","19.7 km（恵那起点）","明知鉄道","1934年（昭和9年）6月24日[1]","地上駅","1面1線","岐阜県恵那市山岡町馬場山田北緯35度21分0.48秒東経137度23分44.4秒﻿ / ﻿北緯35.3501333度 東経137.395667度﻿ /35.3501333; 137.395667座標:北緯35度21分0.48秒東経137度23分44.4秒﻿ / ﻿北緯35.3501333度 東経137.395667度﻿ /35.3501333; 137.395667","","ヤマトホ（改称前）","55人/日（降車客含まず）-2016年-","3","","","","","","","",""
