"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","駅数","開業","標高","標高差"
"羽前山辺駅","羽前山辺駅（うぜんやまべえき）","https://ja.wikipedia.org/wiki/羽前山辺駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度17分38.0秒東経140度16分17.76秒","■左沢線","6.5 km（北山形起点）","東日本旅客鉄道（JR東日本）","1921年（大正10年）7月20日","地上駅","山形県東村山郡山辺町大字山辺北緯38度17分38.0秒東経140度16分17.76秒座標:北緯38度17分38.0秒 東経140度16分17.76秒","1面2線","無人駅[1]","ヤヘ","797人/日（降車客含まず）-2017年-","","","","","","","","",""
"宇田郷駅","宇田郷駅（うたごうえき）","https://ja.wikipedia.org/wiki/宇田郷駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度34分18.86秒東経131度32分55.85秒","■山陰本線","549.2 km（京都起点）","西日本旅客鉄道（JR西日本）","1931年（昭和6年）11月15日","地上駅","山口県阿武郡阿武町大字宇田字長浜2142北緯34度34分18.86秒東経131度32分55.85秒﻿ / ﻿北緯34.5719056度 東経131.5488472度﻿ /34.5719056; 131.5488472座標:北緯34度34分18.86秒東経131度32分55.85秒﻿ / ﻿北緯34.5719056度 東経131.5488472度﻿ /34.5719056; 131.5488472","2面2線","無人駅","ウタ","9人/日（降車客含まず）-2019年-","","","","","","","","",""
"歌津駅","歌津駅（うたつえき）","https://ja.wikipedia.org/wiki/歌津駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","■気仙沼線BRT","42.3 km（前谷地起点）","東日本旅客鉄道（JR東日本）","2012年（平成24年）8月20日*","地上駅","","","無人駅","","39人/日（降車客含まず）-2019年-","","","","","","","","",""
"宇多津駅","宇多津駅（うたづえき）","https://ja.wikipedia.org/wiki/宇多津駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度18分22.96秒東経133度48分49.62秒","■予讃線","25.9 km（高松起点）","四国旅客鉄道（JR四国）","1897年（明治30年）2月21日","高架駅","香川県綾歌郡宇多津町浜五番丁49北緯34度18分22.96秒東経133度48分49.62秒﻿ / ﻿北緯34.3063778度 東経133.8137833度﻿ /34.3063778; 133.8137833座標:北緯34度18分22.96秒東経133度48分49.62秒﻿ / ﻿北緯34.3063778度 東経133.8137833度﻿ /34.3063778; 133.8137833","2面4線","直営駅みどりの窓口有","ウタ","2,247人/日（降車客含まず）-2019年-","○Y09","","","","","","","",""
"歌内駅","歌内駅（うたないえき）","https://ja.wikipedia.org/wiki/歌内駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯44度52分49.2秒東経142度3分7.5秒","■宗谷本線","170.3 km（旭川起点）","北海道旅客鉄道（JR北海道）","1923年（大正12年）11月10日","地上駅","北海道中川郡中川町字歌内北緯44度52分49.2秒東経142度3分7.5秒﻿ / ﻿北緯44.880333度 東経142.052083度﻿ /44.880333; 142.052083﻿ (歌内駅)","1面1線","無人駅","タナ","","○W65","2人/日-2012年-","","","","","","",""
"宇多野駅","宇多野駅（うたのえき）","https://ja.wikipedia.org/wiki/宇多野駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度1分37.89秒東経135度42分34.82秒","■北野線","2.1 km（北野白梅町起点）","京福電気鉄道","1925年（大正14年）11月3日","地上駅","京都市右京区宇多野長尾町北緯35度1分37.89秒東経135度42分34.82秒﻿ / ﻿北緯35.0271917度 東経135.7096722度﻿ /35.0271917; 135.7096722座標:北緯35度1分37.89秒東経135度42分34.82秒﻿ / ﻿北緯35.0271917度 東経135.7096722度﻿ /35.0271917; 135.7096722","千鳥式2面1線","","","","●B4","508人/日-2019年-","","","","","","",""
"内海駅 (宮崎県)","内海駅 (宮崎県)（うちうみえき・九州旅客鉄道日南線）","https://ja.wikipedia.org/wiki/内海駅_(宮崎県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯31度45分30.62秒東経131度28分3.22秒","日南線","17.5 km（南宮崎起点）","九州旅客鉄道（JR九州）","1963年（昭和38年）5月8日[1]","地上駅","宮崎県宮崎市大字内海[1]北緯31度45分30.62秒東経131度28分3.22秒﻿ / ﻿北緯31.7585056度 東経131.4675611度﻿ /31.7585056; 131.4675611座標:北緯31度45分30.62秒東経131度28分3.22秒﻿ / ﻿北緯31.7585056度 東経131.4675611度﻿ /31.7585056; 131.4675611","1面1線[1]","無人駅[1]","チミ","19人/日（降車客含まず）-2015年-","","","","","","","","",""
"内ケ巻駅","内ケ巻駅（うちがまきえき）","https://ja.wikipedia.org/wiki/内ケ巻駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯37度15分0.47秒東経138度51分6.13秒","■飯山線","93.2 km（豊野起点）","東日本旅客鉄道（JR東日本）","1927年（昭和2年）6月15日","地上駅","新潟県小千谷市大字川井北緯37度15分0.47秒東経138度51分6.13秒﻿ / ﻿北緯37.2501306度 東経138.8517028度﻿ /37.2501306; 138.8517028﻿ (内ケ巻駅)座標:北緯37度15分0.47秒東経138度51分6.13秒﻿ / ﻿北緯37.2501306度 東経138.8517028度﻿ /37.2501306; 138.8517028﻿ (内ケ巻駅)","1面1線","無人駅","ウキ","","","","","","","","","",""
"内子駅","内子駅（うちこえき）","https://ja.wikipedia.org/wiki/内子駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度32分57.12秒東経132度38分46.61秒","■内子線","5.3 km（新谷起点）","四国旅客鉄道（JR四国）","1920年（大正9年）5月1日","高架駅","愛媛県喜多郡内子町内子107北緯33度32分57.12秒東経132度38分46.61秒﻿ / ﻿北緯33.5492000度 東経132.6462806度﻿ /33.5492000; 132.6462806座標:北緯33度32分57.12秒東経132度38分46.61秒﻿ / ﻿北緯33.5492000度 東経132.6462806度﻿ /33.5492000; 132.6462806","2面3線","直営駅みどりの窓口有","ウチ","","○U10","1,254[1]人/日-2019年-","","","","","","",""
"内郷駅","内郷駅（うちごうえき）","https://ja.wikipedia.org/wiki/内郷駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯37度2分8.63秒東経140度51分17.65秒","■常磐線","205.0 km（日暮里起点）","東日本旅客鉄道（JR東日本）","1897年（明治30年）2月25日","地上駅","福島県いわき市内郷綴町榎下12北緯37度2分8.63秒東経140度51分17.65秒座標:北緯37度2分8.63秒 東経140度51分17.65秒","2面2線","業務委託駅","ウコ","980人/日（降車客含まず）-2019年-","","","","","","","","",""
"打越駅","打越駅（うちごしえき）","https://ja.wikipedia.org/wiki/打越駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯32度49分25.63秒東経130度42分49.93秒","■菊池線","2.1 km（上熊本起点）","熊本電気鉄道","1953年（昭和28年）3月15日","地上駅","熊本県熊本市北区打越町149-4北緯32度49分25.63秒東経130度42分49.93秒﻿ / ﻿北緯32.8237861度 東経130.7138694度﻿ /32.8237861; 130.7138694座標:北緯32度49分25.63秒東経130度42分49.93秒﻿ / ﻿北緯32.8237861度 東経130.7138694度﻿ /32.8237861; 130.7138694","1面1線","無人駅","","","KD04","87人/日-2018年-","","","","","","",""
"内幸町駅","内幸町駅（うちさいわいちょうえき）","https://ja.wikipedia.org/wiki/内幸町駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度40分11.3秒東経139度45分20秒","●[1]三田線","6.4 km（目黒起点）","東京都交通局（都営地下鉄）","1973年（昭和48年）11月27日","地下駅","東京都千代田区内幸町二丁目2-3北緯35度40分11.3秒東経139度45分20秒﻿ / ﻿北緯35.669806度 東経139.75556度﻿ /35.669806; 139.75556座標:北緯35度40分11.3秒東経139度45分20秒﻿ / ﻿北緯35.669806度 東経139.75556度﻿ /35.669806; 139.75556","1面2線","","内（駅名略称）","","I07[1]","44,741人/日-2019年-","","","","","","",""
"内宿駅","内宿駅（うちじゅくえき）","https://ja.wikipedia.org/wiki/内宿駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度0分50.2秒東経139度36分0.4秒","■伊奈線（ニューシャトル）","12.7 km（大宮起点）","埼玉新都市交通","1990年（平成2年）8月22日[1]","高架駅","埼玉県北足立郡伊奈町内宿台三丁目北緯36度0分50.2秒東経139度36分0.4秒﻿ / ﻿北緯36.013944度 東経139.600111度﻿ /36.013944; 139.600111座標:北緯36度0分50.2秒東経139度36分0.4秒﻿ / ﻿北緯36.013944度 東経139.600111度﻿ /36.013944; 139.600111","1面2線","","","","NS13","4,667人/日-2016年-","","","","","","",""
"打田駅","打田駅（うちたえき）","https://ja.wikipedia.org/wiki/打田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度15分55.1秒東経135度21分50.6秒","T和歌山線","69.8 km（王寺起点）","西日本旅客鉄道（JR西日本）","1900年（明治33年）8月24日[1]","地上駅","和歌山県紀の川市打田1241-2北緯34度15分55.1秒東経135度21分50.6秒﻿ / ﻿北緯34.265306度 東経135.364056度﻿ /34.265306; 135.364056座標:北緯34度15分55.1秒東経135度21分50.6秒﻿ / ﻿北緯34.265306度 東経135.364056度﻿ /34.265306; 135.364056","2面2線","無人駅（自動券売機 有）","チタ","587人/日（降車客含まず）-2019年-","","","","","","","","",""
"内田駅","内田駅（うちだえき）","https://ja.wikipedia.org/wiki/内田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度38分14.79秒東経130度51分51.38秒","■田川線","20.7 km（行橋起点）","■平成筑豊鉄道","1990年（平成2年）4月1日[1]","地上駅","福岡県田川郡赤村大字内田2417-2北緯33度38分14.79秒東経130度51分51.38秒座標:北緯33度38分14.79秒 東経130度51分51.38秒","1面1線","無人駅","","","HC19","","","","","","","",""
"打出駅","打出駅（うちでえき）","https://ja.wikipedia.org/wiki/打出駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度43分54.11秒東経135度18分55.78秒","本線","19.0 km（梅田起点）","阪神電気鉄道","1905年（明治38年）4月12日[1]","地上駅[1]","兵庫県芦屋市打出小槌町13番12号北緯34度43分54.11秒東経135度18分55.78秒﻿ / ﻿北緯34.7316972度 東経135.3154944度﻿ /34.7316972; 135.3154944﻿ (打出駅)座標:北緯34度43分54.11秒東経135度18分55.78秒﻿ / ﻿北緯34.7316972度 東経135.3154944度﻿ /34.7316972; 135.3154944﻿ (打出駅)","2面2線[1]","","","","○HS 19","13,067人/日-2016年-","","","","","","",""
"内名駅","内名駅（うちなえき）","https://ja.wikipedia.org/wiki/内名駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度57分53.74秒東経133度13分55.07秒","P芸備線","29.0km（備中神代起点）新見から35.4 km","西日本旅客鉄道（JR西日本）","1955年（昭和30年）7月20日","地上駅","広島県庄原市東城町竹森北緯34度57分53.74秒東経133度13分55.07秒﻿ / ﻿北緯34.9649278度 東経133.2319639度﻿ /34.9649278; 133.2319639座標:北緯34度57分53.74秒東経133度13分55.07秒﻿ / ﻿北緯34.9649278度 東経133.2319639度﻿ /34.9649278; 133.2319639","1面1線","無人駅","ウチ","2人/日（降車客含まず）-2017年-","","","","","","","","",""
"内灘駅","内灘駅（うちなだえき）","https://ja.wikipedia.org/wiki/内灘駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯36度38分0.25秒東経136度38分3.49秒","■浅野川線","6.8 km（北鉄金沢起点）","北陸鉄道","1929年（昭和4年）7月14日","地上駅","石川県河北郡内灘町向粟崎4丁目228[1]北緯36度38分0.25秒東経136度38分3.49秒﻿ / ﻿北緯36.6334028度 東経136.6343028度﻿ /36.6334028; 136.6343028座標:北緯36度38分0.25秒東経136度38分3.49秒﻿ / ﻿北緯36.6334028度 東経136.6343028度﻿ /36.6334028; 136.6343028","単式1面1線","","","","○A12","2,746人/日-2018年-","","","","","","",""
"内野駅","内野駅（うちのえき）","https://ja.wikipedia.org/wiki/内野駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯37度51分29.60秒東経138度56分11.52秒","■越後線","70.3 km（柏崎起点）","東日本旅客鉄道（JR東日本）","1912年（大正元年）8月25日[1]","地上駅（橋上駅）","新潟市西区内野町[1]北緯37度51分29.60秒東経138度56分11.52秒座標:北緯37度51分29.60秒 東経138度56分11.52秒","2面2線[1]","業務委託駅みどりの窓口有[1]","ウノ","2,696人/日（降車客含まず）-2019年-","","","","","","","","",""
"内之田駅","内之田駅（うちのだえき）","https://ja.wikipedia.org/wiki/内之田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯31度38分33.14秒東経131度22分21.34秒","日南線","37.1 km（南宮崎起点）","九州旅客鉄道（JR九州）","1941年（昭和16年）10月28日[1]","地上駅","宮崎県日南市北郷町大藤[1]北緯31度38分33.14秒東経131度22分21.34秒﻿ / ﻿北緯31.6425389度 東経131.3725944度﻿ /31.6425389; 131.3725944座標:北緯31度38分33.14秒東経131度22分21.34秒﻿ / ﻿北緯31.6425389度 東経131.3725944度﻿ /31.6425389; 131.3725944","1面1線[1]","無人駅[1]","ウチ","10人/日（降車客含まず）-2015年-","","","","","","","","",""
"内野西が丘駅","内野西が丘駅（うちのにしがおかえき）","https://ja.wikipedia.org/wiki/内野西が丘駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯37度50分46.69秒東経138度55分36.03秒","■越後線","68.7 km（柏崎起点）","東日本旅客鉄道（JR東日本）","2005年（平成17年）3月1日[1]","地上駅","新潟市西区内野西が丘2丁目13-5[1][2][3]北緯37度50分46.69秒東経138度55分36.03秒座標:北緯37度50分46.69秒 東経138度55分36.03秒","1面1線[1]","無人駅[1]（自動券売機　有）","ウニ","","","","","","","","","",""
"内牧駅","内牧駅（うちのまきえき）","https://ja.wikipedia.org/wiki/内牧駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯32度56分31.82秒東経131度2分36.64秒","■豊肥本線","101.4 km（大分起点）","九州旅客鉄道（JR九州）","1918年（大正7年）1月25日[2]","地上駅","熊本県阿蘇市乙姫[1]北緯32度56分31.82秒東経131度2分36.64秒﻿ / ﻿北緯32.9421722度 東経131.0435111度﻿ /32.9421722; 131.0435111座標:北緯32度56分31.82秒東経131度2分36.64秒﻿ / ﻿北緯32.9421722度 東経131.0435111度﻿ /32.9421722; 131.0435111","1面2線[1]","無人駅[1]","ウチ","174人/日（降車客含まず）-2005年-","","","","","","","","",""
