"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","地図","規模","築造時期","史跡","形状","法人番号","文化財","出土品","山号","宗派","埋葬施設","本尊","別名","創建年","城郭構造","築城主","遺構"
"十三宝塚遺跡","[十三宝塚遺跡（じゅうさんぽうづかいせき）〔伊勢崎市〕] 十三宝塚遺跡 （じゅうさんぽうづかいせき）は、 群馬県 伊勢崎市 境伊与久にある、 奈良時代 の遺跡。 1988年 1月11日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/十三宝塚遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度18分48秒 東経139度14分13秒","","","","","","","","","","","","","","","","","","",""
"田島弥平旧宅","[田島弥平旧宅（たじまやへいきゅうたく）〔伊勢崎市〕2012年9月19日（「富岡製糸場と絹産業遺産群」の構成資産）] 田島弥平旧宅 （たじまやへいきゅうたく）は、 群馬県 伊勢崎市 境島村 にある歴史的建造物。 明治 初期に大きな影響力を持った養蚕業者 田島弥平 が自身の養蚕理論に基づいて改築した 民家 である。「近代養蚕農家の原型」  とも言われるその旧宅は、 2012年 に国の 史跡 に指定され、2013年に「 富岡製糸場と絹産業遺産群 」の構成資産として 世界遺産 リストに登録された。","https://ja.wikipedia.org/wiki/田島弥平旧宅","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度14分47秒東経139度14分20秒","群馬県伊勢崎市境島村甲2243番地、乙2243番地","北緯36度14分47秒東経139度14分20秒﻿ / ﻿北緯36.24639度 東経139.23889度﻿ /36.24639; 139.23889座標:北緯36度14分47秒東経139度14分20秒﻿ / ﻿北緯36.24639度 東経139.23889度﻿ /36.24639; 139.23889","","","","","","","史跡（国指定）世界遺産構成資産","","","","","","","","","",""
"上野国佐位郡正倉跡","[上野国佐位郡正倉跡（こうずけのくにさいぐんしょうそうあと）〔伊勢崎市〕2014年10月6日] 上野国佐位郡正倉跡 （こうずけのくにさいぐんしょうそうあと）は、 群馬県 伊勢崎市 上植木本町にある、古代 佐位郡 の正倉跡からなる、 奈良時代 から 平安時代 にかけての官衙遺跡。2014年10月6日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/上野国佐位郡正倉跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度18分41秒 東経139度11分48秒","","","","","","","","","","","","","","","","","","",""
"岩宿遺跡","[岩宿遺跡（いわじゅくいせき）〔みどり市〕1979年8月17日] 岩宿遺跡は〜 赤城山 の南東、 渡良瀬川 右岸地域の小残丘に立地しており、丘陵の北部は「稲荷山」、南部は「山寺山」および「金比羅山」（琴平山とも）と呼称される。稲荷山と山寺山の境をなす低い鞍部には町道が通っていたが、相沢忠洋によれば、初めて ローム層   中で 打製石器 を発見したのは、この道路の切通においてであった。相沢は当時、 納豆 の 行商 をおこないながら熱心に 考古学 研究にいそしんでいた。","https://ja.wikipedia.org/wiki/岩宿遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度24分0.2秒 東経139度17分15.0秒","","","","","","","","","","","","","","","","","","",""
"西鹿田中島遺跡","[西鹿田中島遺跡（さいしかだなかじまいせき）〔みどり市〕] 西鹿田中島遺跡 （さいしかだなかじまいせき）は、 群馬県 みどり市 笠懸町西鹿田にある 縄文時代 の遺跡   。 2004年 （ 平成 16年） 9月30日 、 国史跡 に指定された  。","https://ja.wikipedia.org/wiki/西鹿田中島遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度24分25秒 東経139度15分24秒","","","","","","","","","","","","","","","","","","",""
"武井廃寺塔","[武井廃寺塔跡（たけいはいじとうあと）〔桐生市〕] 武井廃寺塔跡 （たけいはいじとうあと）は、 群馬県 桐生市 新里町武井598にある古代寺院の跡と伝えられている 遺跡 である。 1941年 （ 昭和 16年）に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/武井廃寺塔","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度25分25.7秒 東経139度14分35.0秒","","","","","","","","","","","","","","","","","","",""
"生品神社","[生品神社境内（新田義貞挙兵伝説地）（いくしなじんじゃけいだい（にったよしさだきょへいでんせつち））〔太田市新田市野井町〕] 生品神社 （いくしなじんじゃ）は、 群馬県 太田市 新田市野井町にある 神社 。主祭神は大穴牟遅神（ 大国主 ）。旧 社格 は県社。 境内 は国の 史跡 に指定されている（国の史跡「 新田荘遺跡 」の一部として指定）。","https://ja.wikipedia.org/wiki/生品神社","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度19分2.9秒東経139度18分26.8秒","群馬県太田市新田市野井町1923","北緯36度19分2.9秒東経139度18分26.8秒﻿ / ﻿北緯36.317472度 東経139.307444度﻿ /36.317472; 139.307444﻿ (生品神社)座標:北緯36度19分2.9秒東経139度18分26.8秒﻿ / ﻿北緯36.317472度 東経139.307444度﻿ /36.317472; 139.307444﻿ (生品神社)","生品神社","","","","","","","","","","","","","","","",""
"新田金山城","[金山城跡（かなやまじょうあと）〔太田市金山町〕1934年12月28日] 新田金山城 （にったかなやまじょう）は、 群馬県 太田市 のほぼ中央にそびえる標高235.8メートルの独立峰、全山アカマツに覆われた 金山 に築かれた 日本の城 （ 山城 ）である。別名「 金山城 」、「 太田金山城 」。","https://ja.wikipedia.org/wiki/新田金山城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度19分4.0秒東経139度22分38.9秒","","北緯36度19分4.0秒東経139度22分38.9秒﻿ / ﻿北緯36.317778度 東経139.377472度﻿ /36.317778; 139.377472﻿ (新田金山城)座標:北緯36度19分4.0秒東経139度22分38.9秒﻿ / ﻿北緯36.317778度 東経139.377472度﻿ /36.317778; 139.377472﻿ (新田金山城)","新田金山城","","","","","","","","","","","","金山城、太田金山城","","連郭式山城","岩松家純","石垣、土塁、堀、馬出し、井戸"
"高山彦九郎","[高山彦九郎宅跡 附 遺髪塚（たかやまひこくろうたくあと つけたり いはつづか）〔太田市細谷〕] 高山 彦九郎 （たかやま ひこくろう、 延享 4年 5月8日 （ 1747年 6月15日 ） - 寛政 5年 6月28日 （ 1793年 8月4日 ））は、 江戸時代 後期の 尊皇 思想家である。 諱 は正之、戒名は「松陰以白居士」。父は高山良左衛門正教、母はしげ。兄は高山正晴。妻はしも、後にさき。子に高山義介ほか娘など。 林子平 ・ 蒲生君平 と共に、「 寛政の三奇人 」の一人（「奇」は「優れた」という意味）。","https://ja.wikipedia.org/wiki/高山彦九郎","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"太田天神山古墳","[天神山古墳（てんじんやまこふん）〔太田市内ヶ島〕] 太田天神山古墳 （おおたてんじんやまこふん）は、 群馬県 太田市 内ケ島町にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている（指定名称は「天神山古墳」）。","https://ja.wikipedia.org/wiki/太田天神山古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度17分30.04秒東経139度23分27.69秒","群馬県太田市内ケ島町1606-1ほか","北緯36度17分30.04秒東経139度23分27.69秒﻿ / ﻿北緯36.2916778度 東経139.3910250度﻿ /36.2916778; 139.3910250﻿ (太田天神山古墳)座標:北緯36度17分30.04秒東経139度23分27.69秒﻿ / ﻿北緯36.2916778度 東経139.3910250度﻿ /36.2916778; 139.3910250﻿ (太田天神山古墳)","太田天神山舟塚山浅間山太田天神山別所茶臼山浅間山白石稲荷山","墳丘長210m高さ16.5m","5世紀前半-中期頃","国の史跡「天神山古墳」","前方後円墳","","","円筒埴輪・水鳥形埴輪など","","","（推定）竪穴式の主体部　（内部に長持形石棺）","","","","","",""
"新田荘遺跡","[新田荘遺跡（にったのしょういせき）〔太田市〕2000年11月1日] 新田荘遺跡 （にったのしょういせき）は、 上野国 新田郡 （ 群馬県 太田市 ）にあった 荘園 新田荘 に関わる遺跡。荘域は上野国新田郡全域・ 勢多郡 ・ 佐位郡 ・ 武蔵国 榛沢郡 の一部に及び、おもに 大間々扇状地 と 利根川 左岸 氾濫原 からなる  。『 延喜式 』には上野国新田駅、『 和名類聚抄 』では新田郡駅家郷と記されている。中世 武士団 新田氏 一族の根源地として成立し、長楽寺文書、正木文書によって 文献史料 の裏付けを可能とする東国の中世荘園として稀有な例である。2000年（平成12年）、新田氏遺構群のうち11箇所が国の 史跡 に指定され、「新田荘遺跡」として保存されている。","https://ja.wikipedia.org/wiki/新田荘遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"女体山古墳","[女体山古墳（にょたいさんこふん）〔太田市内ヶ島〕] 女体山古墳 （にょたいさんこふん）は、 群馬県 太田市 内ケ島町にある 帆立貝形古墳 （または 造り出し 付き 円墳 ）。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/女体山古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度17分30.7秒東経139度23分39.6秒","群馬県太田市内ケ島町","北緯36度17分30.7秒東経139度23分39.6秒﻿ / ﻿北緯36.291861度 東経139.394333度﻿ /36.291861; 139.394333","","墳丘長106m高さ7m","5世紀中頃","国の史跡「女体山古墳」","帆立貝形古墳","","","円筒埴輪・形象埴輪","","","（推定）竪穴式石室","","","","","",""
"上野国新田郡庁跡","[上野国新田郡庁跡（こうずけのくににったぐんちょうあと）〔太田市天良町〕2008年7月28日] 上野国新田郡家跡 （こうづけのくににったぐうけあと   ）は、 群馬県 太田市 天良町にある 郡衙 の 遺跡 。 2008年 （平成20年）7月28日に一部が国の 史跡 となり、さらに 2015年 （平成27年）10月7日に一部が追加指定された。","https://ja.wikipedia.org/wiki/上野国新田郡庁跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度19分46秒 東経139度19分55秒","","","","","","","","","","","","","","","","","","",""
"黒井峯遺跡","[黒井峯遺跡（くろいみねいせき）〔渋川市〕] 黒井峯遺跡 （くろいみねいせき）は、 群馬県 渋川市 中郷・北牧（旧 北群馬郡 子持村 ）にある 古墳時代 後期（ 6世紀 前半）の 遺跡 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/黒井峯遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度31分46.3秒東経139度00分08.0秒","群馬県渋川市中郷・北牧","","","","","","","","","","","","","","","","","",""
"滝沢石器時代遺跡","[滝沢石器時代遺跡（たきざわせっきじだいいせき）〔渋川市赤城町滝沢〕] 瀧沢石器時代遺跡 （たきざわせっきじだいいせき）は、 群馬県 渋川市 赤城町にある 石器時代 の集落跡である  。1927年4月8日に国史跡に指定されている  。","https://ja.wikipedia.org/wiki/滝沢石器時代遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度30分48秒 東経139度02分23秒","","","","","","","","","","","","","","","","","","",""
"水上石器時代住居跡","[水上石器時代住居跡（みなかみせっきじだいじゅうきょあと）〔利根郡みなかみ町〕] みなかみ町 （みなかみまち）は、 群馬県 利根郡 の 町 。群馬県最北端に位置し、県内で最も広い面積を持つ町域には、 水上温泉郷 や 猿ヶ京温泉 など 温泉 が多数ある。","https://ja.wikipedia.org/wiki/水上石器時代住居跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度40分42.8秒東経138度59分56.9秒","〒379-1393群馬県利根郡みなかみ町後閑318北緯36度40分42.8秒東経138度59分56.9秒﻿ / ﻿北緯36.678556度 東経138.999139度﻿ /36.678556; 138.999139座標:北緯36度40分42.8秒東経138度59分56.9秒﻿ / ﻿北緯36.678556度 東経138.999139度﻿ /36.678556; 138.999139","","","","","","","6000020104493","","","","","","","","","","",""
