"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","駅番号","備考","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"白沢駅 (鹿児島県)","白沢駅 (鹿児島県)（しらさわえき・九州旅客鉄道指宿枕崎線）","https://ja.wikipedia.org/wiki/白沢駅_(鹿児島県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯31度15分24.92秒東経130度21分24.42秒","指宿枕崎線","81.9 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","鹿児島県枕崎市白沢西町8047北緯31度15分24.92秒東経130度21分24.42秒","地上駅","1963年（昭和38年）10月31日","1面1線","","無人駅","シサ","2人/日（降車客含まず）-2015年-","4人/日-2015年-","","","","","","",""
"白沢渓谷駅","白沢渓谷駅（しらさわけいこくえき）","https://ja.wikipedia.org/wiki/白沢渓谷駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度12分57.47秒東経136度58分42.68秒","ガイドウェイバス志段味線（ゆとりーとライン）","6.0 km（大曽根起点）","名古屋ガイドウェイバス","名古屋市守山区松坂町北緯35度12分57.47秒東経136度58分42.68秒﻿ / ﻿北緯35.2159639度 東経136.9785222度﻿ /35.2159639; 136.9785222﻿ (白沢渓谷駅)座標:北緯35度12分57.47秒東経136度58分42.68秒﻿ / ﻿北緯35.2159639度 東経136.9785222度﻿ /35.2159639; 136.9785222﻿ (白沢渓谷駅)","高架駅","2001年（平成13年）3月23日[1]","2面2線","Y08","駅員無配置駅","","636人/日（降車客含まず）-2019年-","","","","","","","",""
"白滝駅","白滝駅（しらたきえき）","https://ja.wikipedia.org/wiki/白滝駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯43度53分5.08秒東経143度10分52.66秒","■石北本線","82.2 km（新旭川起点）","北海道旅客鉄道（JR北海道）","北海道紋別郡遠軽町白滝北緯43度53分5.08秒東経143度10分52.66秒","地上駅","1929年（昭和4年）8月12日","2面3線","○A45","無人駅","ラキ","","30人/日-2014年-","","","","","","",""
"白塚駅","白塚駅（しらつかえき）","https://ja.wikipedia.org/wiki/白塚駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度46分13.3秒東経136度31分56.9秒","E名古屋線","17.1 km（伊勢中川起点）","近畿日本鉄道（近鉄）","三重県津市白塚町820-2北緯34度46分13.3秒東経136度31分56.9秒﻿ / ﻿北緯34.770361度 東経136.532472度﻿ /34.770361; 136.532472座標:北緯34度46分13.3秒東経136度31分56.9秒﻿ / ﻿北緯34.770361度 東経136.532472度﻿ /34.770361; 136.532472","地上駅","1944年（昭和19年）5月8日","2面4線"," E36 ","","","839人/日（降車客含まず）-2019年-","","","","","","","",""
"白庭台駅","白庭台駅（しらにわだいえき）","https://ja.wikipedia.org/wiki/白庭台駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度43分15.88秒東経135度43分0.88秒","Cけいはんな線","15.3km（長田起点）コスモスクエアから33.2 km","近畿日本鉄道（近鉄）","奈良県生駒市白庭台六丁目11-1北緯34度43分15.88秒東経135度43分0.88秒﻿ / ﻿北緯34.7210778度 東経135.7169111度﻿ /34.7210778; 135.7169111﻿ (白庭台駅)座標:北緯34度43分15.88秒東経135度43分0.88秒﻿ / ﻿北緯34.7210778度 東経135.7169111度﻿ /34.7210778; 135.7169111﻿ (白庭台駅)","地下駅","2006年（平成18年）3月27日","2面2線"," C28 ","","シラニ","（全日）4,504人/日（降車客含まず）-2018年-","（特定日）9,339人/日-2018年-","","","","","","",""
"白糠駅","白糠駅（しらぬかえき）","https://ja.wikipedia.org/wiki/白糠駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯42度57分22.18秒東経144度04分36.76秒","■根室本線","281.1 km（滝川起点）","北海道旅客鉄道（JR北海道）","北海道白糠郡白糠町東1条南1丁目北緯42度57分22.18秒東経144度04分36.76秒","地上駅","1901年（明治34年）7月20日","2面3線","○K47","業務委託駅みどりの窓口 有","ヌカ","","82人/日-2018年-","","","","","","",""
"白浜駅","白浜駅（しらはまえき）","https://ja.wikipedia.org/wiki/白浜駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度40分33.06秒東経135度23分13.97秒","W紀勢本線（きのくに線）","275.4km（亀山起点）新宮から95.2 km","西日本旅客鉄道（JR西日本）","和歌山県西牟婁郡白浜町堅田1475北緯33度40分33.06秒東経135度23分13.97秒","地上駅","1933年（昭和8年）12月20日[1]","2面4線","","直営駅みどりの窓口有*1965年に白浜口駅から改称。","シラ","709人/日（降車客含まず）-2019年-","","","","","","","",""
"白浜の宮駅","白浜の宮駅（しらはまのみやえき）","https://ja.wikipedia.org/wiki/白浜の宮駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度47分12.62秒東経134度42分26.18秒","本線","47.6km（西代起点）大阪梅田から84.7 km","山陽電気鉄道","兵庫県姫路市白浜町塩辛町甲330-2[1]北緯34度47分12.62秒東経134度42分26.18秒﻿ / ﻿北緯34.7868389度 東経134.7072722度﻿ /34.7868389; 134.7072722﻿ (白浜の宮駅)座標:北緯34度47分12.62秒東経134度42分26.18秒﻿ / ﻿北緯34.7868389度 東経134.7072722度﻿ /34.7868389; 134.7072722﻿ (白浜の宮駅)","地上駅（橋上駅）[1]","1923年（大正12年）8月19日[1][2]","2面2線[1]","●SY 38","無人駅","","3,119人/日（降車客含まず）-2017年-","","","","","","","",""
"駒ヶ岳ロープウェイ","しらび平駅（しらびだいらえき）","https://ja.wikipedia.org/wiki/駒ヶ岳ロープウェイ#路線データ、駅一覧","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","","","","","","","","","","","","","株式会社","日本〒399-4117長野県駒ヶ根市赤穂759-489","1963年12月","陸運業","1100001021298"
"天元台高原","白布湯元駅（しらぶゆもとえき）","https://ja.wikipedia.org/wiki/天元台高原","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","","山形県米沢市大字李山12118-6","","","","","","","","","","","","","","",""
"白山駅 (香川県)","白山駅 (香川県)（しらやまえき・高松琴平電気鉄道長尾線）","https://ja.wikipedia.org/wiki/白山駅_(香川県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","■長尾線","12.8km（瓦町起点）高松築港から14.5 km","高松琴平電気鉄道","","地上駅","1912年（明治45年）4月30日","1面1線"," N14 ","無人駅","","","259人/日-2018年-","","","","","","",""
"市立体育館前停留場","市立体育館前停留場（しりつたいいくかんまえていりゅうじょう）","https://ja.wikipedia.org/wiki/市立体育館前停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","健軍線（■A系統・■B系統）","0.3km（水前寺公園起点）田崎橋から6.5 km","熊本市交通局","","地上駅","1945年（昭和20年）5月24日","2面2線","□19","","","","957人/日-2015年-","","","","","","",""
"市立病院前駅","市立病院前駅（しりつびょういんまええき・沖縄都市モノレール線）","https://ja.wikipedia.org/wiki/市立病院前駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯26度13分38.96秒東経127度42分36.29秒","■沖縄都市モノレール線（ゆいレール）","10.9 km（那覇空港起点）","沖縄都市モノレール","沖縄県那覇市字古島172-2北緯26度13分38.96秒東経127度42分36.29秒﻿ / ﻿北緯26.2274889度 東経127.7100806度﻿ /26.2274889; 127.7100806座標:北緯26度13分38.96秒東経127度42分36.29秒﻿ / ﻿北緯26.2274889度 東経127.7100806度﻿ /26.2274889; 127.7100806","高架駅","2003年（平成15年）8月10日[2][3]","1面2線","13","","","713人/日（降車客含まず）-2020年-","","","","","","","",""
"市立病院前停留場","市立病院前停留場（しりつびょういんまえていりゅうじょう・鹿児島市電唐湊線）","https://ja.wikipedia.org/wiki/市立病院前停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯31度34分32.4秒東経130度32分30.27秒","鹿児島市電唐湊線（2系統）","0.9km（鹿児島中央駅前起点）鹿児島駅前から3.8 km","鹿児島市交通局","鹿児島県鹿児島市上荒田町北緯31度34分32.4秒東経130度32分30.27秒﻿ / ﻿北緯31.575667度 東経130.5417417度﻿ /31.575667; 130.5417417﻿ (市立病院前停留場*)","地上駅","1952年6月1日","2面2線","●N14","* 2015年にたばこ産業前から改称","","","1,006人/日-2015年-","","","","","","",""
"知床斜里駅","知床斜里駅（しれとこしゃりえき）","https://ja.wikipedia.org/wiki/知床斜里駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯43度54分39秒東経144度39分42秒","■釧網本線","37.3 km（網走起点）","北海道旅客鉄道（JR北海道）","北海道斜里郡斜里町港町17北緯43度54分39秒東経144度39分42秒﻿ / ﻿北緯43.910972度 東経144.661608度﻿ /43.910972; 144.661608座標:北緯43度54分39秒東経144度39分42秒﻿ / ﻿北緯43.910972度 東経144.661608度﻿ /43.910972; 144.661608","地上駅","1925年（大正14年）11月10日","2面3線","○B72","直営駅（管理駅）みどりの窓口 有","シヤ","","248人/日-2018年-","","","","","","",""
"白井駅","白井駅（しろいえき）","https://ja.wikipedia.org/wiki/白井駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度47分5秒東経140度3分14.8秒","■北総線","17.8 km（京成高砂起点）","北総鉄道","千葉県白井市復620北緯35度47分5秒東経140度3分14.8秒座標:北緯35度47分5秒 東経140度3分14.8秒","地上駅（橋上駅）","1979年（昭和54年）3月9日","1面2線","HS10","","","","10,025人/日-2017年-","","","","","","",""
"白石駅 (熊本県)","白石駅 (熊本県)（しろいしえき・九州旅客鉄道肥薩線）","https://ja.wikipedia.org/wiki/白石駅_(熊本県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯32度18分20.72秒東経130度36分30.33秒","肥薩線","29.8 km（八代起点）","九州旅客鉄道（JR九州）","熊本県葦北郡芦北町大字白石834北緯32度18分20.72秒東経130度36分30.33秒﻿ / ﻿北緯32.3057556度 東経130.6084250度﻿ /32.3057556; 130.6084250﻿ (白石駅)","地上駅","1908年（明治41年）6月1日[1]","2面2線","","無人駅","シロ","","","","","","","","",""
"白石駅 (札幌市営地下鉄)","白石駅 (札幌市営地下鉄)（しろいしえき・札幌市営地下鉄東西線）","https://ja.wikipedia.org/wiki/白石駅_(札幌市営地下鉄)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯43度2分46.35秒東経141度23分46.57秒","札幌市営地下鉄東西線","12.7 km（宮の沢起点）","札幌市交通局","札幌市白石区東札幌2条6丁目北緯43度2分46.35秒東経141度23分46.57秒﻿ / ﻿北緯43.0462083度 東経141.3962694度﻿ /43.0462083; 141.3962694﻿ (白石駅)座標:北緯43度2分46.35秒東経141度23分46.57秒﻿ / ﻿北緯43.0462083度 東経141.3962694度﻿ /43.0462083; 141.3962694﻿ (白石駅)","地下駅","1976年（昭和51年）6月10日","1面2線","○T13","","","14,163人/日（降車客含まず）-2019年-","","","","","","","",""
"白石駅 (JR北海道)","白石駅 (JR北海道)（しろいしえき・北海道旅客鉄道函館本線）","https://ja.wikipedia.org/wiki/白石駅_(JR北海道)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯43度03分17.7秒東経141度24分49.5秒","■函館本線","292.1 km（函館起点）","北海道旅客鉄道（JR北海道）","札幌市白石区平和通3丁目北6番1号北緯43度03分17.7秒東経141度24分49.5秒﻿ / ﻿北緯43.054917度 東経141.413750度﻿ /43.054917; 141.413750座標:北緯43度03分17.7秒東経141度24分49.5秒﻿ / ﻿北緯43.054917度 東経141.413750度﻿ /43.054917; 141.413750","地上駅（橋上駅）","1903年（明治36年）4月21日","2面4線（通過線1線）","○H03","札幌市内駅直営駅（管理駅）みどりの窓口有話せる券売機設置駅[1]","シイ","8,418人/日（降車客含まず）-2019年-","","","","","","","",""
"白石駅 (宮城県)","白石駅 (宮城県)（しろいしえき・東日本旅客鉄道東北本線）","https://ja.wikipedia.org/wiki/白石駅_(宮城県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯38度00分12.61秒東経140度37分34.23秒","■東北本線","306.8 km（東京起点）","東日本旅客鉄道（JR東日本）","宮城県白石市沢目137北緯38度00分12.61秒東経140度37分34.23秒座標:北緯38度00分12.61秒 東経140度37分34.23秒","地上駅","1887年（明治20年）12月15日","2面3線","","業務委託駅みどりの窓口有","シロ","2,860人/日（降車客含まず）-2019年-","","","","","","","",""
"白石蔵王駅","白石蔵王駅（しろいしざおうえき）","https://ja.wikipedia.org/wiki/白石蔵王駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯37度59分43.96秒東経140度37分59.11秒","東北新幹線","306.8 km（東京起点）","東日本旅客鉄道（JR東日本）","宮城県白石市大鷹沢三沢字桜田11-1北緯37度59分43.96秒東経140度37分59.11秒座標:北緯37度59分43.96秒 東経140度37分59.11秒","高架駅","1982年（昭和57年）6月23日","2面3線","","直営駅（管理駅）みどりの窓口有","シサ","891人/日（降車客含まず）-2019年-","","","","","","","",""
"四郎ケ原駅","四郎ケ原駅（しろうがはらえき）","https://ja.wikipedia.org/wiki/四郎ケ原駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","■美祢線","13.2 km（厚狭起点）","西日本旅客鉄道（JR西日本）","","地上駅","1905年（明治38年）9月13日","2面2線","","無人駅","シロ","6人/日（降車客含まず）-2019年-","","","","","","","",""
