"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜"
"帖佐駅","帖佐駅（ちょうさえき）","https://ja.wikipedia.org/wiki/帖佐駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯31度43分37.02秒東経130度37分57.70秒","日豊本線","445.5 km（小倉起点）","九州旅客鉄道（JR九州）","鹿児島県姶良市東餅田2575北緯31度43分37.02秒東経130度37分57.70秒","地上駅","1926年（大正15年）4月1日","2面3線","業務委託駅","","テウ","1,622人/日（降車客含まず）-2019年-","","","","","","","",""
"銚子駅","銚子駅（ちょうしえき）","https://ja.wikipedia.org/wiki/銚子駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度43分46.9秒東経140度49分38.2秒","■総武本線[1]（JR東日本）（■成田線直通含む）","120.5[1] km（東京起点）","東日本旅客鉄道（JR東日本）銚子電気鉄道（銚子電鉄）","千葉県銚子市西芝町1438北緯35度43分46.9秒東経140度49分38.2秒座標:北緯35度43分46.9秒 東経140度49分38.2秒","地上駅[1]","1897年（明治30年）6月1日[1]","2面4線[1]","共同使用駅（JR東日本の管轄駅）直営駅（管理駅）みどりの窓口有","CD01","チヨ","（JR東日本）-2019年-3,045人/日（降車客含まず）（銚子電鉄）-2018年-384人/日（降車客含まず）","","","","","","","",""
"銚子口駅","銚子口駅（ちょうしぐちえき）","https://ja.wikipedia.org/wiki/銚子口駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯42度0分55.87秒東経140度43分14.42秒","■函館本線（砂原支線）","6.8 km（大沼起点）","北海道旅客鉄道（JR北海道）","北海道亀田郡七飯町字東大沼北緯42度0分55.87秒東経140度43分14.42秒座標:北緯42度0分55.87秒 東経140度43分14.42秒","地上駅","1945年（昭和20年）6月1日","2面2線","無人駅","○N69","シク","","","","","","","","",""
"松山城ロープウェイ","長者ヶ平駅（ちょうじゃがなるえき）","https://ja.wikipedia.org/wiki/松山城ロープウェイ","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長者ヶ浜潮騒はまなす公園前駅","長者ヶ浜潮騒はまなす公園前駅（ちょうじゃがはましおさいはまなすこうえんまええき）","https://ja.wikipedia.org/wiki/長者ヶ浜潮騒はまなす公園前駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","大洗鹿島線","48.4 km（水戸起点）","鹿島臨海鉄道","","地上駅","1990年（平成2年）11月18日","1面1線","無人駅","","","","73人/日-2018年-","","","","","","",""
"長者原駅","長者原駅（ちょうじゃばるえき）","https://ja.wikipedia.org/wiki/長者原駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度36分48.48秒東経130度28分40.16秒","JC篠栗線（福北ゆたか線）","19.4 km（桂川起点）","九州旅客鉄道（JR九州）","福岡県糟屋郡粕屋町長者原東一丁目9番1号[1]北緯33度36分48.48秒東経130度28分40.16秒﻿ / ﻿北緯33.6134667度 東経130.4778222度﻿ /33.6134667; 130.4778222座標:北緯33度36分48.48秒東経130度28分40.16秒﻿ / ﻿北緯33.6134667度 東経130.4778222度﻿ /33.6134667; 130.4778222","地上駅（橋上駅）・高架駅","1988年（昭和63年）3月13日[2]","1面2線（地上）1面1線（高架）","業務委託駅[1][2]みどりの窓口有","JC  04 ","チハ","4,069人/日（降車客含まず）-2019年-","","","","","","","",""
"長者町駅","長者町駅（ちょうじゃまちえき）","https://ja.wikipedia.org/wiki/長者町駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度17分45.1秒東経140度23分6秒","■外房線","52.1 km（千葉起点）","東日本旅客鉄道（JR東日本）","千葉県いすみ市岬町長者81北緯35度17分45.1秒東経140度23分6秒座標:北緯35度17分45.1秒 東経140度23分6秒","地上駅","1899年（明治32年）12月13日[1]","2面2線","業務委託駅","","チマ","334人/日（降車客含まず）-2019年-","","","","","","","",""
"調布駅","調布駅（ちょうふえき・京王電鉄京王線・相模原線）","https://ja.wikipedia.org/wiki/調布駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度39分6.7秒東経139度32分39.8秒","■京王線","15.5 km（新宿起点）","京王電鉄","東京都調布市布田4丁目32番地1北緯35度39分6.7秒東経139度32分39.8秒﻿ / ﻿北緯35.651861度 東経139.544389度﻿ /35.651861; 139.544389座標:北緯35度39分6.7秒東経139度32分39.8秒﻿ / ﻿北緯35.651861度 東経139.544389度﻿ /35.651861; 139.544389","地下駅","1913年（大正2年）4月15日","1面2線（地下2階）1面2線（地下3階）","","KO18","","","130,065人/日-2019年-","","","","","","",""
"長府駅","長府駅（ちょうふえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/長府駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度1分10.82秒東経130度59分59.75秒","■山陽本線","515.0 km（神戸起点）","西日本旅客鉄道（JR西日本）","山口県下関市長府松小田本町4-11北緯34度1分10.82秒東経130度59分59.75秒﻿ / ﻿北緯34.0196722度 東経130.9999306度﻿ /34.0196722; 130.9999306座標:北緯34度1分10.82秒東経130度59分59.75秒﻿ / ﻿北緯34.0196722度 東経130.9999306度﻿ /34.0196722; 130.9999306","地上駅","1901年（明治34年）5月27日","1面2線","業務委託駅","","チヨ","1,715人/日（降車客含まず）-2019年-","","","","","","","",""
"長門峡駅","長門峡駅（ちょうもんきょうえき）","https://ja.wikipedia.org/wiki/長門峡駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度18分16.43秒東経131度34分43.88秒","■山口線","32.3 km（新山口起点）","西日本旅客鉄道（JR西日本）","山口県山口市阿東生雲東分字御堂原北緯34度18分16.43秒東経131度34分43.88秒﻿ / ﻿北緯34.3045639度 東経131.5788556度﻿ /34.3045639; 131.5788556座標:北緯34度18分16.43秒東経131度34分43.88秒﻿ / ﻿北緯34.3045639度 東経131.5788556度﻿ /34.3045639; 131.5788556","地上駅","1922年（大正11年）4月29日*","1面1線","無人駅","","チモ","12人/日（降車客含まず）-2019年-","","","","","","","",""
"長陽駅","長陽駅（ちょうようえき）","https://ja.wikipedia.org/wiki/長陽駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯32度51分15.55秒東経131度0分13.87秒","高森線","","南阿蘇鉄道","熊本県阿蘇郡南阿蘇村大字河陽北緯32度51分15.55秒東経131度0分13.87秒","地上駅","1928年（昭和3年）2月12日","単式1面1線","無人駅","","ヨウ","37人/日（降車客含まず）-2015年-","75人/日-2015年-","","","","","","",""
"長楽寺駅","長楽寺駅（ちょうらくじえき）","https://ja.wikipedia.org/wiki/長楽寺駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度28分22.49秒東経132度25分51.32秒","広島新交通1号線","12.7 km（本通起点）","広島高速交通","広島市安佐南区長楽寺一丁目28-37北緯34度28分22.49秒東経132度25分51.32秒﻿ / ﻿北緯34.4729139度 東経132.4309222度﻿ /34.4729139; 132.4309222﻿ (長楽寺駅)座標:北緯34度28分22.49秒東経132度25分51.32秒﻿ / ﻿北緯34.4729139度 東経132.4309222度﻿ /34.4729139; 132.4309222﻿ (長楽寺駅)","高架駅","1994年（平成6年）8月20日[1]","1面2線","業務委託駅","","","1,559人/日（降車客含まず）-2018年-","3,005人/日-2018年-","","","","","","",""
"千代ヶ岡駅","千代ヶ岡駅（ちよがおかえき）","https://ja.wikipedia.org/wiki/千代ヶ岡駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯43度38分37.59秒東経142度27分3.81秒","■富良野線","16.6 km（旭川起点）","北海道旅客鉄道（JR北海道）","北海道旭川市西神楽1線24号北緯43度38分37.59秒東経142度27分3.81秒﻿ / ﻿北緯43.6437750度 東経142.4510583度﻿ /43.6437750; 142.4510583﻿ (千代ヶ岡駅)","地上駅","1936年（昭和11年）9月10日","2面2線","無人駅","○F35","チヨ","","40人/日-2014年-","","","","","","",""
"千代台停留場","千代台停留場（ちよがだいていりゅうじょう）","https://ja.wikipedia.org/wiki/千代台停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯41度47分2.32秒東経140度44分54.55秒","函館市電湯の川線","4.1 km（湯の川起点）","函館市企業局交通部","北海道函館市千代台町21-7先、16-23先北緯41度47分2.32秒東経140度44分54.55秒﻿ / ﻿北緯41.7839778度 東経140.7484861度﻿ /41.7839778; 140.7484861﻿ (千代台停留場)座標:北緯41度47分2.32秒東経140度44分54.55秒﻿ / ﻿北緯41.7839778度 東経140.7484861度﻿ /41.7839778; 140.7484861﻿ (千代台停留場)","地上駅（停留場）","1913年6月29日","2面2線","","DY11","","","494[1]人/日-2019年-","","","","","","",""
"千代川駅","千代川駅（ちよかわえき）","https://ja.wikipedia.org/wiki/千代川駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度2分54.69秒東経135度32分53.48秒","E山陰本線（嵯峨野線）","25.2 km（京都起点）","西日本旅客鉄道（JR西日本）","京都府亀岡市千代川町今津一丁目116-5北緯35度2分54.69秒東経135度32分53.48秒﻿ / ﻿北緯35.0485250度 東経135.5481889度﻿ /35.0485250; 135.5481889座標:北緯35度2分54.69秒東経135度32分53.48秒﻿ / ﻿北緯35.0485250度 東経135.5481889度﻿ /35.0485250; 135.5481889","地上駅","1935年（昭和10年）7月20日","2面2線","業務委託駅","JR-E13","チヨ","2,153人/日（降車客含まず）-2019年-","","","","","","","",""
"勅旨駅","勅旨駅（ちょくしえき）","https://ja.wikipedia.org/wiki/勅旨駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度53分38秒東経136度4分24秒","信楽線","12.4 km（貴生川起点）","信楽高原鐵道","滋賀県甲賀市信楽町勅旨字鳥居迫北緯34度53分38秒東経136度4分24秒﻿ / ﻿北緯34.89389度 東経136.07333度﻿ /34.89389; 136.07333座標:北緯34度53分38秒東経136度4分24秒﻿ / ﻿北緯34.89389度 東経136.07333度﻿ /34.89389; 136.07333","地上駅","1963年（昭和38年）6月1日","単式1面1線","","","チヨ","76人/日（降車客含まず）-2017年-","","","","","","","",""
"千代県庁口駅","千代県庁口駅（ちよけんちょうぐちえき）","https://ja.wikipedia.org/wiki/千代県庁口駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度36分10.08秒東経130度24分52.41秒","箱崎線","1.2km（中洲川端起点）姪浜から9.3 km","福岡市交通局","福岡市博多区千代四丁目北緯33度36分10.08秒東経130度24分52.41秒﻿ / ﻿北緯33.6028000度 東経130.4145583度﻿ /33.6028000; 130.4145583座標:北緯33度36分10.08秒東経130度24分52.41秒﻿ / ﻿北緯33.6028000度 東経130.4145583度﻿ /33.6028000; 130.4145583","地下駅","1984年（昭和59年）4月27日","1面2線","","○H03","","4,826人/日（降車客含まず）-2018年-","","","","","","","",""
"千代崎駅","千代崎駅（ちよざきえき）","https://ja.wikipedia.org/wiki/千代崎駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度51分15.67秒東経136度36分28.51秒","E名古屋線","28.7 km（伊勢中川起点）","近畿日本鉄道（近鉄）","三重県鈴鹿市岸岡町109-2北緯34度51分15.67秒東経136度36分28.51秒﻿ / ﻿北緯34.8543528度 東経136.6079194度﻿ /34.8543528; 136.6079194座標:北緯34度51分15.67秒東経136度36分28.51秒﻿ / ﻿北緯34.8543528度 東経136.6079194度﻿ /34.8543528; 136.6079194","地上駅","1916年（大正5年）1月12日","2面2線","無人駅（自動券売機有）"," E30 ","チヨ","1,367人/日（降車客含まず）-2019年-","","","","","","","",""
"千代田駅","千代田駅（ちよだえき）","https://ja.wikipedia.org/wiki/千代田駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度28分7.9秒東経135度33分59.0秒","■高野線","25.9km（汐見橋起点）難波から25.2 km","南海電気鉄道","大阪府河内長野市木戸一丁目1番13号北緯34度28分7.9秒東経135度33分59.0秒﻿ / ﻿北緯34.468861度 東経135.566389度﻿ /34.468861; 135.566389座標:北緯34度28分7.9秒東経135度33分59.0秒﻿ / ﻿北緯34.468861度 東経135.566389度﻿ /34.468861; 135.566389","地上駅（橋上駅）","1938年（昭和13年）2月11日","2面2線","","NK 68","チヨ","","","","13,435人/日-2019年-","","","","",""
"知寄町停留場","知寄町停留場（ちよりちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/知寄町停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度33分28.39秒東経133度33分41.35秒","後免線","9.1 km（後免町起点）","とさでん交通","高知県高知市知寄町二・三丁目北緯33度33分28.39秒東経133度33分41.35秒﻿ / ﻿北緯33.5578861度 東経133.5614861度﻿ /33.5578861; 133.5614861﻿ (知寄町停留場*)","地上駅","1957年（昭和32年）4月21日","2面2線","* 1987年に知寄町車庫前停留場から改称","","","","","","","","","","",""
"知寄町一丁目停留場","知寄町一丁目停留場（ちよりちょういっちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/知寄町一丁目停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度33分30.52秒東経133度33分23.14秒","後免線","9.6 km（後免町起点）","とさでん交通","高知県高知市知寄町一丁目北緯33度33分30.52秒東経133度33分23.14秒﻿ / ﻿北緯33.5584778度 東経133.5564278度﻿ /33.5584778; 133.5564278﻿ (知寄町一丁目停留場*)","地上駅","1928年（昭和3年）9月19日","2面2線","* 1938年に三条通停留場から改称","","","","","","","","","","",""
"知寄町三丁目停留場","知寄町三丁目停留場（ちよりちょうさんちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/知寄町三丁目停留場","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度33分27.13秒東経133度33分53.66秒","後免線","8.7 km（後免町起点）","とさでん交通","高知県高知市知寄町三丁目、小倉町北緯33度33分27.13秒東経133度33分53.66秒﻿ / ﻿北緯33.5575361度 東経133.5649056度﻿ /33.5575361; 133.5649056﻿ (知寄町三丁目停留場*)","地上駅","1909年（明治42年）10月30日","2面2線","* 1972年に葛島橋西詰停留場から改称","","","","","","","","","","",""
