"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","コース数","標高","標高差","索道数","公式サイト","最大傾斜","最長滑走距離","コース面積","テレインパーク","開業日","運営者","造設地形","旧名","所有者","正式名称","指定管理者","ナイター営業","面積"
"山形蔵王温泉スキー場","[蔵王温泉スキー場] 山形蔵王温泉スキー場 （やまがたざおうおんせんスキーじょう）は、 山形県 山形市 蔵王温泉に位置する スキー場 。 蔵王温泉 の 温泉街 と共に発展してきた。単独のスキー場としては日本で最大の面積を誇り、変化に富むコースが数多くあり、日本スキーのメッカであるとされ、コース幅、ゲレンデの広さ、宿泊施設の充実さから学生のスキー実習にも多く利用されている。 安比高原 と共に東北を代表するスキー場でもある。 1925年 （大正14年）開場（ただし、最初のリフト架設は1951年）。12月の第1／第2土曜日にスキー場開きが行われる。 コース・ゲレンデが山頂から扇形に広がっているため、最下層のゲレンデ間は直接移動できない箇所が多く、バス等で移動するか、リフト等で分岐点まで登る必要がある。 利用客向けの駐車場は最下層ゲレンデにしかない。 標高が比較的高い位置にも初心者コースやホテルがあるため、本州のスキー場としては雪質が良いとされ、スキー場全体の営業期間も長くなる傾向がある。","https://ja.wikipedia.org/wiki/山形蔵王温泉スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度10分13.9秒東経140度24分6.2秒","〒990-2301山形県山形市蔵王温泉川原708-1","26本","1,661 m - 780 m","881 m","41本","山形蔵王温泉スキー場ガイド","38度","9,000 m","186 ha","","","","","","","","","",""
"湯殿山スキー場","[湯殿山スキー場] 湯殿山 （ゆどのさん）は、 山形県 鶴岡市 及び同県 西村山郡 西川町 にある、標高1,500mの山  。 月山 、 羽黒山 と共に 出羽三山 の1つとして、 修験道 の霊場でもある。","https://ja.wikipedia.org/wiki/湯殿山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯38度31分51秒東経139度59分05秒","日本山形県鶴岡市・西村山郡西川町","","1,500m","","","","","","","","","","","","","","","",""
"横根スキー場","[横根スキー場] 小国町横根スキー場 （おぐにまちよこねスキーじょう）は、 山形県 西置賜郡 小国町 にある スキー場 。","https://ja.wikipedia.org/wiki/横根スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","山形県西置賜郡小国町大字小国小坂町616-1","2本","356 m - 136 m","220 m","2本","","","1000 m","","キッカー、ハーフパイプ","","","","","","","","",""
"米沢スキー場","[米沢スキー場] 米沢スキー場 （よねざわスキーじょう、Yonezawa Snow World）は、 山形県 米沢市 にある スキー場 。","https://ja.wikipedia.org/wiki/米沢スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","山形県米沢市万世町刈安栃平道下","8本","800 m - 475 m","325 m","","http://www.yonezawa-ski.co.jp/","32度","","","","","","","","","","","",""
"会津坂下町営スキー場 (存在しないページ)","[会津坂下町営スキー場（廃止）]","https://ja.wikipedia.org/w/index.php?title=会津坂下町営スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"会津東山おおすごスキー場 (存在しないページ)","[会津東山おおすごスキー場（廃止）]","https://ja.wikipedia.org/w/index.php?title=会津東山おおすごスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"アルツ磐梯スキー場","[星野リゾート　アルツ磐梯] 星野リゾート アルツ磐梯 （ほしのリゾート アルツばんだい）は、 福島県 耶麻郡 磐梯町 にある スキー場 。 磐梯山 周辺にあるスキー場の一つであり、121haという広大なゲレンデを有する。コース数は福島県下で最多の29本だった。 星野リゾート 傘下の磐梯リゾート開発株式会社が経営する。","https://ja.wikipedia.org/wiki/アルツ磐梯スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度35分8.7秒東経140度2分0.5秒","福島県耶麻郡磐梯町更科清水平6838-68","29本","1,280 m - 700 m","580 m","8本","星野リゾート アルツ磐梯","33度","3,000 m","121 ha","キッカー、レール、ボックスパイプ、ウェーブ、テーブル","","","","","","","","",""
"猪苗代スキー場","[猪苗代スキー場] 猪苗代スキー場 （いなわしろスキーじょう）は、 福島県 耶麻郡 猪苗代町 葉山にある スキー場 。コース幅の広い開放的なゲレンデから眺める猪苗代町の中心地や湖の絶景が美しい。","https://ja.wikipedia.org/wiki/猪苗代スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度34分31.7秒東経140度5分41秒","福島県耶麻郡猪苗代町葉山7105","18本","1,255 m - 675 m","580 m","9本","猪苗代スキー場","42度","3,550 m","103 ha","パイプ、キッカー、レールボックス、テーブル","","","","","","","","",""
"猪苗代リゾートスキー場 (存在しないページ)","[猪苗代リゾートスキー場]","https://ja.wikipedia.org/w/index.php?title=猪苗代リゾートスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"裏磐梯スキー場 (存在しないページ)","[裏磐梯スキー場]","https://ja.wikipedia.org/w/index.php?title=裏磐梯スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"グランデコスノーリゾート","[グランデコスノーリゾート] グランデコスノーリゾート は、 福島県 北塩原村 にある 西吾妻山 の支峰である西大巓の南斜面側に広がる 東急不動産 系の スキー場 である。","https://ja.wikipedia.org/wiki/グランデコスノーリゾート","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度42分30秒東経140度7分30秒","〒969-2701福島県耶麻郡北塩原村桧原荒砂沢山湯本塩原字前黒","10本","1590 m - 1010 m","580 m","5本","grandeco.com","23度","4000 m","58 ha","パイプ、ウェーブテーブル、スパインボックス、レール","1992年","","西吾妻山: 西大巓","","","","","",""
"沼尻スキー場","[沼尻スキー場] 沼尻スキー場 （ぬまじりスキーじょう）は、 福島県 耶麻郡 猪苗代町 に位置する スキー場 である。 1915年 （大正4年）12月に開場。東北地方では現存する最古のスキー場である  。","https://ja.wikipedia.org/wiki/沼尻スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度37分25秒東経140度13分50秒","〒969-2752福島県耶麻郡猪苗代町大字蚕養字沼尻山甲2855-434","13本","1,220 m - 850 m","370 m","6本","www.numajiri-ski.jp/","30度","2,500 m","ゲレンデ面積 33 ha","パイプ、キッカー、レールテーブル","1915年（大正4年）12月","株式会社オーディエンスサービス (2019年時点)","安達太良山","","","","","",""
"ファミリースノーパークばんだい×2 (存在しないページ)","[ファミリースノーパークばんだい×2]","https://ja.wikipedia.org/w/index.php?title=ファミリースノーパークばんだい×2&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"星野リゾート 猫魔スキー場","[星野リゾート　猫魔スキー場] 星野リゾート 猫魔スキー場 （ほしのりぞーと ねこまスキーじょう）は、 福島県 耶麻郡 北塩原村 にある スキー場 である。 星野リゾート 傘下の磐梯リゾート開発株式会社が運営している。","https://ja.wikipedia.org/wiki/星野リゾート_猫魔スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度37分27秒東経140度2分0秒","福島県耶麻郡北塩原村猫魔山1163","11本","1,338 m - 1,027 m","311 m","8本","www.nekoma.co.jp","33度","2,100 m","68 ha","","1986年12月","","猫魔ヶ岳","","","","","",""
"三ノ倉スキー場","[三ノ倉スキー場] 三ノ倉スキー場 （さんのくらスキーじょう）は、 福島県 喜多方市 にある スキー場 。","https://ja.wikipedia.org/wiki/三ノ倉スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","福島県喜多方市熱塩加納町相田字北権現森甲857-1","","780 m - 570 m","210 m","2本","","","","","","","","","","","","","",""
"箕輪スキー場","[箕輪スキー場] 箕輪スキー場 （みのわスキーじょう）は、 福島県 耶麻郡 猪苗代町 に位置する スキー場 である。","https://ja.wikipedia.org/wiki/箕輪スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度39分1.4秒東経140度15分21.3秒","福島県耶麻郡猪苗代町横向","13本","1,500 m - 1,050 m","450 m","3本","Blue Resort MINOWA 箕輪スキー場","34度","2,200 m","27 ha","","","","","","","","","",""
"横向温泉スキー場 (存在しないページ)","[横向温泉スキー場]","https://ja.wikipedia.org/w/index.php?title=横向温泉スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"リステルスキーファンタジア","[リステルスキーファンタジア] リステルスキーファンタジア は、ホテルリステル猪苗代に併設されている スキー場 。所在地は 福島県 耶麻郡 猪苗代町 。","https://ja.wikipedia.org/wiki/リステルスキーファンタジア","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯37度32分35秒東経140度08分59秒","福島県耶麻郡猪苗代町大字川桁字天王坂2414","6本","871 m - 598 m","273 m","3本","リステルスキーファンタジア","37度","1,500 m","14 ha","なし","1986年","長治観光","","","","","","",""
"会津高原だいくらスキー場","[会津高原だいくらスキー場] 会津高原だいくらスキー場 （あいづこうげんだいくらスキーじょう）は、福島県 南会津町 にある南会津町営のスキー場である。正式名称は 南会津町会津高原だいくらスキー場  。 指定管理者制度 に基づき、町が出資する 第三セクター の「みなみやま観光株式会社」が管理・運営している。","https://ja.wikipedia.org/wiki/会津高原だいくらスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","福島県南会津郡南会津町針生字昼滝山1951","11本","","","5本","","","","","","","","","","","","","",""
"会津高原たかつえスキー場","[会津高原たかつえスキー場] 会津高原・たかつえスキーリゾート&ホテルズ （あいづこうげん-）は、 福島県 南会津町 などが出資する 第三セクター の リゾート 会社 会津高原リゾート株式会社 が運営するスキー場およびリゾートホテル。本社は福島県 南会津郡 南会津町にある。","https://ja.wikipedia.org/wiki/会津高原たかつえスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
