"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","種類","管理者","漁港番号","開港","公式サイト","漁業協同組合"," • 合計","統計年度","都道府県","等時帯","郵便番号","市外局番","ナンバープレート","市町村","総陸揚量","陸揚金額","標高"
"寒風沢漁港 (存在しないページ)","[寒風沢漁港（さぶさわ - ）塩竈市（寒風沢島）]","https://ja.wikipedia.org/w/index.php?title=寒風沢漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"菖蒲田漁港 (存在しないページ)","[菖蒲田漁港（しょうぶた - ）宮城郡七ヶ浜町]","https://ja.wikipedia.org/w/index.php?title=菖蒲田漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松ヶ浜漁港 (存在しないページ)","[松ヶ浜漁港（まつがはま - ）宮城郡七ヶ浜町]","https://ja.wikipedia.org/w/index.php?title=松ヶ浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"深沼漁港 (存在しないページ)","[深沼漁港（ふかぬま - ）仙台市]","https://ja.wikipedia.org/w/index.php?title=深沼漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"磯浜漁港 (存在しないページ)","[磯浜漁港（いそはま - ）亘理郡山元町]","https://ja.wikipedia.org/w/index.php?title=磯浜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鮎川漁港 (存在しないページ)","[鮎川漁港（あゆかわ - ）石巻市]","https://ja.wikipedia.org/w/index.php?title=鮎川漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"船川港","[椿(船川港)漁港（つばき（ふなかわみなと） - ）男鹿市] 船川港 （ふなかわこう、ふながわこう、ふなかわみなと）は、 秋田県 男鹿市 にある 港湾 で、男鹿市中心部に近い船川地区に位置する。港湾管理者は秋田県、 重要港湾 に指定されている。","https://ja.wikipedia.org/wiki/船川港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","北緯39度52分49.76秒東経139度51分32.10秒","日本","秋田県男鹿市","重要港湾","秋田県","","","","","","2010年","","","","","","","","",""
"岩館漁港 (存在しないページ)","[岩館漁港（いわだて - ）山本郡八峰町]","https://ja.wikipedia.org/w/index.php?title=岩館漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八森漁港 (存在しないページ)","[八森漁港（はちもり - ）山本郡八峰町]","https://ja.wikipedia.org/w/index.php?title=八森漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"畠漁港 (存在しないページ)","[畠漁港（はたけ - ）男鹿市]","https://ja.wikipedia.org/w/index.php?title=畠漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平沢漁港 (存在しないページ)","[平沢漁港（ひらさわ - ）にかほ市]","https://ja.wikipedia.org/w/index.php?title=平沢漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金浦漁港 (秋田県) (存在しないページ)","[金浦漁港（このうら - ）にかほ市]","https://ja.wikipedia.org/w/index.php?title=金浦漁港_(秋田県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"象潟漁港 (存在しないページ)","[象潟漁港（きさかた - ）にかほ市]","https://ja.wikipedia.org/w/index.php?title=象潟漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"若美漁港 (存在しないページ)","[若美漁港（わかみ - ）男鹿市]","https://ja.wikipedia.org/w/index.php?title=若美漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"加茂漁港 (秋田県) (存在しないページ)","[加茂漁港（かも - ）男鹿市]","https://ja.wikipedia.org/w/index.php?title=加茂漁港_(秋田県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"門前漁港 (存在しないページ)","[門前漁港（もんぜん - ）男鹿市]","https://ja.wikipedia.org/w/index.php?title=門前漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"脇本漁港 (存在しないページ)","[脇本漁港（わきもと - ）男鹿市]","https://ja.wikipedia.org/w/index.php?title=脇本漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"船越漁港 (秋田県) (存在しないページ)","[船越漁港（ふなこし - ）男鹿市]","https://ja.wikipedia.org/w/index.php?title=船越漁港_(秋田県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"五里合漁港 (存在しないページ)","[五里合漁港（いりあい - ）男鹿市]","https://ja.wikipedia.org/w/index.php?title=五里合漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"湯之尻漁港 (存在しないページ)","[湯之尻漁港（ゆのしり - ）男鹿市]","https://ja.wikipedia.org/w/index.php?title=湯之尻漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"潟上漁港 (存在しないページ)","[潟上漁港（かたがみ - ）潟上市]","https://ja.wikipedia.org/w/index.php?title=潟上漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"道川漁港 (存在しないページ)","[道川漁港（みちかわ - ）由利本荘市]","https://ja.wikipedia.org/w/index.php?title=道川漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松ヶ崎漁港 (秋田県) (存在しないページ)","[松ヶ崎漁港（まつがさき - ）由利本荘市]","https://ja.wikipedia.org/w/index.php?title=松ヶ崎漁港_(秋田県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本荘漁港 (存在しないページ)","[本荘漁港（ほんじょう - ）由利本荘市]","https://ja.wikipedia.org/w/index.php?title=本荘漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西目漁港 (存在しないページ)","[西目漁港（にしめ - ）由利本荘市]","https://ja.wikipedia.org/w/index.php?title=西目漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小砂川漁港 (存在しないページ)","[小砂川漁港（こさがわ - ）にかほ市]","https://ja.wikipedia.org/w/index.php?title=小砂川漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八郎湖漁港 (存在しないページ)","[八郎湖漁港（はちろうこ - ）南秋田郡八郎潟町]","https://ja.wikipedia.org/w/index.php?title=八郎湖漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北浦漁港 (秋田県) (存在しないページ)","[北浦漁港（きたうら - ）男鹿市]","https://ja.wikipedia.org/w/index.php?title=北浦漁港_(秋田県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"由良漁港 (山形県)","[由良漁港（ゆら - ）鶴岡市] 由良漁港 （ゆらぎょこう）は、 山形県 鶴岡市 由良にある第2種 漁港 である。","https://ja.wikipedia.org/wiki/由良漁港_(山形県)","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"堅苔沢漁港","[堅苔沢漁港（かたのりざわ - ）鶴岡市] 堅苔沢漁港 （かたのりさわぎょこう）は、 山形県 鶴岡市 堅苔沢にある第2種 漁港 である。","https://ja.wikipedia.org/wiki/堅苔沢漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"女鹿漁港 (存在しないページ)","[女鹿漁港（めが - ）飽海郡遊佐町]","https://ja.wikipedia.org/w/index.php?title=女鹿漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吹浦漁港","[吹浦漁港（ふくら - ）飽海郡遊佐町] 吹浦漁港 （ふくらぎょこう）は、 山形県 飽海郡 遊佐町 吹浦にある第1種 漁港 である。","https://ja.wikipedia.org/wiki/吹浦漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"油戸漁港 (存在しないページ)","[油戸漁港（あぶらと - ）鶴岡市]","https://ja.wikipedia.org/w/index.php?title=油戸漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三瀬漁港 (存在しないページ)","[三瀬漁港（さんぜ - ）鶴岡市]","https://ja.wikipedia.org/w/index.php?title=三瀬漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小波渡漁港 (存在しないページ)","[小波渡漁港（こばと - ）鶴岡市]","https://ja.wikipedia.org/w/index.php?title=小波渡漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鈴漁港 (存在しないページ)","[鈴漁港（すず - ）鶴岡市]","https://ja.wikipedia.org/w/index.php?title=鈴漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"暮坪漁港 (存在しないページ)","[暮坪漁港（くれつぼ - ）鶴岡市]","https://ja.wikipedia.org/w/index.php?title=暮坪漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"米子漁港 (存在しないページ)","[米子漁港（よなご - ）鶴岡市]","https://ja.wikipedia.org/w/index.php?title=米子漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"温福漁港 (存在しないページ)","[温福漁港（おんぷく - ）鶴岡市]","https://ja.wikipedia.org/w/index.php?title=温福漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大岩川漁港 (存在しないページ)","[大岩川漁港（おおいわがわ - ）鶴岡市]","https://ja.wikipedia.org/w/index.php?title=大岩川漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
