"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","面積","地方","総人口","都道府県","外部リンク","法人番号","人口密度","市町村コード","隣接自治体","市長","市の花","市の木","郡","町長","町の木","町の花","市の鳥"
"千曲市","[千曲市（文化・自然・保養） -姨捨山（歌枕、景勝地、棚田）、あんずの里（森のあんず）、戸倉上山田温泉（小石の湯）。] 千曲市 （ちくまし）は、 長野県 の北部、 北信地方 の 千曲川 中流域に位置する人口約6万人の 市 。","https://ja.wikipedia.org/wiki/千曲市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度31分50.51秒東経138度6分53.66秒","日本","〒387-0011長野県千曲市大字杭瀬下2丁目1番地北緯36度31分50.51秒東経138度6分53.66秒﻿ / ﻿北緯36.5306972度 東経138.1149056度﻿ /36.5306972; 138.1149056座標:北緯36度31分50.51秒東経138度6分53.66秒﻿ / ﻿北緯36.5306972度 東経138.1149056度﻿ /36.5306972; 138.1149056千曲市役所","119.79km2","中部地方、甲信越地方、信越地方","58,675人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","2000020202185","490人/km2","20218-5","長野市、上田市、東筑摩郡麻績村、筑北村、埴科郡坂城町","小川修一","アンズ、セツブンソウ","アンズ","","","","",""
"上田市","[上田（文化・歴史遺産・自然） -菅平高原、上田城、塩田平の社寺、別所温泉、丸子温泉郷（鹿教湯温泉・霊泉寺温泉・大塩温泉）など。] 上田市 （うえだし）は、 長野県 の東部（ 東信地方 ）にある市である。東信地方および 上田地域 の中心都市で、長野県内では 長野市 、 松本市 に次ぐ3番目の規模の都市である。","https://ja.wikipedia.org/wiki/上田市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度24分6.8秒東経138度14分56.7秒","日本","〒386-8601長野県上田市大手一丁目11番16号北緯36度24分6.8秒東経138度14分56.7秒﻿ / ﻿北緯36.401889度 東経138.249083度﻿ /36.401889; 138.249083座標:北緯36度24分6.8秒東経138度14分56.7秒﻿ / ﻿北緯36.401889度 東経138.249083度﻿ /36.401889; 138.249083上田市役所 本庁舎","552.04km2","中部地方、甲信越地方、信越地方","152,077人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","2000020202037","275人/km2","20203-7","東御市、松本市、須坂市、長野市、千曲市、小県郡長和町、青木村、埴科郡坂城町、北佐久郡立科町、東筑摩郡筑北村群馬県吾妻郡嬬恋村","土屋陽一","サクラ","","","","","",""
"松本市","[安曇・奈川・梓川・四賀地区を除く松本（歴史遺産・自然・保養地・文化） -松本城（国宝天守・国史跡）、旧開智学校、サイトウ・キネン・フェスティバル松本、中町、浅間温泉、美ヶ原温泉、美ヶ原、ドラマのロケ地。] 松本市 （まつもとし）は、 長野県 中信地方 に位置する 市 である。 中核市 、 国際会議観光都市 に指定されている。","https://ja.wikipedia.org/wiki/松本市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度14分16.8秒東経137度58分19.1秒","日本","〒390-8620長野県松本市丸の内3番7号北緯36度14分16.8秒東経137度58分19.1秒﻿ / ﻿北緯36.238000度 東経137.971972度﻿ /36.238000; 137.971972座標:北緯36度14分16.8秒東経137度58分19.1秒﻿ / ﻿北緯36.238000度 東経137.971972度﻿ /36.238000; 137.971972松本市役所庁舎","978.47km2","中部地方、甲信越地方、信越地方","238,971人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","2000020202029","244人/km2","20202-9","塩尻市、安曇野市、大町市、岡谷市、上田市、諏訪郡下諏訪町、東筑摩郡山形村、朝日村、筑北村、小県郡長和町、青木村、木曽郡木曽町、木祖村岐阜県高山市","臥雲義尚","れんげつつじ","あかまつ","","","","",""
"穂高岳","[松本市安曇地区（自然・保養） -穂高岳・焼岳など北アルプス、上高地（大正池、明神池など）、白骨温泉などの温泉、乗鞍高原（スキー場、のりくら温泉郷）。] 穂高岳 （ほたかだけ）は、 中部山岳国立公園  の 飛驒山脈 にある 標高 3,190 m の 山 （奥穂高岳）を主峰とする山々の総称。 日本第3位 の高峰。 日本百名山  、 新日本百名山  及び 花の百名山  に選定されている。これらの山々は 穂高連峰 とも称され、 槍ヶ岳 とともに 槍・穂高連峰 とも称される  。","https://ja.wikipedia.org/wiki/穂高岳","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度17分21秒東経137度38分53秒","","長野県松本市、岐阜県高山市","","","","","","","","","","","","","","","","",""
"安曇野市","[安曇野市・松川村・池田町・松本市梓川の安曇野地区（文化・農村風景） - 安曇野ちひろ美術館などの各種の美術館、大王わさび農場などの安曇野わさび田湧水群や、水田・そば畑の田園風景、田園風景の中の道祖神。] 安曇野市 （あづみのし）は、 長野県 中部（ 中信地方 ）の 市 。","https://ja.wikipedia.org/wiki/安曇野市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度18分14秒東経137度54分20秒","日本","〒399-8281長野県安曇野市豊科6000番地北緯36度18分14秒東経137度54分20秒﻿ / ﻿北緯36.30389度 東経137.90556度﻿ /36.30389; 137.90556座標:北緯36度18分14秒東経137度54分20秒﻿ / ﻿北緯36.30389度 東経137.90556度﻿ /36.30389; 137.90556安曇野市役所庁舎","331.78km2","中部地方、甲信越地方、信越地方","93,650人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","6000020202207","282人/km2","20220-7","松本市、大町市、北安曇郡池田町、松川村、東筑摩郡筑北村、生坂村","宮澤宗弘","ワサビ","ケヤキ","","","","",""
"白馬村","[白馬・小谷（保養地） - 避暑地、スキー場、温泉。] 白馬村 （はくばむら）は、 長野県 の北西部に位置する 北安曇郡 の 村 である。 北アルプス の麓にあり、冬は スキー 、夏は 登山 の観光客が訪れ、 避暑地 として知られる。単体のスキー場としては国内最大規模の 八方尾根スキー場 があり、 長野オリンピック の会場にもなった。","https://ja.wikipedia.org/wiki/白馬村","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度41分53秒東経137度51分42.9秒","日本","〒399-9393長野県北安曇郡白馬村大字北城7025北緯36度41分53秒東経137度51分42.9秒﻿ / ﻿北緯36.69806度 東経137.861917度﻿ /36.69806; 137.861917座標:北緯36度41分53秒東経137度51分42.9秒﻿ / ﻿北緯36.69806度 東経137.861917度﻿ /36.69806; 137.861917","189.36km2（境界未定部分あり）","中部地方、甲信越地方、信越地方","8,485人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","7000020204854","44.8人/km2","20485-4","小谷村、長野市、大町市、上水内郡小川村富山県：黒部市、下新川郡朝日町新潟県：糸魚川市","","","","北安曇郡","","","",""
"軽井沢町","[軽井沢（保養地） - 避暑地、別荘地。国際観光文化都市。] 軽井沢町 （かるいざわまち）は、 長野県 東信地方 の 町 。 北佐久郡 に属し、 浅間山 南麓に位置する。","https://ja.wikipedia.org/wiki/軽井沢町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度20分54.3秒東経138度35分49.3秒","日本","〒389-0192長野県北佐久郡軽井沢町大字長倉2381-1北緯36度20分54.3秒東経138度35分49.3秒﻿ / ﻿北緯36.348417度 東経138.597028度﻿ /36.348417; 138.597028座標:北緯36度20分54.3秒東経138度35分49.3秒﻿ / ﻿北緯36.348417度 東経138.597028度﻿ /36.348417; 138.597028軽井沢町役場","156.03km2","中部地方、甲信越地方、信越地方","19,665人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","8000020203211","126人/km2","20321-1","佐久市、北佐久郡御代田町群馬県：高崎市、安中市、甘楽郡下仁田町、吾妻郡長野原町、嬬恋村","","","","北佐久郡","藤巻進","コブシ","サクラソウ",""
"駒ヶ根市","[駒ヶ根・宮田（自然） -木曽駒ヶ岳（千畳敷カール）] 駒ヶ根市 （こまがねし）は、 長野県 南部（ 南信地方 ）の 市 。","https://ja.wikipedia.org/wiki/駒ヶ根市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度43分43.6秒東経137度56分1.9秒","日本","〒399-4192長野県駒ヶ根市赤須町20番1号北緯35度43分43.6秒東経137度56分1.9秒﻿ / ﻿北緯35.728778度 東経137.933861度﻿ /35.728778; 137.933861座標:北緯35度43分43.6秒東経137度56分1.9秒﻿ / ﻿北緯35.728778度 東経137.933861度﻿ /35.728778; 137.933861","165.86km2（境界未定部分あり）","中部地方、甲信越地方、信越地方","31,711人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","5000020202100","191人/km2","20210-0","伊那市、上伊那郡飯島町、中川村、宮田村、木曽郡上松町、大桑村、下伊那郡大鹿村","伊藤祐三","スズラン","アカマツ","","","","",""
"飯田市","[飯田（自然・保養） -天竜峡（天竜舟下り）、天竜峡温泉。] 飯田市 （いいだし）は、 長野県 南部に位置する 市 である。","https://ja.wikipedia.org/wiki/飯田市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度30分54秒東経137度49分17秒","日本","〒395-8501長野県飯田市大久保町2534北緯35度30分54秒東経137度49分17秒﻿ / ﻿北緯35.51500度 東経137.82139度﻿ /35.51500; 137.82139座標:北緯35度30分54秒東経137度49分17秒﻿ / ﻿北緯35.51500度 東経137.82139度﻿ /35.51500; 137.82139飯田市役所庁舎","658.66km2","中部地方、甲信越地方、信越地方","96,216人（推計人口、2021年6月1日）","長野県","飯田市","2000020202053","146人/km2","20205-3","下伊那郡松川町、高森町、阿智村、下條村、泰阜村、天龍村、喬木村、豊丘村、大鹿村、木曽郡南木曽町、大桑村、上伊那郡飯島町静岡県：静岡市、浜松市、榛原郡川根本町","佐藤健","ミツバツツジ","りんご","","","","",""
"阿智村","[阿智（保養） -昼神温泉、ヘブンスそのはらなど園原地区の観光施設、治部坂高原などのスキー場。] 阿智村 （あちむら）は、 長野県 下伊那郡 の西部に位置する 村 。","https://ja.wikipedia.org/wiki/阿智村","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度26分37.7秒東経137度44分51.1秒","日本","〒395-0303長野県下伊那郡阿智村大字駒場483番地北緯35度26分37.7秒東経137度44分51.1秒﻿ / ﻿北緯35.443806度 東経137.747528度﻿ /35.443806; 137.747528座標:北緯35度26分37.7秒東経137度44分51.1秒﻿ / ﻿北緯35.443806度 東経137.747528度﻿ /35.443806; 137.747528","214.43km2","中部地方、甲信越地方、信越地方","5,997人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","4000020204072","28人/km2","20407-2","飯田市、木曽郡南木曽町、下伊那郡阿南町、平谷村、下條村岐阜県中津川市","","","","下伊那郡","","","",""
"木曽町","[木曽町・王滝・木祖（自然・保養） -御嶽山、開田高原、スキー場。] 木曽町 （きそまち）は、 長野県 木曽郡 中央部にある 町 。「 日本で最も美しい村連合 」の一つ。","https://ja.wikipedia.org/wiki/木曽町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度50分33.1秒東経137度41分29.6秒","日本","〒397-8588長野県木曽郡木曽町福島2326番地6北緯35度50分33.1秒東経137度41分29.6秒﻿ / ﻿北緯35.842528度 東経137.691556度﻿ /35.842528; 137.691556座標:北緯35度50分33.1秒東経137度41分29.6秒﻿ / ﻿北緯35.842528度 東経137.691556度﻿ /35.842528; 137.691556","476.03km2","中部地方、甲信越地方、信越地方","10,363人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","1000020204323","21.8人/km2","20432-3","松本市、塩尻市、伊那市、木曽郡上松町、木祖村、王滝村、上伊那郡宮田村岐阜県：高山市、下呂市","","","","木曽郡","原久仁男","","",""
"塩尻市","[塩尻市楢川地区（町並・歴史遺産・文化） - 中山道奈良井宿、木曽漆器関係。] 塩尻市 （しおじりし）は、 長野県 中部（ 中信地方 ）の 市 である。県央部における 交通 の要衝となっている。","https://ja.wikipedia.org/wiki/塩尻市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯36度6分53.9秒東経137度57分12.4秒","日本","〒399-0786長野県塩尻市大門七番町3番3号北緯36度6分53.9秒東経137度57分12.4秒﻿ / ﻿北緯36.114972度 東経137.953444度﻿ /36.114972; 137.953444座標:北緯36度6分53.9秒東経137度57分12.4秒﻿ / ﻿北緯36.114972度 東経137.953444度﻿ /36.114972; 137.953444","289.98km2（境界未定部分あり）","中部地方、甲信越地方、信越地方","65,996人（推計人口、2021年6月1日）","長野県","公式ウェブサイト","3000020202151","228人/km2","20215-1","松本市、岡谷市、伊那市、上伊那郡辰野町、南箕輪村、木曽郡木曽町、木祖村、東筑摩郡朝日村","小口利幸","キキョウ","イチイ","","","","",""
