"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","築造時期","規模","形状","史跡","出土品","地図","埋葬施設","所属","被葬者","特記事項","別名","有形文化財","外部リンク","国","都道府県","面積","地方"
"天文台構内古墳","[天文台構内古墳（三鷹市、上円下方墳）] 天文台構内古墳は、 江戸時代 後期の地誌『 新編武蔵風土記稿 』と『 武蔵名勝図会 』の、 多摩郡 世田谷領大沢村の項に 富士塚 として記載されており  、当時は富士塚として利用されていたことが明らかになっている。また当時は 女人禁制 で婦女子が登ることが禁じられており、その昔、 甲府殿 の 鷹場 の御立場として利用されたという 言い伝え があるとの記述もある  。","https://ja.wikipedia.org/wiki/天文台構内古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度40分26.6秒東経139度32分20.1秒","東京都三鷹市大沢2丁目","北緯35度40分26.6秒東経139度32分20.1秒﻿ / ﻿北緯35.674056度 東経139.538917度﻿ /35.674056; 139.538917","7世紀第三四半期","第一段一辺27～28m　第二段直径18m、高さ2.2m","上円下方墳","","土師器、須恵器","天文台構内古墳","複室構造横穴式石室","","","","","","","","","",""
"出山横穴墓群","[出山横穴墓群（三鷹市、横穴墓、8号墓は都史跡）] 出山横穴墓群 （でやまおうけつぼぐん）とは、 東京都 三鷹市 にある 横穴墓 群である。出山横穴墓群8号墓は 1994年 （ 平成 6年）3月、東京都の史跡に指定されている。","https://ja.wikipedia.org/wiki/出山横穴墓群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西谷戸横穴墓群 (存在しないページ)","[西谷戸横穴墓群（町田市、横穴墓、都史跡）]","https://ja.wikipedia.org/w/index.php?title=西谷戸横穴墓群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"下三輪玉田谷戸横穴墓群 (存在しないページ)","[下三輪玉田谷戸横穴墓群（町田市、横穴墓、都史跡）]","https://ja.wikipedia.org/w/index.php?title=下三輪玉田谷戸横穴墓群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"坂西横穴墓群 (存在しないページ)","[坂西横穴墓群（日野市、横穴墓、都史跡）]","https://ja.wikipedia.org/w/index.php?title=坂西横穴墓群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"兜塚古墳 (狛江市) (存在しないページ)","[兜塚古墳（狛江市、円墳、都史跡）]","https://ja.wikipedia.org/w/index.php?title=兜塚古墳_(狛江市)&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"亀塚古墳 (狛江市) (存在しないページ)","[亀塚古墳（狛江市、帆立貝式古墳）]","https://ja.wikipedia.org/w/index.php?title=亀塚古墳_(狛江市)&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大塚古墳 (あきる野市) (存在しないページ)","[大塚古墳（あきる野市、方墳、都旧跡）]","https://ja.wikipedia.org/w/index.php?title=大塚古墳_(あきる野市)&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"瀬戸岡古墳群 (存在しないページ)","[瀬戸岡古墳群（あきる野市、都史跡）]","https://ja.wikipedia.org/w/index.php?title=瀬戸岡古墳群&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"加瀬台古墳群","[加瀬台古墳群（別名・夢見ヶ崎古墳群、川崎市幸区南加瀬・北加瀬）白山古墳（川崎市幸区、前方後円墳、全長87メートル、京都府椿井大塚山古墳と同じ鋳型で造られた三角縁神獣鏡出土）第六天古墳（川崎市幸区）] 加瀬台古墳群は、平野部に独立した加瀬山（夢見ヶ崎）という標高30メートルほどの細長い台地上にある。本来11基の古墳（または古墳と思われる塚）が存在したが、そのうちいくつかは開発などにより破壊された。現在の加瀬山は 夢見ヶ崎動物公園 になっているが、園内に7基が残る  。加瀬山は古墳のほかに 南加瀬貝塚 も発見されており、歴史豊かな場所であった  。","https://ja.wikipedia.org/wiki/加瀬台古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度32分59.0秒東経139度39分53.7秒","神奈川県川崎市幸区南加瀬・北加瀬","北緯35度32分59.0秒東経139度39分53.7秒﻿ / ﻿北緯35.549722度 東経139.664917度﻿ /35.549722; 139.664917座標:北緯35度32分59.0秒東経139度39分53.7秒﻿ / ﻿北緯35.549722度 東経139.664917度﻿ /35.549722; 139.664917","4世紀後半から7世紀後半","前方後円墳1基、円墳5基、方墳1基、無墳丘横穴式石室1基、不明3基","","","三角縁神獣鏡、珠文鏡、刀剣ほか（白山古墳）","加瀬台古墳群神奈川県内の位置","","","","","加瀬山古墳群、夢見ヶ崎古墳群","","","","","",""
"白山古墳","[白山古墳（川崎市幸区、前方後円墳、全長87メートル、京都府椿井大塚山古墳と同じ鋳型で造られた三角縁神獣鏡出土）] 白山古墳は 多摩川 と 鶴見川 に挟まれた、「加瀬山」と呼ばれる標高約33 m の台地の東端に造られた。全長87m、後円部径42m、同高10m、前方部幅37m、同高5mを測る。","https://ja.wikipedia.org/wiki/白山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度33分00.8秒東経139度39分38.0秒","神奈川県川崎市幸区南加瀬","北緯35度33分00.8秒東経139度39分38.0秒﻿ / ﻿北緯35.550222度 東経139.660556度﻿ /35.550222; 139.660556","4世紀後半","全長87m、高さ10m","前方後円墳","","三角縁神獣鏡、珠文鏡、刀身、剣身ほか多数","白山古墳","","加瀬台古墳群（夢見ヶ崎古墳群）","","","加瀬白山古墳","","","","","",""
"第六天古墳 (存在しないページ)","[第六天古墳（川崎市幸区）]","https://ja.wikipedia.org/w/index.php?title=第六天古墳&amp;action=edit&amp;redlink=1","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"塚越古墳 (川崎市)","[塚越古墳（川崎市幸区塚越、円墳横穴墓）] 古墳は、JR 南武線 鹿島田駅 の東650メートルの民有地にあり、 多摩川 と 鶴見川 の流れが 東京湾 に到達する手前の低地地帯に造られている  。現在の墳丘は円形で、直径およそ15メートル  、高さは3.5メートル、 標高 値では7.5メートル程である  。","https://ja.wikipedia.org/wiki/塚越古墳_(川崎市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度32分49.6秒東経139度40分47.8秒","神奈川県川崎市幸区塚越二丁目180","北緯35度32分49.6秒東経139度40分47.8秒﻿ / ﻿北緯35.547111度 東経139.679944度﻿ /35.547111; 139.679944座標:北緯35度32分49.6秒東経139度40分47.8秒﻿ / ﻿北緯35.547111度 東経139.679944度﻿ /35.547111; 139.679944","6世紀中頃?","推定30メートル（円墳の場合）","円墳?、前方後円墳?","指定されず","円筒埴輪、形象埴輪","塚越古墳神奈川県内の位置","","","","","","指定されず","","","","",""
"馬絹古墳","[馬絹古墳（川崎市宮前区、円墳、県史跡、石室に壁画）] 馬絹 地区の丘陵南斜面に立地し、幅3.5メートルの周溝が南東部を除き墳裾を巡る。","https://ja.wikipedia.org/wiki/馬絹古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度35分1.3秒東経139度36分3.5秒","神奈川県川崎市宮前区馬絹","北緯35度35分1.3秒東経139度36分3.5秒﻿ / ﻿北緯35.583694度 東経139.600972度﻿ /35.583694; 139.600972","7世紀中葉","直径33m高さ6m","円墳","神奈川県指定史跡「馬絹古墳」","鉄釘","馬絹古墳","両袖式横穴式石室","","","","","","","","","",""
"西福寺古墳","[西福寺古墳（川崎市高津区、県史跡、白井坂埴輪窯跡から埴輪が供給された古墳）] 神奈川県北東部、 矢上川 左岸の丘陵台地上に築造された古墳である。 1982年 （ 昭和 57年）に確認調査が実施されている  。","https://ja.wikipedia.org/wiki/西福寺古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度35分10.07秒東経139度36分26.70秒","神奈川県川崎市高津区梶ヶ谷（梶ヶ谷第3児童公園内）","北緯35度35分10.07秒東経139度36分26.70秒﻿ / ﻿北緯35.5861306度 東経139.6074167度﻿ /35.5861306; 139.6074167座標:北緯35度35分10.07秒東経139度36分26.70秒﻿ / ﻿北緯35.5861306度 東経139.6074167度﻿ /35.5861306; 139.6074167","5世紀後葉-6世紀初頭","直径35m高さ5.5m","円墳","神奈川県指定史跡「西福寺古墳」","埴輪","西福寺古墳神奈川県内の位置","不明","馬絹・梶ヶ谷古墳群","","","","","","","","",""
"蟹ヶ谷古墳群","[蟹ヶ谷古墳群（川崎市高津区蟹ケ谷、未指定）] 矢上川 右岸、 東急東横線 元住吉駅 から西に1.5キロメートルほど離れた 神奈川県立中原養護学校 北側の「神庭特別緑地保全地区」と呼ばれる高台の縁に所在する。","https://ja.wikipedia.org/wiki/蟹ヶ谷古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度33分58.3秒東経139度38分06.2秒","神奈川県川崎市高津区蟹ヶ谷","北緯35度33分58.3秒東経139度38分06.2秒﻿ / ﻿北緯35.566194度 東経139.635056度﻿ /35.566194; 139.635056座標:北緯35度33分58.3秒東経139度38分06.2秒﻿ / ﻿北緯35.566194度 東経139.635056度﻿ /35.566194; 139.635056","6世紀～7世紀","全長30メートル（1号墳）","前方後円墳1基、円墳3基以上","なし","埴輪","蟹ヶ谷古墳群神奈川県内の位置","","","不明","川崎市内で唯一前方後円墳が現存","蟹ヶ谷伊勢台古墳群","","","","","",""
"観音松古墳","[日吉台古墳群観音松古墳（横浜市港北区）日吉矢上古墳（横浜市港北区）日吉台1-5号墳（横浜市港北区）] 矢上川 に面した東西800メートル、南北100～200メートル、標高約30メートルの「矢上台」 台地 の東端に存在した。この台地上には、 弥生時代 ～ 古代 の頃には集落遺跡が広範囲に広がっていることが判明している  。現在は 慶應義塾大学 の矢上キャンパスとグラウンドが占めているが、観音松古墳の位置は現在の横浜市立矢上小学校校舎付近であった  。","https://ja.wikipedia.org/wiki/観音松古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度33分15.1秒東経139度39分27.7秒","神奈川県横浜市港北区日吉三丁目14","北緯35度33分15.1秒東経139度39分27.7秒﻿ / ﻿北緯35.554194度 東経139.657694度﻿ /35.554194; 139.657694座標:北緯35度33分15.1秒東経139度39分27.7秒﻿ / ﻿北緯35.554194度 東経139.657694度﻿ /35.554194; 139.657694","4世紀後半","全長約100メートル","","","内行花文鏡、玉類（勾玉・管玉・ガラス小玉）、銅鏃、紡錘車形石製品","観音松古墳神奈川県内の位置","","日吉台古墳群","","","日吉観音松古墳","","","","","",""
"観音松古墳","[観音松古墳（横浜市港北区）] 矢上川 に面した東西800メートル、南北100～200メートル、標高約30メートルの「矢上台」 台地 の東端に存在した。この台地上には、 弥生時代 ～ 古代 の頃には集落遺跡が広範囲に広がっていることが判明している  。現在は 慶應義塾大学 の矢上キャンパスとグラウンドが占めているが、観音松古墳の位置は現在の横浜市立矢上小学校校舎付近であった  。","https://ja.wikipedia.org/wiki/観音松古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度33分15.1秒東経139度39分27.7秒","神奈川県横浜市港北区日吉三丁目14","北緯35度33分15.1秒東経139度39分27.7秒﻿ / ﻿北緯35.554194度 東経139.657694度﻿ /35.554194; 139.657694座標:北緯35度33分15.1秒東経139度39分27.7秒﻿ / ﻿北緯35.554194度 東経139.657694度﻿ /35.554194; 139.657694","4世紀後半","全長約100メートル","","","内行花文鏡、玉類（勾玉・管玉・ガラス小玉）、銅鏃、紡錘車形石製品","観音松古墳神奈川県内の位置","","日吉台古墳群","","","日吉観音松古墳","","","","","",""
