"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","国・地域","運営者","標高","方向","運用時間","公式サイト","敷地面積","開港","旅客数","貨物取扱量","所有者","母都市","発着回数","所在部隊","開設","面積","国"
"対馬空港","[対馬空港（対馬やまねこ空港）〔長崎県対馬市〕] 標高97mの白連江山の山頂を切り開いて  、 滑走路 は対馬中央部の上島と下島の間の 地峡 部を横断するように建設されている。長崎県内初の山岳空港である。また、当空港は オリエンタルエアブリッジ （ORC）の就航地としては最北端の空港でもある。","https://ja.wikipedia.org/wiki/対馬空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度17分05秒東経129度19分49秒","長崎県対馬市","商業","日本","長崎県","65m(213ft)","14/32","8:00 - 19:30","対馬空港ターミナルビル","","","","","","","","","","",""
"小値賀空港","[小値賀空港〔長崎県北松浦郡小値賀町〕 ※定期便は設定されていない。] 小値賀空港 （おぢかくうこう、 英 ：Ojika Airport）は、 長崎県 北松浦郡 小値賀町 の小値賀島にある 地方管理空港 である。定期便は運航されていない。","https://ja.wikipedia.org/wiki/小値賀空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度11分15秒東経129度05分33秒","長崎県北松浦郡小値賀町前方郷","商業","日本","長崎県","7.7m(25.3ft)","03/21","10:00 - 16:00","小値賀空港","","","","","","","","","","",""
"上五島空港","[上五島空港〔長崎県南松浦郡新上五島町〕 ※定期便は設定されていない。] 上五島空港 （かみごとうくうこう、Kami-Goto Airport）は、 長崎県 南松浦郡 新上五島町 にある 地方管理空港 である。定期便は運航されていない。","https://ja.wikipedia.org/wiki/上五島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度00分36秒東経129度11分40秒","長崎県南松浦郡新上五島町友住郷744","商業","日本","長崎県","80m(263ft)","17/35","10:00 - 16:00","-","","","","","","","","","","",""
"福江空港","[福江空港（五島つばき空港）〔長崎県五島市〕] 福江空港 （ふくえくうこう Fukue Airport ）は、 長崎県 五島市 にある 地方管理空港 である。愛称は特産品にちなんだ「 五島つばき空港 」。","https://ja.wikipedia.org/wiki/福江空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯32度40分03秒東経128度50分24秒","長崎県五島市上大津町2158","商業","日本","長崎県","76.6m(251ft)","03/21","8:00 - 19:30","福江空港","","","","","","","","","","",""
"熊本空港","[熊本空港（阿蘇くまもと空港）〔熊本県益城郡益城町〕] 熊本市 から北東へ約20kmの 阿蘇山 の山麓にある。 空港ビル は益城町にあるものの、 滑走路 のほとんどは 菊池郡 菊陽町 にあたる。 空港周辺が霧の多い場所であるため、 ILS カテゴリーIIIb（CATIII-b）で運用しており、（規定以下の横風・機体側の装備・操縦士の保持資格が整えば）自動着陸が可能である。","https://ja.wikipedia.org/wiki/熊本空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯32度50分14秒東経130度51分18秒","熊本県上益城郡益城町小谷","商業","日本","熊本国際空港","196m(642ft)","07/25","7:30 - 21:30","熊本空港","150ha","","","","","","","","","",""
"天草飛行場","[天草飛行場（天草空港）〔熊本県天草市〕] 天草地方 の行政、商業、交通の中心地である旧 本渡市 の市街地より、約6kmの 天草下島 の北部にある高尾山の山頂付近（旧 天草郡 五和町 と旧本渡市の境）に位置し、主に天草地方の 空運 を担っている  。","https://ja.wikipedia.org/wiki/天草飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯32度28分49秒東経130度09分30秒","熊本県天草市五和町城河原1丁目2080","その他","日本","熊本県","103m(338ft)","13/31","7:40 - 20:30","天草空港","30.6ha","2000年3月23日","62,759人","2.1t","","","","","","",""
"大分空港","[大分空港〔大分県国東市〕] 大分県北東部 国東半島 の沿岸海域を 埋め立て て造成した空港であり、 海上空港 とされることもある   。滑走路は、ほぼ真南北に延び、かつ海上に位置する。","https://ja.wikipedia.org/wiki/大分空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度28分34秒東経131度44分23秒","大分県国東市安岐町下原","商業","日本","国土交通大臣","6m(19ft)","01/19","7:30 - 22:30","大分空港","","","","","","","","","","",""
"大分県央飛行場","[大分県央飛行場（大分県央空港）〔大分県豊後大野市〕 ※定期便は設定されていない。] 大分県央飛行場 （おおいたけんおうひこうじょう）は、 大分県 豊後大野市 大野町田代にある 飛行場 。 大分県央空港 （おおいたけんおうくうこう）とも呼ばれる。","https://ja.wikipedia.org/wiki/大分県央飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯33度01分34秒東経131度30分20秒","大分県豊後大野市","商業","日本","大分県","235m(771ft)","11/29","9:00 - 16:30","","","","","","","","","","1992年（平成4年）4月","",""
"宮崎空港","[宮崎空港（宮崎ブーゲンビリア空港）〔宮崎県宮崎市〕] 宮崎市の南部、 海岸地帯 にある。市の中心部からの距離は約5km。1996年に、 ターミナルビル まで 連絡鉄道 （JR 宮崎空港線 ）が接続された。宮崎市街地とは直接、 宮崎交通 の 路線バス と、 JR九州 の鉄道の両方のアクセスがある。プロ野球 巨人軍 キャンプ地の 宮崎県総合運動公園 のほか、 青島 ・ 飫肥城下町 ・ 日南市 方面や、県西部の 小林市 方面、 都城市 方面へも路線バスがある。 大分市 ・ 佐伯市 ・ 延岡市 ・ 日向市 方面は、 宮崎空港駅 から鉄道でのアクセスのみとなっている。","https://ja.wikipedia.org/wiki/宮崎空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯31度52分38秒東経131度26分55秒","宮崎県宮崎市大字赤江無番地","商業","日本","国土交通大臣","6m(19ft)","09/27","7:30 - 21:30","https://www.miyazaki-airport.co.jp/","","","","","","","","","","",""
"鹿児島空港","[鹿児島空港〔鹿児島県霧島市〕] 鹿児島市 の北東30kmに位置する。鉄道でのアクセスは悪いが、E3 九州自動車道 溝辺鹿児島空港インターチェンジ に近いため高速道路を経由したアクセスは良好である。 熊本県 南部（ 人吉市 、 球磨郡 各町村、 水俣市 ）や 宮崎県 南西部（ 小林市 や えびの市 ）などの利用者も多い。鹿児島市街地からは空港連絡バス（九州自動車道経由）が日中約10分間隔で運行されており、 鹿児島中央駅 からの所要時間は38分である。","https://ja.wikipedia.org/wiki/鹿児島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯31度48分00秒東経130度43分18秒","鹿児島県霧島市溝辺町麓","商業","日本","国土交通大臣","271.9m(892.1ft)","16/34","7:00 - 22:00","鹿児島空港","","","","","","","","","","",""
"薩摩硫黄島飛行場","[薩摩硫黄島飛行場〔鹿児島県鹿児島郡三島村〕] 三島村薩摩硫黄島飛行場 （みしまむらさつまいおうじまひこうじょう）は 鹿児島県 鹿児島郡 三島村 （ 硫黄島 ）にあり、三島村が設置管理者となっている非公共用 飛行場 。","https://ja.wikipedia.org/wiki/薩摩硫黄島飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯30度46分51秒東経130度16分22秒","鹿児島県鹿児島郡三島村硫黄島無番地","共用","日本","三島村","103m(338ft)","18/36","8:30 - 17:00(JST)","","","","","","","","","","","",""
"種子島空港","[種子島空港（コスモポート種子島）〔鹿児島県熊毛郡中種子町〕] 種子島のほぼ中央に位置する。約8km南西に位置した 旧種子島空港 は滑走路が1,500mと短いため プロペラ機 のみの就航であったが、新種子島空港の開港により、同県の離島空港の中で、 徳之島空港 、 奄美空港 に次いで、同港に ジェット機 （小型）の乗り入れが可能になった。","https://ja.wikipedia.org/wiki/種子島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯30度36分18秒東経130度59分30秒","鹿児島県熊毛郡中種子町増田2692番地64","商業","日本","鹿児島県","234m(768ft)","13/31","8:30 - 18:30","－","","","86,962人","114.4 t","","","1,835回","","","",""
"屋久島空港","[屋久島空港〔鹿児島県熊毛郡屋久島町〕] 屋久島の東側の海岸に所在する。 滑走路 は1500メートルで、北西から南東へ向いている。 平行誘導路 、 ターニングパッド はなく、 計器着陸装置 も設置されていない。エプロンは小型機対応の2バースである。","https://ja.wikipedia.org/wiki/屋久島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯30度23分08秒東経130度39分33秒","鹿児島県熊毛郡屋久島町小瀬田","商業","日本","鹿児島県","37.3m(122.4ft)","14/32","8:30 - 18:30","","","","145,814人","90.55 t","","","2,329回","","","",""
"奄美空港","[奄美空港〔鹿児島県奄美市〕] 奄美大島北東部の、奄美群島国定公園（ 2017年 に 奄美群島国立公園 に指定  ）内の沿岸海域を埋め立てて造成された  。","https://ja.wikipedia.org/wiki/奄美空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯28度25分51秒東経129度42分45秒","鹿児島県奄美市笠利町","商業","日本","鹿児島県","4.2m(13ft)","03/21","8:00 - 19:30","奄美空港","110ha","1964年6月","884,550人","909.63 t","","","7,931回","","","",""
"喜界空港","[喜界空港〔鹿児島県大島郡喜界町〕] 島の西海岸沿いに設置されており、太平洋戦争中は旧海軍の前線基地として利用された  。","https://ja.wikipedia.org/wiki/喜界空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯28度19分17秒東経129度55分41秒","鹿児島県大島郡喜界町","商業","日本","鹿児島県","4.7m(15ft)","07/25","","","20.9ha","","86,928人","202.02 t","","","1,839回","","","",""
"徳之島空港","[徳之島空港（徳之島子宝空港）〔鹿児島県大島郡天城町〕] 徳之島北部の西海岸リーフ上に埋め立てて建設された  。","https://ja.wikipedia.org/wiki/徳之島空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯27度50分11秒東経128度52分53秒","鹿児島県大島郡天城町","商業","日本","鹿児島県","2.3m(7.5ft)","01/19","8:30 - 18:30","","52.6ha","1962年2月23日","202,021人","195.87 t","","","2,705回","","","",""
