"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","交差物件","全長","形式","幅","建設","最大支間長","材料","路線名","用途","高さ","管理者","開通","竣工","着工","施工者","起点","終点"
"二子橋","[二子橋（多摩川）（世田谷区、神奈川県川崎市高津区）] 二子橋 （ふたごばし、ふたこばし）は、 多摩川 及び並行する支流の 野川 に架かる道路 橋 の一つ。 国道246号 （旧道）の橋で、野川と多摩川の合流部に近い場所に位置する。","https://ja.wikipedia.org/wiki/二子橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度36分36秒 東経139度37分29秒","","","","","","","","","","","","","","","","","","",""
"飯塚橋","[飯塚橋（中川）（足立区、葛飾区）] 飯塚橋 （いいづかばし）とは、一級河川 中川 に架かる 東京都 の道路 橋 である。","https://ja.wikipedia.org/wiki/飯塚橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度46分42.8秒 東経139度51分3.5秒","","","","","","","","","","","","","","","","","","",""
"かつしかハープ橋","[かつしかハープ橋（綾瀬川）（葛飾区） 世界初の曲線斜張橋] かつしかハープ橋 （かつしかハープきょう）は、 東京都 葛飾区 の 綾瀬川 にかかる 橋 。","https://ja.wikipedia.org/wiki/かつしかハープ橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度43分22秒東経139度50分33秒","","日本","綾瀬川","455m","4径間連続S字形曲線斜張橋","18.5 m（4車線）","川崎重工業・サクラダ・東京鐵骨橋梁JV","220 m","鋼","","","","","","","","","",""
"豊海橋","[豊海橋フィーレンディール橋として日本初] 豊海橋 （とよみばし）は、 日本橋川 にかかる 橋 で、北岸の 東京都 中央区 日本橋箱崎町 と南岸の中央区 新川 1丁目を結ぶ。日本橋川が 隅田川 に流入する河口部に位置し、 1927年 （ 昭和 2年）に震災復興橋として架設された。中央区 豊海町 は本橋とは3 km以上離れており、直接の関係はない。","https://ja.wikipedia.org/wiki/豊海橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度40分39秒 東経139度47分12秒","","","","","","","","","","","","","","","","","","",""
"八幡橋","[八幡橋国産の鉄橋として日本初] 八幡橋 （はちまんばし）は、 東京都 江東区 富岡にある八幡堀遊歩道にかかる人道 橋 。元は現在の 中央区 宝町 の 楓川 に架橋されていた 弾正橋 （だんじょうばし）であり、「旧弾正橋」「元弾正橋」とも称される。","https://ja.wikipedia.org/wiki/八幡橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度40分18.7秒東経139度48分2.3秒","江東区","日本","八幡堀遊歩道","15.76m","ボウストリングトラス橋","2.0 m","","","","","道路橋","","","","1929年5月","","","",""
"隅田川橋梁 (総武本線)","[総武線隅田川橋梁ランガー桁の橋として日本初] 隅田川橋梁 （すみだがわきょうりょう）は、 隅田川 に架かる 鉄道橋 で、 東日本旅客鉄道 （JR東日本） 中央・総武緩行線 （ 総武本線 の支線）を通している。","https://ja.wikipedia.org/wiki/隅田川橋梁_(総武本線)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度41分47.6秒 東経139度47分23.6秒","","","","","","","","","","","","","","","","","","",""
"千住大橋","[千住大橋タイドアーチ橋として日本最古] 千住大橋 （せんじゅおおはし）は、 隅田川 の 東京都区部 にかかる 橋 で、 国道4号 （ 日光街道 ）を通す。北岸は 足立区 千住橋戸町 、南岸は 荒川区 南千住 六丁目。旧橋（下り方向）・新橋（上り方向）の二橋で構成されており、旧橋の上流側に 東京都水道局 の 工業用水道 専用橋である千住 水管橋 がほぼ並行する。","https://ja.wikipedia.org/wiki/千住大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度44分22秒 東経139度47分51秒","","","","","","","","","","","","","","","","","","",""
"夢の大橋","[夢の大橋歩道橋の幅が日本一ある江戸の3大橋（千住大橋、両国橋、六郷橋）] 夢の大橋 （ゆめのおおはし）は、 有明西運河 をまたぐ、 東京都 江東区 青海 と同区 有明 を結ぶ歩行者・自転車専用の 橋 。 シンボルプロムナード公園 内にある。ドリームブリッジの別名も持つが、あまり浸透していない。 1990年 に竣工。全長は360m。","https://ja.wikipedia.org/wiki/夢の大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度37分43.6秒 東経139度47分3.9秒","","","","","","","","","","","","","","","","","","",""
"千住大橋","[江戸の3大橋（千住大橋、両国橋、六郷橋）] 千住大橋 （せんじゅおおはし）は、 隅田川 の 東京都区部 にかかる 橋 で、 国道4号 （ 日光街道 ）を通す。北岸は 足立区 千住橋戸町 、南岸は 荒川区 南千住 六丁目。旧橋（下り方向）・新橋（上り方向）の二橋で構成されており、旧橋の上流側に 東京都水道局 の 工業用水道 専用橋である千住 水管橋 がほぼ並行する。","https://ja.wikipedia.org/wiki/千住大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度44分22秒 東経139度47分51秒","","","","","","","","","","","","","","","","","","",""
"Template:隅田川の橋","[Template:隅田川の橋・Category:隅田川の橋] ","https://ja.wikipedia.org/wiki/Template:隅田川の橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ガス橋","[ガス橋（東京都大田区、神奈川県川崎市中原区）道路ガス併用橋] ガス橋 （ガスばし）は、 多摩川 下流にかかる 橋 。","https://ja.wikipedia.org/wiki/ガス橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度33分47.7秒東経139度40分42.6秒","東京都大田区-神奈川県川崎市中原区間","日本","多摩川","","","","","","","東京都道・神奈川県道111号大田神奈川線","道路橋","","","","1960年","","","",""
"鶴見つばさ橋","[鶴見つばさ橋（横浜市鶴見区）] 鶴見つばさ橋 （つるみつばさばし）は、 神奈川県 横浜市 鶴見区 にある 橋 。 首都高速湾岸線 の 扇島 と 大黒埠頭 とを結んでいる。 横浜ベイブリッジ と並び、横浜を代表する橋。名称は公募の中より決定された  。","https://ja.wikipedia.org/wiki/鶴見つばさ橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度28分20秒東経139度41分58.5秒","神奈川県横浜市鶴見区","日本","","1,020m","斜張橋","","","510m","","","","180m（主塔）","","1994年12月21日","","","","",""
"神奈川県道305号江の島線","[神奈川県道305号江の島線（江ノ島大橋、藤沢市）] 神奈川県道305号江の島線 （かながわけんどう305ごう えのしません）は、 神奈川県 の 藤沢市 にある 県道 。 国道134号 江ノ島入口交差点より 江の島 島内に至る全長786メートルの道で、その大半が「江ノ島大橋」という 自動車専用 （軽車両通行止め、自転車は通行可）の 橋梁 となっている。","https://ja.wikipedia.org/wiki/神奈川県道305号江の島線","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度18分13秒 東経139度28分55秒","","","","","","","","","","","","","","","","","","神奈川県藤沢市江の島","神奈川県藤沢市片瀬海岸"
"江ノ島弁天橋","[江ノ島弁天橋（藤沢市）] 神奈川県道305号江の島線 （かながわけんどう305ごう えのしません）は、 神奈川県 の 藤沢市 にある 県道 。 国道134号 江ノ島入口交差点より 江の島 島内に至る全長786メートルの道で、その大半が「江ノ島大橋」という 自動車専用 （軽車両通行止め、自転車は通行可）の 橋梁 となっている。","https://ja.wikipedia.org/wiki/江ノ島弁天橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度18分13秒 東経139度28分55秒","","","","","","","","","","","","","","","","","","神奈川県藤沢市江の島","神奈川県藤沢市片瀬海岸"
"瀬戸第4橋","[瀬戸第4橋（足柄上郡山北町）] 瀬戸第4橋 （せとだいよんきょう）は、 神奈川県 足柄上郡 山北町 にある 道路橋 である。","https://ja.wikipedia.org/wiki/瀬戸第4橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横浜ベイブリッジ","[横浜ベイブリッジ（横浜市中区、鶴見区）] 横浜ベイブリッジ （よこはまベイブリッジ）は、 1989年 （ 平成 元年） 9月27日 に開通した  神奈川県 横浜市 にある長さ860m（中央支間長460m）の 斜張橋 である  。東京港方面と横浜港を結ぶ港湾物流の一端を担うことにより、都市部の渋滞を緩和する重要な輸送路である。","https://ja.wikipedia.org/wiki/横浜ベイブリッジ","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度27分18.3秒東経139度40分27.3秒","神奈川県横浜市中区本牧ふ頭‐鶴見区大黒ふ頭間","日本","東京湾（横浜港）","860m","斜張橋","40.2m","1980-1989年","460m","","","","塔高172m、橋げた55m（いずれも海面より）","","","","","","",""
"二子橋","[二子橋（川崎市高津区、東京都世田谷区）] 二子橋 （ふたごばし、ふたこばし）は、 多摩川 及び並行する支流の 野川 に架かる道路 橋 の一つ。 国道246号 （旧道）の橋で、野川と多摩川の合流部に近い場所に位置する。","https://ja.wikipedia.org/wiki/二子橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度36分36秒 東経139度37分29秒","","","","","","","","","","","","","","","","","","",""
"小田原ブルーウェイブリッジ","[小田原ブルーウェイブリッジ- 世界初のエクストラドーズド橋] 小田原ブルーウェイブリッジ （おだわらブルーウェイブリッジ）は、 神奈川県 小田原市 にあり、 小田原漁港 に架かる 道路橋 である。 西湘バイパス 石橋支線を通している。","https://ja.wikipedia.org/wiki/小田原ブルーウェイブリッジ","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度14分20秒 東経139度8分54.3秒","","","","","","","","","","","","","","","","","","",""
"城ヶ島大橋","[城ヶ島大橋（三浦市城ヶ島）] 城ケ島大橋 （じょうがしまおおはし）は、 神奈川県 三浦市 、 三浦半島 先端から、海をまたぎ 城ヶ島 に至る 橋 。管理は神奈川県東部漁港事務所。城ヶ島へ渡る唯一の道路で、 有料道路 であったが、神奈川県が 2018年 11月13日 に将来の無料化を発表  、 2020年 4月1日 に無料開放された   。歩行者や 自転車 は従前より無料で通行できた。","https://ja.wikipedia.org/wiki/城ヶ島大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度8分16.08秒東経139度37分21.57秒","三浦市","日本","","575m","","","1957年-1960年","95m","","","","16 - 23.5m","","","","","","",""
"両国橋 (神奈川県・山梨県)","[両国橋 (神奈川県・山梨県)] 両国橋 （りょうごくばし）は、 相模川 水系 の 道志川 に架かる 国道413号 の橋である。","https://ja.wikipedia.org/wiki/両国橋_(神奈川県・山梨県)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度32分22秒東経139度6分48秒","相模原市-南都留郡道志村間","日本","道志川","70.5 m","アーチ橋","8.5 m","1982年","66.5 m","鋼","","","","","","","","","",""
"猿橋","[猿橋（大月市）‐日本三奇橋の1つ] 猿橋 （さるはし、えんきょう）は、 山梨県 大月市 猿橋町猿橋にある 桂川 に架かる 刎橋 。国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/猿橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度36分56.6秒東経138度58分48.8秒","山梨県大月市猿橋町猿橋","日本","桂川","30.9m","刎橋","3.3m","1984年（江戸期の復元）","","","","","31m","","","","","","",""
