"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"西気賀駅","西気賀駅（にしきがえき）","https://ja.wikipedia.org/wiki/西気賀駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度48分09秒東経137度37分19秒","天竜浜名湖線","47.7 km（掛川起点）","天竜浜名湖鉄道","地上駅","1938年（昭和13年）4月1日*","浜松市北区細江町気賀10185-3北緯34度48分09秒東経137度37分19秒﻿ / ﻿北緯34.80250度 東経137.62194度﻿ /34.80250; 137.62194座標:北緯34度48分09秒東経137度37分19秒﻿ / ﻿北緯34.80250度 東経137.62194度﻿ /34.80250; 137.62194","2面2線","*1987年までは国鉄二俣線。","","ニカ","35人/日（降車客含まず）-2018年-","","","","","","","",""
"西岸駅","西岸駅（にしぎしえき）","https://ja.wikipedia.org/wiki/西岸駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度8分51.0秒東経136度52分28.0秒","七尾線","22.5 km（七尾起点）","のと鉄道","地上駅","1932年（昭和7年）8月27日[1]","石川県七尾市中島町外北緯37度8分51.0秒東経136度52分28.0秒﻿ / ﻿北緯37.147500度 東経136.874444度﻿ /37.147500; 136.874444座標:北緯37度8分51.0秒東経136度52分28.0秒﻿ / ﻿北緯37.147500度 東経136.874444度﻿ /37.147500; 136.874444","2面2線","無人駅","","ニキ","","24人/日-2019年-","","","","","","",""
"西北見駅","西北見駅（にしきたみえき）","https://ja.wikipedia.org/wiki/西北見駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度48分11.99秒東経143度50分32.08秒","■石北本線","176.3 km（新旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1986年（昭和61年）11月1日","北海道北見市緑町6丁目北緯43度48分11.99秒東経143度50分32.08秒","1面1線","無人駅","○A59","タミ","","352人/日-2014年-","","","","","","",""
"錦町駅","錦町駅（にしきちょうえき）","https://ja.wikipedia.org/wiki/錦町駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度15分53.14秒東経131度57分46.1秒","錦川清流線","32.7 km（川西起点）","錦川鉄道","地上駅","1963年（昭和38年）10月1日","山口県岩国市錦町広瀬7873-9北緯34度15分53.14秒東経131度57分46.1秒﻿ / ﻿北緯34.2647611度 東経131.962806度﻿ /34.2647611; 131.962806﻿ (錦町駅)座標:北緯34度15分53.14秒東経131度57分46.1秒﻿ / ﻿北緯34.2647611度 東経131.962806度﻿ /34.2647611; 131.962806﻿ (錦町駅)","1面1線","直営駅","","ニキ","","107[1]人/日-2019年-","","","","","","",""
"西木津駅","西木津駅（にしきづえき）","https://ja.wikipedia.org/wiki/西木津駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度44分15.98秒東経135度48分12.67秒","H片町線（学研都市線）","2.2 km（木津起点）","西日本旅客鉄道（JR西日本）","地上駅","1952年（昭和27年）12月1日","京都府木津川市相楽川ノ尻55北緯34度44分15.98秒東経135度48分12.67秒﻿ / ﻿北緯34.7377722度 東経135.8035194度﻿ /34.7377722; 135.8035194座標:北緯34度44分15.98秒東経135度48分12.67秒﻿ / ﻿北緯34.7377722度 東経135.8035194度﻿ /34.7377722; 135.8035194","1面1線","無人駅（自動券売機 有）","JR-H19","ニス","459人/日（降車客含まず）-2019年-","","","","","","","",""
"西衣山駅","西衣山駅（にしきぬやまえき）","https://ja.wikipedia.org/wiki/西衣山駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度51分0.67秒東経132度44分3.14秒","高浜線","5.1 km（高浜起点）","伊予鉄道","地上駅","1968年6月10日","愛媛県松山市衣山4丁目北緯33度51分0.67秒東経132度44分3.14秒﻿ / ﻿北緯33.8501861度 東経132.7342056度﻿ /33.8501861; 132.7342056﻿ (西衣山駅)","2面2線","無人駅","●IY06","","","1,272[1]人/日-2019年-","","","","","","",""
"二色浜駅","二色浜駅（にしきのはまえき）","https://ja.wikipedia.org/wiki/二色浜駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度25分57.94秒東経135度20分42.91秒","■南海本線","30.4 km（難波起点）","南海電気鉄道","地上駅","1938年（昭和13年）10月1日","大阪府貝塚市澤647番地2北緯34度25分57.94秒東経135度20分42.91秒﻿ / ﻿北緯34.4327611度 東経135.3452528度﻿ /34.4327611; 135.3452528座標:北緯34度25分57.94秒東経135度20分42.91秒﻿ / ﻿北緯34.4327611度 東経135.3452528度﻿ /34.4327611; 135.3452528","2面2線","無人駅","NK 27","ニシキ","","","","4,489人/日-2019年-","","","","",""
"西岐阜駅","西岐阜駅（にしぎふえき）","https://ja.wikipedia.org/wiki/西岐阜駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度24分16.8秒東経136度43分24.3秒","CA東海道本線（名古屋地区）","399.5 km（東京起点）","東海旅客鉄道（JR東海）","地上駅（橋上駅）","1986年（昭和61年）11月1日[1]","岐阜県岐阜市市橋四丁目14-20北緯35度24分16.8秒東経136度43分24.3秒座標:北緯35度24分16.8秒 東経136度43分24.3秒","1面2線","業務委託駅JR全線きっぷうりば有","CA  75 ","ニキ","6,242人/日（降車客含まず）-2019年-","","","","","","","",""
"西京極駅","西京極駅（にしきょうごくえき）","https://ja.wikipedia.org/wiki/西京極駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度59分32.57秒東経135度43分6.72秒","■京都本線","40.1 km（十三起点）大阪梅田から42.5 km","阪急電鉄","高架駅","1928年（昭和3年）11月1日","京都市右京区西京極西池田町2番地[1]北緯34度59分32.57秒東経135度43分6.72秒﻿ / ﻿北緯34.9923806度 東経135.7185333度﻿ /34.9923806; 135.7185333座標:北緯34度59分32.57秒東経135度43分6.72秒﻿ / ﻿北緯34.9923806度 東経135.7185333度﻿ /34.9923806; 135.7185333","2面2線","","HK82","","","19,923人/日-2019年-","","（通年平均）18,233人/日-2019年-","","","","",""
"西桐生駅","西桐生駅（にしきりゅうえき）","https://ja.wikipedia.org/wiki/西桐生駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度24分50.25秒東経139度20分1.54秒","■上毛線","25.4 km（中央前橋起点）","上毛電気鉄道","地上駅","1928年（昭和3年）11月10日","群馬県桐生市宮前町二丁目1-33北緯36度24分50.25秒東経139度20分1.54秒﻿ / ﻿北緯36.4139583度 東経139.3337611度﻿ /36.4139583; 139.3337611﻿ (西桐生駅)座標:北緯36度24分50.25秒東経139度20分1.54秒﻿ / ﻿北緯36.4139583度 東経139.3337611度﻿ /36.4139583; 139.3337611﻿ (西桐生駅)","1面2線","","","","","1,633人/日-2019年（令和元年）-","桐生駅（JR両毛線・わたらせ渓谷鐵道わたらせ渓谷線）","","","","","",""
"西九条駅","西九条駅（にしくじょうえき）","https://ja.wikipedia.org/wiki/西九条駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）阪神電気鉄道（駅詳細）","","","大阪市此花区西九条","","","","","","","","","","","","",""
"西国立駅","西国立駅（にしくにたちえき）","https://ja.wikipedia.org/wiki/西国立駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度41分36.5秒東経139度25分27.2秒","■南武線","34.3 km（川崎起点）","東日本旅客鉄道（JR東日本）","地上駅","1929年（昭和4年）12月11日[1]","東京都立川市羽衣町一丁目25-23北緯35度41分36.5秒東経139度25分27.2秒﻿ / ﻿北緯35.693472度 東経139.424222度﻿ /35.693472; 139.424222﻿ (西国立駅)座標:北緯35度41分36.5秒東経139度25分27.2秒﻿ / ﻿北緯35.693472度 東経139.424222度﻿ /35.693472; 139.424222﻿ (西国立駅)","2面2線","業務委託駅","JN25","ニク","10,108人/日（降車客含まず）-2019年-","","","","","","","",""
"西熊本駅","西熊本駅（にしくまもとえき）","https://ja.wikipedia.org/wiki/西熊本駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯32度45分45.5秒東経130度40分59秒","■鹿児島本線（■あまくさみすみ線含む）","199.8 km（門司港起点）","九州旅客鉄道（JR九州）","高架駅","2016年（平成28年）3月26日[2][3]","熊本市南区刈草一丁目[1]北緯32度45分45.5秒東経130度40分59秒﻿ / ﻿北緯32.762639度 東経130.68306度﻿ /32.762639; 130.68306﻿ (西熊本駅)","2面2線","無人駅（自動券売機 有）","","ニモ","1,251人/日（降車客含まず）-2019年-","","","","","","","",""
"西栗栖駅","西栗栖駅（にしくりすえき）","https://ja.wikipedia.org/wiki/西栗栖駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度57分8.63秒東経134度28分13.35秒","K姫新線","31.2 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅[1]","1934年（昭和9年）3月24日[1]","兵庫県たつの市新宮町鍛冶屋670[1]北緯34度57分8.63秒東経134度28分13.35秒﻿ / ﻿北緯34.9523972度 東経134.4703750度﻿ /34.9523972; 134.4703750﻿ (西栗栖駅)","2面2線[1]","無人駅[1]","","クリ","85人/日（降車客含まず）-2019年-","","","","","","","",""
"西黒崎駅","西黒崎駅（にしくろさきえき）","https://ja.wikipedia.org/wiki/西黒崎駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度51分58.98秒東経130度45分44.18秒","筑豊電気鉄道線","0.2 km（黒崎駅前起点）","筑豊電気鉄道","地上駅","1992年（平成4年）10月25日","北九州市八幡西区黒崎三丁目146北緯33度51分58.98秒東経130度45分44.18秒","2面2線","無人駅","CK 02","","","151人/日-2019年-","","","","","","",""
"西桑名駅","西桑名駅（にしくわなえき）","https://ja.wikipedia.org/wiki/西桑名駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度3分56.5秒東経136度41分2.52秒","■北勢線","0.0 km（西桑名起点）","三岐鉄道","地上駅","1914年（大正3年）4月5日[1]","三重県桑名市寿町二丁目31北緯35度3分56.5秒東経136度41分2.52秒﻿ / ﻿北緯35.065694度 東経136.6840333度﻿ /35.065694; 136.6840333座標:北緯35度3分56.5秒東経136度41分2.52秒﻿ / ﻿北緯35.065694度 東経136.6840333度﻿ /35.065694; 136.6840333","1面1線","*1931年に大山田駅から改称。","","ニクワ","2,662人/日（降車客含まず）-2019年-","","桑名駅-関西本線（東海旅客鉄道）-名古屋線（近畿日本鉄道）-養老線（養老鉄道）","","","","","",""
"西小泉駅","西小泉駅（にしこいずみえき）","https://ja.wikipedia.org/wiki/西小泉駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度15分29.71秒東経139度24分30.09秒","■小泉線","13.2 km（館林起点）","東武鉄道","地上駅","1941年（昭和16年）12月1日","群馬県邑楽郡大泉町西小泉四丁目31番10号北緯36度15分29.71秒東経139度24分30.09秒﻿ / ﻿北緯36.2582528度 東経139.4083583度﻿ /36.2582528; 139.4083583﻿ (西小泉駅)座標:北緯36度15分29.71秒東経139度24分30.09秒﻿ / ﻿北緯36.2582528度 東経139.4083583度﻿ /36.2582528; 139.4083583﻿ (西小泉駅)","1面2線","","TI46","ニコ","","1,432人/日-2017年-","","","","","","",""
"西国分寺駅","西国分寺駅（にしこくぶんじえき）","https://ja.wikipedia.org/wiki/西国分寺駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度41分59.2秒東経139度27分56.6秒","■中央本線（中央線）","22.5 km（新宿起点）東京から32.8 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）・高架駅","1973年（昭和48年）4月1日","東京都国分寺市西恋ヶ窪二丁目1-18北緯35度41分59.2秒東経139度27分56.6秒﻿ / ﻿北緯35.699778度 東経139.465722度﻿ /35.699778; 139.465722﻿ (西国分寺駅)","各2面2線（計4面4線）","直営駅（管理駅）みどりの窓口有","JC17","ニフ","29,577人/日（降車客含まず）-2019年-","","","","","","","",""
"西小倉駅","西小倉駅（にしこくらえき）","https://ja.wikipedia.org/wiki/西小倉駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度53分18.78秒東経130度52分26.12秒","JF日豊本線*（JI日田彦山線直通含む）","0.8 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅（橋上駅）","1974年（昭和49年）12月14日[2]","北九州市小倉北区室町三丁目2-50[1][2]北緯33度53分18.78秒東経130度52分26.12秒﻿ / ﻿北緯33.8885500度 東経130.8739222度﻿ /33.8885500; 130.8739222座標:北緯33度53分18.78秒東経130度52分26.12秒﻿ / ﻿北緯33.8885500度 東経130.8739222度﻿ /33.8885500; 130.8739222","3面5線[2]","業務委託駅[1]みどりの窓口有北九州市内駅","JF  02 /JI  02 ","シコ","5,269人/日（降車客含まず）-2019年-","","","","","","","",""
"西小坂井駅","西小坂井駅（にしこざかいえき）","https://ja.wikipedia.org/wiki/西小坂井駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度47分51.759秒東経137度21分6.973秒","CA東海道本線（名古屋地区）","298.4 km（東京起点）","東海旅客鉄道（JR東海）","地上駅","1948年（昭和23年）8月1日[1]","愛知県豊川市伊奈町前山20北緯34度47分51.759秒東経137度21分6.973秒","2面4線（実質2面3線）","駅員無配置駅（自動券売機 有）[2]集中旅客サービスシステム導入駅[2]","CA  43 ","シサ","1,178人/日（降車客含まず）-2019年-","","","","","","","",""
"西木場駅","西木場駅（にしこばえき）","https://ja.wikipedia.org/wiki/西木場駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度21分20.66秒東経129度38分17.70秒","■西九州線","44.4 km（有田起点）","松浦鉄道","地上駅","1991年（平成3年）3月16日","長崎県松浦市御厨町米ノ山免北緯33度21分20.66秒東経129度38分17.70秒","1面1線","","","","","47人/日-2017年-","","","","","","",""
"西小林駅","西小林駅（にしこばやしえき）","https://ja.wikipedia.org/wiki/西小林駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯32度0分34.56秒東経130度55分18.31秒","吉都線","20.6 km（吉松起点）","九州旅客鉄道（JR九州）","地上駅","1929年（昭和4年）2月1日[1]","宮崎県小林市北西方1292北緯32度0分34.56秒東経130度55分18.31秒","1面1線","無人駅","","ヤシ","29人/日（降車客含まず）-2015年-","","","","","","","",""
