"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"鉢形駅","鉢形駅（はちがたえき）","https://ja.wikipedia.org/wiki/鉢形駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度6分49.57秒東経139度12分33.15秒","■東上本線","73.5 km（池袋起点）","東武鉄道","地上駅","1925年（大正14年）7月10日","1面2線","埼玉県大里郡寄居町大字鉢形16-1北緯36度6分49.57秒東経139度12分33.15秒﻿ / ﻿北緯36.1137694度 東経139.2092083度﻿ /36.1137694; 139.2092083﻿ (鉢形駅)座標:北緯36度6分49.57秒東経139度12分33.15秒﻿ / ﻿北緯36.1137694度 東経139.2092083度﻿ /36.1137694; 139.2092083﻿ (鉢形駅)","業務委託駅","TJ37","ハチ","","967人/日-2019年-","","","","","","",""
"八軒駅","八軒駅（はちけんえき）","https://ja.wikipedia.org/wiki/八軒駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯43度5分9.44秒東経141度19分8.7秒","■札沼線（学園都市線）","2.2 km（桑園起点）","北海道旅客鉄道（JR北海道）","高架駅[2]","1988年（昭和63年）11月3日[1][3]","2面2線[2]","札幌市西区八軒6条東2丁目[1]1北緯43度5分9.44秒東経141度19分8.7秒","札幌市内駅業務委託駅[2]みどりの窓口有話せる券売機設置駅[4]","○G03","ハケ","2,504人/日（降車客含まず）-2019年-","","","","","","","",""
"蓮駅","蓮駅（はちすえき）","https://ja.wikipedia.org/wiki/蓮駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度48分32.66秒東経138度20分57.16秒","■飯山線","14.6 km（豊野起点）","東日本旅客鉄道（JR東日本）","地上駅","1921年（大正10年）10月20日[1]","1面1線[1]","長野県飯山市大字蓮[1]北緯36度48分32.66秒東経138度20分57.16秒﻿ / ﻿北緯36.8090722度 東経138.3492111度﻿ /36.8090722; 138.3492111﻿ (蓮駅)座標:北緯36度48分32.66秒東経138度20分57.16秒﻿ / ﻿北緯36.8090722度 東経138.3492111度﻿ /36.8090722; 138.3492111﻿ (蓮駅)","無人駅[1]標高：338.9m[2]","","ハス[2]","66人/日（降車客含まず）-2011年-","","","","","","","",""
"八戸駅","八戸駅（はちのへえき）","https://ja.wikipedia.org/wiki/八戸駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本）青い森鉄道","","","","青森県八戸市大字尻内町字館田","","","","","","","","","","","",""
"八戸貨物駅","八戸貨物駅（はちのへかもつえき）","https://ja.wikipedia.org/wiki/八戸貨物駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯40度31分13.9秒東経141度26分39.2秒","青い森鉄道線","27.6km（目時起点）東京から644.9 km","日本貨物鉄道（JR貨物）八戸臨海鉄道","地上駅","1970年（昭和45年）10月1日","なし","青森県八戸市長苗代字亀子谷地20-1北緯40度31分13.9秒東経141度26分39.2秒﻿ / ﻿北緯40.520528度 東経141.444222度﻿ /40.520528; 141.444222座標:北緯40度31分13.9秒東経141度26分39.2秒﻿ / ﻿北緯40.520528度 東経141.444222度﻿ /40.520528; 141.444222","貨物専用駅","","ハモ","","","","","","","","",""
"八浜駅","八浜駅（はちはまえき）","https://ja.wikipedia.org/wiki/八浜駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度31分55.17秒東経133度55分9.09秒","L宇野線（宇野みなと線）","26.6km（岡山起点）茶屋町から11.7 km","西日本旅客鉄道（JR西日本）","地上駅","1910年（明治43年）6月12日","2面2線","岡山県玉野市八浜町大崎480番地北緯34度31分55.17秒東経133度55分9.09秒﻿ / ﻿北緯34.5319917度 東経133.9191917度﻿ /34.5319917; 133.9191917﻿ (八浜駅)","無人駅（自動券売機 有）","JR-L13","ハハ","419人/日（降車客含まず）-2019年-","","","","","","","",""
"須磨浦ロープウェイ","鉢伏山上駅（はちぶせさんじょうえき）","https://ja.wikipedia.org/wiki/須磨浦ロープウェイ","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八本松駅","八本松駅（はちほんまつえき）","https://ja.wikipedia.org/wiki/八本松駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度26分44.29秒東経132度41分18.22秒","G山陽本線","278.9 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1895年（明治28年）4月4日","2面2線","広島県東広島市八本松町飯田1539北緯34度26分44.29秒東経132度41分18.22秒﻿ / ﻿北緯34.4456361度 東経132.6883944度﻿ /34.4456361; 132.6883944座標:北緯34度26分44.29秒東経132度41分18.22秒﻿ / ﻿北緯34.4456361度 東経132.6883944度﻿ /34.4456361; 132.6883944","業務委託駅みどりの窓口有","JR-G08","ハチ","3,883人/日（降車客含まず）-2019年-","","","","","","","",""
"八幡駅 (静岡県)","八幡駅 (静岡県)（はちまんえき・遠州鉄道鉄道線）","https://ja.wikipedia.org/wiki/八幡駅_(静岡県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度43分1.20秒東経137度44分9.32秒","鉄道線","1.6 km（新浜松駅起点）","遠州鉄道","高架駅","1930年（昭和5年）6月1日","2面2線","浜松市中区八幡町139-4北緯34度43分1.20秒東経137度44分9.32秒﻿ / ﻿北緯34.7170000度 東経137.7359222度﻿ /34.7170000; 137.7359222座標:北緯34度43分1.20秒東経137度44分9.32秒﻿ / ﻿北緯34.7170000度 東経137.7359222度﻿ /34.7170000; 137.7359222","* 1928年繭市場前駅→1951年遠州八幡駅→1985年八幡駅** 1日当たりの乗車人員は、年間の乗車人員を日数で除することにより算出した。"," 04 ","","**1,107人/日（降車客含まず）-2019年-","**2,179人/日-2019年-","","","","","","",""
"八幡大橋（東陵高校）駅","八幡大橋（東陵高校）駅（はちまんおおはし（とうりょうこうこう）えき）","https://ja.wikipedia.org/wiki/八幡大橋（東陵高校）駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯38度55分15.4秒東経141度35分6.7秒","■大船渡線BRT","65.3 km（一ノ関起点）","東日本旅客鉄道（JR東日本）","地上駅","2017年（平成29年）4月1日","","宮城県気仙沼市東八幡前北緯38度55分15.4秒東経141度35分6.7秒﻿ / ﻿北緯38.920944度 東経141.585194度﻿ /38.920944; 141.585194﻿ (八幡大橋（東陵高校）駅)座標:北緯38度55分15.4秒東経141度35分6.7秒﻿ / ﻿北緯38.920944度 東経141.585194度﻿ /38.920944; 141.585194﻿ (八幡大橋（東陵高校）駅)","無人駅","","","17人/日（降車客含まず）-2019年-","","","","","","","",""
"八幡山ロープウェー","八幡城址駅（はちまんじょうしえき）","https://ja.wikipedia.org/wiki/八幡山ロープウェー","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八幡平駅","八幡平駅（はちまんたいえき）","https://ja.wikipedia.org/wiki/八幡平駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯40度8分35.9秒東経140度48分15.9秒","■花輪線","64.2 km（好摩起点）","東日本旅客鉄道（JR東日本）","地上駅","1931年（昭和6年）10月17日","1面1線","秋田県鹿角市八幡平字小山60-3北緯40度8分35.9秒東経140度48分15.9秒座標:北緯40度8分35.9秒 東経140度48分15.9秒","無人駅*1957年に小豆沢駅から改称。","","ハマアツ（改称前）","25人/日（降車客含まず）-2013年-","","","","","","","",""
"八幡前駅 (京都府)","八幡前駅 (京都府)（はちまんまええき・叡山電鉄鞍馬線）","https://ja.wikipedia.org/wiki/八幡前駅_(京都府)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度3分59.15秒東経135度47分32.83秒","■鞍馬線","0.9km（宝ケ池起点）出町柳から4.7 km","叡山電鉄","地上駅","1928年（昭和3年）12月1日[1]","2面2線","京都市左京区岩倉三宅町25[1]北緯35度3分59.15秒東経135度47分32.83秒﻿ / ﻿北緯35.0664306度 東経135.7924528度﻿ /35.0664306; 135.7924528﻿ (八幡前駅)座標:北緯35度3分59.15秒東経135度47分32.83秒﻿ / ﻿北緯35.0664306度 東経135.7924528度﻿ /35.0664306; 135.7924528﻿ (八幡前駅)",""," E09 ","","433人/日（降車客含まず）-2017年-","","","","","","","",""
"八幡前駅 (和歌山県)","八幡前駅 (和歌山県)（はちまんまええき・南海加太線）","https://ja.wikipedia.org/wiki/八幡前駅_(和歌山県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度15分9.57秒東経135度7分17.68秒","■加太線","4.4km（紀ノ川起点）和歌山市から7.0 km","南海電気鉄道","地上駅","1912年（明治45年）6月16日","2面2線","和歌山県和歌山市古屋222番地2北緯34度15分9.57秒東経135度7分17.68秒﻿ / ﻿北緯34.2526583度 東経135.1215778度﻿ /34.2526583; 135.1215778座標:北緯34度15分9.57秒東経135度7分17.68秒﻿ / ﻿北緯34.2526583度 東経135.1215778度﻿ /34.2526583; 135.1215778","","NK 44-3","ハチ","","1,483人/日-2019年-","","","","","","",""
"八幡山駅","八幡山駅（はちまんやまえき）","https://ja.wikipedia.org/wiki/八幡山駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度40分11.6秒東経139度36分56.6秒","■京王線","8.4 km（新宿起点）","京王電鉄","高架駅","1918年（大正7年）5月1日[1]","1面4線*","東京都杉並区上高井戸一丁目1番11号北緯35度40分11.6秒東経139度36分56.6秒﻿ / ﻿北緯35.669889度 東経139.615722度﻿ /35.669889; 139.615722座標:北緯35度40分11.6秒東経139度36分56.6秒﻿ / ﻿北緯35.669889度 東経139.615722度﻿ /35.669889; 139.615722","* 通過線2線を含む","KO10","","","43,346人/日-2019年-","","","","","","",""
"八森駅","八森駅（はちもりえき）","https://ja.wikipedia.org/wiki/八森駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯40度22分16.8秒東経140度1分4.4秒","■五能線","22.7 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1926年（大正15年）4月26日[1]","1面1線[1]","秋田県山本郡八峰町八森字中浜[1]41-3北緯40度22分16.8秒東経140度1分4.4秒座標:北緯40度22分16.8秒 東経140度1分4.4秒","無人駅*1959年に椿駅から改称。","","ハモツハ（改称前）","","","","","","","","",""
"八郎潟駅","八郎潟駅（はちろうがたえき）","https://ja.wikipedia.org/wiki/八郎潟駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯39度56分50.6秒東経140度4分42.24秒","■奥羽本線","327.5 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1902年（明治35年）8月1日[1]","2面3線","秋田県南秋田郡八郎潟町字中田85-2北緯39度56分50.6秒東経140度4分42.24秒座標:北緯39度56分50.6秒 東経140度4分42.24秒","業務委託駅","","ハロヒト（改称前）","759人/日（降車客含まず）-2019年-","","","","","","","",""
"初石駅","初石駅（はついしえき）","https://ja.wikipedia.org/wiki/初石駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度53分2.7秒東経139度55分3.3秒","■野田線（東武アーバンパークライン）","36.8 km（大宮起点）","東武鉄道","地上駅","1911年（明治44年）5月9日","2面2線","千葉県流山市西初石三丁目100番地北緯35度53分2.7秒東経139度55分3.3秒﻿ / ﻿北緯35.884083度 東経139.917583度﻿ /35.884083; 139.917583座標:北緯35度53分2.7秒東経139度55分3.3秒﻿ / ﻿北緯35.884083度 東経139.917583度﻿ /35.884083; 139.917583","","TD21","ハツ","","18,609人/日-2019年-","","","","","","",""
"抜海駅","抜海駅（ばっかいえき）","https://ja.wikipedia.org/wiki/抜海駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯45度19分0.7秒東経141度38分40.4秒","■宗谷本線","245.0 km（旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1924年（大正13年）6月25日","2面2線","北海道稚内市抜海村字クトネベツ北緯45度19分0.7秒東経141度38分40.4秒﻿ / ﻿北緯45.316861度 東経141.644556度﻿ /45.316861; 141.644556﻿ (抜海駅)座標:北緯45度19分0.7秒東経141度38分40.4秒﻿ / ﻿北緯45.316861度 東経141.644556度﻿ /45.316861; 141.644556﻿ (抜海駅)","無人駅","○W78","ハツ","","2人/日-2012年-","","","","","","",""
"廿日市駅","廿日市駅（はつかいちえき）","https://ja.wikipedia.org/wiki/廿日市駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度21分28.21秒東経131度20分8.37秒","R山陽本線","320.2 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1897年（明治30年）9月25日","2面2線","広島県廿日市市駅前1-1北緯34度21分28.21秒東経131度20分8.37秒﻿ / ﻿北緯34.3578361度 東経131.3356583度﻿ /34.3578361; 131.3356583座標:北緯34度21分28.21秒東経131度20分8.37秒﻿ / ﻿北緯34.3578361度 東経131.3356583度﻿ /34.3578361; 131.3356583","業務委託駅みどりの窓口有","JR-R07","ハツ","3,983人/日（降車客含まず）-2018年-","","広電廿日市駅（広島電鉄宮島線）","","","","","",""
"廿日市市役所前駅","廿日市市役所前駅（はつかいちしやくしょまええき）","https://ja.wikipedia.org/wiki/廿日市市役所前駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度21分10.52秒東経132度19分47.29秒","■宮島線","10.7 km（広電西広島起点）","広島電鉄","地上駅","1984年（昭和59年）11月1日","2面2線","広島県廿日市市新宮一丁目2-38[1]北緯34度21分10.52秒東経132度19分47.29秒﻿ / ﻿北緯34.3529222度 東経132.3298028度﻿ /34.3529222; 132.3298028﻿ (廿日市市役所前（平良）駅)座標:北緯34度21分10.52秒東経132度19分47.29秒﻿ / ﻿北緯34.3529222度 東経132.3298028度﻿ /34.3529222; 132.3298028﻿ (廿日市市役所前（平良）駅)","","●M33","","","3,120人/日-2018年-","","","","","","",""
"初狩駅","初狩駅（はつかりえき）","https://ja.wikipedia.org/wiki/初狩駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度35分40.6秒東経138度53分3.8秒","■中央本線","93.9 km（東京起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","地上駅","1910年（明治43年）2月10日[2]","1面2線[2]","山梨県大月市初狩町下初狩3390北緯35度35分40.6秒東経138度53分3.8秒座標:北緯35度35分40.6秒 東経138度53分3.8秒","無人駅","CO33[1]","ハカ","393人/日（降車客含まず）-2012年-","","","","","","","",""
