"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"自治医大駅","自治医大駅（じちいだいえき）","https://ja.wikipedia.org/wiki/自治医大駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度23分42.76秒東経139度51分16.19秒","■東北本線（宇都宮線）","90.7km（東京起点）東京から尾久経由で90.9 km","東日本旅客鉄道（JR東日本）","1983年（昭和58年）4月27日","地上駅（橋上駅）","栃木県下野市医大前三丁目13-3北緯36度23分42.76秒東経139度51分16.19秒﻿ / ﻿北緯36.3952111度 東経139.8544972度﻿ /36.3952111; 139.8544972座標:北緯36度23分42.76秒東経139度51分16.19秒﻿ / ﻿北緯36.3952111度 東経139.8544972度﻿ /36.3952111; 139.8544972","1面2線","業務委託駅","チイ","3,520人/日（降車客含まず）-2019年-","","","","","","","","",""
"七軒茶屋駅","七軒茶屋駅（しちけんぢゃやえき）","https://ja.wikipedia.org/wiki/七軒茶屋駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度28分20.41秒東経132度28分51.39秒","B可部線","8.0km（横川起点）広島から11.0 km","西日本旅客鉄道（JR西日本）","1910年（明治43年）12月25日","地上駅","広島市安佐南区緑井七丁目5-7北緯34度28分20.41秒東経132度28分51.39秒﻿ / ﻿北緯34.4723361度 東経132.4809417度﻿ /34.4723361; 132.4809417座標:北緯34度28分20.41秒東経132度28分51.39秒﻿ / ﻿北緯34.4723361度 東経132.4809417度﻿ /34.4723361; 132.4809417","1面1線","無人駅（自動券売機 有）広島市内駅","ヒチ","901人/日（降車客含まず）-2019年-","JR-B10","","","","","","","",""
"七条駅","七条駅（しちじょうえき）","https://ja.wikipedia.org/wiki/七条駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度59分21.56秒東経135度46分4.25秒","■京阪本線","47.0 km（淀屋橋起点）","京阪電気鉄道","1913年（大正2年）4月27日","地下駅","京都市東山区七条大橋東詰[1]北緯34度59分21.56秒東経135度46分4.25秒﻿ / ﻿北緯34.9893222度 東経135.7678472度﻿ /34.9893222; 135.7678472﻿ (七条駅)","2面2線","* 案内放送等においては乗換駅とは案内されていない","七（駅名略称方式）","","KH  37","15,855人/日-2019年-","京都駅（徒歩約20分）[2]*","","","","","",""
"七道駅","七道駅（しちどうえき）","https://ja.wikipedia.org/wiki/七道駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度35分32.47秒東経135度28分50.08秒","■南海本線","8.2 km（難波起点）","南海電気鉄道","1917年（大正6年）4月21日","高架駅","堺市堺区鉄砲町1番地22北緯34度35分32.47秒東経135度28分50.08秒﻿ / ﻿北緯34.5923528度 東経135.4805778度﻿ /34.5923528; 135.4805778座標:北緯34度35分32.47秒東経135度28分50.08秒﻿ / ﻿北緯34.5923528度 東経135.4805778度﻿ /34.5923528; 135.4805778","1面2線","","シチ","","NK 10","","","11,402人/日-2019年-","","","","",""
"七戸十和田駅","七戸十和田駅（しちのへとわだえき）","https://ja.wikipedia.org/wiki/七戸十和田駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯40度43分11.5秒東経141度9分14.5秒","東北新幹線","668.0 km（東京起点）","東日本旅客鉄道（JR東日本）","2010年（平成22年）12月4日","地上駅（橋上駅）","青森県上北郡七戸町字荒熊内67-46北緯40度43分11.5秒東経141度9分14.5秒","2面2線","直営駅（管理駅）みどりの窓口有","シヘ","761人/日（降車客含まず）-2019年-","","","","","","","","",""
"七里ヶ浜駅","七里ヶ浜駅（しちりがはまえき）","https://ja.wikipedia.org/wiki/七里ヶ浜駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度18分22.5秒東経139度30分37秒","江ノ島電鉄線","5.6 km（藤沢起点）","江ノ島電鉄","1903年（明治36年）6月20日","地上駅","神奈川県鎌倉市七里ガ浜一丁目9-5北緯35度18分22.5秒東経139度30分37秒﻿ / ﻿北緯35.306250度 東経139.51028度﻿ /35.306250; 139.51028﻿ (七里ヶ浜駅)座標:北緯35度18分22.5秒東経139度30分37秒﻿ / ﻿北緯35.306250度 東経139.51028度﻿ /35.306250; 139.51028﻿ (七里ヶ浜駅)","1面1線","","","","EN09","7,295人/日-2019年-","","","","","","",""
"志津駅","志津駅（しづえき）","https://ja.wikipedia.org/wiki/志津駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度43分2.84秒東経140度8分41.98秒","■本線","42.1 km（京成上野起点）","京成電鉄","1928年（昭和3年）3月18日","地上駅（橋上駅）","千葉県佐倉市上志津1669北緯35度43分2.84秒東経140度8分41.98秒座標:北緯35度43分2.84秒 東経140度8分41.98秒","2面2線","","","","KS32","15,716人/日-2019年-","","","","","","",""
"志津川駅","志津川駅（しづがわえき）","https://ja.wikipedia.org/wiki/志津川駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","■気仙沼線BRT","33.7 km（前谷地起点）","東日本旅客鉄道（JR東日本）","2012年（平成24年）8月20日*","地上駅","","","業務委託駅","","38人/日（降車客含まず）-2019年-","","","","","","","","",""
"志津川中央団地駅","志津川中央団地駅（しづがわちゅうおうだんちえき）","https://ja.wikipedia.org/wiki/志津川中央団地駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","■気仙沼線BRT","35.6[1] km（前谷地起点）","東日本旅客鉄道（JR東日本）","2018年（平成30年）7月1日","地上駅","","","無人駅","","13人/日（降車客含まず）-2019年-","","","","","","","","",""
"伊豆箱根鉄道十国鋼索線","十国峠駅（じっこくとうげえき）","https://ja.wikipedia.org/wiki/伊豆箱根鉄道十国鋼索線","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","","","","","","","","","","","","","","","十国峠ケーブルカー","鋼索鉄道","起点：十国登り口駅終点：十国峠駅","2駅","1956年10月16日 (1956-10-16)"
"伊豆箱根鉄道十国鋼索線","十国登り口駅（じっこくのぼりぐちえき）","https://ja.wikipedia.org/wiki/伊豆箱根鉄道十国鋼索線","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","","","","","","","","","","","","","","","十国峠ケーブルカー","鋼索鉄道","起点：十国登り口駅終点：十国峠駅","2駅","1956年10月16日 (1956-10-16)"
"尻手駅","尻手駅（しってえき・東日本旅客鉄道南武線）","https://ja.wikipedia.org/wiki/尻手駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度31分51.8秒東経139度41分3.8秒","■南武線","1.7 km（川崎起点）","東日本旅客鉄道（JR東日本）","1927年（昭和2年）3月9日[1]","高架駅","川崎市幸区南幸町三丁目107番地北緯35度31分51.8秒東経139度41分3.8秒﻿ / ﻿北緯35.531056度 東経139.684389度﻿ /35.531056; 139.684389座標:北緯35度31分51.8秒東経139度41分3.8秒﻿ / ﻿北緯35.531056度 東経139.684389度﻿ /35.531056; 139.684389","2面3線","直営駅（管理駅）みどりの窓口有横浜市内駅","ツテ","15,067人/日（降車客含まず）-2019年-","JN02","","","","","","","",""
"知手駅","知手駅（しってえき・鹿島臨海鉄道鹿島臨港線）","https://ja.wikipedia.org/wiki/知手駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度52分58.5秒東経140度42分0.6秒","鹿島臨港線","16.4 km（鹿島サッカースタジアム起点）","鹿島臨海鉄道","1970年（昭和45年）7月21日","地上駅","茨城県神栖市東和田北緯35度52分58.5秒東経140度42分0.6秒座標:北緯35度52分58.5秒 東経140度42分0.6秒","","貨物専用駅","","","","","","","","","","",""
"七宝駅","七宝駅（しっぽうえき）","https://ja.wikipedia.org/wiki/七宝駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度11分45秒東経136度48分23秒","津島線","3.7 km（須ヶ口起点）","名古屋鉄道","1914年（大正3年）1月23日","地上駅","愛知県あま市七宝町沖之島返上地82-1北緯35度11分45秒東経136度48分23秒﻿ / ﻿北緯35.19583度 東経136.80639度﻿ /35.19583; 136.80639座標:北緯35度11分45秒東経136度48分23秒﻿ / ﻿北緯35.19583度 東経136.80639度﻿ /35.19583; 136.80639","相対式 2面2線","","","","TB  02 ","5,313人/日-2019年[1]-","","","","","","",""
"為栗駅","為栗駅（してぐりえき）","https://ja.wikipedia.org/wiki/為栗駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度18分41.78秒東経137度50分54.66秒","CD飯田線","98.5 km（豊橋起点）","東海旅客鉄道（JR東海）","1936年（昭和11年）8月19日[1]","地上駅","長野県下伊那郡天龍村平岡[1]北緯35度18分41.78秒東経137度50分54.66秒﻿ / ﻿北緯35.3116056度 東経137.8485167度﻿ /35.3116056; 137.8485167座標:北緯35度18分41.78秒東経137度50分54.66秒﻿ / ﻿北緯35.3116056度 東経137.8485167度﻿ /35.3116056; 137.8485167","1面1線[1]","駅員無配置駅[1]標高：319m[1]","シテ[1]","2人/日（降車客含まず）-2018年-","","","","","","","","",""
"四天王寺前夕陽ヶ丘駅","四天王寺前夕陽ヶ丘駅（してんのうじまえゆうひがおかえき）","https://ja.wikipedia.org/wiki/四天王寺前夕陽ヶ丘駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度39分30.73秒東経135度30分50.88秒","●谷町線","16.9 km（大日起点）","大阪市高速電気軌道(Osaka Metro)","1968年（昭和43年）12月17日","地下駅","大阪市天王寺区夕陽丘町北緯34度39分30.73秒東経135度30分50.88秒﻿ / ﻿北緯34.6585361度 東経135.5141333度﻿ /34.6585361; 135.5141333﻿ (四天王寺前夕陽ヶ丘駅*)","2面2線","*1997年四天王寺前駅から改称","","11,012人/日（降車客含まず）-2020年-"," T26 ","22,264人/日-2020年-","","","","","","",""
"志度駅","志度駅（しどえき）","https://ja.wikipedia.org/wiki/志度駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度19分17.85秒東経134度10分22.08秒","■高徳線","16.3 km（高松起点）","四国旅客鉄道（JR四国）","1925年（大正14年）8月1日","地上駅（橋上駅）[1]","香川県さぬき市志度字御所488番地2北緯34度19分17.85秒東経134度10分22.08秒﻿ / ﻿北緯34.3216250度 東経134.1728000度﻿ /34.3216250; 134.1728000﻿ (志度駅)座標:北緯34度19分17.85秒東経134度10分22.08秒﻿ / ﻿北緯34.3216250度 東経134.1728000度﻿ /34.3216250; 134.1728000﻿ (志度駅)","2面3線","駅長配置駅みどりの窓口有","シト","1,060人/日（降車客含まず）-2018年-","○T19","2,024人/日-2018年-","琴電志度駅（高松琴平電気鉄道志度線）","","","","","",""
"自動車学校前駅","自動車学校前駅（じどうしゃがっこうまええき）","https://ja.wikipedia.org/wiki/自動車学校前駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度44分51.54秒東経137度45分6.47秒","鉄道線","5.3 km（新浜松駅起点）","遠州鉄道","1909年（明治42年）12月6日","地上駅","浜松市東区有玉南町1739北緯34度44分51.54秒東経137度45分6.47秒﻿ / ﻿北緯34.7476500度 東経137.7517972度﻿ /34.7476500; 137.7517972座標:北緯34度44分51.54秒東経137度45分6.47秒﻿ / ﻿北緯34.7476500度 東経137.7517972度﻿ /34.7476500; 137.7517972","1面2線","* 1909年市場駅→1923年遠州市場駅→1966年自動車学校前駅** 1日当たりの乗車人員は、年間の乗車人員を日数で除することにより算出した。","","**1,008人/日（降車客含まず）-2019年-"," 08 ","**2,010人/日-2019年-","","","","","","",""
"地名駅","地名駅（じなえき）","https://ja.wikipedia.org/wiki/地名駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度59分9.79秒東経138度5分14.15秒","大井川本線","22.9 km（金谷起点）","大井川鐵道","1930年（昭和5年）7月16日","地上駅","静岡県榛原郡川根本町地名北緯34度59分9.79秒東経138度5分14.15秒﻿ / ﻿北緯34.9860528度 東経138.0872639度﻿ /34.9860528; 138.0872639座標:北緯34度59分9.79秒東経138度5分14.15秒﻿ / ﻿北緯34.9860528度 東経138.0872639度﻿ /34.9860528; 138.0872639","島式 1面2線","簡易委託駅","","8人/日（降車客含まず）-2019年-","","16人/日-2019年-","","","","","","",""
"品井沼駅","品井沼駅（しないぬまえき）","https://ja.wikipedia.org/wiki/品井沼駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯38度25分53.31秒東経141度4分56.38秒","■東北本線","381.6 km（東京起点）","東日本旅客鉄道（JR東日本）","1932年（昭和7年）12月26日[1]","地上駅","宮城県宮城郡松島町幡谷字鹿渡37北緯38度25分53.31秒東経141度4分56.38秒座標:北緯38度25分53.31秒 東経141度4分56.38秒","2面2線[1]","簡易委託駅","シナ","289人/日（降車客含まず）-2019年-","","","","","","","","",""
"品川駅","品川駅（しながわえき）","https://ja.wikipedia.org/wiki/品川駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東海旅客鉄道（JR東海・駅詳細）日本貨物鉄道（JR貨物）京浜急行電鉄（駅詳細）","","","東京都港区","","","","","","","","","","","","",""
"品川シーサイド駅","品川シーサイド駅（しながわシーサイドえき）","https://ja.wikipedia.org/wiki/品川シーサイド駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度36分35秒東経139度44分59秒","●りんかい線","8.9 km（新木場起点）","東京臨海高速鉄道","2002年（平成14年）12月1日[1]","地下駅","東京都品川区東品川四丁目12-22北緯35度36分35秒東経139度44分59秒﻿ / ﻿北緯35.60972度 東経139.74972度﻿ /35.60972; 139.74972﻿ (品川シーサイド駅)座標:北緯35度36分35秒東経139度44分59秒﻿ / ﻿北緯35.60972度 東経139.74972度﻿ /35.60972; 139.74972﻿ (品川シーサイド駅)","1面2線","","シサ","24,414人/日（降車客含まず）-2019年-","R06","","","","","","","",""
