"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","種類","市場情報","本社所在地","設立"
"常盤駅 (岡山県)","常盤駅 (岡山県)（ときわえき・水島臨海鉄道水島本線）","https://ja.wikipedia.org/wiki/常盤駅_(岡山県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度32分3.06秒東経133度44分35.95秒","水島本線","8.6 km（倉敷市起点）","水島臨海鉄道","岡山県倉敷市水島東常盤町北緯34度32分3.06秒東経133度44分35.95秒座標:北緯34度32分3.06秒 東経133度44分35.95秒","高架駅","1992年（平成4年）9月7日","1面1線","無人駅","トキ","MR7","363人/日-2018年-","181人/日（降車客含まず）-2018年-","","","","","","",""
"ときわ台駅 (東京都)","ときわ台駅 (東京都)（ときわだいえき・東武東上本線）","https://ja.wikipedia.org/wiki/ときわ台駅_(東京都)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度45分31.1秒東経139度41分22.8秒","■東上本線","4.7 km（池袋起点）","東武鉄道","東京都板橋区常盤台一丁目43-1北緯35度45分31.1秒東経139度41分22.8秒﻿ / ﻿北緯35.758639度 東経139.689667度﻿ /35.758639; 139.689667座標:北緯35度45分31.1秒東経139度41分22.8秒﻿ / ﻿北緯35.758639度 東経139.689667度﻿ /35.758639; 139.689667","地上駅","1935年（昭和10年）10月20日","1面2線","*1951年（昭和26年）に「武蔵常盤駅」から改称。","トワ","TJ06","47,894人/日-2019年-","","","","","","","",""
"ときわ台駅 (大阪府)","ときわ台駅 (大阪府)（ときわだいえき・能勢電鉄妙見線）","https://ja.wikipedia.org/wiki/ときわ台駅_(大阪府)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度54分20.84秒東経135度26分16.32秒","妙見線","11.2 km（川西能勢口起点）","能勢電鉄","大阪府豊能郡豊能町ときわ台1丁目北緯34度54分20.84秒東経135度26分16.32秒﻿ / ﻿北緯34.9057889度 東経135.4378667度﻿ /34.9057889; 135.4378667座標:北緯34度54分20.84秒東経135度26分16.32秒﻿ / ﻿北緯34.9057889度 東経135.4378667度﻿ /34.9057889; 135.4378667","地上駅","1968年（昭和43年）7月7日[1]","単式1面1線","","","●NS13","","","","2,205人/日-2019年-","","","","",""
"常盤平駅","常盤平駅（ときわだいらえき）","https://ja.wikipedia.org/wiki/常盤平駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度48分12秒東経139度57分0.7秒","■新京成線","5.6 km（松戸起点）","新京成電鉄","千葉県松戸市常盤平1番地の29[1]北緯35度48分12秒東経139度57分0.7秒﻿ / ﻿北緯35.80333度 東経139.950194度﻿ /35.80333; 139.950194座標:北緯35度48分12秒東経139度57分0.7秒﻿ / ﻿北緯35.80333度 東経139.950194度﻿ /35.80333; 139.950194","地上駅（橋上駅）","1955年（昭和30年）4月21日[1]","1面2線","","","SL06","18,988人/日-2019年-","","","","","","","",""
"徳庵駅","徳庵駅（とくあんえき）","https://ja.wikipedia.org/wiki/徳庵駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度41分32.77秒東経135度34分52.81秒","H片町線（学研都市線）","39.8 km（木津起点）","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）","大阪府東大阪市稲田上町一丁目1-19北緯34度41分32.77秒東経135度34分52.81秒﻿ / ﻿北緯34.6924361度 東経135.5813361度﻿ /34.6924361; 135.5813361座標:北緯34度41分32.77秒東経135度34分52.81秒﻿ / ﻿北緯34.6924361度 東経135.5813361度﻿ /34.6924361; 135.5813361","地上駅（橋上駅）","1895年（明治28年）8月22日","2面3線（旅客使用は2面2線)","直営駅みどりの券売機プラス設置駅","アン","JR-H38","","10,679人/日（降車客含まず）-2019年-","","","","","","",""
"徳佐駅","徳佐駅（とくさえき）","https://ja.wikipedia.org/wiki/徳佐駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度23分59.87秒東経131度43分13.51秒","■山口線","49.9 km（新山口起点）","西日本旅客鉄道（JR西日本）","山口県山口市阿東徳佐中北緯34度23分59.87秒東経131度43分13.51秒﻿ / ﻿北緯34.3999639度 東経131.7204194度﻿ /34.3999639; 131.7204194座標:北緯34度23分59.87秒東経131度43分13.51秒﻿ / ﻿北緯34.3999639度 東経131.7204194度﻿ /34.3999639; 131.7204194","地上駅","1918年（大正7年）11月3日","1面2線","簡易委託駅POS端末設置","トサ","","","71人/日（降車客含まず）-2019年-","","","","","","",""
"徳沢駅","徳沢駅（とくさわえき）","https://ja.wikipedia.org/wiki/徳沢駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","■磐越西線","118.0 km（郡山起点）","東日本旅客鉄道（JR東日本）","","地上駅","1914年（大正3年）11月1日[1]","1面2線[2]","簡易委託駅[2]","トワ","","","14人/日（降車客含まず）-2012年-","","","","","","",""
"徳重駅 (名古屋市)","徳重駅（とくしげえき）","https://ja.wikipedia.org/wiki/徳重駅_(名古屋市)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度5分40.16秒東経136度59分53.34秒","桜通線[1]","19.1 km（中村区役所起点）","名古屋市交通局（名古屋市営地下鉄）","名古屋市緑区乗鞍二丁目102-1北緯35度5分40.16秒東経136度59分53.34秒﻿ / ﻿北緯35.0944889度 東経136.9981500度﻿ /35.0944889; 136.9981500﻿ (徳重駅)座標:北緯35度5分40.16秒東経136度59分53.34秒﻿ / ﻿北緯35.0944889度 東経136.9981500度﻿ /35.0944889; 136.9981500﻿ (徳重駅)","地下駅","2011年（平成23年）3月27日[1]","1面2線","","","S21","20,925[2]人/日-2019年-","10,427人/日（降車客含まず）-2019年-","","","","","","",""
"徳重・名古屋芸大駅","徳重・名古屋芸大駅（とくしげ・なごやげいだいえき）","https://ja.wikipedia.org/wiki/徳重・名古屋芸大駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度15分21.6秒東経136度52分24.15秒","犬山線","7.3 km（枇杷島分岐点起点）","名古屋鉄道","愛知県北名古屋市徳重広畑35北緯35度15分21.6秒東経136度52分24.15秒﻿ / ﻿北緯35.256000度 東経136.8733750度﻿ /35.256000; 136.8733750座標:北緯35度15分21.6秒東経136度52分24.15秒﻿ / ﻿北緯35.256000度 東経136.8733750度﻿ /35.256000; 136.8733750","地上駅（橋上駅）","1912年（大正元年）8月6日","2面2線","特殊勤務駅（駅集中管理システム導入駅）*2005年徳重より改称","","IY  05 ","10,832人/日-2019年[1]-","","","","","","","",""
"徳島駅","徳島駅（とくしまえき）","https://ja.wikipedia.org/wiki/徳島駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度4分28.71秒東経134度33分2.75秒","■高徳線（■徳島線・■鳴門線直通含む）","74.5 km（高松起点）","四国旅客鉄道（JR四国）","徳島県徳島市寺島本町西一丁目61北緯34度4分28.71秒東経134度33分2.75秒﻿ / ﻿北緯34.0746417度 東経134.5507639度﻿ /34.0746417; 134.5507639座標:北緯34度4分28.71秒東経134度33分2.75秒﻿ / ﻿北緯34.0746417度 東経134.5507639度﻿ /34.0746417; 134.5507639","地上駅","1899年（明治32年）2月16日","2面4線","みどりの窓口有","トク","○T00","16,224人/日-2018年-","8,129人/日（降車客含まず）-2018年-","","","","","","",""
"徳宿駅","徳宿駅（とくしゅくえき）","https://ja.wikipedia.org/wiki/徳宿駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度11分24.71秒東経140度30分52.33秒","大洗鹿島線","26.7 km（水戸起点）","鹿島臨海鉄道","茨城県鉾田市徳宿795-3北緯36度11分24.71秒東経140度30分52.33秒﻿ / ﻿北緯36.1901972度 東経140.5145361度﻿ /36.1901972; 140.5145361座標:北緯36度11分24.71秒東経140度30分52.33秒﻿ / ﻿北緯36.1901972度 東経140.5145361度﻿ /36.1901972; 140.5145361","地上駅","1985年（昭和60年）3月14日","1面1線","無人駅","","","68人/日-2018年-","","","","","","","",""
"徳田駅 (石川県)","徳田駅 (石川県)（とくだえき・西日本旅客鉄道七尾線）","https://ja.wikipedia.org/wiki/徳田駅_(石川県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯37度0分27秒東経136度55分49秒","■七尾線","48.9 km（津幡起点）金沢から60.4 km","西日本旅客鉄道（JR西日本）","石川県七尾市下町戊21北緯37度0分27秒東経136度55分49秒﻿ / ﻿北緯37.00750度 東経136.93028度﻿ /37.00750; 136.93028座標:北緯37度0分27秒東経136度55分49秒﻿ / ﻿北緯37.00750度 東経136.93028度﻿ /37.00750; 136.93028","地上駅","1898年（明治31年）4月24日[1]","2面2線[1]","無人駅[1]（自動券売機 有）","トタ","","","","","","","","","",""
"徳田駅 (三重県)","徳田駅 (三重県)（とくだえき・伊勢鉄道伊勢線）","https://ja.wikipedia.org/wiki/徳田駅_(三重県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度49分33.4秒東経136度32分38.4秒","伊勢線","11.1 km（河原田起点）","伊勢鉄道","三重県鈴鹿市徳田町北緯34度49分33.4秒東経136度32分38.4秒﻿ / ﻿北緯34.825944度 東経136.544000度﻿ /34.825944; 136.544000座標:北緯34度49分33.4秒東経136度32分38.4秒﻿ / ﻿北緯34.825944度 東経136.544000度﻿ /34.825944; 136.544000","高架駅（盛土上）","1991年（平成3年）3月16日[1]","2面2線","無人駅","","7","","28人/日（降車客含まず）-2019年-","","","","","","",""
"徳永駅","徳永駅（とくながえき）","https://ja.wikipedia.org/wiki/徳永駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度48分18.35秒東経136度54分12.55秒","越美南線","55.9 km（美濃太田起点）","長良川鉄道","岐阜県郡上市大和町徳永北緯35度48分18.35秒東経136度54分12.55秒﻿ / ﻿北緯35.8050972度 東経136.9034861度﻿ /35.8050972; 136.9034861座標:北緯35度48分18.35秒東経136度54分12.55秒﻿ / ﻿北緯35.8050972度 東経136.9034861度﻿ /35.8050972; 136.9034861","地上駅","1955年3月1日[1]","1面1線","無人駅","トクトクナガ（転換前）","28","","30人/日（降車客含まず）-2015年-","","","","","","",""
"徳益駅","徳益駅（とくますえき）","https://ja.wikipedia.org/wiki/徳益駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度9分18.34秒東経130度25分36.74秒","■天神大牟田線","59.7 km（西鉄福岡（天神）起点）","西日本鉄道","福岡県柳川市大和町徳益北緯33度9分18.34秒東経130度25分36.74秒﻿ / ﻿北緯33.1550944度 東経130.4268722度﻿ /33.1550944; 130.4268722座標:北緯33度9分18.34秒東経130度25分36.74秒﻿ / ﻿北緯33.1550944度 東経130.4268722度﻿ /33.1550944; 130.4268722","地上駅","1938年（昭和13年）9月1日","1面1線","無人駅","","T  40 ","209人/日-2019年-","","","","","","","",""
"徳丸駅","徳丸駅（とくまるえき）","https://ja.wikipedia.org/wiki/徳丸駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度21分52秒東経134度20分8.5秒","若桜線","11.6 km（郡家起点）","若桜鉄道","鳥取県八頭郡八頭町徳丸北緯35度21分52秒東経134度20分8.5秒座標:北緯35度21分52秒 東経134度20分8.5秒","地上駅","2002年（平成14年）3月23日","1面1線","無人駅","トク","","32人/日-2018年-","","","","","","","",""
"徳山駅","徳山駅（とくやまえき）","https://ja.wikipedia.org/wiki/徳山駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度3分4.3秒東経131度48分8.1秒","■山陽新幹線","430.1km（新大阪起点）東京から982.7 km","西日本旅客鉄道（JR西日本）","山口県周南市御幸通二丁目28北緯34度3分4.3秒東経131度48分8.1秒﻿ / ﻿北緯34.051194度 東経131.802250度﻿ /34.051194; 131.802250座標:北緯34度3分4.3秒東経131度48分8.1秒﻿ / ﻿北緯34.051194度 東経131.802250度﻿ /34.051194; 131.802250","高架駅（新幹線）地上駅（橋上駅）（在来線）","1897年（明治30年）9月25日","2面2線（新幹線）2面3線（在来線）","直営駅（事実上の管理駅）みどりの窓口有","トマ","","","7,542人/日（降車客含まず）-2019年-","","","","","","",""
"戸倉駅","戸倉駅（とぐらえき）","https://ja.wikipedia.org/wiki/戸倉駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度29分31.69秒東経138度9分11.28秒","■しなの鉄道線","54.9 km（軽井沢起点）","しなの鉄道","長野県千曲市大字戸倉[1]1445北緯36度29分31.69秒東経138度9分11.28秒﻿ / ﻿北緯36.4921361度 東経138.1531333度﻿ /36.4921361; 138.1531333座標:北緯36度29分31.69秒東経138度9分11.28秒﻿ / ﻿北緯36.4921361度 東経138.1531333度﻿ /36.4921361; 138.1531333","地上駅","1912年（明治45年）2月11日[1]","2面3線[1]","終日駅員配置[1]標高：376m[1]","トク[1]","","","1,151人/日（降車客含まず）-2017年-","","","","","","",""
"徳力嵐山口駅","徳力嵐山口駅（とくりきあらしやまぐちえき）","https://ja.wikipedia.org/wiki/徳力嵐山口駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度49分29.2秒東経130度51分49.5秒","■小倉線","7.3 km（小倉起点）","北九州高速鉄道（モノレール）","北九州市小倉南区徳力六丁目北緯33度49分29.2秒東経130度51分49.5秒","高架駅","1985年（昭和60年）1月9日[1]","2面2線","","","11","3,125人/日-2019年-","","","","","","","",""
"徳力公団前駅","徳力公団前駅（とくりきこうだんまええき）","https://ja.wikipedia.org/wiki/徳力公団前駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度49分49.5秒東経130度52分3.1秒","■小倉線","6.6 km（小倉起点）","北九州高速鉄道（モノレール）","北九州市小倉南区徳力一丁目北緯33度49分49.5秒東経130度52分3.1秒","高架駅","1985年（昭和60年）1月9日[1]","2面2線","","","10","4,410人/日-2019年-","2,218人/日（降車客含まず）-2019年-","","","","","","",""
"徳和駅","徳和駅（とくわえき）","https://ja.wikipedia.org/wiki/徳和駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度33分16.85秒東経136度33分11.40秒","紀勢本線","37.6 km（亀山起点）","東海旅客鉄道（JR東海）","三重県松阪市下村町1855北緯34度33分16.85秒東経136度33分11.40秒","地上駅","1894年（明治27年）12月31日","2面2線","駅員無配置駅","トク","","","412人/日（降車客含まず）-2019年-","","","","","","",""
