"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"幸谷駅","幸谷駅（こうやえき・流鉄流山線）","https://ja.wikipedia.org/wiki/幸谷駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度49分35.8秒東経139度55分11.6秒","■流山線","1.7 km（馬橋起点）","流鉄","地上駅","1961年（昭和36年）2月3日[2]","単式 1面1線[1]","千葉県松戸市新松戸北緯35度49分35.8秒東経139度55分11.6秒﻿ / ﻿北緯35.826611度 東経139.919889度﻿ /35.826611; 139.919889座標:北緯35度49分35.8秒東経139度55分11.6秒﻿ / ﻿北緯35.826611度 東経139.919889度﻿ /35.826611; 139.919889","1982年 現在地に移設[3]","RN2","","2,246人/日（降車客含まず）-2015年-","","新松戸駅（JR東日本）","","","","","",""
"高野駅 (東京都)","高野駅 (東京都)（こうやえき・東京都交通局日暮里・舎人ライナー）","https://ja.wikipedia.org/wiki/高野駅_(東京都)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度46分6.3秒東経139度46分14.5秒","日暮里・舎人ライナー","4.6 km（日暮里起点）","東京都交通局","高架駅","2008年（平成20年）3月30日[1]","1面2線","東京都足立区扇二丁目45-1北緯35度46分6.3秒東経139度46分14.5秒﻿ / ﻿北緯35.768417度 東経139.770694度﻿ /35.768417; 139.770694﻿ (高野駅)座標:北緯35度46分6.3秒東経139度46分14.5秒﻿ / ﻿北緯35.768417度 東経139.770694度﻿ /35.768417; 139.770694﻿ (高野駅)","無人駅","NT07","高（駅名略称）","","6,295人/日-2019年-","","","","","","",""
"高野口駅","高野口駅（こうやぐちえき）","https://ja.wikipedia.org/wiki/高野口駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度18分27.1秒東経135度33分26秒","T和歌山線","50.6 km（王寺起点）","西日本旅客鉄道（JR西日本）","地上駅","1901年（明治34年）3月29日[1]","2面2線","和歌山県橋本市高野口町名倉790-2北緯34度18分27.1秒東経135度33分26秒﻿ / ﻿北緯34.307528度 東経135.55722度﻿ /34.307528; 135.55722座標:北緯34度18分27.1秒東経135度33分26秒﻿ / ﻿北緯34.307528度 東経135.55722度﻿ /34.307528; 135.55722","業務委託駅*1903年に名倉駅から改称。","","コク","582人/日（降車客含まず）-2019年-","","","","","","","",""
"高野山駅","高野山駅（こうやさんえき）","https://ja.wikipedia.org/wiki/高野山駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度13分39.53秒東経135度34分38.46秒","■鋼索線（高野山ケーブル）","0.8km（極楽橋起点）汐見橋から65.3km難波から64.6 km","南海電気鉄道","地上駅","1930年（昭和5年）6月29日","2面1線","和歌山県伊都郡高野町大字高野山国有林第9林班ノは北緯34度13分39.53秒東経135度34分38.46秒﻿ / ﻿北緯34.2276472度 東経135.5773500度﻿ /34.2276472; 135.5773500座標:北緯34度13分39.53秒東経135度34分38.46秒﻿ / ﻿北緯34.2276472度 東経135.5773500度﻿ /34.2276472; 135.5773500","業務委託駅","NK 87","ヤマ","","2,010人/日-2019年-","","","","","","",""
"高野下駅","高野下駅（こうやしたえき）","https://ja.wikipedia.org/wiki/高野下駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度16分18.7秒東経135度33分58.85秒","■高野線","54.2km（汐見橋起点）難波から53.5 km","南海電気鉄道","地上駅（盛土駅）","1925年（大正14年）7月30日","1面2線","和歌山県伊都郡九度山町大字椎出8番地1北緯34度16分18.7秒東経135度33分58.85秒﻿ / ﻿北緯34.271861度 東経135.5663472度﻿ /34.271861; 135.5663472座標:北緯34度16分18.7秒東経135度33分58.85秒﻿ / ﻿北緯34.271861度 東経135.5663472度﻿ /34.271861; 135.5663472","無人駅*開業の約1ヶ月後に高野山駅から改称","NK 81","","","86人/日-2019年-","","","","","","",""
"荒野台駅","荒野台駅（こうやだいえき）","https://ja.wikipedia.org/wiki/荒野台駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度0分59.99秒東経140度37分31.21秒","大洗鹿島線","50.1 km（水戸起点）","鹿島臨海鉄道","地上駅","1985年（昭和60年）3月14日","1面1線(単式ホーム)","茨城県鹿嶋市大字荒野1565-44北緯36度0分59.99秒東経140度37分31.21秒﻿ / ﻿北緯36.0166639度 東経140.6253361度﻿ /36.0166639; 140.6253361座標:北緯36度0分59.99秒東経140度37分31.21秒﻿ / ﻿北緯36.0166639度 東経140.6253361度﻿ /36.0166639; 140.6253361","無人駅","","","","178人/日-2018年-","","","","","","",""
"甲陽園駅","甲陽園駅（こうようえんえき）","https://ja.wikipedia.org/wiki/甲陽園駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度45分39.31秒東経135度19分47.87秒","■甲陽線","2.2 km（夙川起点）","阪急電鉄","地上駅[2]","1924年（大正13年）10月1日[2]","1面1線*[2]","兵庫県西宮市甲陽園若江町7番19号[1]北緯34度45分39.31秒東経135度19分47.87秒﻿ / ﻿北緯34.7609194度 東経135.3299639度﻿ /34.7609194; 135.3299639座標:北緯34度45分39.31秒東経135度19分47.87秒﻿ / ﻿北緯34.7609194度 東経135.3299639度﻿ /34.7609194; 135.3299639","","HK30","","","","","（通年平均） 9,858人/日-2019年-","6,723人/日（降車客含まず）-2019年-","","","",""
"光洋台駅","光洋台駅（こうようだいえき）","https://ja.wikipedia.org/wiki/光洋台駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度55分36.93秒東経132度45分39.79秒","■予讃線","182.3 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1986年（昭和61年）11月1日","1面1線","愛媛県松山市小川北緯33度55分36.93秒東経132度45分39.79秒﻿ / ﻿北緯33.9269250度 東経132.7610528度﻿ /33.9269250; 132.7610528座標:北緯33度55分36.93秒東経132度45分39.79秒﻿ / ﻿北緯33.9269250度 東経132.7610528度﻿ /33.9269250; 132.7610528","無人駅（自動券売機 有）","○Y51","コヨ","","252[1]人/日-2019年-","","","","","","",""
"小浦駅 (長崎県)","小浦駅（こうらえき）","https://ja.wikipedia.org/wiki/小浦駅_(長崎県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度13分19.42秒東経129度38分29.90秒","■西九州線","75.8 km（有田起点）","松浦鉄道","地上駅","1931年（昭和6年）8月29日1988年（昭和63年）4月1日（転換）","1面1線","長崎県北松浦郡佐々町小浦免北緯33度13分19.42秒東経129度38分29.90秒","","","コウ←コウラ","","314人/日-2017年-","","","","","","",""
"強羅駅","強羅駅（ごうらえき）","https://ja.wikipedia.org/wiki/強羅駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度15分2.5秒東経139度2分53.5秒","鉄道線（箱根登山電車）","15.0 km（小田原起点）","箱根登山鉄道","地上駅","1919年（大正8年）6月1日","2面2線（鉄道線）2面1線（鋼索線）","神奈川県足柄下郡箱根町強羅1300-329北緯35度15分2.5秒東経139度2分53.5秒﻿ / ﻿北緯35.250694度 東経139.048194度﻿ /35.250694; 139.048194座標:北緯35度15分2.5秒東経139度2分53.5秒﻿ / ﻿北緯35.250694度 東経139.048194度﻿ /35.250694; 139.048194","標高541m[2]","OH57","","鉄道線：2,441人/日（降車客含まず）鋼索線：1,232人/日（降車客含まず）-2018年[1]-","鉄道線：6,280人/日鋼索線：2,406人/日-2018年[1]-","","","","","","",""
"後楽園駅","後楽園駅（こうらくえんえき）","https://ja.wikipedia.org/wiki/後楽園駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度42分26.5秒東経139度45分4秒","●[1]丸ノ内線","4.8 km（池袋起点）","東京地下鉄（東京メトロ）","高架駅（丸ノ内線）地下駅（南北線）","1954年（昭和29年）1月20日","2面2線（丸ノ内線）1面2線（南北線）","東京都文京区春日一丁目2-3北緯35度42分26.5秒東経139度45分4秒﻿ / ﻿北緯35.707361度 東経139.75111度﻿ /35.707361; 139.75111﻿ (東京メトロ丸ノ内線 後楽園駅)座標:北緯35度42分26.5秒東経139度45分4秒﻿ / ﻿北緯35.707361度 東経139.75111度﻿ /35.707361; 139.75111﻿ (東京メトロ丸ノ内線 後楽園駅)（丸ノ内線）北緯35度42分26.3秒東経139度45分6.7秒﻿ / ﻿北緯35.707306度 東経139.751861度﻿ /35.707306; 139.751861﻿ (東京メトロ南北線 後楽園駅)（南北線）","駅務管区所在駅[2]","M22[1]","コラ","","106,481人/日-2019年-","I12[1]E07[1]春日駅（都営地下鉄三田線・大江戸線）","","","","","",""
"香里園駅","香里園駅（こうりえんえき）","https://ja.wikipedia.org/wiki/香里園駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度47分4.84秒東経135度37分51.74秒","■京阪本線","17.6 km（淀屋橋起点）","京阪電気鉄道","地上駅（橋上駅）","1910年（明治43年）4月15日","2面4線","大阪府寝屋川市香里南之町19-1北緯34度47分4.84秒東経135度37分51.74秒﻿ / ﻿北緯34.7846778度 東経135.6310389度﻿ /34.7846778; 135.6310389﻿ (香里園駅*)座標:北緯34度47分4.84秒東経135度37分51.74秒﻿ / ﻿北緯34.7846778度 東経135.6310389度﻿ /34.7846778; 135.6310389﻿ (香里園駅*)","*1938年に香里駅から改称","KH  18","香（駅名略称方式）","","59,025人/日-2019年-","","","","","","",""
"公立病院前駅","公立病院前駅（こうりつびょういんまええき）","https://ja.wikipedia.org/wiki/公立病院前駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯32度15分21.5秒東経130度55分18.4秒","■湯前線","18.5 km（人吉温泉駅起点）","くま川鉄道","地上駅","1989年（平成元年）10月1日","1面1線","熊本県球磨郡多良木町大字多良木北緯32度15分21.5秒東経130度55分18.4秒﻿ / ﻿北緯32.255972度 東経130.921778度﻿ /32.255972; 130.921778﻿ (公立病院前駅)座標:北緯32度15分21.5秒東経130度55分18.4秒﻿ / ﻿北緯32.255972度 東経130.921778度﻿ /32.255972; 130.921778﻿ (公立病院前駅)","無人駅","","","","19人/日-2018年-","","","","","","",""
"香呂駅","香呂駅（こうろえき）","https://ja.wikipedia.org/wiki/香呂駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度54分40.36秒東経134度44分9.49秒","J播但線","11.2 km（姫路起点）","西日本旅客鉄道（JR西日本）","地上駅[1]","1894年（明治27年）7月26日[1]","2面2線","兵庫県姫路市香寺町中屋28-2北緯34度54分40.36秒東経134度44分9.49秒﻿ / ﻿北緯34.9112111度 東経134.7359694度﻿ /34.9112111; 134.7359694座標:北緯34度54分40.36秒東経134度44分9.49秒﻿ / ﻿北緯34.9112111度 東経134.7359694度﻿ /34.9112111; 134.7359694","業務委託駅[1]みどりの窓口有","","コロ","1,557人/日（降車客含まず）-2016年-","","","","","","","",""
"香櫨園駅","香櫨園駅（こうろえんえき）","https://ja.wikipedia.org/wiki/香櫨園駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度44分4秒東経135度19分44.98秒","本線","17.8 km（梅田起点）","阪神電気鉄道","高架駅[1]","1907年（明治40年）4月1日[1]","2面2線[1]","兵庫県西宮市松下町1-1北緯34度44分4秒東経135度19分44.98秒﻿ / ﻿北緯34.73444度 東経135.3291611度﻿ /34.73444; 135.3291611﻿ (香櫨園駅*)座標:北緯34度44分4秒東経135度19分44.98秒﻿ / ﻿北緯34.73444度 東経135.3291611度﻿ /34.73444; 135.3291611﻿ (香櫨園駅*)","*2001年に香枦園駅から改称[1]","○HS 18","","","","","","5,764人/日（降車客含まず）-2019年-","","","",""
"河和駅","河和駅（こうわえき）","https://ja.wikipedia.org/wiki/河和駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度46分41秒東経136度54分43秒","河和線","28.8 km（太田川起点）","名古屋鉄道","地上駅","1935年（昭和10年）8月1日","頭端式2面4線","知多郡美浜町河和北田面5-1北緯34度46分41秒東経136度54分43秒﻿ / ﻿北緯34.77806度 東経136.91194度﻿ /34.77806; 136.91194座標:北緯34度46分41秒東経136度54分43秒﻿ / ﻿北緯34.77806度 東経136.91194度﻿ /34.77806; 136.91194","有人駅","KC  19 ","","","4,119人/日-2019年[1]-","","","","","","",""
"河和口駅","河和口駅（こうわぐちえき）","https://ja.wikipedia.org/wiki/河和口駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度47分50.2秒東経136度55分8.3秒","河和線","25.8 km（太田川起点）","名古屋鉄道","地上駅","1932年（昭和7年）7月1日","2面2線","知多郡美浜町布土中平井33-1北緯34度47分50.2秒東経136度55分8.3秒﻿ / ﻿北緯34.797278度 東経136.918972度﻿ /34.797278; 136.918972﻿ (河和口駅)座標:北緯34度47分50.2秒東経136度55分8.3秒﻿ / ﻿北緯34.797278度 東経136.918972度﻿ /34.797278; 136.918972﻿ (河和口駅)","無人駅（駅集中管理システム導入駅）","KC  18 ","","","567人/日-2019年[1]-","なし","","","","","",""
"郡家駅","郡家駅（こおげえき）","https://ja.wikipedia.org/wiki/郡家駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度24分47.69秒東経134度15分4.72秒","B因美線（JR西日本）","10.3 km（鳥取起点）","西日本旅客鉄道（JR西日本）若桜鉄道","地上駅","1919年（大正8年）12月20日","2面3線","鳥取県八頭郡八頭町郡家字石橋649北緯35度24分47.69秒東経134度15分4.72秒","共同使用駅（JR西日本の管轄駅）JR西日本直営駅みどりの窓口有","","コケ","","","","","","","","",""
"桑折駅","桑折駅（こおりえき）","https://ja.wikipedia.org/wiki/桑折駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯37度51分19.00秒東経140度31分3.09秒","■東北本線","285.9 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1887年（明治20年）12月15日","2面2線","福島県伊達郡桑折町大字南半田字六角北緯37度51分19.00秒東経140度31分3.09秒座標:北緯37度51分19.00秒 東経140度31分3.09秒","業務委託駅","","クワ","621人/日（降車客含まず）-2019年-","","","","","","","",""
"郡元駅","郡元駅（こおりもとえき・九州旅客鉄道指宿枕崎線）","https://ja.wikipedia.org/wiki/郡元駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯31度33分55.58秒東経130度32分31.64秒","指宿枕崎線","2.2 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","地上駅","1986年（昭和61年）12月1日","1面1線","鹿児島県鹿児島市唐湊四丁目17北緯31度33分55.58秒東経130度32分31.64秒","無人駅駅集中管理システム（Smart Support Station）採用[1]","","コオ","1,103人/日（降車客含まず）-2019年-","","","","","","","",""
