"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","駅番号","備考","電報略号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","通称","国","種類","起点","終点","駅数"
"倉賀野駅","倉賀野駅（くらがのえき）","https://ja.wikipedia.org/wiki/倉賀野駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度18分1.01秒東経139度2分57.01秒","■高崎線","70.3km（大宮起点）東京から尾久経由で100.8 km","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","地上駅（橋上駅）","1894年（明治27年）5月1日[2]","群馬県高崎市倉賀野町1797（JR東日本）群馬県高崎市東中里町65（JR貨物）北緯36度18分1.01秒東経139度2分57.01秒﻿ / ﻿北緯36.3002806度 東経139.0491694度﻿ /36.3002806; 139.0491694座標:北緯36度18分1.01秒東経139度2分57.01秒﻿ / ﻿北緯36.3002806度 東経139.0491694度﻿ /36.3002806; 139.0491694","2面4線[1]","","業務委託駅[1]","ラノ","","1,861人/日（降車客含まず）-2019年-","","","","","","",""
"苦楽園口駅","苦楽園口駅（くらくえんぐちえき）","https://ja.wikipedia.org/wiki/苦楽園口駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度45分0.65秒東経135度19分44.19秒","■甲陽線","0.9 km（夙川起点）","阪急電鉄","地上駅[2]","1925年（大正14年）3月8日[1]*","兵庫県西宮市石刎町1番22号[1]北緯34度45分0.65秒東経135度19分44.19秒﻿ / ﻿北緯34.7501806度 東経135.3289417度﻿ /34.7501806; 135.3289417座標:北緯34度45分0.65秒東経135度19分44.19秒﻿ / ﻿北緯34.7501806度 東経135.3289417度﻿ /34.7501806; 135.3289417","2面2線[2]","HK29","* 駅としての開業日。前身として越木岩信号所が存在した。","","","","","","","","","",""
"倉敷駅","倉敷駅（くらしきえき）","https://ja.wikipedia.org/wiki/倉敷駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度36分7.45秒東経133度45分56.43秒","W山陽本線","159.3 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1891年（明治24年）4月25日","岡山県倉敷市阿知一丁目1-1北緯34度36分7.45秒東経133度45分56.43秒﻿ / ﻿北緯34.6020694度 東経133.7656750度﻿ /34.6020694; 133.7656750座標:北緯34度36分7.45秒東経133度45分56.43秒﻿ / ﻿北緯34.6020694度 東経133.7656750度﻿ /34.6020694; 133.7656750","3面5線","JR-W05","直営駅（管理駅）みどりの窓口有","クラ","","19,477人/日（降車客含まず）-2019年-","倉敷市駅（水島臨海鉄道水島本線）","","","","","",""
"倉敷貨物ターミナル駅","倉敷貨物ターミナル駅（くらしきかもつターミナルえき）","https://ja.wikipedia.org/wiki/倉敷貨物ターミナル駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度31分19.6秒東経133度43分25.9秒","水島本線","11.2 km（倉敷市起点）","水島臨海鉄道","地上駅","1983年（昭和58年）4月1日","岡山県倉敷市水島西通二丁目1-7北緯34度31分19.6秒東経133度43分25.9秒座標:北緯34度31分19.6秒 東経133度43分25.9秒","","","貨物専用駅、車両基地併設。","クラタ","","","","","","","","",""
"倉敷市駅","倉敷市駅（くらしきしえき）","https://ja.wikipedia.org/wiki/倉敷市駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度36分3.59秒東経133度45分54.27秒","水島本線","0.0 km（倉敷市起点）","水島臨海鉄道","地上駅","1948年（昭和23年）8月20日","岡山県倉敷市阿知一丁目北緯34度36分3.59秒東経133度45分54.27秒座標:北緯34度36分3.59秒 東経133度45分54.27秒","1面1線","MR0","直営駅","クラシ","4,558人/日-2018年-","2,278人/日（降車客含まず）-2018年-","西日本旅客鉄道（JR西日本）倉敷駅","","","","","",""
"鞍手駅","鞍手駅（くらてえき）","https://ja.wikipedia.org/wiki/鞍手駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度47分51.73秒東経130度41分57.92秒","JC筑豊本線（福北ゆたか線）","18.7 km（若松起点）","九州旅客鉄道（JR九州）","地上駅","1987年（昭和62年）7月1日[2]","福岡県鞍手郡鞍手町大字小牧[1]574北緯33度47分51.73秒東経130度41分57.92秒﻿ / ﻿北緯33.7977028度 東経130.6994222度﻿ /33.7977028; 130.6994222﻿ (鞍手駅)","2面2線[2]","JC  22 ","無人駅駅集中管理システム（Smart Support Station）採用","クラ","","677人/日（降車客含まず）-2019年-","","","","","","",""
"倉永駅","倉永駅（くらながえき）","https://ja.wikipedia.org/wiki/倉永駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度4分20.97秒東経130度27分49.81秒","■天神大牟田線","69.6 km（西鉄福岡（天神）起点）","西日本鉄道","地上駅","1938年（昭和13年）10月1日","福岡県大牟田市大字倉永北緯33度4分20.97秒東経130度27分49.81秒﻿ / ﻿北緯33.0724917度 東経130.4638361度﻿ /33.0724917; 130.4638361座標:北緯33度4分20.97秒東経130度27分49.81秒﻿ / ﻿北緯33.0724917度 東経130.4638361度﻿ /33.0724917; 130.4638361","1面2線","T  46 ","","","1,141人/日-2019年-","","","","","","","",""
"倉橋駅","倉橋駅（くらはしえき）","https://ja.wikipedia.org/wiki/倉橋駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度44分17秒東経140度42分52.1秒","■総武本線[1]","109.2[1] km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅[1]","1960年（昭和35年）6月1日[1]","千葉県旭市倉橋1772北緯35度44分17秒東経140度42分52.1秒座標:北緯35度44分17秒 東経140度42分52.1秒","1面1線[1]","","無人駅[1]（乗車駅証明書発行機 有）","クラ","","61人/日（降車客含まず）-2006年-","","","","","","",""
"鞍馬駅","鞍馬駅（くらまえき）","https://ja.wikipedia.org/wiki/鞍馬駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度6分46.69秒東経135度46分21.13秒","■鞍馬線","8.8km（宝ケ池起点）出町柳から12.6 km","叡山電鉄","地上駅","1929年（昭和4年）12月20日[1]","京都市左京区鞍馬本町191[1]北緯35度6分46.69秒東経135度46分21.13秒﻿ / ﻿北緯35.1129694度 東経135.7725361度﻿ /35.1129694; 135.7725361﻿ (鞍馬駅)座標:北緯35度6分46.69秒東経135度46分21.13秒﻿ / ﻿北緯35.1129694度 東経135.7725361度﻿ /35.1129694; 135.7725361﻿ (鞍馬駅)","島式 1面2線"," E17 ","","","","863人/日（降車客含まず）-2017年-","","","","","","",""
"蔵前駅","蔵前駅（くらまええき）","https://ja.wikipedia.org/wiki/蔵前駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","●[2]浅草線","15.9 km（西馬込起点）","東京都交通局（都営地下鉄）","地下駅","1960年（昭和35年）12月4日[1]","","2面2線（浅草線）1面2線（大江戸線）","A17[2]","業務委託駅1984年までの副名称は「国技館前」","蔵（駅名略称）","（浅草線）37,943人/日（大江戸線）35,663人/日（合計）73,606人/日-2019年-","","両線は地上乗り換え","","","","","",""
"鞍馬口駅","鞍馬口駅（くらまぐちえき）","https://ja.wikipedia.org/wiki/鞍馬口駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度2分13.76秒東経135度45分33.44秒","烏丸線","4.6 km（国際会館起点）","京都市交通局（京都市営地下鉄）","地下駅","1981年（昭和56年）5月29日","京都市上京区上御霊中町北緯35度2分13.76秒東経135度45分33.44秒﻿ / ﻿北緯35.0371556度 東経135.7592889度﻿ /35.0371556; 135.7592889座標:北緯35度2分13.76秒東経135度45分33.44秒﻿ / ﻿北緯35.0371556度 東経135.7592889度﻿ /35.0371556; 135.7592889","1面2線","●K05","","","10,023人/日-2019年-","","","","","","","",""
"倉見駅","倉見駅（くらみえき）","https://ja.wikipedia.org/wiki/倉見駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度23分41.8秒東経139度22分42.8秒","■相模線","8.6 km（茅ケ崎起点）","東日本旅客鉄道（JR東日本）","地上駅","1926年（大正15年）4月1日","神奈川県高座郡寒川町倉見3823北緯35度23分41.8秒東経139度22分42.8秒﻿ / ﻿北緯35.394944度 東経139.378556度﻿ /35.394944; 139.378556座標:北緯35度23分41.8秒東経139度22分42.8秒﻿ / ﻿北緯35.394944度 東経139.378556度﻿ /35.394944; 139.378556","1面2線","","無人駅","ラミ","","1,947人/日（降車客含まず）-2014年-","","","","","","",""
"倉本駅","倉本駅（くらもとえき・東海旅客鉄道中央本線）","https://ja.wikipedia.org/wiki/倉本駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度43分58.46秒東経137度42分51.55秒","CF中央本線","277.7km（東京起点）名古屋から119.2 km","東海旅客鉄道（JR東海）","地上駅","1948年（昭和23年）9月1日[1]","長野県木曽郡上松町大字荻原[1]北緯35度43分58.46秒東経137度42分51.55秒﻿ / ﻿北緯35.7329056度 東経137.7143194度﻿ /35.7329056; 137.7143194﻿ (倉本駅)","2面2線[1]","","駅員無配置駅[1]標高：610.2m[1]","クラ[1]","","14人/日（降車客含まず）-2018年-","","","","","","",""
"蔵本駅","蔵本駅（くらもとえき・四国旅客鉄道徳島線）","https://ja.wikipedia.org/wiki/蔵本駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度4分45.6秒東経134度31分7.34秒","■徳島線","65.6 km（佃起点）","四国旅客鉄道（JR四国）","地上駅","1899年（明治32年）9月12日","徳島県徳島市蔵本町二丁目14番地2北緯34度4分45.6秒東経134度31分7.34秒﻿ / ﻿北緯34.079333度 東経134.5187056度﻿ /34.079333; 134.5187056座標:北緯34度4分45.6秒東経134度31分7.34秒﻿ / ﻿北緯34.079333度 東経134.5187056度﻿ /34.079333; 134.5187056","2面2線","○B02","無人駅","クモ","932人/日-2019年-","","","","","","","",""
"倉吉駅","倉吉駅（くらよしえき）","https://ja.wikipedia.org/wiki/倉吉駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度27分16.46秒東経133度50分58.34秒","A山陰本線","270.1 km（京都起点）","西日本旅客鉄道（JR西日本）","橋上駅","1903年（明治36年）12月20日","鳥取県倉吉市上井195-3北緯35度27分16.46秒東経133度50分58.34秒﻿ / ﻿北緯35.4545722度 東経133.8495389度﻿ /35.4545722; 133.8495389﻿ (倉吉駅*)","2面3線","","直営駅みどりの窓口有（臨時窓口）みどりの券売機プラス有みどりの券売機有*1912年-1972年の間は上井駅2011年1月からは橋上駅舎での営業","クヨアケ（上井駅時代）","4,440人/日-2018年-","","","","","","","",""
"グランド通停留場","グランド通停留場（グランドどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/グランド通停留場","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度33分27.63秒東経133度31分47.23秒","伊野線","1.3 km（はりまや橋起点）","とさでん交通","地上駅","1904年（明治37年）5月2日","高知県高知市升形、本町五丁目北緯33度33分27.63秒東経133度31分47.23秒﻿ / ﻿北緯33.5576750度 東経133.5297861度﻿ /33.5576750; 133.5297861﻿ (グランド通停留場*)","2面2線","","* 1952年以前に乗出停留場から改称","","","","","","","","","",""
"グランドプラザ前停留場","グランドプラザ前停留場（グランドプラザまえていりゅうじょう）","https://ja.wikipedia.org/wiki/グランドプラザ前停留場","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度41分19.9秒東経137度12分49.1秒","富山軌道線（富山都心線）","0.7 km（丸の内起点）","富山地方鉄道","地上駅","2009年（平成21年）12月23日","富山県富山市西町北緯36度41分19.9秒東経137度12分49.1秒﻿ / ﻿北緯36.688861度 東経137.213639度﻿ /36.688861; 137.213639﻿ (グランドプラザ前停留場)座標:北緯36度41分19.9秒東経137度12分49.1秒﻿ / ﻿北緯36.688861度 東経137.213639度﻿ /36.688861; 137.213639﻿ (グランドプラザ前停留場)","単式1面1線","C25","","","463[1]人/日-2019年-","","","","","","","",""
"栗丘駅","栗丘駅（くりおかえき）","https://ja.wikipedia.org/wiki/栗丘駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯43度5分8.85秒東経141度44分39.54秒","室蘭本線","195.7 km（長万部起点）","北海道旅客鉄道（JR北海道）","地上駅","1943年（昭和18年）9月25日","北海道岩見沢市栗沢町栗丘北緯43度5分8.85秒東経141度44分39.54秒﻿ / ﻿北緯43.0857917度 東経141.7443167度﻿ /43.0857917; 141.7443167﻿ (栗丘駅)","1面1線","","無人駅","クオ←クヲ","","","","","","","","",""
"倶利伽羅駅","倶利伽羅駅（くりからえき）","https://ja.wikipedia.org/wiki/倶利伽羅駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度40分20.22秒東経136度47分27.90秒","■IRいしかわ鉄道線*","17.8 km（金沢起点）米原から194.4 km","IRいしかわ鉄道あいの風とやま鉄道","地上駅","1909年（明治42年）6月15日","石川県河北郡津幡町字刈安レ150北緯36度40分20.22秒東経136度47分27.90秒﻿ / ﻿北緯36.6722833度 東経136.7910833度﻿ /36.6722833; 136.7910833座標:北緯36度40分20.22秒東経136度47分27.90秒﻿ / ﻿北緯36.6722833度 東経136.7910833度﻿ /36.6722833; 136.7910833","1面2線","","共同使用駅（IRいしかわ鉄道の管轄駅）無人駅（自動券売機 有）","クリ","","127人/日（降車客含まず）-2018年-","","","","","","",""
"栗熊駅","栗熊駅（くりくまえき）","https://ja.wikipedia.org/wiki/栗熊駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度14分2秒東経133度53分2.8秒","■琴平線","24.6 km（高松築港起点）","高松琴平電気鉄道","地上駅","1927年（昭和2年）3月15日","香川県丸亀市綾歌町栗熊東字北池下北緯34度14分2秒東経133度53分2.8秒﻿ / ﻿北緯34.23389度 東経133.884111度﻿ /34.23389; 133.884111座標:北緯34度14分2秒東経133度53分2.8秒﻿ / ﻿北緯34.23389度 東経133.884111度﻿ /34.23389; 133.884111","単式1面1線"," K17 ","無人駅","","","292人/日（降車客含まず）-2018年-","","","","","","",""
"くりこま高原駅","くりこま高原駅（くりこまこうげんえき）","https://ja.wikipedia.org/wiki/くりこま高原駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯38度44分56.89秒東経141度4分18.48秒","東北新幹線","416.2 km（東京起点）","東日本旅客鉄道（JR東日本）","高架駅","1990年（平成2年）3月10日[1]","宮城県栗原市志波姫新熊谷284[1]北緯38度44分56.89秒東経141度4分18.48秒座標:北緯38度44分56.89秒 東経141度4分18.48秒","2面2線[2]","","直営駅（管理駅）みどりの窓口有[2]","クリ","","1,010人/日（降車客含まず）-2019年-","","","","","","",""
