"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","球場規模","所有者","グラウンド","照明","開場","管理・運用者","フェンス","スコアボード","設計者","起工","創設","監督","閉場","建設者","建設費","分類","面積","運営者"
"岩槻城址公園野球場 (存在しないページ)","[岩槻城址公園野球場]","https://ja.wikipedia.org/w/index.php?title=岩槻城址公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"所沢航空記念公園野球場","[所沢航空記念公園野球場] 所沢航空記念公園野球場 （ところざわこうくうきねんこうえんやきゅうじょう）とは、 埼玉県 所沢市 航空記念公園 内にある硬式野球場である。","https://ja.wikipedia.org/wiki/所沢航空記念公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","埼玉県所沢市航空記念公園内","グラウンド面積：-m2両翼：92 m、中堅：120 m","埼玉県","内野：混合土（黒土砂）、外野：天然芝","無し","2006年（平成18年）9月","所沢市","m","","","2004年（平成16年）10月（再改修）","","","","","","","",""
"戸田市北部公園野球場","[戸田市北部公園野球場] 戸田市北部公園野球場 （とだし ほくぶこうえん やきゅうじょう）は、 埼玉県 戸田市 の戸田市北部公園内にある 野球場  。 戸田市営球場 とも呼ばれる。戸田市が運営管理している。","https://ja.wikipedia.org/wiki/戸田市北部公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度49分28.9秒東経139度39分20.2秒","埼玉県戸田市笹目北町9-5（北部公園内）","面積：－m2両翼：90 m中堅：120 m","戸田市","内野：クレー舗装外野：天然芝","照明塔：6基","","戸田市","","","","","","","","","","","",""
"東松山球場","[東松山球場] 東松山野球場 （ひがしまつやま・やきゅうじょう）は、 埼玉県 東松山市 の 岩鼻運動公園 内にある 野球場  。 東松山市岩鼻運動公園野球場 （ひがしまつやま・いわはなうんどうこうえん・やきゅうじょう）、 東松山市営球場 といった通称でも呼ばれる。施設は東松山市が所有し、東松山市施設管理公社が 指定管理者 として運営管理を行っている。 　","https://ja.wikipedia.org/wiki/東松山球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","埼玉県東松山市松山2681（岩鼻運動公園内）","グラウンド面積：－m2両翼：92 m、中堅：120 m","東松山市","内野：クレー舗装外野：天然芝","なし","","東松山市施設管理公社（指定管理者）","m","","","","","","","","","","",""
"朝霞中央公園野球場","[朝霞中央公園野球場（朝霞市営球場）] 朝霞中央公園野球場 （あさかちゅうおうこうえんやきゅうじょう）は、 埼玉県 朝霞市 の朝霞中央公園内にある 野球場 。 施設は朝霞市が所有している。『朝霞市営球場』とも呼ばれている。","https://ja.wikipedia.org/wiki/朝霞中央公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度47分23.7秒東経139度35分39.4秒","埼玉県朝霞市青葉台1-9-2（朝霞中央公園内）","グラウンド面積：－m2両翼：90 m、中堅：120 m","朝霞市","","小型照明塔6基","","","m","","","","","","","","","","",""
"北朝霞公園野球場 (存在しないページ)","[北朝霞公園野球場]","https://ja.wikipedia.org/w/index.php?title=北朝霞公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"飯能市民球場","[飯能市民球場] 飯能市民球場 （はんのうしみんきゅうじょう）とは、 埼玉県 飯能市 にある野球場である。","https://ja.wikipedia.org/wiki/飯能市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度49分56.4秒東経139度20分41.1秒","埼玉県飯能市","グラウンド面積：－m2両翼：92m、中堅：120m","飯能市","内野黒土砂（混合土） 外野 天然芝","小型照明塔6基","","","m","","","","","","","","","","",""
"上谷総合公園野球場","[上谷総合公園野球場（フラワースタジアム）] 上谷総合公園野球場 (かみやそうごうこうえんやきゅうじょう)は、 埼玉県 鴻巣市 の 上谷総合公園 内にある 野球場 。愛称は フラワースタジアム   。","https://ja.wikipedia.org/wiki/上谷総合公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度3分35.0秒東経139度33分2.2秒","埼玉県鴻巣市上谷707番地","グラウンド面積：-㎡両翼：98m中堅：122m","鴻巣市","内野：クレー舗装外野：天然芝","6基","2004年","鴻巣市","","磁気反転式","","","","","","","","","",""
"上尾市民球場","[上尾市民球場] 上尾市民球場 （あげおしみんきゅうじょう）は、 埼玉県 上尾市 の上平公園内にある硬式 野球場 である。","https://ja.wikipedia.org/wiki/上尾市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度59分29.1秒東経139度35分36.9秒","埼玉県上尾市（上平公園内）","グラウンド面積：－m2両翼：95 m、中堅：121 m","上尾市","内野 混合土（黒土砂）外野 天然芝","照明塔6基","","","m","","","平成10年5月1日","","","","","","","",""
"本庄総合公園市民球場","[本庄総合公園市民球場（ケイアイスタジアム）] 本庄総合公園市民球場 (ほんじょうしみんきゅうじょう)は、 埼玉県 本庄市 の本庄総合公園内にある 野球場 。","https://ja.wikipedia.org/wiki/本庄総合公園市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯36度13分7.5秒東経139度11分49.6秒","埼玉県本庄市北堀433番地","グラウンド面積：-㎡両翼：95m中堅：120m","本庄市","内野：クレー舗装外野：天然芝","6基","不明","清香園・東京ドームスポーツ共同体","","電光掲示板","","不明","","","","","","","",""
"春日部市牛島野球場","[春日部市牛島野球場（春日部牛島球場）] 春日部市牛島野球場 （かすかべし うしじまやきゅうじょう）は、 埼玉県 春日部市 の牛島公園内にある 野球場 。同市が所有し、 指定管理者 のアイル・オーエンス・東武緑地グループが運営管理にあたっている。","https://ja.wikipedia.org/wiki/春日部市牛島野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度59分9.6秒東経139度46分15.2秒","埼玉県春日部市牛島626（牛島公園内）","グラウンド面積：－m2両翼：92 m、中堅：120 m","春日部市","内野：クレー舗装外野：天然芝","照明塔：6基","","","m","","","","","","","","","","",""
"大沼運動公園野球場 (存在しないページ)","[大沼運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=大沼運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"川口市営球場","[川口市営球場] 川口市営球場 （かわぐちしえいきゅうじょう）は、 埼玉県 川口市 西青木の 青木町公園 内にある 球場 。","https://ja.wikipedia.org/wiki/川口市営球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","グラウンド面積：－m2両翼：95m、中堅：118m","公益財団法人 川口市スポーツ協会","内野･外野 人工芝","照明塔6基","","","m","","","","","","","","","","",""
"平成国際大学野球場 (存在しないページ)","[平成国際大学野球場]","https://ja.wikipedia.org/w/index.php?title=平成国際大学野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"幸手市ひばりが丘球場 (存在しないページ)","[幸手市ひばりが丘球場]","https://ja.wikipedia.org/w/index.php?title=幸手市ひばりが丘球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"庄和球場 (存在しないページ)","[庄和球場]","https://ja.wikipedia.org/w/index.php?title=庄和球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"北本総合公園野球場 (存在しないページ)","[北本総合公園野球場（ヒートベアーズ北本スタジアム）]","https://ja.wikipedia.org/w/index.php?title=北本総合公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"越谷市民球場","[越谷市民球場] 越谷市民球場 （こしがやしみんきゅうじょう）は、 埼玉県 越谷市 にある 野球場 である。","https://ja.wikipedia.org/wiki/越谷市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","埼玉県越谷市増林三丁目1番地","グラウンド面積：13,482m2両翼：98m、中堅：122m","越谷市","内野：クレー舗装外野：天然芝","照明塔：6基","1994年9月4日","","約2m","","","","","","","","","","",""
"新座市総合運動公園野球場","[新座市総合運動公園野球場（新座市営球場）] 新座市総合運動公園野球場 （にいざしそうごううんどうこうえんやきゅうじょう）とは、 埼玉県 新座市 にある 野球場 。 新座市総合運動公園内にあり通称「新座市営球場」と呼ばれている。 同公園内には 陸上競技 場、 ゲートボール 場、マレット ゴルフ 場がある。","https://ja.wikipedia.org/wiki/新座市総合運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","埼玉県新座市本多2-8-16","グラウンド面積：－m2両翼：91 m、中堅：120 m","新座市","内野 混合土（黒土砂）外野 天然芝","照明塔-基","1997年","","m","","","","","","","","","","",""
"加須市民運動公園野球場 (存在しないページ)","[加須市民運動公園野球場（加須きずなスタジアム）]","https://ja.wikipedia.org/w/index.php?title=加須市民運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
