"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","位置","所属事業者","所属路線","キロ程","電報略号","駅構造","ホーム","乗車人員,-統計年度-","開業年月日","備考","乗降人員,-統計年度-","駅番号","乗降人員,-統計年次-","乗換","乗車人員,-統計年次-","標高","Hidden","Hidden","Hidden","Hidden"
"石山寺駅","石山寺駅（いしやまでらえき）","https://ja.wikipedia.org/wiki/石山寺駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","滋賀県大津市螢谷5-13北緯34度58分1.45秒東経135度54分12.17秒﻿ / ﻿北緯34.9670694度 東経135.9033806度﻿ /34.9670694; 135.9033806座標:北緯34度58分1.45秒東経135度54分12.17秒﻿ / ﻿北緯34.9670694度 東経135.9033806度﻿ /34.9670694; 135.9033806","","京阪電気鉄道","▼石山坂本線","0.0 km（石山寺起点）","","地上駅","3面2線","1,666人/日（降車客含まず）-2017年-","1914年（大正3年）6月4日","* 改称経歴-1937年石山駅→石山寺駅-1950年石山寺駅→石山蛍谷駅-1953年石山蛍谷駅→石山寺駅","2,863人/日-2017年-","OT  01","","","","","","",""
"石山通停留場","石山通停留場（いしやまどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/石山通停留場","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","札幌市中央区南22条西11丁目北緯43度1分50.6秒東経141度20分39.2秒﻿ / ﻿北緯43.030722度 東経141.344222度﻿ /43.030722; 141.344222座標:北緯43度1分50.6秒東経141度20分39.2秒﻿ / ﻿北緯43.030722度 東経141.344222度﻿ /43.030722; 141.344222","","札幌市交通事業振興公社（札幌市電）","山鼻線","0.331 km（中央図書館前起点）","","地上駅（停留場）","2面2線","","1931年11月","運行系統上の起点となる西4丁目より4.921 km","1,091[1]人/日-2019年-","○SC13","","","","","","",""
"伊集院駅","伊集院駅（いじゅういんえき）","https://ja.wikipedia.org/wiki/伊集院駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","鹿児島県日置市伊集院町徳重407番地北緯31度37分47.65秒東経130度23分46.89秒﻿ / ﻿北緯31.6299028度 東経130.3963583度﻿ /31.6299028; 130.3963583座標:北緯31度37分47.65秒東経130度23分46.89秒﻿ / ﻿北緯31.6299028度 東経130.3963583度﻿ /31.6299028; 130.3963583","","九州旅客鉄道（JR九州）","■鹿児島本線","28.8km（川内起点）門司港から378.0 km","シウ","橋上駅","1面2線","2,472人/日（降車客含まず）-2019年-","1913年（大正2年）10月11日","業務委託駅みどりの窓口有","","","","","","","","",""
"井尻駅","井尻駅（いじりえき）","https://ja.wikipedia.org/wiki/井尻駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福岡市南区井尻五丁目北緯33度33分7.08秒東経130度26分36.19秒﻿ / ﻿北緯33.5519667度 東経130.4433861度﻿ /33.5519667; 130.4433861座標:北緯33度33分7.08秒東経130度26分36.19秒﻿ / ﻿北緯33.5519667度 東経130.4433861度﻿ /33.5519667; 130.4433861","","西日本鉄道","■天神大牟田線","6.1 km（西鉄福岡（天神）起点）","","地上駅","2面2線","","1924年（大正13年）4月12日","","23,881人/日-2019年-","T  06 ","","","","","","",""
"石原駅 (埼玉県)","石原駅 (埼玉県)（いしわらえき・秩父鉄道秩父本線）","https://ja.wikipedia.org/wiki/石原駅_(埼玉県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","埼玉県熊谷市石原1485-1北緯36度8分52.62秒東経139度22分7.03秒﻿ / ﻿北緯36.1479500度 東経139.3686194度﻿ /36.1479500; 139.3686194座標:北緯36度8分52.62秒東経139度22分7.03秒﻿ / ﻿北緯36.1479500度 東経139.3686194度﻿ /36.1479500; 139.3686194","","秩父鉄道","■秩父本線","17.0 km（羽生起点）","イシ","地上駅","1面2線","500人/日（降車客含まず）-2019年-","1901年（明治34年）10月7日","","1,003人/日-2019年-","","","","","","","",""
"一身田駅","一身田駅（いしんでんえき）","https://ja.wikipedia.org/wiki/一身田駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","三重県津市大里窪田町861北緯34度45分45.9秒東経136度29分58.8秒座標:北緯34度45分45.9秒 東経136度29分58.8秒","","東海旅客鉄道（JR東海）","■紀勢本線","12.1 km（亀山起点）","イン","地上駅","2面2線","1,272人/日（降車客含まず）-2019年-","1891年（明治24年）8月21日[1]","駅員無配置駅","","","","","","","","",""
"伊豆熱川駅","伊豆熱川駅（いずあたがわえき）","https://ja.wikipedia.org/wiki/伊豆熱川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県賀茂郡東伊豆町奈良本969番地の3北緯34度49分0.25秒東経139度4分8.80秒﻿ / ﻿北緯34.8167361度 東経139.0691111度﻿ /34.8167361; 139.0691111座標:北緯34度49分0.25秒東経139度4分8.80秒﻿ / ﻿北緯34.8167361度 東経139.0691111度﻿ /34.8167361; 139.0691111","","伊豆急行","■伊豆急行線","24.3 km（伊東起点）熱海から41.2 km","","高架駅","1面2線","513人/日（降車客含まず）-2019年-","1961年（昭和36年）12月10日","終日駅員配置駅","","IZ09","","","","","","",""
"伊豆稲取駅","伊豆稲取駅（いずいなとりえき）","https://ja.wikipedia.org/wiki/伊豆稲取駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県賀茂郡東伊豆町稲取2832番地の1北緯34度46分27.60秒東経139度2分13.55秒﻿ / ﻿北緯34.7743333度 東経139.0370972度﻿ /34.7743333; 139.0370972座標:北緯34度46分27.60秒東経139度2分13.55秒﻿ / ﻿北緯34.7743333度 東経139.0370972度﻿ /34.7743333; 139.0370972","","伊豆急行","■伊豆急行線","30.3 km（伊東起点）熱海から47.2 km","","地上駅","2面2線","665人/日（降車客含まず）-20192019年度乗車人員を追加年-","1961年（昭和36年）12月10日","終日駅員配置駅","","IZ11","","","","","","",""
"いずえ駅","いずえ駅","https://ja.wikipedia.org/wiki/いずえ駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","岡山県井原市下出部町北緯34度35分16.67秒東経133度27分2.79秒","","井原鉄道","井原線","32.3 km（総社起点）","イエ","高架駅","1面1線","","1999年（平成11年）1月11日[1]","無人駅[1]","56人/日-2018年-","","","","","","","",""
"伊豆大川駅","伊豆大川駅（いずおおかわえき）","https://ja.wikipedia.org/wiki/伊豆大川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県賀茂郡東伊豆町大川270番地の1北緯34度50分37.35秒東経139度4分26.23秒﻿ / ﻿北緯34.8437083度 東経139.0739528度﻿ /34.8437083; 139.0739528座標:北緯34度50分37.35秒東経139度4分26.23秒﻿ / ﻿北緯34.8437083度 東経139.0739528度﻿ /34.8437083; 139.0739528","","伊豆急行","■伊豆急行線","20.9 km（伊東起点）熱海から37.8 km","","地上駅","2面2線","125人/日（降車客含まず）-2019年-","1961年（昭和36年）12月10日","無人駅","","IZ07","","","","","","",""
"伊豆急下田駅","伊豆急下田駅（いずきゅうしもだえき）","https://ja.wikipedia.org/wiki/伊豆急下田駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県下田市東本郷一丁目6番1号北緯34度40分44.85秒東経138度56分39.20秒﻿ / ﻿北緯34.6791250度 東経138.9442222度﻿ /34.6791250; 138.9442222座標:北緯34度40分44.85秒東経138度56分39.20秒﻿ / ﻿北緯34.6791250度 東経138.9442222度﻿ /34.6791250; 138.9442222","","伊豆急行","■伊豆急行線","45.7 km（伊東起点）熱海から62.6 km","","地上駅","2面3線","1,625人/日（降車客含まず）-2019年-","1961年（昭和36年）12月10日","終日駅員配置（夜間は窓口閉鎖）","","IZ16","","新下田駅（下田ロープウェイ）","","","","",""
"伊豆高原駅","伊豆高原駅（いずこうげんえき）","https://ja.wikipedia.org/wiki/伊豆高原駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県伊東市八幡野1183番地北緯34度52分40.03秒東経139度6分29.60秒﻿ / ﻿北緯34.8777861度 東経139.1082222度﻿ /34.8777861; 139.1082222座標:北緯34度52分40.03秒東経139度6分29.60秒﻿ / ﻿北緯34.8777861度 東経139.1082222度﻿ /34.8777861; 139.1082222","","伊豆急行","■伊豆急行線","15.9 km（伊東起点）熱海から32.8 km","","地上駅","2面3線","1,376人/日（降車客含まず）-2019年-","1961年（昭和36年）12月10日","終日駅員配置駅（窓口は日中のみ）","","IZ06","","","","","","",""
"五十鈴ケ丘駅","五十鈴ケ丘駅（いすずがおかえき）","https://ja.wikipedia.org/wiki/五十鈴ケ丘駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","三重県伊勢市黒瀬町1342北緯34度29分44.92秒東経136度44分22.21秒﻿ / ﻿北緯34.4958111度 東経136.7395028度﻿ /34.4958111; 136.7395028座標:北緯34度29分44.92秒東経136度44分22.21秒﻿ / ﻿北緯34.4958111度 東経136.7395028度﻿ /34.4958111; 136.7395028","","東海旅客鉄道（JR東海）","参宮線","17.9 km（多気起点）","イス","地上駅","1面1線","252人/日（降車客含まず）-2019年-","1963年（昭和38年）4月1日[1]","駅員無配置駅","","","","","","","","",""
"五十鈴川駅","五十鈴川駅（いすずがわえき）","https://ja.wikipedia.org/wiki/五十鈴川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","三重県伊勢市中村町325北緯34度28分36.13秒東経136度43分38.13秒﻿ / ﻿北緯34.4767028度 東経136.7272583度﻿ /34.4767028; 136.7272583座標:北緯34度28分36.13秒東経136度43分38.13秒﻿ / ﻿北緯34.4767028度 東経136.7272583度﻿ /34.4767028; 136.7272583","","近畿日本鉄道（近鉄）","M鳥羽線","1.9km（宇治山田起点）伊勢中川から30.2 km","イス","高架駅（盛土上）","2面4線","2,026人/日（降車客含まず）-2019年-","1969年（昭和44年）12月15日","",""," M75 ","","","","","","",""
"伊豆多賀駅","伊豆多賀駅（いずたがえき）","https://ja.wikipedia.org/wiki/伊豆多賀駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県熱海市上多賀1627番地北緯35度3分32.59秒東経139度4分1.03秒﻿ / ﻿北緯35.0590528度 東経139.0669528度﻿ /35.0590528; 139.0669528座標:北緯35度3分32.59秒東経139度4分1.03秒﻿ / ﻿北緯35.0590528度 東経139.0669528度﻿ /35.0590528; 139.0669528","","東日本旅客鉄道（JR東日本）","■伊東線[1][2]","6.0 km（熱海起点）東京から110.6 km","イツ","地上駅","2面2線","615人/日（降車客含まず）-2013年-","1935年（昭和10年）3月30日","無人駅[3]（熱海駅の被管理駅）","","JT23","","","","","","",""
"伊豆長岡駅","伊豆長岡駅（いずながおかえき）","https://ja.wikipedia.org/wiki/伊豆長岡駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県伊豆の国市南條773番地の2北緯35度2分23.03秒東経138度56分50.71秒﻿ / ﻿北緯35.0397306度 東経138.9474194度﻿ /35.0397306; 138.9474194座標:北緯35度2分23.03秒東経138度56分50.71秒﻿ / ﻿北緯35.0397306度 東経138.9474194度﻿ /35.0397306; 138.9474194","","伊豆箱根鉄道","■駿豆線","11.4 km（三島起点）","","地上駅","2面3線","2,405人/日（降車客含まず）-2019年-","1898年（明治31年）5月20日","","","IS09","","","","","","",""
"伊豆仁田駅","伊豆仁田駅（いずにったえき）","https://ja.wikipedia.org/wiki/伊豆仁田駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県田方郡函南町仁田181番地の5北緯35度4分44.80秒東経138度56分29.61秒﻿ / ﻿北緯35.0791111度 東経138.9415583度﻿ /35.0791111; 138.9415583座標:北緯35度4分44.80秒東経138度56分29.61秒﻿ / ﻿北緯35.0791111度 東経138.9415583度﻿ /35.0791111; 138.9415583","","伊豆箱根鉄道","■駿豆線","7.0 km（三島起点）","","地上駅","2面2線","1,606人/日（降車客含まず）-2019年-","1922年（大正11年）7月1日[1]","","","IS06","","","","","","",""
"伊豆北川駅","伊豆北川駅（いずほっかわえき）","https://ja.wikipedia.org/wiki/伊豆北川駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県賀茂郡東伊豆町奈良本1225番地の12北緯34度49分36.87秒東経139度4分32.62秒﻿ / ﻿北緯34.8269083度 東経139.0757278度﻿ /34.8269083; 139.0757278座標:北緯34度49分36.87秒東経139度4分32.62秒﻿ / ﻿北緯34.8269083度 東経139.0757278度﻿ /34.8269083; 139.0757278","","伊豆急行","■伊豆急行線","22.9 km（伊東起点）熱海から39.8 km","","地上駅","1面1線","26人/日（降車客含まず）-2019年-","1964年（昭和39年）10月1日","無人駅","","IZ08","","","","","","",""
"泉駅 (福島県いわき市)","泉駅 (福島県いわき市)（いずみえき・東日本旅客鉄道常磐線）","https://ja.wikipedia.org/wiki/泉駅_(福島県いわき市)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福島県いわき市泉町滝尻上谷地30北緯36度57分19.69秒東経140度51分14.99秒﻿ / ﻿北緯36.9554694度 東経140.8541639度﻿ /36.9554694; 140.8541639座標:北緯36度57分19.69秒東経140度51分14.99秒﻿ / ﻿北緯36.9554694度 東経140.8541639度﻿ /36.9554694; 140.8541639","","東日本旅客鉄道（JR東日本）福島臨海鉄道","■常磐線（JR東日本）","195.0 km（日暮里起点）","イミ","地上駅（橋上駅）","2面3線","2,335人/日（降車客含まず）-2019年-","1897年（明治30年）2月25日","直営駅（管理駅）みどりの窓口有","","","","","","","","",""
"泉駅 (福島市)","泉駅 (福島市)（いずみえき・福島交通飯坂線）","https://ja.wikipedia.org/wiki/泉駅_(福島市)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","福島県福島市泉字早稲田5-4北緯37度46分42.7秒東経140度26分44.2秒﻿ / ﻿北緯37.778528度 東経140.445611度﻿ /37.778528; 140.445611座標:北緯37度46分42.7秒東経140度26分44.2秒﻿ / ﻿北緯37.778528度 東経140.445611度﻿ /37.778528; 140.445611","","福島交通","福島交通飯坂線","3.0 km（福島駅起点）","","橋上駅","1面2線","","1940年（昭和15年）3月4日","","434人/日-2018年-","","","","","","","",""
"出水駅","出水駅（いずみえき・九州旅客鉄道九州新幹線・肥薩おれんじ鉄道線）","https://ja.wikipedia.org/wiki/出水駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","鹿児島県出水市上鯖淵","","九州旅客鉄道（JR九州・駅詳細）肥薩おれんじ鉄道（駅詳細）","","","","","","","","","","","","","","","","",""
"泉大津駅","泉大津駅（いずみおおつえき）","https://ja.wikipedia.org/wiki/泉大津駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","大阪府泉大津市旭町19-1北緯34度30分11.49秒東経135度24分24.76秒﻿ / ﻿北緯34.5031917度 東経135.4068778度﻿ /34.5031917; 135.4068778座標:北緯34度30分11.49秒東経135度24分24.76秒﻿ / ﻿北緯34.5031917度 東経135.4068778度﻿ /34.5031917; 135.4068778","","南海電気鉄道","■南海本線","20.4 km（難波起点）","オツ","高架駅","2面4線","","1897年（明治30年）10月1日","*1942年に大津駅から改称","","NK 20","29,433人/日-2019年-","","","","","",""
