"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","開業年月日","駅構造","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","種類","本社所在地","業種","法人番号","代表者","外部リンク"
"桜ノ宮駅","桜ノ宮駅（さくらのみやえき）","https://ja.wikipedia.org/wiki/桜ノ宮駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度42分17.71秒東経135度31分13.18秒","O大阪環状線","天王寺駅経由：19.3km天満駅経由：2.4 km（大阪起点）","西日本旅客鉄道（JR西日本）","大阪市都島区中野町五丁目1-22北緯34度42分17.71秒東経135度31分13.18秒﻿ / ﻿北緯34.7049194度 東経135.5203278度﻿ /34.7049194; 135.5203278﻿ (桜ノ宮駅)座標:北緯34度42分17.71秒東経135度31分13.18秒﻿ / ﻿北緯34.7049194度 東経135.5203278度﻿ /34.7049194; 135.5203278﻿ (桜ノ宮駅)","1898年（明治31年）4月27日","高架駅","2面2線","直営駅みどりの券売機プラス設置駅大阪市内駅","JR-O09","サラ","17,550人/日（降車客含まず）-2019年-","","","","","","","",""
"桜橋駅 (静岡県)","桜橋駅（さくらばしえき・静岡鉄道静岡清水線）","https://ja.wikipedia.org/wiki/桜橋駅_(静岡県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度0分46.83秒東経138度28分38.73秒","S静岡清水線","10.0 km（新静岡起点）","静岡鉄道","静岡市清水区春日一丁目北緯35度0分46.83秒東経138度28分38.73秒﻿ / ﻿北緯35.0130083度 東経138.4774250度﻿ /35.0130083; 138.4774250座標:北緯35度0分46.83秒東経138度28分38.73秒﻿ / ﻿北緯35.0130083度 東経138.4774250度﻿ /35.0130083; 138.4774250","1908年（明治41年）12月9日","地上駅","単式 2面2線","","S 13","","2,337人/日（降車客含まず）-2018年-","4,726人/日-2018年-","","","","","","",""
"桜橋停留場","桜橋停留場（さくらばしていりゅうじょう・富山地方鉄道富山市内軌道線）","https://ja.wikipedia.org/wiki/桜橋停留場","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度41分43秒東経137度12分57.65秒","富山軌道線（本線）","2.8 km（南富山駅前起点）","富山地方鉄道","富山県富山市本町北緯36度41分43秒東経137度12分57.65秒﻿ / ﻿北緯36.69528度 東経137.2160139度﻿ /36.69528; 137.2160139﻿ (桜橋停留場)","1913年（大正2年）9月1日","地上駅","相対式2面2線","","C11","","","625[1]人/日-2019年-","","","","","","",""
"桜本町駅","桜本町駅（さくらほんまちえき）","https://ja.wikipedia.org/wiki/桜本町駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度6分34秒東経136度56分13秒","桜通線","12.9 km（中村区役所起点）","名古屋市交通局（名古屋市営地下鉄）","名古屋市南区桜台一丁目1北緯35度6分34秒東経136度56分13秒﻿ / ﻿北緯35.10944度 東経136.93694度﻿ /35.10944; 136.93694座標:北緯35度6分34秒東経136度56分13秒﻿ / ﻿北緯35.10944度 東経136.93694度﻿ /35.10944; 136.93694","1994年（平成6年）3月30日[2]","地下駅","1面2線","","S15","","4,056人/日（降車客含まず）-2019年-","7,788[1]人/日-2019年-","","","","","","",""
"桜町駅","桜町駅（さくらまちえき・東海旅客鉄道飯田線）","https://ja.wikipedia.org/wiki/桜町駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度31分19.67秒東経137度49分45.92秒","CD飯田線","130.1 km（豊橋起点）","東海旅客鉄道（JR東海）","長野県飯田市桜町[1]二丁目50北緯35度31分19.67秒東経137度49分45.92秒﻿ / ﻿北緯35.5221306度 東経137.8294222度﻿ /35.5221306; 137.8294222座標:北緯35度31分19.67秒東経137度49分45.92秒﻿ / ﻿北緯35.5221306度 東経137.8294222度﻿ /35.5221306; 137.8294222","1923年（大正12年）8月3日[1]","地上駅","1面1線[1]","駅員無配置駅[1]標高：520m[1]","","サチ[1]","97人/日（降車客含まず）-2018年-","","","","","","","",""
"桜町停留場","桜町停留場（さくらまちていりゅうじょう・長崎電気軌道桜町支線）","https://ja.wikipedia.org/wiki/桜町停留場","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯32度45分2.43秒東経129度52分34.78秒","桜町支線（■3号系統）","0.5 km（長崎駅前起点）","長崎電気軌道","長崎県長崎市桜町1番3号先北緯32度45分2.43秒東経129度52分34.78秒﻿ / ﻿北緯32.7506750度 東経129.8763278度﻿ /32.7506750; 129.8763278﻿ (桜町停留場)座標:北緯32度45分2.43秒東経129度52分34.78秒﻿ / ﻿北緯32.7506750度 東経129.8763278度﻿ /32.7506750; 129.8763278﻿ (桜町停留場)","1919年（大正8年）12月25日","地上駅","2面2線","","44","","","1,900人/日-2015年-","","","","","","",""
"桜町前駅","桜町前駅（さくらまちまええき）","https://ja.wikipedia.org/wiki/桜町前駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度52分49秒東経137度3分45秒","西尾線","13.0 km（新安城起点）","名古屋鉄道","愛知県西尾市緑町四丁目28北緯34度52分49秒東経137度3分45秒﻿ / ﻿北緯34.88028度 東経137.06250度﻿ /34.88028; 137.06250座標:北緯34度52分49秒東経137度3分45秒﻿ / ﻿北緯34.88028度 東経137.06250度﻿ /34.88028; 137.06250","1928年（昭和3年）8月5日","地上駅","1面1線","無人駅（駅集中管理システム導入駅）*1949年中学前から改称","GN  08 ","","","3,613人/日-2019年-","","","","","","",""
"桜水駅","桜水駅（さくらみずえき）","https://ja.wikipedia.org/wiki/桜水駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯37度47分47.8秒東経140度26分28.7秒","福島交通飯坂線","5.1 km（福島駅起点）","福島交通","福島県福島市笹谷字古屋前2-5北緯37度47分47.8秒東経140度26分28.7秒﻿ / ﻿北緯37.796611度 東経140.441306度﻿ /37.796611; 140.441306座標:北緯37度47分47.8秒東経140度26分28.7秒﻿ / ﻿北緯37.796611度 東経140.441306度﻿ /37.796611; 140.441306","1975年（昭和50年）8月20日","地上駅","1面2線","","","","","572人/日-2018年-","","","","","","",""
"桜山駅","桜山駅（さくらやまえき）","https://ja.wikipedia.org/wiki/桜山駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度8分24秒東経136度56分0秒","桜通線","9.5 km（中村区役所起点）","名古屋市交通局（名古屋市営地下鉄）","名古屋市瑞穂区桜見町1丁目1-14北緯35度8分24秒東経136度56分0秒﻿ / ﻿北緯35.14000度 東経136.93333度﻿ /35.14000; 136.93333座標:北緯35度8分24秒東経136度56分0秒﻿ / ﻿北緯35.14000度 東経136.93333度﻿ /35.14000; 136.93333","1994年（平成6年）3月30日[2]","地下駅","1面2線","","S11","","12,690人/日（降車客含まず）-2019年-","25,222[1]人/日-2019年-","","","","","","",""
"さくらんぼ東根駅","さくらんぼ東根駅（さくらんぼひがしねえき）","https://ja.wikipedia.org/wiki/さくらんぼ東根駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度25分42.8秒東経140度22分51.2秒","■山形新幹線","108.1km（福島起点）東京から380.9 km","東日本旅客鉄道（JR東日本）","山形県東根市さくらんぼ駅前一丁目1-1北緯38度25分42.8秒東経140度22分51.2秒﻿ / ﻿北緯38.428556度 東経140.380889度﻿ /38.428556; 140.380889座標:北緯38度25分42.8秒東経140度22分51.2秒﻿ / ﻿北緯38.428556度 東経140.380889度﻿ /38.428556; 140.380889","1999年（平成11年）12月4日","地上駅","2面2線","業務委託駅みどりの窓口有","","ラホ","1,367人/日（降車客含まず）-2019年-","","","","","","","",""
"黒部ルート","作廊谷駅（さくろうだにえき）","https://ja.wikipedia.org/wiki/黒部ルート","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"佐古駅","佐古駅（さこえき）","https://ja.wikipedia.org/wiki/佐古駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度4分50.22秒東経134度32分18.87秒","■高徳線（■鳴門線直通含む）","73.1 km（高松起点）","四国旅客鉄道（JR四国）","徳島県徳島市佐古二番町19-8北緯34度4分50.22秒東経134度32分18.87秒﻿ / ﻿北緯34.0806167度 東経134.5385750度﻿ /34.0806167; 134.5385750座標:北緯34度4分50.22秒東経134度32分18.87秒﻿ / ﻿北緯34.0806167度 東経134.5385750度﻿ /34.0806167; 134.5385750","1935年（昭和10年）3月20日","高架駅[1]","1面2線","直営駅","○T01","サコ","862人/日（降車客含まず）-2019年-","1,724人/日-2019年-","","","","","","",""
"栄生駅","栄生駅（さこうえき）","https://ja.wikipedia.org/wiki/栄生駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度11分1.6秒東経136度52分23秒","名古屋本線","69.9 km（豊橋起点）","名古屋鉄道","名古屋市西区栄生二丁目5-11北緯35度11分1.6秒東経136度52分23秒﻿ / ﻿北緯35.183778度 東経136.87306度﻿ /35.183778; 136.87306座標:北緯35度11分1.6秒東経136度52分23秒﻿ / ﻿北緯35.183778度 東経136.87306度﻿ /35.183778; 136.87306","1941年（昭和16年）8月12日","高架駅","島式 1面2線","","NH  37 ","","","13,664人/日-2019年[1]-","","","","","","",""
"佐古木駅","佐古木駅（さこぎえき）","https://ja.wikipedia.org/wiki/佐古木駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度7分10.25秒東経136度45分7.85秒","E名古屋線","65.1 km（伊勢中川起点）","近畿日本鉄道（近鉄）","愛知県弥富市佐古木六丁目227-2北緯35度7分10.25秒東経136度45分7.85秒﻿ / ﻿北緯35.1195139度 東経136.7521806度﻿ /35.1195139; 136.7521806座標:北緯35度7分10.25秒東経136度45分7.85秒﻿ / ﻿北緯35.1195139度 東経136.7521806度﻿ /35.1195139; 136.7521806","1938年（昭和13年）6月26日","地上駅","2面2線",""," E10 ","サコキ","1,468人/日（降車客含まず）-2018年-","","","","","","","",""
"坂越駅","坂越駅（さこしえき）","https://ja.wikipedia.org/wiki/坂越駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度46分7.77秒東経134度25分3.19秒","A赤穂線","7.8km（相生起点）姫路から28.5km大阪から116.4 km","西日本旅客鉄道（JR西日本）","兵庫県赤穂市浜市350[1]北緯34度46分7.77秒東経134度25分3.19秒﻿ / ﻿北緯34.7688250度 東経134.4175528度﻿ /34.7688250; 134.4175528座標:北緯34度46分7.77秒東経134度25分3.19秒﻿ / ﻿北緯34.7688250度 東経134.4175528度﻿ /34.7688250; 134.4175528","1951年（昭和26年）12月12日[1]","地上駅[1]","1面1線[1]","業務委託駅[1]POS端末設置","","サシ","707人/日（降車客含まず）-2019年-","","","","","","","",""
"砂越駅","砂越駅（さごしえき）","https://ja.wikipedia.org/wiki/砂越駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯38度53分38.6秒東経139度54分28.4秒","■羽越本線（■陸羽西線直通含む）","160.4km（新津起点）新庄から48.7 km","東日本旅客鉄道（JR東日本）","山形県酒田市砂越字蛇尾15-4北緯38度53分38.6秒東経139度54分28.4秒座標:北緯38度53分38.6秒 東経139度54分28.4秒","1914年（大正3年）12月24日","地上駅","1面2線","無人駅(自動券売機 有)","","サコ","198人/日（降車客含まず）-2012年-","","","","","","","",""
"佐々駅","佐々駅（さざえき）","https://ja.wikipedia.org/wiki/佐々駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度14分12.46秒東経129度38分49.75秒","■西九州線","74.0 km（有田起点）","松浦鉄道","長崎県北松浦郡佐々町本田原免北緯33度14分12.46秒東経129度38分49.75秒","1931年（昭和6年）12月27日1988年（昭和63年）4月1日（転換）","地上駅","2面3線","","","ササ","","599人/日-2017年-","","","","","","",""
"笹川駅","笹川駅（ささがわえき）","https://ja.wikipedia.org/wiki/笹川駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度50分23.1秒東経140度39分20.5秒","■成田線","57.7 km（佐倉起点）千葉から73.8 km","東日本旅客鉄道（JR東日本）","千葉県香取郡東庄町笹川い625北緯35度50分23.1秒東経140度39分20.5秒座標:北緯35度50分23.1秒 東経140度39分20.5秒","1931年（昭和6年）11月10日[1]","地上駅","2面2線","無人駅[2]","","ササ","318人/日（降車客含まず）-2019年-","","","","","","","",""
"佐々木駅","佐々木駅（ささきえき）","https://ja.wikipedia.org/wiki/佐々木駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯37度57分0.2秒東経139度16分9.2秒","■白新線","21.0 km（新潟起点）","東日本旅客鉄道（JR東日本）","新潟県新発田市上中沢[1]83-2北緯37度57分0.2秒東経139度16分9.2秒座標:北緯37度57分0.2秒 東経139度16分9.2秒","1952年（昭和27年）12月23日[1]","地上駅","2面3線[1]","業務委託駅","","ササ","839人/日（降車客含まず）-2019年-","","","","","","","",""
"笹木野駅","笹木野駅（ささきのえき）","https://ja.wikipedia.org/wiki/笹木野駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯37度45分58.30秒東経140度25分30.67秒","■奥羽本線（山形線）","3.8 km（福島起点）","東日本旅客鉄道（JR東日本）","福島県福島市笹木野字金谷東28北緯37度45分58.30秒東経140度25分30.67秒座標:北緯37度45分58.30秒 東経140度25分30.67秒","1919年（大正8年）8月15日","地上駅","1面2線","無人駅","","ササ","110人/日（降車客含まず）-2004年-","","","","","","","",""
"篠栗駅","篠栗駅（ささぐりえき）","https://ja.wikipedia.org/wiki/篠栗駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度37分26.24秒東経130度31分29.21秒","JC篠栗線（福北ゆたか線）","14.8 km（桂川起点）","九州旅客鉄道（JR九州）","福岡県糟屋郡篠栗町中央一丁目1番15号北緯33度37分26.24秒東経130度31分29.21秒﻿ / ﻿北緯33.6239556度 東経130.5247806度﻿ /33.6239556; 130.5247806座標:北緯33度37分26.24秒東経130度31分29.21秒﻿ / ﻿北緯33.6239556度 東経130.5247806度﻿ /33.6239556; 130.5247806","1904年（明治37年）6月19日[1]","地上駅","2面3線","業務委託駅[2]みどりの窓口有","JC  06 ","サク","4,974人/日（降車客含まず）-2019年-","","","","","","","",""
"笹子駅","笹子駅（ささごえき）","https://ja.wikipedia.org/wiki/笹子駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度36分15秒東経138度49分37.3秒","■中央本線","100.4 km（東京起点）","東日本旅客鉄道（JR東日本）","山梨県大月市笹子町黒野田1340北緯35度36分15秒東経138度49分37.3秒座標:北緯35度36分15秒 東経138度49分37.3秒","1903年（明治36年）2月1日[2]","地上駅","1面2線[2]","無人駅[2]（乗車駅証明書発行機 有）","CO34[1]","サコ","","","","","","","","",""
