"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"高瀬駅 (香川県)","高瀬駅 (香川県)（たかせえき・四国旅客鉄道予讃線）","https://ja.wikipedia.org/wiki/高瀬駅_(香川県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度11分2.7秒東経133度42分41.03秒","■予讃線","47.0 km（高松起点）","四国旅客鉄道（JR四国）","1913年（大正2年）12月20日","地上駅","香川県三豊市高瀬町新名字松下715番地3北緯34度11分2.7秒東経133度42分41.03秒﻿ / ﻿北緯34.184083度 東経133.7113972度﻿ /34.184083; 133.7113972座標:北緯34度11分2.7秒東経133度42分41.03秒﻿ / ﻿北緯34.184083度 東経133.7113972度﻿ /34.184083; 133.7113972","1面2線","直営駅","○Y16","タセ","632人/日（降車客含まず）-2019年-","","","","","","","",""
"高田駅 (神奈川県)","高田駅 (神奈川県)（たかたえき・横浜市営地下鉄グリーンライン）","https://ja.wikipedia.org/wiki/高田駅_(神奈川県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度32分58.6秒東経139度37分12.5秒","■グリーンライン（4号線）","10.3 km（中山起点）","横浜市交通局（横浜市営地下鉄）","2008年（平成20年）3月30日","地下駅","神奈川県横浜市港北区高田東三丁目1番3号[1]北緯35度32分58.6秒東経139度37分12.5秒﻿ / ﻿北緯35.549611度 東経139.620139度﻿ /35.549611; 139.620139﻿ (高田駅)座標:北緯35度32分58.6秒東経139度37分12.5秒﻿ / ﻿北緯35.549611度 東経139.620139度﻿ /35.549611; 139.620139﻿ (高田駅)","2層式2面2線","業務委託駅（横浜市交通局協力会）[2]","G08","","8,228人/日（降車客含まず）-2019年-","16,305人/日-2019年-","","","","","","",""
"高田駅 (香川県)","高田駅 (香川県)（たかたえき・高松琴平電気鉄道長尾線）","https://ja.wikipedia.org/wiki/高田駅_(香川県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度17分18.6秒東経134度6分44秒","■長尾線","8.3km（瓦町起点）高松築港から10.0 km","高松琴平電気鉄道","1912年（明治45年）4月30日","地上駅","香川県高松市亀田町字金崎380番地6北緯34度17分18.6秒東経134度6分44秒﻿ / ﻿北緯34.288500度 東経134.11222度﻿ /34.288500; 134.11222座標:北緯34度17分18.6秒東経134度6分44秒﻿ / ﻿北緯34.288500度 東経134.11222度﻿ /34.288500; 134.11222","2面2線",""," N09 ","","","1,407人/日-2018年-","","","","","","",""
"高田駅 (福岡県)","高田駅 (福岡県)（たかたえき・甘木鉄道甘木線）","https://ja.wikipedia.org/wiki/高田駅_(福岡県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度24分51.1秒東経130度38分1.5秒","■甘木鉄道甘木線","11.8 km（基山起点）","■甘木鉄道","1960年（昭和35年）11月1日","地上駅","福岡県朝倉郡筑前町高田北緯33度24分51.1秒東経130度38分1.5秒﻿ / ﻿北緯33.414194度 東経130.633750度﻿ /33.414194; 130.633750座標:北緯33度24分51.1秒東経130度38分1.5秒﻿ / ﻿北緯33.414194度 東経130.633750度﻿ /33.414194; 130.633750","1面1線","無人駅","","チタ（転換前）","73人/日（降車客含まず）-2018年-","","","","","","","",""
"高田駅 (新潟県)","高田駅 (新潟県)（たかだえき・えちごトキめき鉄道妙高はねうまライン）","https://ja.wikipedia.org/wiki/高田駅_(新潟県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯37度6分54.49秒東経138度14分31.77秒","■妙高はねうまライン","31.0km（妙高高原起点）長野から68.3 km","えちごトキめき鉄道","1886年（明治19年）8月15日[1]","地上駅","新潟県上越市仲町[1]四丁目1番1号北緯37度6分54.49秒東経138度14分31.77秒﻿ / ﻿北緯37.1151361度 東経138.2421583度﻿ /37.1151361; 138.2421583座標:北緯37度6分54.49秒東経138度14分31.77秒﻿ / ﻿北緯37.1151361度 東経138.2421583度﻿ /37.1151361; 138.2421583","2面3線[1]","直営駅マルス端末配置[2]","","タタ[2]","2,276人/日（降車客含まず）-2019年-","","","","","","","",""
"高田駅 (奈良県)","高田駅 (奈良県)（たかだえき・西日本旅客鉄道和歌山線・桜井線）","https://ja.wikipedia.org/wiki/高田駅_(奈良県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度30分58.24秒東経135度44分41.33秒","T和歌山線","11.5 km（王寺起点）","西日本旅客鉄道（JR西日本）","1891年（明治24年）3月1日[1]。","地上駅（橋上駅）","奈良県大和高田市高砂町1北緯34度30分58.24秒東経135度44分41.33秒﻿ / ﻿北緯34.5161778度 東経135.7448139度﻿ /34.5161778; 135.7448139座標:北緯34度30分58.24秒東経135度44分41.33秒﻿ / ﻿北緯34.5161778度 東経135.7448139度﻿ /34.5161778; 135.7448139","2面3線","直営駅みどりの窓口有","","タタ","2,192人/日（降車客含まず）-2018年-","","","","","","","",""
"多賀大社前駅","多賀大社前駅（たがたいしゃまええき）","https://ja.wikipedia.org/wiki/多賀大社前駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度13分35.05秒東経136度17分3.27秒","■多賀線（彦根・多賀大社線）","2.5 km（高宮起点）","近江鉄道","1914年（大正4年）3月8日","地上駅","滋賀県犬上郡多賀町大字多賀1322北緯35度13分35.05秒東経136度17分3.27秒﻿ / ﻿北緯35.2264028度 東経136.2842417度﻿ /35.2264028; 136.2842417座標:北緯35度13分35.05秒東経136度17分3.27秒﻿ / ﻿北緯35.2264028度 東経136.2842417度﻿ /35.2264028; 136.2842417","頭端式 3面2線","無人駅","OR09","","","226人/日-2015年-","","","","","","",""
"高滝駅","高滝駅（たかたきえき）","https://ja.wikipedia.org/wiki/高滝駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度21分11.78秒東経140度9分1.44秒","小湊鉄道線","23.8 km（五井起点）","小湊鉄道","1925年（大正14年）3月7日","地上駅","千葉県市原市高滝737-2北緯35度21分11.78秒東経140度9分1.44秒座標:北緯35度21分11.78秒 東経140度9分1.44秒","1面1線","無人駅","","","21人/日（降車客含まず）-2018年-","","","","","","","",""
"高田高校前駅","高田高校前駅（たかたこうこうまええき）","https://ja.wikipedia.org/wiki/高田高校前駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯39度00分59秒東経141度38分24.5秒","■大船渡線BRT[1]","24.2km（気仙沼起点）一ノ関から86.2 km","東日本旅客鉄道（JR東日本）[1]","2015年（平成27年）3月14日[1]","地上駅","岩手県陸前高田市高田町字太田北緯39度00分59秒東経141度38分24.5秒﻿ / ﻿北緯39.01639度 東経141.640139度﻿ /39.01639; 141.640139﻿ (高田高校前駅)座標:北緯39度00分59秒東経141度38分24.5秒﻿ / ﻿北緯39.01639度 東経141.640139度﻿ /39.01639; 141.640139﻿ (高田高校前駅)","","無人駅","","","56人/日（降車客含まず）-2019年-","","","","","","","",""
"高田市駅","高田市駅（たかだしえき）","https://ja.wikipedia.org/wiki/高田市駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度30分24.52秒東経135度44分33.62秒","F南大阪線","34.2 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","1929年（昭和4年）3月29日","高架駅（盛土駅）","奈良県大和高田市片塩町17-4北緯34度30分24.52秒東経135度44分33.62秒﻿ / ﻿北緯34.5068111度 東経135.7426722度﻿ /34.5068111; 135.7426722座標:北緯34度30分24.52秒東経135度44分33.62秒﻿ / ﻿北緯34.5068111度 東経135.7426722度﻿ /34.5068111; 135.7426722","2面2線","*1948年に高田町駅から改称"," F24 ","タカ","3,915人/日（降車客含まず）-2018年-","","","","","","","",""
"田県神社前駅","田県神社前駅（たがたじんじゃまええき）","https://ja.wikipedia.org/wiki/田県神社前駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度19分3秒東経136度56分38秒","小牧線","13.3 km（上飯田起点）","名古屋鉄道","1931年（昭和6年）4月29日","地上駅","愛知県小牧市大字久保一色1052-2北緯35度19分3秒東経136度56分38秒﻿ / ﻿北緯35.31750度 東経136.94389度﻿ /35.31750; 136.94389座標:北緯35度19分3秒東経136度56分38秒﻿ / ﻿北緯35.31750度 東経136.94389度﻿ /35.31750; 136.94389","2面2線","特殊勤務駅（駅集中管理システム導入駅）*1965年復活と同時に久保一色より改称","KM  03 ","","","4,767人/日-2019年[1]-","","","","","","",""
"高田の鉄橋駅","高田の鉄橋駅（たかだのてっきょうえき）","https://ja.wikipedia.org/wiki/高田の鉄橋駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度21分9.2秒東経140度34分48.1秒","湊線","7.1[1] km（勝田起点）","ひたちなか海浜鉄道","2014年（平成26年）10月1日","地上駅","茨城県ひたちなか市横堰9748-2北緯36度21分9.2秒東経140度34分48.1秒﻿ / ﻿北緯36.352556度 東経140.580028度﻿ /36.352556; 140.580028座標:北緯36度21分9.2秒東経140度34分48.1秒﻿ / ﻿北緯36.352556度 東経140.580028度﻿ /36.352556; 140.580028","1面1線","無人駅","","","","64[2]人/日-2019年-","","","","","","",""
"高田馬場駅","高田馬場駅（たかだのばばえき）","https://ja.wikipedia.org/wiki/高田馬場駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）西武鉄道（駅詳細）東京地下鉄（東京メトロ・駅詳細）","","","東京都新宿区高田馬場一丁目","","","","","","","","","","","","",""
"高田橋駅","高田橋駅（たかだばしえき）","https://ja.wikipedia.org/wiki/高田橋駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度23分54.08秒東経136度48分42.69秒","各務原線","5.4 km（名鉄岐阜起点）","名古屋鉄道","1926年（大正15年）1月21日","地上駅","岐阜県岐阜市高田二丁目6-15北緯35度23分54.08秒東経136度48分42.69秒﻿ / ﻿北緯35.3983556度 東経136.8118583度﻿ /35.3983556; 136.8118583﻿ (高田橋駅)座標:北緯35度23分54.08秒東経136度48分42.69秒﻿ / ﻿北緯35.3983556度 東経136.8118583度﻿ /35.3983556; 136.8118583﻿ (高田橋駅)","2面2線","無人駅管理駅：名鉄岐阜","KG  12 ","","","890人/日-2019年[1]-","","","","","","",""
"高田病院駅","高田病院駅（たかたびょういんえき）","https://ja.wikipedia.org/wiki/高田病院駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯39度1分31.8秒東経141度38分29.8秒","■大船渡線BRT","25.6km（気仙沼起点）一ノ関から87.6 km","東日本旅客鉄道（JR東日本）","2013年（平成25年）3月2日","地上駅","岩手県陸前高田市字太田54番地2北緯39度1分31.8秒東経141度38分29.8秒﻿ / ﻿北緯39.025500度 東経141.641611度﻿ /39.025500; 141.641611﻿ (高田病院駅)座標:北緯39度1分31.8秒東経141度38分29.8秒﻿ / ﻿北緯39.025500度 東経141.641611度﻿ /39.025500; 141.641611﻿ (高田病院駅)","","無人駅","","","8人/日（降車客含まず）-2019年-","","","","","","","",""
"高田本山駅","高田本山駅（たかだほんざんえき）","https://ja.wikipedia.org/wiki/高田本山駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度45分20秒東経136度30分59.1秒","E名古屋線","14.7 km（伊勢中川起点）","近畿日本鉄道（近鉄）","1915年（大正4年）9月10日","地上駅","三重県津市一身田平野369-2北緯34度45分20秒東経136度30分59.1秒﻿ / ﻿北緯34.75556度 東経136.516417度﻿ /34.75556; 136.516417座標:北緯34度45分20秒東経136度30分59.1秒﻿ / ﻿北緯34.75556度 東経136.516417度﻿ /34.75556; 136.516417","2面2線","無人駅（自動券売機有）*1918年に一身田町駅から改称。"," E37 ","タカホ","810人/日（降車客含まず）-2019年-","","","","","","","",""
"高擶駅","高擶駅（たかたまえき）","https://ja.wikipedia.org/wiki/高擶駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯38度19分51.65秒東経140度21分32.45秒","■奥羽本線（山形線）","97.0 km（福島起点）","東日本旅客鉄道（JR東日本）","1952年（昭和27年）3月5日","地上駅","山形県天童市大字長岡684北緯38度19分51.65秒東経140度21分32.45秒座標:北緯38度19分51.65秒 東経140度21分32.45秒","1面1線","無人駅","","タタ","718人/日（降車客含まず）-2004年-","","","","","","","",""
"高茶屋駅","高茶屋駅（たかちゃやえき）","https://ja.wikipedia.org/wiki/高茶屋駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度40分2.63秒東経136度30分45.00秒","紀勢本線","23.4 km（亀山起点）","東海旅客鉄道（JR東海）","1893年（明治26年）12月31日[1]","地上駅","三重県津市高茶屋一丁目6-14北緯34度40分2.63秒東経136度30分45.00秒座標:北緯34度40分2.63秒 東経136度30分45.00秒","2面3線","駅員無配置駅","","チヤ","551人/日（降車客含まず）-2019年-","","","","","","","",""
"高津駅 (京都府)","高津駅 (京都府)（たかつえき・西日本旅客鉄道山陰本線）","https://ja.wikipedia.org/wiki/高津駅_(京都府)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度18分18.35秒東経135度12分27.81秒","E山陰本線*","80.3 km（京都起点）","西日本旅客鉄道（JR西日本）","1958年（昭和33年）2月12日","地上駅","京都府綾部市高津町江尻1北緯35度18分18.35秒東経135度12分27.81秒﻿ / ﻿北緯35.3050972度 東経135.2077250度﻿ /35.3050972; 135.2077250座標:北緯35度18分18.35秒東経135度12分27.81秒﻿ / ﻿北緯35.3050972度 東経135.2077250度﻿ /35.3050972; 135.2077250","2面2線","無人駅（自動券売機 有）","","タツ","123人/日（降車客含まず）-2016年-","","","","","","","",""
"高津駅 (神奈川県)","高津駅 (神奈川県)（たかつえき・東急田園都市線）","https://ja.wikipedia.org/wiki/高津駅_(神奈川県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度36分12.7秒東経139度37分3秒","■田園都市線（■大井町線列車を含む）","田園都市線：10.7km（渋谷起点）大井町線：11.7 km（大井町起点）","東急電鉄","1927年（昭和2年）7月15日[1]","高架駅","川崎市高津区二子四丁目1番1号北緯35度36分12.7秒東経139度37分3秒﻿ / ﻿北緯35.603528度 東経139.61750度﻿ /35.603528; 139.61750﻿ (高津駅)座標:北緯35度36分12.7秒東経139度37分3秒﻿ / ﻿北緯35.603528度 東経139.61750度﻿ /35.603528; 139.61750﻿ (高津駅)","2面4線（うち乗降は2面2線）","東急電鉄直営駅","DT09","","","32,388人/日-2019年-","","","","","","",""
