"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"駿河小山駅","駿河小山駅（するがおやまえき）","https://ja.wikipedia.org/wiki/駿河小山駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度21分31.38秒東経138度59分55.40秒","CB御殿場線","24.6 km（国府津起点）","東海旅客鉄道（JR東海）","1889年（明治22年）2月1日","地上駅","1面2線","静岡県駿東郡小山町小山北緯35度21分31.38秒東経138度59分55.40秒﻿ / ﻿北緯35.3587167度 東経138.9987222度﻿ /35.3587167; 138.9987222座標:北緯35度21分31.38秒東経138度59分55.40秒﻿ / ﻿北緯35.3587167度 東経138.9987222度﻿ /35.3587167; 138.9987222","駅員無配置駅","CB  08 ","スル","387人/日（降車客含まず）-2019年-","","","","","","","",""
"駿河徳山駅","駿河徳山駅（するがとくやまえき）","https://ja.wikipedia.org/wiki/駿河徳山駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度4分28.81秒東経138度6分37.96秒","大井川本線","34.1 km（金谷起点）","大井川鐵道","1931年（昭和6年）4月12日","地上駅","島式 1面2線","静岡県榛原郡川根本町徳山北緯35度4分28.81秒東経138度6分37.96秒﻿ / ﻿北緯35.0746694度 東経138.1105444度﻿ /35.0746694; 138.1105444座標:北緯35度4分28.81秒東経138度6分37.96秒﻿ / ﻿北緯35.0746694度 東経138.1105444度﻿ /35.0746694; 138.1105444","","","","43人/日（降車客含まず）-2019年-","85人/日-2019年-","","","","","","",""
"諏訪駅","諏訪駅（すわえき）","https://ja.wikipedia.org/wiki/諏訪駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度55分23.89秒東経129度57分37.38秒","大村線","34.8 km（早岐起点）","九州旅客鉄道（JR九州）","1989年（平成元年）3月11日[2]","地上駅","1面1線[1]","長崎県大村市諏訪三丁目47北緯32度55分23.89秒東経129度57分37.38秒﻿ / ﻿北緯32.9233028度 東経129.9603833度﻿ /32.9233028; 129.9603833﻿ (諏訪駅)","無人駅","","スワ","246人/日（降車客含まず）-2016年-","487人/日-2016年-","","","","","","",""
"諏訪神社停留場","諏訪神社停留場（すわじんじゃていりゅうじょう）","https://ja.wikipedia.org/wiki/諏訪神社停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯32度45分9.43秒東経129度53分3.08秒","蛍茶屋支線（□2号系統・■3号系統・■4号系統・■5号系統）","1.3 km（西浜町起点）","長崎電気軌道","1920年（大正9年）7月9日","地上駅","2面2線","長崎県長崎市出来大工町4番地先北緯32度45分9.43秒東経129度53分3.08秒﻿ / ﻿北緯32.7526194度 東経129.8841889度﻿ /32.7526194; 129.8841889﻿ (諏訪神社停留場)","","39","","","3,500人/日-2015年-","","","","","","",""
"諏訪町駅","諏訪町駅（すわちょうえき）","https://ja.wikipedia.org/wiki/諏訪町駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度49分25秒東経137度22分13秒","豊川線","4.4 km（国府起点）","名古屋鉄道","1945年（昭和20年）1月27日","地上駅","1面1線","愛知県豊川市諏訪三丁目250北緯34度49分25秒東経137度22分13秒﻿ / ﻿北緯34.82361度 東経137.37028度﻿ /34.82361; 137.37028座標:北緯34度49分25秒東経137度22分13秒﻿ / ﻿北緯34.82361度 東経137.37028度﻿ /34.82361; 137.37028","無人駅（国府駅管理）*1955年市役所前駅から改称。* 0.6km八幡駅寄りに諏訪新道信号場あり。","TK  02 ","","","4,649人/日-2019年[1]-","","","","","","",""
"諏訪川原停留場","諏訪川原停留場（すわのかわらていりゅうじょう）","https://ja.wikipedia.org/wiki/諏訪川原停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯36度41分32.51秒東経137度12分21.3秒","富山軌道線（安野屋線）","0.3km(丸の内起点）南富山駅前から4.9 km","富山地方鉄道","1952年（昭和27年）8月5日","地上駅","相対式2面2線","富山県富山市諏訪川原一丁目・二丁目北緯36度41分32.51秒東経137度12分21.3秒﻿ / ﻿北緯36.6923639度 東経137.205917度﻿ /36.6923639; 137.205917﻿ (諏訪川原停留場)","","C19","","","89[1]人/日-2019年-","","","","","","",""
"諏訪ノ平駅","諏訪ノ平駅（すわのたいらえき）","https://ja.wikipedia.org/wiki/諏訪ノ平駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","■青い森鉄道線","9.5km（目時起点）盛岡から91.5km東京から626.8 km","青い森鉄道","1933年（昭和8年）1月15日","地上駅","2面2線","","無人駅（自動券売機 有）","","スノ","","64人/日-2018年-","","","","","","",""
"諏訪ノ森駅","諏訪ノ森駅（すわのもりえき）","https://ja.wikipedia.org/wiki/諏訪ノ森駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度33分7.06秒東経135度26分57.29秒","■南海本線","13.8 km（難波起点）","南海電気鉄道","1907年（明治40年）12月20日","地上駅","2面2線（千鳥式配置）","堺市西区浜寺諏訪森町西二丁北緯34度33分7.06秒東経135度26分57.29秒﻿ / ﻿北緯34.5519611度 東経135.4492472度﻿ /34.5519611; 135.4492472座標:北緯34度33分7.06秒東経135度26分57.29秒﻿ / ﻿北緯34.5519611度 東経135.4492472度﻿ /34.5519611; 135.4492472","","NK 14","スワ","","","","7,749人/日-2019年-","","","","",""
"寸座駅","寸座駅（すんざえき）","https://ja.wikipedia.org/wiki/寸座駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度47分24秒東経137度36分45秒","天竜浜名湖線","49.4 km（掛川起点）","天竜浜名湖鉄道","1955年（昭和30年）5月6日*","地上駅","1面1線","浜松市北区細江町気賀11136-3北緯34度47分24秒東経137度36分45秒﻿ / ﻿北緯34.79000度 東経137.61250度﻿ /34.79000; 137.61250座標:北緯34度47分24秒東経137度36分45秒﻿ / ﻿北緯34.79000度 東経137.61250度﻿ /34.79000; 137.61250","*1987年まで国鉄二俣線。","","","13人/日（降車客含まず）-2018年-","","","","","","","",""
"聖愛中高前駅","聖愛中高前駅（せいあいちゅうこうまええき）","https://ja.wikipedia.org/wiki/聖愛中高前駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯40度34分37.29秒東経140度28分21.87秒","大鰐線","11.3 km（大鰐起点）","弘南鉄道","1973年（昭和48年）12月1日","地上駅","1面1線","青森県弘前市大字中野3-5-1北緯40度34分37.29秒東経140度28分21.87秒﻿ / ﻿北緯40.5770250度 東経140.4727417度﻿ /40.5770250; 140.4727417座標:北緯40度34分37.29秒東経140度28分21.87秒﻿ / ﻿北緯40.5770250度 東経140.4727417度﻿ /40.5770250; 140.4727417","無人駅城南駅として開業。","KW 04","","","194人/日-2017年-","","","","","","",""
"青函トンネル竜飛斜坑線","青函トンネル記念館駅（せいかんトンネルきねんかんえき）","https://ja.wikipedia.org/wiki/青函トンネル竜飛斜坑線","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"清輝橋停留場","清輝橋停留場（せいきばしていりゅうじょう）","https://ja.wikipedia.org/wiki/清輝橋停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度39分6.14秒東経133度55分32.65秒","■清輝橋線","1.6km（柳川起点）岡山駅前から2.1 km","岡山電気軌道","1946年（昭和21年）9月6日","地上駅","1面1線","岡山市北区清輝橋一丁目北緯34度39分6.14秒東経133度55分32.65秒﻿ / ﻿北緯34.6517056度 東経133.9257361度﻿ /34.6517056; 133.9257361﻿ (清輝橋停留場)","","○S09","","","","","","","","","",""
"静修学園前停留場","静修学園前停留場（せいしゅうがくえんまえていりゅうじょう）","https://ja.wikipedia.org/wiki/静修学園前停留場","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯43度2分18.2秒東経141度21分4.2秒","山鼻線","1.697 km（中央図書館前起点）","札幌市交通事業振興公社（札幌市電）","1925年7月16日","地上駅（停留場）","2面2線","札幌市中央区南16条西7丁目北緯43度2分18.2秒東経141度21分4.2秒﻿ / ﻿北緯43.038389度 東経141.351167度﻿ /43.038389; 141.351167座標:北緯43度2分18.2秒東経141度21分4.2秒﻿ / ﻿北緯43.038389度 東経141.351167度﻿ /43.038389; 141.351167","運行系統上の起点となる西4丁目より6.287 km","","○SC17","","1,463[1]人/日-2019年-","幌平橋駅（札幌市営地下鉄南北線） - 乗継指定駅","","","","","",""
"成城学園前駅","成城学園前駅（せいじょうがくえんまええき）","https://ja.wikipedia.org/wiki/成城学園前駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度38分24秒東経139度35分56秒","小田原線","11.6 km（新宿起点）","小田急電鉄","1927年（昭和2年）4月1日","地下駅","2面4線","東京都世田谷区成城六丁目5番34号北緯35度38分24秒東経139度35分56秒﻿ / ﻿北緯35.64000度 東経139.59889度﻿ /35.64000; 139.59889座標:北緯35度38分24秒東経139度35分56秒﻿ / ﻿北緯35.64000度 東経139.59889度﻿ /35.64000; 139.59889","","OH14","","","88,692人/日-2019年-","","","","","","",""
"西湘貨物駅","西湘貨物駅（せいしょうかもつえき）","https://ja.wikipedia.org/wiki/西湘貨物駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度16分40.0秒東経139度11分30.0秒","東海道貨物線","79.6 km（東京起点）","日本貨物鉄道（JR貨物）","1970年（昭和45年）5月20日","地上駅","","神奈川県小田原市前川200北緯35度16分40.0秒東経139度11分30.0秒﻿ / ﻿北緯35.277778度 東経139.191667度﻿ /35.277778; 139.191667座標:北緯35度16分40.0秒東経139度11分30.0秒﻿ / ﻿北緯35.277778度 東経139.191667度﻿ /35.277778; 139.191667","貨物専用駅","","セシ","","","","","","","","",""
"西神中央駅","西神中央駅（せいしんちゅうおうえき）","https://ja.wikipedia.org/wiki/西神中央駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度43分10.09秒東経135度1分2.81秒","西神・山手線（正式には西神延伸線）","9.4km（名谷起点）谷上から30.2 km","神戸市交通局（神戸市営地下鉄）","1987年（昭和62年）3月18日[2]","地上駅[1]","島式 2面3線[1]","神戸市西区糀台5丁目[1]北緯34度43分10.09秒東経135度1分2.81秒﻿ / ﻿北緯34.7194694度 東経135.0174472度﻿ /34.7194694; 135.0174472﻿ (西神中央駅)座標:北緯34度43分10.09秒東経135度1分2.81秒﻿ / ﻿北緯34.7194694度 東経135.0174472度﻿ /34.7194694; 135.0174472﻿ (西神中央駅)",""," S17 ","","24,365人/日（降車客含まず）-2019年-","","","","","","","",""
"西神南駅","西神南駅（せいしんみなみえき）","https://ja.wikipedia.org/wiki/西神南駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯34度41分57.858秒東経135度1分48.659秒","西神・山手線（正式には西神延伸線）","6.8km（名谷起点）谷上から27.6 km","神戸市交通局（神戸市営地下鉄）","1993年（平成5年）3月20日[2][3]","地上駅[1]","島式 1面2線[1]","神戸市西区井吹台東町一丁目[1]北緯34度41分57.858秒東経135度1分48.659秒﻿ / ﻿北緯34.69940500度 東経135.03018306度﻿ /34.69940500; 135.03018306﻿ (西神南駅)座標:北緯34度41分57.858秒東経135度1分48.659秒﻿ / ﻿北緯34.69940500度 東経135.03018306度﻿ /34.69940500; 135.03018306﻿ (西神南駅)",""," S16 ","","13,712人/日（降車客含まず）-2019年-","","","","","","","",""
"聖蹟桜ヶ丘駅","聖蹟桜ヶ丘駅（せいせきさくらがおかえき）","https://ja.wikipedia.org/wiki/聖蹟桜ヶ丘駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度39分3秒東経139度26分48.7秒","■京王線","26.3 km（新宿起点）","京王電鉄","1925年（大正14年）3月24日","高架駅","2面2線","東京都多摩市関戸一丁目10-10北緯35度39分3秒東経139度26分48.7秒﻿ / ﻿北緯35.65083度 東経139.446861度﻿ /35.65083; 139.446861座標:北緯35度39分3秒東経139度26分48.7秒﻿ / ﻿北緯35.65083度 東経139.446861度﻿ /35.65083; 139.446861","","KO27","","","65,246人/日-2019年-","","","","","","",""
"勢浜駅","勢浜駅（せいはまえき）","https://ja.wikipedia.org/wiki/勢浜駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度28分52.1秒東経135度42分30.5秒","■小浜線","53.2 km（敦賀起点）","西日本旅客鉄道（JR西日本）","1961年（昭和36年）7月15日","地上駅","1面1線","福井県小浜市西勢[1]67-16北緯35度28分52.1秒東経135度42分30.5秒﻿ / ﻿北緯35.481139度 東経135.708472度﻿ /35.481139; 135.708472座標:北緯35度28分52.1秒東経135度42分30.5秒﻿ / ﻿北緯35.481139度 東経135.708472度﻿ /35.481139; 135.708472","無人駅","","セハ","32人/日（降車客含まず）-2019年-","","","","","","","",""
"整備場駅","整備場駅（せいびじょうえき）","https://ja.wikipedia.org/wiki/整備場駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度33分18.3秒東経139度45分12秒","東京モノレール羽田空港線","11.8 km（モノレール浜松町起点）","東京モノレール","1967年（昭和42年）3月20日","高架駅","2面2線","東京都大田区羽田空港一丁目7-4北緯35度33分18.3秒東経139度45分12秒﻿ / ﻿北緯35.555083度 東経139.75333度﻿ /35.555083; 139.75333﻿ (整備場駅)座標:北緯35度33分18.3秒東経139度45分12秒﻿ / ﻿北緯35.555083度 東経139.75333度﻿ /35.555083; 139.75333﻿ (整備場駅)","業務委託駅","MO06","","","2,081人/日-2015年-","","","","","","",""
"西武園駅","西武園駅（せいぶえんえき）","https://ja.wikipedia.org/wiki/西武園駅","日本の鉄道駅一覧_す-そ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_す-そ","箇条書き,制限あり","北緯35度46分5秒東経139度26分55.3秒","■西武園線","2.4 km（東村山起点）国分寺から10.2 km","西武鉄道","1930年（昭和5年）4月5日","橋上駅","2面3線","東京都東村山市多摩湖町四丁目29-1北緯35度46分5秒東経139度26分55.3秒﻿ / ﻿北緯35.76806度 東経139.448694度﻿ /35.76806; 139.448694座標:北緯35度46分5秒東経139度26分55.3秒﻿ / ﻿北緯35.76806度 東経139.448694度﻿ /35.76806; 139.448694","開業日は当駅に統合された村山貯水池駅のもの","SK06","","","3,591人/日-2019年-","","","","","","",""
