"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","所有者","位置","運用者","グラウンド","開場","大型映像装置","照明","ピッチサイズ","設計者","建設者","修繕","建設費","起工","拡張","運営者","分類","公式サイト","設備・遊具"
"名古屋市瑞穂公園ラグビー場","[名古屋市瑞穂運動場ラグビー場/ 瑞穂球] 名古屋市瑞穂公園ラグビー場 （なごやしみずほこうえんラグビーじょう）は、 愛知県 名古屋市 瑞穂区 山下通5-4の 名古屋市瑞穂公園 にある フットボール 専用の 球技場 。施設は名古屋市が所有し、 公益財団法人 名古屋市教育スポーツ協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/名古屋市瑞穂公園ラグビー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯35度7分17.21秒東経136度56分33.17秒","名古屋市瑞穂区山下通5-4","名古屋市","北緯35度7分17.21秒東経136度56分33.17秒﻿ / ﻿北緯35.1214472度 東経136.9425472度﻿ /35.1214472; 136.9425472座標:北緯35度7分17.21秒東経136度56分33.17秒﻿ / ﻿北緯35.1214472度 東経136.9425472度﻿ /35.1214472; 136.9425472","公益財団法人名古屋市教育スポーツ協会","天然芝","","アストロビジョン","鉄塔式4基500Lx","135m×80m","","","1990年3月","","","","","","",""
"三重県鈴鹿スポーツガーデン","[三重交通G スポーツの杜 鈴鹿サッカー・ラグビー場/ 三交鈴鹿] 三重県営鈴鹿スポーツガーデン （みえけんえいすずかスポーツガーデン）は、 三重県 鈴鹿市 にある総合 スポーツ施設 。 1992年 （ 平成 4年）から段階を追ってオープンし、球技場、プール、テニスコート、体育館等を設けている。 指定管理者 は 三重県スポーツ協会  。","https://ja.wikipedia.org/wiki/三重県鈴鹿スポーツガーデン#サッカー・ラグビー場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯34度50分3.91秒東経136度30分57.47秒","日本三重県鈴鹿市御薗町1669","","","","","","","","","","","","","","","三重県スポーツ協会グループ","運動公園","三重県営鈴鹿スポーツガーデン 公式サイト","水泳場庭球場サッカー・ラグビー場体育館クライミングウォール多目的広場"
"札幌厚別公園競技場","[札幌厚別公園競技場/ 札幌厚別] 札幌厚別公園競技場 （さっぽろあつべつこうえんきょうぎじょう）は、 北海道 札幌市 厚別区 の 厚別公園 内にある 陸上競技場 。施設は札幌市が所有し、札幌市公園緑化協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/札幌厚別公園競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯43度1分8.48秒東経141度27分50.83秒","札幌市厚別区上野幌3条1丁目2-1","札幌市","北緯43度1分8.48秒東経141度27分50.83秒﻿ / ﻿北緯43.0190222度 東経141.4641194度﻿ /43.0190222; 141.4641194","札幌市公園緑化協会","天然芝（105m× 70m）（ケンタッキーブルーグラス・トールフェスク・ペレニアルライグラスの3種混合）","1986年","あり（2015年設置）第3コーナー付近に球技用の電光掲示板1基（1998年設置）がある","4基常設ではなく移動照明車使用による","105m × 68m","","","","","","","","","",""
"千代台公園陸上競技場","[千代台公園陸上競技場/ 函館] 千代台公園陸上競技場 （ちよがだいこうえんりくじょうきょうぎじょう）は  、 北海道 函館市 の 千代台公園 にある 陸上競技場 。","https://ja.wikipedia.org/wiki/千代台公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯41度47分9.57秒東経140度44分42.99秒","北海道函館市千代台町22-24","函館市","北緯41度47分9.57秒東経140度44分42.99秒﻿ / ﻿北緯41.7859917度 東経140.7452750度﻿ /41.7859917; 140.7452750座標:北緯41度47分9.57秒東経140度44分42.99秒﻿ / ﻿北緯41.7859917度 東経140.7452750度﻿ /41.7859917; 140.7452750","函館市文化・スポーツ振興財団（指定管理者）","","1961年10月29日","","","106 m × 69 m","","","1998年（全面改修）2013年-2014年（ウレタン舗装など）","","","","","","",""
"青森県総合運動公園陸上競技場","[青森県総合運動公園陸上競技場/ 青森] 青森県総合運動公園陸上競技場 （あおもりけん・そうごううんどうこうえん・りくじょうきょうぎじょう）は、 青森県 青森市 の 青森県総合運動公園 にあった 陸上競技場 兼 球技場 。現在は広場として一般開放されている。施設は青森県が所有し、スポルト青い森グループ（鹿内組と大坂組による企業体）が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/青森県総合運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯40度48分23.62秒東経140度42分27.32秒","青森県青森市安田字近野234-7","青森県","北緯40度48分23.62秒東経140度42分27.32秒﻿ / ﻿北緯40.8065611度 東経140.7075889度﻿ /40.8065611; 140.7075889座標:北緯40度48分23.62秒東経140度42分27.32秒﻿ / ﻿北緯40.8065611度 東経140.7075889度﻿ /40.8065611; 140.7075889","スポルト青い森グループ","","1966年","","","","","","","","","","","","",""
"岩手県営運動公園","[岩手県営運動公園陸上競技場/ 岩手] 岩手県営運動公園 （いわてけんえいそうごううんどうこうえん）は、 岩手県 盛岡市 にある総合スポーツ施設である。施設は岩手県が所有し、岩手県スポーツ振興事業団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/岩手県営運動公園","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯39度44分19.2秒東経141度7分15.2秒","岩手県盛岡市みたけ1丁目10-1","岩手県","北緯39度44分19.2秒東経141度7分15.2秒﻿ / ﻿北緯39.738667度 東経141.120889度﻿ /39.738667; 141.120889座標:北緯39度44分19.2秒東経141度7分15.2秒﻿ / ﻿北緯39.738667度 東経141.120889度﻿ /39.738667; 141.120889","岩手県スポーツ振興事業団","天然芝","1966年","あり","4基（全灯406ルクス）","","","","","","","","","","",""
"宮城スタジアム","[キューアンドエースタジアムみやぎ/ Qスタ] 宮城スタジアム （みやぎスタジアム）は、 宮城県 宮城郡 利府町 の 宮城県総合運動公園 （グランディ・21）内にある 陸上競技場 兼 サッカー 球技場 。宮城県が建設・整備し、（公財）宮城県スポーツ振興財団を筆頭とする「G21指定管理グループ」が 指定管理者 として管理を行っている。","https://ja.wikipedia.org/wiki/宮城スタジアム","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度20分12.913秒東経140度57分11.185秒","宮城県宮城郡利府町菅谷字舘40-1","宮城県","北緯38度20分12.913秒東経140度57分11.185秒﻿ / ﻿北緯38.33692028度 東経140.95310694度﻿ /38.33692028; 140.95310694座標:北緯38度20分12.913秒東経140度57分11.185秒﻿ / ﻿北緯38.33692028度 東経140.95310694度﻿ /38.33692028; 140.95310694","G21指定管理グループ（（公財）宮城県スポーツ振興財団・同和興業・セントラルスポーツ）（指定管理者）","天然芝","2000年（平成12年）3月31日","1基","1500lx","107m× 71m","針生・阿部共同アトリエ","奥村組","","約270億円","1996年（平成8年）10月","","","","",""
"仙台市陸上競技場","[仙台市陸上競技場/ 仙台陸] 仙台市陸上競技場 （せんだいしりくじょうきょうぎじょう）は、 宮城県 仙台市 宮城野区 の 宮城野原公園総合運動場 内にある 陸上競技場 。 球技場 としても使用される。 2009年 （ 平成 21年） 3月31日 まで宮城県が所有する宮城陸上競技場だったが、同年 4月1日 に仙台市に譲渡され、名称も変更になった  。2017年（平成29年）4月より 弘進ゴム が 命名権 を取得し、愛称が「 弘進ゴム アスリートパーク仙台 」となる。 指定管理者 は仙台市スポーツ振興事業団である。","https://ja.wikipedia.org/wiki/仙台市陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯38度15分30.55秒東経140度54分14.37秒","宮城県仙台市宮城野区宮城野2-11-6","仙台市","北緯38度15分30.55秒東経140度54分14.37秒﻿ / ﻿北緯38.2584861度 東経140.9039917度﻿ /38.2584861; 140.9039917座標:北緯38度15分30.55秒東経140度54分14.37秒﻿ / ﻿北緯38.2584861度 東経140.9039917度﻿ /38.2584861; 140.9039917","仙台市スポーツ振興事業団","","1952年（昭和27年）","なし","なし","","","","","","","","","","",""
"日立市民運動公園陸上競技場","[日立市民運動公園陸上競技場/ 日立市] 日立市民運動公園陸上競技場 （ひたちしみんうんどうこうえんりくじょうきょうぎじょう）は、 茨城県 日立市 にある 陸上競技場 。","https://ja.wikipedia.org/wiki/日立市民運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"笠松運動公園陸上競技場","[笠松運動公園陸上競技場/ 笠松] 笠松運動公園陸上競技場 （かさまつうんどうこうえんりくじょうきょうぎじょう）は、 茨城県 にある 笠松運動公園 内の 陸上競技場 。公園は ひたちなか市 、 那珂市 、 那珂郡 東海村 にまたがる（主たる所在地はひたちなか市）が、本競技場の敷地はすべて那珂市に含まれる  。","https://ja.wikipedia.org/wiki/笠松運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度27分25.96秒東経140度32分17.49秒","茨城県那珂市向山1282-1","茨城県","北緯36度27分25.96秒東経140度32分17.49秒﻿ / ﻿北緯36.4572111度 東経140.5381917度﻿ /36.4572111; 140.5381917座標:北緯36度27分25.96秒東経140度32分17.49秒﻿ / ﻿北緯36.4572111度 東経140.5381917度﻿ /36.4572111; 140.5381917","（財）茨城県体育協会","天然芝（106m×69m）","1973年","","最大1,500ルクス照明鉄塔4基（2012年時点では不足）","105m×68m","","","2001年4月改修","","","","","","",""
"ひたちなか市総合運動公園陸上競技場","[ひたちなか市総合運動公園陸上競技場/ ひたちなか] ひたちなか市総合運動公園陸上競技場 （ひたちなかしそうごううんどうこうえんりくじょうきょうぎじょう）は日本陸連第2種公認陸上競技場。 茨城県 ひたちなか市 にある同公園のメインスタジアムとして1998年に開設された。","https://ja.wikipedia.org/wiki/ひたちなか市総合運動公園陸上競技場","日本のサッカー競技場一覧","https://ja.wikipedia.org/wiki/日本のサッカー競技場一覧","箇条書き,制限あり","北緯36度23分30.9秒東経140度35分10.4秒","茨城県ひたちなか市新光町49番","ひたちなか市","北緯36度23分30.9秒東経140度35分10.4秒﻿ / ﻿北緯36.391917度 東経140.586222度﻿ /36.391917; 140.586222座標:北緯36度23分30.9秒東経140度35分10.4秒﻿ / ﻿北緯36.391917度 東経140.586222度﻿ /36.391917; 140.586222","ひたちなか市","天然芝","1998年","なし","照明塔4基","","","","","","","","","","",""
