"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","指定文化財","遺構","築城年","築城主","廃城年","城郭構造","築造時期","史跡","規模","主な城主","形状","別名","出土品","天守構造","埋葬施設","特記事項"
"西隈古墳","[西隈古墳（にしくまこふん）〔佐賀市〕] 西隈古墳 （にしくまこふん）は、 佐賀県 佐賀市 金立町にある 円墳 。九州北部に分布する装飾古墳の中でも西方の肥前にあり、貴重な存在である。そのため、1975年6月26日に 国史跡 に指定された。","https://ja.wikipedia.org/wiki/西隈古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度19分39秒 東経130度17分36秒","","","","","","","","","","","","","","","","","","",""
"肥前国庁跡","[肥前国庁跡（ひぜんこくちょうあと）〔佐賀市〕] 肥前国庁跡 （ひぜんこくちょうあと）・肥前国庁跡資料館は、 佐賀県 佐賀市 大和町 大字久池井に所在する、 律令制 下における地方行政機関の中心施設跡である。 1989年 （ 平成 元年） 9月22日 、国の史跡に指定される。","https://ja.wikipedia.org/wiki/肥前国庁跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度19分1.0秒 東経130度16分26.4秒","","","","","","","","","","","","","","","","","","",""
"三重津海軍所","[三重津海軍所跡（みえつかいぐんしょあと）〔佐賀市〕] 三重津海軍所 （みえつかいぐんしょ）は 佐賀県 佐賀市 川副町 大字早津江字元海軍所に所在し、 佐賀藩 が 1858年 （ 安政 5年)に設立した 蒸気船 等の船の修理・ 造船 施設。","https://ja.wikipedia.org/wiki/三重津海軍所","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度12分26秒 東経130度20分23秒","","","","","","","","","","","","","","","","","","",""
"東名遺跡","[東名遺跡（ひがしみょういせき）〔佐賀市〕2016年10月3日] 本遺跡は、 佐賀平野 の中部  、現代における佐賀市街の北に位置する。現在の海岸線よりも12kmほど内陸にあるが、 縄文海進 極大の直前であった約7,000年前（較正年代約8,000年前）当時の海岸線は遺跡付近にあり、近くには大きな河川があって遺跡はその左岸と推定される  。遺跡は現在の標高 T.P.3mから T.P.-3mにかけての低湿地にあった  。","https://ja.wikipedia.org/wiki/東名遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度17分45秒 東経130度18分30秒","","","","","","","","","","","","","","","","","","",""
"姉川城","[姉川城跡（あねがわじょうあと）〔神埼市〕 2010年2月22日] 姉川城 （あねがわじょう）は 佐賀県 神埼市 に存在した 平城 。国の 史跡 。","https://ja.wikipedia.org/wiki/姉川城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度17分37.3秒東経130度20分56.6秒","北緯33度17分37.3秒東経130度20分56.6秒﻿ / ﻿北緯33.293694度 東経130.349056度﻿ /33.293694; 130.349056","","姉川城","国の史跡","曲輪、水堀","正平15年（1360年）","菊池武安","不明","平城","","","","姉川氏","","","","","",""
"土生遺跡","[土生遺跡（はぶいせき）〔小城市〕] 土生遺跡 （はぶいせき）は、 佐賀県 小城市 三日月町久米字土生にある 弥生時代 中期の集落跡。1973年6月2日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/土生遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度16分33秒 東経130度12分02秒","","","","","","","","","","","","","","","","","","",""
"多久聖廟","[多久聖廟（たくせいびょう）〔多久市〕] 多久聖廟 （たくせいびょう）は、 佐賀県 多久市 に設けられた 孔子廟 。 1708年 （ 宝永 5年）竣工。","https://ja.wikipedia.org/wiki/多久聖廟","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度15分36.0秒東経130度5分52.0秒","","〒846-0031佐賀県多久市多久町1843-3","","","","","","","","","","","","","","","","",""
"おつぼ山神籠石 (存在しないページ)","[おつぼ山神籠石（おつぼやまこうごいし）〔武雄市〕]","https://ja.wikipedia.org/w/index.php?title=おつぼ山神籠石&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"肥前陶器窯跡 (存在しないページ)","[肥前陶器窯跡（ひぜんとうきかまあと）〔武雄市・唐津市・多久市〕]","https://ja.wikipedia.org/w/index.php?title=肥前陶器窯跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"柿右衛門窯跡","[柿右衛門窯跡（かきえもんかまあと）〔西松浦郡有田町〕] 柿右衛門窯跡 （かきえもんかまあと）は、 佐賀県 西松浦郡 有田町 南山丁にある 窯跡 。1989年（平成元年）9月22日に国の 史跡 に指定された。また、2016年（平成28年）4月25日には 日本遺産 「日本磁器のふるさと 肥前〜百花繚乱のやきもの散歩〜」の構成文化財にも認定されている。","https://ja.wikipedia.org/wiki/柿右衛門窯跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度10分51秒 東経129度52分07秒","","","","","","","","","","","","","","","","","","",""
"天狗谷窯跡 (存在しないページ)","[天狗谷窯跡（てんぐだにかまあと）]","https://ja.wikipedia.org/w/index.php?title=天狗谷窯跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山辺田窯跡 (存在しないページ)","[山辺田窯跡（やんべたかまあと）]","https://ja.wikipedia.org/w/index.php?title=山辺田窯跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"原明窯跡 (存在しないページ)","[原明窯跡（はらあけかまあと）]","https://ja.wikipedia.org/w/index.php?title=原明窯跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"百間窯跡 (存在しないページ)","[百間窯跡（ひゃっけんかまあと）]","https://ja.wikipedia.org/w/index.php?title=百間窯跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"泉山磁石場跡 (存在しないページ)","[泉山磁石場跡（いずみやまじせきばあと）]","https://ja.wikipedia.org/w/index.php?title=泉山磁石場跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"不動山窯跡 (存在しないページ)","[不動山窯跡（ふどうやまかまあと）]","https://ja.wikipedia.org/w/index.php?title=不動山窯跡&amp;action=edit&amp;redlink=1","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大川内鍋島窯跡","[大川内鍋島窯跡（おおかわちなべしまかまあと）〔伊万里市〕] 窯は、水平全長約137メートル、焼成室は27～30室とみられる。階段状 連房式登窯 である。色鍋島・鍋島青磁・鍋島染付などの焼き物が生産されたが、 将軍 への献上や 諸大名 への贈答、あるいは 藩主 の城中用としてのみの使用などが目的だったことから、一般市場には出回らなかった。","https://ja.wikipedia.org/wiki/大川内鍋島窯跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度13分57秒 東経129度53分37秒","","","","","","","","","","","","","","","","","","",""
"谷口古墳","[谷口古墳（たにぐちこふん）〔唐津市〕] 谷口古墳 （たにぐちこふん）は、 佐賀県 唐津市 の 玉島川 河口付近の丘陵にある 前方後円墳 。全長約90m、後円部半径約30m、前方部幅約24m。1941年12月13日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/谷口古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度27分10秒 東経130度03分16秒","","","","","","","","","","","","","","","","","","",""
"菜畑遺跡","[菜畑遺跡（なばたけいせき）〔唐津市〕] 菜畑遺跡 （なばたけいせき）は、現在日本最古の 水稲耕作 遺跡である  。 佐賀県 唐津市 の西南部、 JR 唐津駅 から西に2キロメートルほどのところにあり、国の 史跡 に指定されている  。従来の 縄文時代 の水田跡が発見されている。","https://ja.wikipedia.org/wiki/菜畑遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度26分55.1秒 東経129度57分27.9秒","","","","","","","","","","","","","","","","","","",""
"葉山尻支石墓群","[葉山尻支石墓群（はやまじりしせきぼぐん）〔唐津市〕] 葉山尻支石墓群 （はやまじりしせきぼぐん）は、 佐賀県 唐津市 大字半田字葉山尻に所在する 弥生時代 の支石墓群である。1966年（昭和41年）12月19日、国の史跡に指定された。","https://ja.wikipedia.org/wiki/葉山尻支石墓群","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度24分37.1秒 東経130度1分17.7秒","","","","","","","","","","","","","","","","","","",""
"横田下古墳","[横田下古墳（よこたしもこふん）〔唐津市〕] 横田下古墳 （よこたしもこふん）は、 佐賀県 唐津市 浜玉町 にある 円墳 。1951年6月9日、 国史跡 に指定された。","https://ja.wikipedia.org/wiki/横田下古墳","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度26分04秒 東経130度02分01秒","","","","","","","","","","","","","","","","","","",""
"金田城","[金田城跡（かねだじょうあと）〔対馬市〕] 金田城 （かねだじょう/かなたのき/かねたのき）は、 対馬国 下県郡 の城山（じょうやま、現在の 長崎県 対馬市 美津島町黒瀬）にあった 日本 の 古代山城 （分類は 朝鮮式山城 ）。城跡は国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/金田城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯34度18分4.88秒東経129度16分23.67秒","北緯34度18分4.88秒東経129度16分23.67秒﻿ / ﻿北緯34.3013556度 東経129.2732417度﻿ /34.3013556; 129.2732417座標:北緯34度18分4.88秒東経129度16分23.67秒﻿ / ﻿北緯34.3013556度 東経129.2732417度﻿ /34.3013556; 129.2732417","","金田城","国の特別史跡「金田城跡」","城門・水門・石塁・土塁・建物跡","天智天皇6年（667年）","大和朝廷","不明","古代山城（朝鮮式山城）","","","","","","","","","",""
"原の辻遺跡","[原の辻遺跡（はるのつじいせき）〔壱岐市〕] 原の辻遺跡 （はるのつじいせき）は、 長崎県 壱岐市 芦辺町 深江栄触・深江鶴亀触、 石田町 石田西触にある 遺跡 。国の 特別史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/原の辻遺跡","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯33度45分34.0秒 東経129度45分11.6秒","","長崎県壱岐市芦辺町深江栄触・深江鶴亀触、石田町石田西触","","","","","","","","","","","","","","","","",""
"金石城","[金石城跡（かねいしじょうあと）〔対馬市〕] 金石城 （かねいしじょう）は、 長崎県 対馬市 厳原町 にあった 城 である。市街を挟んで北東隣の 桟原城 （さじきばらじょう）とあわせて厳原城（いずはらじょう）ともいう  。","https://ja.wikipedia.org/wiki/金石城","九州・沖縄地方の史跡一覧","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","箇条書き,制限あり","北緯34度12分15.1秒東経129度17分10.0秒","北緯34度12分15.1秒東経129度17分10.0秒﻿ / ﻿北緯34.204194度 東経129.286111度﻿ /34.204194; 129.286111","","金石城","遺構（国の史跡）、庭園（国の名勝）","石垣","1528年","宗将盛","不明","平城","","","","宗氏","","金石屋形、厳原城","","なし・天守代用大手門（望楼型2重2階 1669年頃築）（同 木造1990年再）","",""
