"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","分類","運営者","公式サイト","外部リンク","法人番号","国","地方","総人口","人口密度","駐車場","開園","都道府県","市町村コード","隣接自治体","設備・遊具","市長","事務所"
"今治市","[97吹揚公園市立歴史公園愛媛県今治市今治城] 今治市 （いまばりし）は、 愛媛県 北東部に位置する 市 。今治市と 尾道市 を結ぶ しまなみ海道 があり、 大島 、 伯方島 、 大三島 などの島々を結んでいる。人口は約15万人。","https://ja.wikipedia.org/wiki/今治市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯34度3分58.2秒東経132度59分52秒","〒794-8511愛媛県今治市別宮町一丁目4番地1北緯34度3分58.2秒東経132度59分52秒﻿ / ﻿北緯34.066167度 東経132.99778度﻿ /34.066167; 132.99778座標:北緯34度3分58.2秒東経132度59分52秒﻿ / ﻿北緯34.066167度 東経132.99778度﻿ /34.066167; 132.99778","419.14km2","","","","公式ウェブサイト","3000020382027","日本","四国地方中国・四国地方","149,996人（推計人口、2021年6月1日）","358人/km2","","","愛媛県","38202-7","松山市、東温市、西条市、越智郡上島町広島県：呉市、尾道市、竹原市、三原市、豊田郡大崎上島町","","徳永繁樹",""
"大洲市","[98城山公園市立地区公園愛媛県大洲市大洲城] 大洲市 （おおずし）は、 愛媛県 の 南予地方 に位置する 市 。「伊予の 小京都 」と呼ばれる。肱川の流域にある 大洲城 を中心に発展した旧 城下町 である。","https://ja.wikipedia.org/wiki/大洲市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度30分22.6秒東経132度32分40.3秒","〒795-8601愛媛県大洲市大洲690-1北緯33度30分22.6秒東経132度32分40.3秒﻿ / ﻿北緯33.506278度 東経132.544528度﻿ /33.506278; 132.544528座標:北緯33度30分22.6秒東経132度32分40.3秒﻿ / ﻿北緯33.506278度 東経132.544528度﻿ /33.506278; 132.544528","432.22km2","","","","公式ウェブサイト","1000020382078","日本","四国地方中国・四国地方","39,988人（推計人口、2021年6月1日）","92.5人/km2","","","愛媛県","38207-8","八幡浜市、西予市、伊予市、喜多郡内子町山口県:周防大島町","","二宮隆久",""
"高知県","[99高知公園県立歴史公園高知県高知市高知城] ","https://ja.wikipedia.org/wiki/高知県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度33分34.9秒東経133度31分51.7秒","〒780-8570高知県高知市丸ノ内一丁目2番20号北緯33度33分34.9秒東経133度31分51.7秒﻿ / ﻿北緯33.559694度 東経133.531028度﻿ /33.559694; 133.531028﻿ (高知県)座標:北緯33度33分34.9秒東経133度31分51.7秒﻿ / ﻿北緯33.559694度 東経133.531028度﻿ /33.559694; 133.531028﻿ (高知県)県庁舎位置","7,103.86km2","","","","高知県","5000020390003","日本","四国地方中国・四国地方","684,153人（推計人口、2021年6月1日）","96.3人/km2","","","","","","","",""
"四万十市","[100為松公園市立風致公園高知県四万十市中村城] 四万十市 （しまんとし）は、 高知県 南西部に位置する 市 。","https://ja.wikipedia.org/wiki/四万十市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯32度59分28.6秒東経132度56分1.3秒","〒787-8501高知県四万十市中村大橋通四丁目10番地北緯32度59分28.6秒東経132度56分1.3秒﻿ / ﻿北緯32.991278度 東経132.933694度﻿ /32.991278; 132.933694座標:北緯32度59分28.6秒東経132度56分1.3秒﻿ / ﻿北緯32.991278度 東経132.933694度﻿ /32.991278; 132.933694","632.29km2","","","","公式ウェブサイト","9000020392103","日本","四国地方中国・四国地方","32,338人（推計人口、2021年6月1日）","51.1人/km2","","","高知県","39210-3","宿毛市、土佐清水市、高岡郡四万十町、幡多郡三原村、黒潮町愛媛県：宇和島市、北宇和郡松野町","","中平正宏",""
"石炭記念公園 (存在しないページ)","[101石炭記念公園市立地区公園福岡県田川市三井田川炭鉱]","https://ja.wikipedia.org/w/index.php?title=石炭記念公園&amp;action=edit&amp;redlink=1","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"佐賀城公園","[102佐賀城公園県立総合公園佐賀県佐賀市佐賀城] 佐賀城公園 （さがじょうこうえん）は、佐賀県 佐賀市 城内 にある 佐賀城 跡を中心とした県立の 都市公園 （総合公園）である  。 佐賀県庁 など行政の中心部近くにあり、三方を濠に囲まれた公園は市民の憩いの場となっている。 1989年 （ 平成 元年） 7月28日 には 日本の都市公園100選 に、 2007年 （平成19年） 2月5日 には 日本の歴史公園100選 の一つに選定された。","https://ja.wikipedia.org/wiki/佐賀城公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度14分40秒東経130度18分05秒","日本佐賀県佐賀市城内一丁目、二丁目、水ヶ江一丁目、三丁目、中の館町、鬼丸町、赤松町、与賀町","33.2 ha","都市公園（総合公園）","佐賀県指定管理者","指定管理者のサイト","","","","","","","","","","","","","","佐賀城公園管理事務所"
"小城公園","[103小城公園市立地区公園佐賀県小城市桜岡・自楽園ほか] 小城公園 （おぎこうえん）は、 佐賀県 小城市 小城町に所在する 都市公園 （総合公園）である  。前身の 桜岡公園 の名で呼ばれることもある。園内の小高い丘「桜ヶ岡」を借景にした庭園「自楽園」があり、周辺には約3,000本の 桜 が咲く。また、岡山神社と烏森稲荷神社の2つの 神社 、また丘の頂部には 古墳 があるほか、都市公園として運動場が設けられている。 日本さくら名所100選 および 日本の歴史公園100選 に選定されている。","https://ja.wikipedia.org/wiki/小城公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度17分20.9秒東経130度11分48.1秒","日本佐賀県小城市小城町","","都市公園（総合公園）","小城市","","","","","","","","","1875年","","","","","",""
"神埼市","[104吉野ヶ里歴史公園ロ号国営公園佐賀県神埼市、吉野ヶ里町吉野ヶ里遺跡] 神埼市 （かんざきし）は、 佐賀県 東部に位置する 市 。","https://ja.wikipedia.org/wiki/神埼市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度18分38.6秒東経130度22分22.7秒","〒842-8601佐賀県神埼市神埼町鶴3542-1北緯33度18分38.6秒東経130度22分22.7秒﻿ / ﻿北緯33.310722度 東経130.372972度﻿ /33.310722; 130.372972座標:北緯33度18分38.6秒東経130度22分22.7秒﻿ / ﻿北緯33.310722度 東経130.372972度﻿ /33.310722; 130.372972","125.13km2（境界未定部分あり）","","","","公式ウェブサイト","5000020412104","日本","九州地方","30,525人（推計人口、2021年6月1日）","244人/km2","","","佐賀県","41210-4","佐賀市、神埼郡吉野ヶ里町、三養基郡みやき町福岡県：久留米市、大川市、福岡市","","松本茂幸",""
"上山公園","[105上山公園市立総合公園長崎県諫早市諫早城] 上山公園 （じょうやまこうえん）は、 長崎県 諫早市 に所在する 諫早城 本丸跡を整備した 諫早公園 を含む面積120.3ヘクタールの 都市公園 である。 日本の歴史公園100選 、 日本の都市公園100選 、 森林浴の森100選 に選ばれている。","https://ja.wikipedia.org/wiki/上山公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","","","","","","","","","","","","","","","","","","","",""
"別府公園","[106別府公園市立総合公園大分県別府市別府公園] 別府公園 （べっぷこうえん）は、 大分県 別府市 大字野口原3018-1にある、別府市が管理する 都市公園 （総合公園）である  。","https://ja.wikipedia.org/wiki/別府公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度16分54.1秒東経131度29分28.3秒","大分県別府市大字別府野口原","","都市公園（総合公園）","別府市","別府市のサイト","","","","","","","","","","","","","",""
"竹田市","[107岡城跡大分県竹田市岡城] 竹田市 （たけたし）は、 大分県 の南西部に位置する 市 である。かつての 岡藩 の 城下町 であり、 岡城 は 瀧廉太郎 が「 荒城の月 」の構想を練ったことで知られる  。なお、市名の読みは「たけ た 」である。","https://ja.wikipedia.org/wiki/竹田市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯32度58分25.3秒東経131度23分52.2秒","〒878-8555大分県竹田市大字会々1650番地北緯32度58分25.3秒東経131度23分52.2秒﻿ / ﻿北緯32.973694度 東経131.397833度﻿ /32.973694; 131.397833﻿ (竹田市)座標:北緯32度58分25.3秒東経131度23分52.2秒﻿ / ﻿北緯32.973694度 東経131.397833度﻿ /32.973694; 131.397833﻿ (竹田市)","477.53km2（境界未定部分あり）","","","","公式ウェブサイト","9000020442089","日本","九州地方","19,606人（推計人口、2021年6月1日）","41.1人/km2","","","大分県","44208-9","大分市、豊後大野市、由布市、玖珠郡九重町熊本県：阿蘇市、阿蘇郡南小国町、高森町、産山村宮崎県：西臼杵郡高千穂町","","土居昌弘",""
"玖珠町","[108三島公園町立総合公園大分県玖珠町森陣屋] 玖珠町 （くすまち）は、 大分県 の中西部にある 町 である。 玖珠郡 に属する。","https://ja.wikipedia.org/wiki/玖珠町","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯33度16分59.5秒東経131度9分5.4秒","〒879-4492大分県玖珠郡玖珠町大字帆足268-5北緯33度16分59.5秒東経131度9分5.4秒﻿ / ﻿北緯33.283194度 東経131.151500度﻿ /33.283194; 131.151500座標:北緯33度16分59.5秒東経131度9分5.4秒﻿ / ﻿北緯33.283194度 東経131.151500度﻿ /33.283194; 131.151500","286.51km2","","","","公式ウェブサイト","5000020444626","日本","九州地方","14,164人（推計人口、2021年6月1日）","49.4人/km2","","","大分県","44462-6","日田市、中津市、宇佐市、由布市、玖珠郡九重町熊本県阿蘇郡小国町","","",""
"宮崎県","[109城山公園市立特殊公園宮崎県延岡市延岡城] 県木である「 フェニックス 」に代表される南国情緒豊かな気候から、 1960年代 には 日南 地区を中心とした 新婚旅行 のメッカだった。現在も春季の プロ野球 などの キャンプ 地として知られる。","https://ja.wikipedia.org/wiki/宮崎県","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯31度54分39.6秒東経131度25分25.9秒","〒880-8501宮崎県宮崎市橘通東2丁目10番1号北緯31度54分39.6秒東経131度25分25.9秒﻿ / ﻿北緯31.911000度 東経131.423861度﻿ /31.911000; 131.423861﻿ (宮崎県)座標:北緯31度54分39.6秒東経131度25分25.9秒﻿ / ﻿北緯31.911000度 東経131.423861度﻿ /31.911000; 131.423861﻿ (宮崎県)県庁舎位置宮崎県庁本館","7,735.32km2（境界未定部分あり）","","","","宮崎県","4000020450006","日本","九州地方","1,063,561人（推計人口、2021年6月1日）","137人/km2","","","","","","","",""
"西都市","[110特別史跡公園 西都原古墳群県立歴史公園宮崎県西都市西都原古墳群] 西都市 （さいとし）は、 宮崎県 の県央地域に位置する 市 。日本最大級の 古墳群 である国の 特別史跡 ・ 西都原古墳群 や、日向国主 伊東氏 の居城 都於郡城 で知られる。","https://ja.wikipedia.org/wiki/西都市","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯32度6分30.7秒東経131度24分4.9秒","〒881-0015宮崎県西都市聖陵町二丁目1番地北緯32度6分30.7秒東経131度24分4.9秒﻿ / ﻿北緯32.108528度 東経131.401361度﻿ /32.108528; 131.401361﻿ (西都市)座標:北緯32度6分30.7秒東経131度24分4.9秒﻿ / ﻿北緯32.108528度 東経131.401361度﻿ /32.108528; 131.401361﻿ (西都市)","438.79km2","","","","公式ウェブサイト","4000020452084","日本","九州地方","28,220人（推計人口、2021年6月1日）","64.3人/km2","","","宮崎県","45208-4","宮崎市、児湯郡高鍋町、木城町、新富町、西米良村、東臼杵郡美郷町、椎葉村、東諸県郡国富町","","橋田和実",""
"国営沖縄記念公園","[111国営沖縄記念公園（首里城地区）ロ号国営公園沖縄県那覇市首里城] 国営沖縄記念公園 （こくえいおきなわきねんこうえん）は、 沖縄県 の 沖縄本島 にある 国営公園 。大きく 沖縄県 本部町 にある海洋博覧会地区と、 那覇市 にある首里城地区の二つの地区に分けられる。海洋博覧会地区は 日本の都市公園100選 、首里城地区は 日本の歴史公園100選 にそれぞれ選ばれている。","https://ja.wikipedia.org/wiki/国営沖縄記念公園","日本の歴史公園100選","https://ja.wikipedia.org/wiki/日本の歴史公園100選","表形式","北緯26度41分27.5秒東経127度52分40.5秒","日本沖縄県国頭郡本部町（海洋博覧会地区）沖縄県那覇市（首里城地区）","71.6ha（海洋博覧会地区）2.7 ha（首里城地区）","都市公園","一般財団法人沖縄美ら島財団　","http://oki-park.jp","","","","","","","あり（1265台:海洋博覧会地区、116台:首里城地区）","1976年9月1日","","","","沖縄美ら海水族館、熱帯ドリームセンター、海洋文化館、エメラルドビーチ（海洋博覧会地区）首里城、守礼門（首里城地区）","","内閣府 沖縄総合事務局 国営沖縄記念公園事務所"
