"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","標高","位置","山系","最新噴火"
"茂里町停留場","茂里町停留場（もりまちていりゅうじょう）","https://ja.wikipedia.org/wiki/茂里町停留場","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯32度45分50.68秒東経129度51分52.56秒","本線（■1号系統・□2号系統・■3号系統）","3.4km（住吉起点）赤迫から3.6 km","長崎電気軌道","地上駅","1932年（昭和7年）3月","長崎県長崎市目覚町5番1号先北緯32度45分50.68秒東経129度51分52.56秒﻿ / ﻿北緯32.7640778度 東経129.8646000度﻿ /32.7640778; 129.8646000﻿ (茂里町停留場)","2面2線","","23","","","3,600人/日-2015年-","","","","","","",""
"森町病院前駅","森町病院前駅（もりまちびょういんまええき）","https://ja.wikipedia.org/wiki/森町病院前駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度49分35.0秒東経137度55分04.6秒","天竜浜名湖線[1]","13.6 km（掛川起点）","天竜浜名湖鉄道[1]","地上駅","2015年（平成27年）3月14日[1]","静岡県周智郡森町草ケ谷37-2北緯34度49分35.0秒東経137度55分04.6秒﻿ / ﻿北緯34.826389度 東経137.917944度﻿ /34.826389; 137.917944座標:北緯34度49分35.0秒東経137度55分04.6秒﻿ / ﻿北緯34.826389度 東経137.917944度﻿ /34.826389; 137.917944","1面1線[1]","無人駅[1]","","","46人/日（降車客含まず）-2018年-","","","","","","","",""
"森宮野原駅","森宮野原駅（もりみやのはらえき）","https://ja.wikipedia.org/wiki/森宮野原駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","■飯山線","49.7 km（豊野起点）","東日本旅客鉄道（JR東日本）","地上駅","1925年（大正14年）11月19日[1]","","1面2線[1]","簡易委託駅[2]標高：289.9m[2]","","モミ[2]","28人/日（降車客含まず）-2019年-","","","","","","","",""
"森本駅","森本駅（もりもとえき）","https://ja.wikipedia.org/wiki/森本駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度36分44.06秒東経136度41分22.59秒","■IRいしかわ鉄道線（■JR七尾線直通含む）","5.4 km（金沢起点）米原から182.0 km","IRいしかわ鉄道","地上駅（橋上駅[1]）","1911年（明治44年）11月1日","石川県金沢市弥勒町ロ61-2北緯36度36分44.06秒東経136度41分22.59秒﻿ / ﻿北緯36.6122389度 東経136.6896083度﻿ /36.6122389; 136.6896083座標:北緯36度36分44.06秒東経136度41分22.59秒﻿ / ﻿北緯36.6122389度 東経136.6896083度﻿ /36.6122389; 136.6896083","2面3線","業務委託駅みどりの窓口有","","モモ","1,663人/日（降車客含まず）-2019年-","","","","","","","",""
"守谷駅","守谷駅（もりやえき）","https://ja.wikipedia.org/wiki/守谷駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","","","関東鉄道（駅詳細）首都圏新都市鉄道（駅詳細）","","","茨城県守谷市中央","","","","","","","","","","","","",""
"森山駅","森山駅（もりやまえき・島原鉄道線）","https://ja.wikipedia.org/wiki/森山駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯32度50分5.87秒東経130度6分48.24秒","■島原鉄道線","7.5 km（諫早起点）","島原鉄道","地上駅","1911年（明治44年）6月20日","長崎県諫早市森山町下井牟田北緯32度50分5.87秒東経130度6分48.24秒﻿ / ﻿北緯32.8349639度 東経130.1134000度﻿ /32.8349639; 130.1134000﻿ (森山駅)","2面2線","* 年間乗車人員を日数で除算","","","*55人/日（降車客含まず）-2017年-","123人/日-2017年-","","","","","","",""
"守山駅 (愛知県)","守山駅 (愛知県)（もりやまえき・名古屋ガイドウェイバスガイドウェイバス志段味線）","https://ja.wikipedia.org/wiki/守山駅_(愛知県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度11分51.07秒東経136度57分23.44秒","ガイドウェイバス志段味線（ゆとりーとライン）","2.7 km（大曽根起点）","名古屋ガイドウェイバス","高架駅","2001年（平成13年）3月23日[1]","名古屋市守山区守山三丁目北緯35度11分51.07秒東経136度57分23.44秒﻿ / ﻿北緯35.1975194度 東経136.9565111度﻿ /35.1975194; 136.9565111﻿ (守山駅)座標:北緯35度11分51.07秒東経136度57分23.44秒﻿ / ﻿北緯35.1975194度 東経136.9565111度﻿ /35.1975194; 136.9565111﻿ (守山駅)","2面2線","","Y04","","715人/日（降車客含まず）-2019年-","","守山自衛隊前駅（名鉄瀬戸線）","","","","","",""
"守山駅 (滋賀県)","守山駅 (滋賀県)（もりやまえき・西日本旅客鉄道東海道本線）","https://ja.wikipedia.org/wiki/守山駅_(滋賀県)","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度3分1.51秒東経135度59分44.44秒","A東海道本線（琵琶湖線）","487.0km（東京起点）米原から41.1 km","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）*","地上駅（橋上駅）","1912年（明治45年）4月16日","滋賀県守山市梅田町1-1北緯35度3分1.51秒東経135度59分44.44秒﻿ / ﻿北緯35.0504194度 東経135.9956778度﻿ /35.0504194; 135.9956778座標:北緯35度3分1.51秒東経135度59分44.44秒﻿ / ﻿北緯35.0504194度 東経135.9956778度﻿ /35.0504194; 135.9956778","2面2線","業務委託駅みどりの窓口有","JR-A22","モリ","17,283人/日（降車客含まず）-2019年-","","","","","","","",""
"守山自衛隊前駅","守山自衛隊前駅（もりやまじえいたいまええき）","https://ja.wikipedia.org/wiki/守山自衛隊前駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度11分46秒東経136度57分27秒","瀬戸線","7.0 km（栄町起点）","名古屋鉄道","地上駅","1905年（明治38年）4月2日","名古屋市守山区廿軒家5-7北緯35度11分46秒東経136度57分27秒﻿ / ﻿北緯35.19611度 東経136.95750度﻿ /35.19611; 136.95750座標:北緯35度11分46秒東経136度57分27秒﻿ / ﻿北緯35.19611度 東経136.95750度﻿ /35.19611; 136.95750","相対式 2面2線","2006年より無人化","ST  08 ","","","2,648人/日-2019年[1]-","守山駅（名古屋ガイドウェイバスガイドウェイバス志段味線（ゆとりーとライン））","","","","","",""
"茂林寺前駅","茂林寺前駅（もりんじまええき）","https://ja.wikipedia.org/wiki/茂林寺前駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯36度13分31.91秒東経139度31分37.66秒","■伊勢崎線","72.4 km（浅草起点）","東武鉄道","地上駅","1927年（昭和2年）4月1日","群馬県館林市堀工町1624北緯36度13分31.91秒東経139度31分37.66秒﻿ / ﻿北緯36.2255306度 東経139.5271278度﻿ /36.2255306; 139.5271278﻿ (茂林寺前駅)座標:北緯36度13分31.91秒東経139度31分37.66秒﻿ / ﻿北緯36.2255306度 東経139.5271278度﻿ /36.2255306; 139.5271278﻿ (茂林寺前駅)","2面2線","業務委託駅","TI09","モリ","","1,574人/日-2019年-","","","","","","",""
"モレラ岐阜駅","モレラ岐阜駅（モレラぎふえき）","https://ja.wikipedia.org/wiki/モレラ岐阜駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度27分18.05秒東経136度40分11.04秒","樽見線","12.5 km（大垣起点）","樽見鉄道","地上駅","2006年（平成18年）4月21日","岐阜県本巣市早野北緯35度27分18.05秒東経136度40分11.04秒﻿ / ﻿北緯35.4550139度 東経136.6697333度﻿ /35.4550139; 136.6697333座標:北緯35度27分18.05秒東経136度40分11.04秒﻿ / ﻿北緯35.4550139度 東経136.6697333度﻿ /35.4550139; 136.6697333","1面1線","","","","121人/日（降車客含まず）-2016年-","","","","","","","",""
"毛呂駅","毛呂駅（もろえき）","https://ja.wikipedia.org/wiki/毛呂駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度56分25.48秒東経139度18分33.43秒","■八高線","36.9 km（八王子起点）高麗川から5.8 km","東日本旅客鉄道（JR東日本）","地上駅","1933年（昭和8年）4月15日[1]","埼玉県入間郡毛呂山町大字岩井2723北緯35度56分25.48秒東経139度18分33.43秒﻿ / ﻿北緯35.9404111度 東経139.3092861度﻿ /35.9404111; 139.3092861﻿ (毛呂駅)座標:北緯35度56分25.48秒東経139度18分33.43秒﻿ / ﻿北緯35.9404111度 東経139.3092861度﻿ /35.9404111; 139.3092861﻿ (毛呂駅)","2面2線[1]","業務委託駅","","モロ","686人/日（降車客含まず）-2019年-","","","","","","","",""
"諸寄駅","諸寄駅（もろよせえき）","https://ja.wikipedia.org/wiki/諸寄駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯35度37分10.19秒東経134度26分3.61秒","A山陰本線","199.8 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅[1]","1931年（昭和6年）7月18日[2]*","兵庫県美方郡新温泉町諸寄字岡306-2[1]北緯35度37分10.19秒東経134度26分3.61秒﻿ / ﻿北緯35.6194972度 東経134.4343361度﻿ /35.6194972; 134.4343361﻿ (諸寄駅)","1面1線[1]","無人駅[1]","","モロ","49人/日（降車客含まず）-2016年-","","","","","","","",""
"門静駅","門静駅（もんしずえき）","https://ja.wikipedia.org/wiki/門静駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯43度3分27.2秒東経144度46分57.82秒","根室本線（花咲線）","350.1 km（滝川起点）","北海道旅客鉄道（JR北海道）","地上駅","1917年（大正6年）12月1日","北海道厚岸郡厚岸町門静北緯43度3分27.2秒東経144度46分57.82秒","1面1線","無人駅","","モン","","8人/日-2014年-","","","","","","",""
"文珠通停留場","文珠通停留場（もんじゅどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/文珠通停留場","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯33度33分33.55秒東経133度34分45.75秒","後免線","7.4 km（後免町起点）","とさでん交通","地上駅","1910年（明治43年）10月15日","高知県高知市高須本町北緯33度33分33.55秒東経133度34分45.75秒﻿ / ﻿北緯33.5593194度 東経133.5793750度﻿ /33.5593194; 133.5793750﻿ (文珠通停留場)","2面2線","","","","","","","","","","","",""
"門前仲町駅","門前仲町駅（もんぜんなかちょうえき）","https://ja.wikipedia.org/wiki/門前仲町駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","●[1]東京メトロ東西線","13.8 km（中野起点）","東京地下鉄（東京メトロ）東京都交通局（都営地下鉄）","地下駅","1967年（昭和42年）9月14日","","2面2線（東西線）1面2線（大江戸線）","駅務管区所在駅（東京都交通局）","T12[1]","モセ（東京メトロ）門（東京都交通局、駅名略称）","","（東京メトロ）-2019年-117,845人/日（東京都交通局）-2019年-88,879人/日","","","","","","",""
"門田駅","門田駅（もんでんえき）","https://ja.wikipedia.org/wiki/門田駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","","会津線","4.9 km（西若松起点）","会津鉄道","地上駅","1927年（昭和2年）11月1日","","2面2線","","","モテ","3人/日（降車客含まず）-2016年-","","","","","","","",""
"門戸厄神駅","門戸厄神駅（もんどやくじんえき）","https://ja.wikipedia.org/wiki/門戸厄神駅","日本の鉄道駅一覧_む-も","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_む-も","箇条書き,制限あり","北緯34度45分28.48秒東経135度21分29.57秒","■今津線","6.4 km（宝塚起点）大阪梅田（西宮北口経由）から16.9 km","阪急電鉄","地上駅[2]","1921年（大正10年）9月2日[2]","兵庫県西宮市下大市東町1番22号[1]北緯34度45分28.48秒東経135度21分29.57秒﻿ / ﻿北緯34.7579111度 東経135.3582139度﻿ /34.7579111; 135.3582139﻿ (門戸厄神駅)座標:北緯34度45分28.48秒東経135度21分29.57秒﻿ / ﻿北緯34.7579111度 東経135.3582139度﻿ /34.7579111; 135.3582139﻿ (門戸厄神駅)","2面2線[2]","","HK23","","","","","（通年平均）20,452人/日-2019年-","","","","",""
