"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","法人番号","位置","創建年","山号","本尊","宗派","文化財","開基","札所等","正式名","別称","公式HP","寺格","開山","宗旨","院号","中興","中興年"
"三十三間堂","[三十三間堂（さんじゅうさんげんどう）（蓮華王院本堂、京都市東山区）] 三十三間堂 （さんじゅうさんげんどう）は 京都府 京都市 東山区 三十三間堂廻町にある 仏堂 。建物の正式名称は 蓮華王院本堂 （れんげおういんほんどう）。同じ京都市東山区にある 天台宗 妙法院 の境外仏堂であり、同院が所有・管理している。元は 後白河上皇 が自身の 離宮 内に創建した仏堂。 本尊 は 千手観音 で、蓮華王院の名称は千手観音の別称「蓮華王」に由来する。","https://ja.wikipedia.org/wiki/三十三間堂","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度59分16.31秒東経135度46分18.23秒","京都府京都市東山区三十三間堂廻町657番地","","北緯34度59分16.31秒東経135度46分18.23秒﻿ / ﻿北緯34.9878639度 東経135.7717306度﻿ /34.9878639; 135.7717306﻿ (三十三間堂)座標:北緯34度59分16.31秒東経135度46分18.23秒﻿ / ﻿北緯34.9878639度 東経135.7717306度﻿ /34.9878639; 135.7717306﻿ (三十三間堂)","長寛2年（1165年）","妙法院に所属する仏堂につき山号はなし","千手観音","","本堂ほか（国宝）築地塀、南大門ほか（重要文化財）","後白河天皇","洛陽三十三所観音霊場第17番","蓮華王院 本堂（妙法院の一部）","三十三間堂","蓮華王院 三十三間堂","","","天台宗","蓮華王院","",""
"三千院","[三千院（さんぜんいん）（京都市左京区）] 三千院 （さんぜんいん）は、 京都市 左京区 大原 にある 天台宗 の 寺院 。三千院 門跡 とも称する。 山号 は 魚山 （ぎょざん）。 本尊 は 薬師如来 。","https://ja.wikipedia.org/wiki/三千院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度7分11.35秒東経135度50分3.92秒","京都府京都市左京区大原来迎院町540","8130005001898","北緯35度7分11.35秒東経135度50分3.92秒﻿ / ﻿北緯35.1198194度 東経135.8344222度﻿ /35.1198194; 135.8344222座標:北緯35度7分11.35秒東経135度50分3.92秒﻿ / ﻿北緯35.1198194度 東経135.8344222度﻿ /35.1198194; 135.8344222","延暦年間（782年～806年）","魚山","薬師如来","天台宗","阿弥陀三尊像（国宝）往生極楽院阿弥陀堂、木造救世観音半跏像ほか（重要文化財）","最澄","西国薬師四十九霊場第45番近畿三十六不動尊霊場第16番神仏霊場巡拝の道第106番（京都第26番）","","三千院門跡梶井門跡梨本門跡","天台宗 京都大原三千院","","","","","",""
"三仏寺","[三仏寺（さんぶつじ）（鳥取県東伯郡三朝町）] 三佛寺 （さんぶつじ・三仏寺の表記もあり）は、 鳥取県 東伯郡 三朝町 にある 天台宗 の 仏教 寺院。山号は 三徳山 （みとくさん）。国宝投入堂を有する。","https://ja.wikipedia.org/wiki/三仏寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度23分57.5秒東経133度57分20.7秒","鳥取県東伯郡三朝町三徳1010","4270005004429","北緯35度23分57.5秒東経133度57分20.7秒﻿ / ﻿北緯35.399306度 東経133.955750度﻿ /35.399306; 133.955750座標:北緯35度23分57.5秒東経133度57分20.7秒﻿ / ﻿北緯35.399306度 東経133.955750度﻿ /35.399306; 133.955750","（伝）嘉祥2年（849年）","三徳山（みとくさん）","釈迦如来阿弥陀如来大日如来","天台宗","奥院投入堂（国宝）文殊堂、地蔵堂、納経堂ほか（重要文化財）三徳山（史跡・名勝）","（伝）慈覚大師","中国三十三観音霊場第31番（三佛寺）伯耆観音霊場第29番（三佛寺）百八観音霊場第36番（三佛寺）中国四十九薬師第43番（皆成院）","三徳山 三佛寺","","三徳山三佛寺","","役行者","","","",""
"三宝院","[三宝院（さんぼういん）（京都市伏見区）] 三宝院 （さんぼういん）は、 京都市 伏見区 醍醐 にある寺院。 真言宗醍醐派 総本山 醍醐寺 の 塔頭 、大本山、 門跡 寺院である。また、真言宗系の 修験道 当山派 を統括する 本山 であった（現在は修験道当山派なる宗教法人はない）。三宝院門跡は、醍醐寺座主を兼ね、真言宗醍醐派管長の猊座にある。","https://ja.wikipedia.org/wiki/三宝院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"慈恩寺 (寒河江市)","[慈恩寺（じおんじ）（山形県寒河江市）] 慈恩寺 （じおんじ）は、 山形県 寒河江市 にある 仏教 寺院 で、現在は 慈恩宗 の 本山 。 山号 は瑞宝山。 宗教法人 としての登録名は「本山慈恩寺」。","https://ja.wikipedia.org/wiki/慈恩寺_(寒河江市)","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯38度24分36.9秒東経140度15分3.2秒","山形県寒河江市","6390005007442","北緯38度24分36.9秒東経140度15分3.2秒﻿ / ﻿北緯38.410250度 東経140.250889度﻿ /38.410250; 140.250889","伝神亀元年（724年）","瑞宝山","弥勒菩薩","","境内（国の史跡）木造弥勒菩薩及諸尊像、木造釈迦如来及諸尊像、木造薬師如来及両脇侍像、木造聖徳太子立像、木造十二神将立像（重要文化財）ほか","伝行基","東北三十六不動尊霊場 1番","瑞宝山本山慈恩寺","","","","","慈恩宗","","",""
"慈光院","[慈光院（じこういん）（奈良県大和郡山市）] 慈光院 （じこういん）は、 奈良県 大和郡山市 小泉町にある 臨済宗大徳寺派 の寺院である。山号は円通山。本尊は 釈迦如来 。 石州流 茶道 の祖・ 小泉藩主 片桐石見守貞昌（石州） が創建した。","https://ja.wikipedia.org/wiki/慈光院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度37分55.3秒東経135度45分28.8秒","奈良県大和郡山市小泉町865","5150005002690","北緯34度37分55.3秒東経135度45分28.8秒﻿ / ﻿北緯34.632028度 東経135.758000度﻿ /34.632028; 135.758000座標:北緯34度37分55.3秒東経135度45分28.8秒﻿ / ﻿北緯34.632028度 東経135.758000度﻿ /34.632028; 135.758000","寛文3年（1663年）","円通山","釈迦如来","大徳寺派","書院・茶室（国の重要文化財）庭園（国の名勝及び史跡）","片桐貞昌","","円通山慈光院","茶の湯の寺","","","玉舟","臨済宗","","",""
"慈眼院","[慈眼院（じげんいん）（大阪府泉佐野市）] 慈眼院 （じげんいん）は、 大阪府 泉佐野市 日根野  にある 真言宗御室派 の 寺院 。近世末までは隣接する 日根神社 の 神宮寺 であった。 国宝 の 多宝塔 は 石山寺 多宝塔、 金剛三昧院 多宝塔とともに日本の多宝塔の三名塔の一つとして知られる。また境内が「 日根荘遺跡 」の一部として国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/慈眼院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度22分27.3秒東経135度20分36秒","大阪府泉佐野市日根野626","6120105006313","北緯34度22分27.3秒東経135度20分36秒﻿ / ﻿北緯34.374250度 東経135.34333度﻿ /34.374250; 135.34333座標:北緯34度22分27.3秒東経135度20分36秒﻿ / ﻿北緯34.374250度 東経135.34333度﻿ /34.374250; 135.34333","伝・天武天皇2年（673年）","大悲山井堰山（旧称）","薬師如来","真言宗御室派","多宝塔（国宝）金堂（重要文化財）境内（国の史跡）","","仏塔古寺十八尊第12番和泉西国三十三箇所客番","大悲山 願成就寺 慈眼院井堰山 願成就寺 無邊光院（旧称）","大井堰御坊 慈眼院","","","覚豪","古義真言宗","","",""
"実相院","[実相院（じっそういん）（京都市左京区）] 実相院 （じっそういん）は、 京都市 左京区 岩倉 にある 仏教 寺院 。宗派は 単立 、 開山 は 静基 （じょうき）。 本尊 は 不動明王 （ 鎌倉時代 作の木像）。 門跡 寺院の1つである。 岩倉実相院門跡 とも呼ばれる。かつては 天台宗 寺門派（ 天台寺門宗 ）三門跡の一つであった。","https://ja.wikipedia.org/wiki/実相院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度4分44.27秒東経135度46分53.34秒","京都府京都市左京区岩倉上蔵町121","2130005001747","北緯35度4分44.27秒東経135度46分53.34秒﻿ / ﻿北緯35.0789639度 東経135.7814833度﻿ /35.0789639; 135.7814833座標:北緯35度4分44.27秒東経135度46分53.34秒﻿ / ﻿北緯35.0789639度 東経135.7814833度﻿ /35.0789639; 135.7814833","寛喜元年（1229年）","岩倉山","不動明王","天台宗系単立","後陽成天皇宸翰仮名文字遣（重要文化財）","","","岩倉山実相院","実相院門跡、岩倉門跡、岩倉御殿、岩倉実相院","","","静基","","","",""
"四天王寺","[四天王寺（してんのうじ）（大阪市天王寺区）] 四天王寺 （してんのうじ）は、 大阪市 天王寺区 四天王寺 にある和宗の総本山の 寺院 。 聖徳太子建立七大寺 の一つとされている。 山号 は荒陵山（あらはかさん）、 本尊 は 救世観音 （ぐぜかんのん）である。","https://ja.wikipedia.org/wiki/四天王寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度39分14.04秒東経135度30分59.22秒","大阪府大阪市天王寺区四天王寺1丁目11-18","2120005001046","北緯34度39分14.04秒東経135度30分59.22秒﻿ / ﻿北緯34.6539000度 東経135.5164500度﻿ /34.6539000; 135.5164500座標:北緯34度39分14.04秒東経135度30分59.22秒﻿ / ﻿北緯34.6539000度 東経135.5164500度﻿ /34.6539000; 135.5164500","推古天皇元年（593年）（『日本書紀』による）","荒陵山","救世観音","和宗","紙本著色扇面法華経冊子5帖ほか（国宝）六時堂・絹本著色両界曼荼羅図ほか（重要文化財）ほか八角亭（登録有形文化財）","聖徳太子","新西国三十三箇所第1番西国三十三所番外霊場西国薬師四十九霊場第16番近畿三十六不動尊霊場第1番摂津国八十八箇所第25番摂津国三十三ヶ所第33番おおさか十三仏霊場第4番大阪七福神（布袋尊）河内飛鳥古寺霊場第1番なにわ七幸めぐり大坂三十三所観音めぐり第20番 - 24番聖徳太子霊跡第1番法然上人二十五霊場第6番西山国師遺跡霊場客番札所四国八十八箇所番外霊場役行者めぐり神仏霊場巡拝の道第43番（大阪第2番）","","金光明四天王大護国寺","和宗総本山 四天王寺 - 日本仏法最初の官寺","総本山","","","","",""
"柴又帝釈天","[柴又帝釈天（しばまたたいしゃくてん）（題経寺、東京都葛飾区）] 柴又帝釈天 （しばまたたいしゃくてん）または、 帝釈天 題経寺 （たいしゃくてん だいきょうじ）は、 東京都 葛 飾区 柴又 七丁目にある 日蓮宗 の 寺院 である。正式には 経栄山題経寺 （きょうえいざん だいきょうじ）と号する。旧本山は大本山中山 法華経寺（なかやま ほけきょうじ） 。親師法縁。","https://ja.wikipedia.org/wiki/柴又帝釈天","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度45分30.24秒東経139度52分41.52秒","東京都葛飾区柴又七丁目10番3号","8011805000432","北緯35度45分30.24秒東経139度52分41.52秒﻿ / ﻿北緯35.7584000度 東経139.8782000度﻿ /35.7584000; 139.8782000座標:北緯35度45分30.24秒東経139度52分41.52秒﻿ / ﻿北緯35.7584000度 東経139.8782000度﻿ /35.7584000; 139.8782000","寛永6年（1629年）","経栄山","大曼荼羅","日蓮宗","","禅那院日忠、題経院日栄","柴又七福神（毘沙門天）","経栄山題経寺（歴史的・非略体）柴又帝釋天經榮山題經寺","","taishakuten.or.jp","","","","","日遼","延宝年間"
"大聖勝軍寺","[下之太子（しものたいし）（大阪府八尾市）→大聖勝軍寺] 大聖勝軍寺 （たいせいしょうぐんじ）は、 大阪府 八尾市 にある 高野山真言宗 の 寺院 。 山号 は神妙椋樹山（しんみょうりょうじゅさん）。開基は 聖徳太子 、本尊は植髪太子（聖徳太子）である。旧 奈良街道 に面して建つ。聖徳太子建立三太子の一つで、 叡福寺 （ 太子町 ）の「上の太子」、 野中寺 （ 羽曳野市 ）の「中の太子」に対して、「 下の太子 」と呼ばれている。地元では単に「 太子堂 」と呼ばれている。","https://ja.wikipedia.org/wiki/大聖勝軍寺","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯34度36分48.84秒東経135度35分16.88秒","大阪府八尾市太子堂3丁目3-16","7122005002036","北緯34度36分48.84秒東経135度35分16.88秒﻿ / ﻿北緯34.6135667度 東経135.5880222度﻿ /34.6135667; 135.5880222﻿ (大聖勝軍寺)座標:北緯34度36分48.84秒東経135度35分16.88秒﻿ / ﻿北緯34.6135667度 東経135.5880222度﻿ /34.6135667; 135.5880222﻿ (大聖勝軍寺)","用明天皇2年（587年）","神妙椋樹山","植髪太子（聖徳太子十六歳像）","高野山真言宗","二臂如意輪観音思惟半跏像及び同胎内仏金銅菩薩思惟半跏像ほか（府指定文化財）絹本著色聖徳太子絵伝ほか（市指定文化財）","聖徳太子","河内西国霊場第1番聖徳太子霊跡第2番河内飛鳥古寺霊場第3番河内飛鳥七福神（毘沙門天）","","太子堂、下の太子","","","","","","",""
"寂光院","[寂光院（じゃっこういん）（京都市左京区）] 寂光院 （じゃっこういん）は、 京都市 左京区 大原 にある 天台宗 の 寺院 で 尼寺 。 山号 を清香山と称する。寺号は玉泉寺。 本尊 は 地蔵菩薩 。開基（創立者）は 聖徳太子 と伝わる。 平清盛 の娘・ 建礼門院徳子 が、 平家 滅亡後隠棲した所であり、『 平家物語 』ゆかりの寺として知られている。","https://ja.wikipedia.org/wiki/寂光院","日本の寺院一覧","https://ja.wikipedia.org/wiki/日本の寺院一覧","箇条書き,制限あり","北緯35度7分26.76秒東経135度49分15.75秒","京都府京都市左京区大原草生町676","7130005001890","北緯35度7分26.76秒東経135度49分15.75秒﻿ / ﻿北緯35.1241000度 東経135.8210417度﻿ /35.1241000; 135.8210417座標:北緯35度7分26.76秒東経135度49分15.75秒﻿ / ﻿北緯35.1241000度 東経135.8210417度﻿ /35.1241000; 135.8210417","伝・推古天皇2年（594年）","清香山","地蔵菩薩","","地蔵菩薩立像（重要文化財）","伝・聖徳太子","神仏霊場巡拝の道第105番（京都第25番）","","","","","","天台宗","寂光院","",""
