"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"長門三隅駅","長門三隅駅（ながとみすみえき）","https://ja.wikipedia.org/wiki/長門三隅駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度21分59.53秒東経131度14分10.25秒","■山陰本線","594.5 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1924年（大正13年）11月3日","2面2線","山口県長門市三隅下1453北緯34度21分59.53秒東経131度14分10.25秒﻿ / ﻿北緯34.3665361度 東経131.2361806度﻿ /34.3665361; 131.2361806座標:北緯34度21分59.53秒東経131度14分10.25秒﻿ / ﻿北緯34.3665361度 東経131.2361806度﻿ /34.3665361; 131.2361806","簡易委託駅","スミ","42人/日（降車客含まず）-2019年-","","","","","","","","",""
"長門本山駅","長門本山駅（ながともとやまえき）","https://ja.wikipedia.org/wiki/長門本山駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯33度56分34.16秒東経131度10分24.02秒","■小野田線（本山支線）","2.3 km（雀田起点）","西日本旅客鉄道（JR西日本）","地上駅","1937年（昭和12年）1月21日","1面1線","山口県山陽小野田市大字小野田字三の奈良原332番北緯33度56分34.16秒東経131度10分24.02秒﻿ / ﻿北緯33.9428222度 東経131.1733389度﻿ /33.9428222; 131.1733389座標:北緯33度56分34.16秒東経131度10分24.02秒﻿ / ﻿北緯33.9428222度 東経131.1733389度﻿ /33.9428222; 131.1733389","無人駅*1941年に本山駅から改称。","モト","18人/日（降車客含まず）-2019年-","","","","","","","","",""
"長門湯本駅","長門湯本駅（ながとゆもとえき）","https://ja.wikipedia.org/wiki/長門湯本駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度20分4.18秒東経131度10分20.78秒","■美祢線","41.0 km（厚狭起点）","西日本旅客鉄道（JR西日本）","地上駅","1924年（大正13年）3月23日","1面1線","山口県長門市深川湯本字三反田872北緯34度20分4.18秒東経131度10分20.78秒﻿ / ﻿北緯34.3344944度 東経131.1724389度﻿ /34.3344944; 131.1724389﻿ (長門湯本駅)座標:北緯34度20分4.18秒東経131度10分20.78秒﻿ / ﻿北緯34.3344944度 東経131.1724389度﻿ /34.3344944; 131.1724389﻿ (長門湯本駅)","無人駅","ユモ","18人/日（降車客含まず）-2019年-","","","","","","","","",""
"中豊駅","中豊駅（なかとよえき）","https://ja.wikipedia.org/wiki/中豊駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","■水郡線","88.8 km（水戸起点）","東日本旅客鉄道（JR東日本）","地上駅","1958年（昭和33年）2月1日","1面1線","","無人駅","トヨ","178人/日（降車客含まず）-2004年-","","","","","","","","",""
"長鳥駅","長鳥駅（ながとりえき）","https://ja.wikipedia.org/wiki/長鳥駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯37度21分59.38秒東経138度41分2.12秒","■信越本線","50.8 km（直江津起点）","東日本旅客鉄道（JR東日本）","地上駅（盛土上）","1953年（昭和28年）12月15日*[1]","1面2線[1]","新潟県柏崎市大字西長鳥[1]字岩の入北緯37度21分59.38秒東経138度41分2.12秒﻿ / ﻿北緯37.3664944度 東経138.6839222度﻿ /37.3664944; 138.6839222座標:北緯37度21分59.38秒東経138度41分2.12秒﻿ / ﻿北緯37.3664944度 東経138.6839222度﻿ /37.3664944; 138.6839222","無人駅[1]","ナト","","","","","","","","","",""
"長瀞駅","長瀞駅（ながとろえき）","https://ja.wikipedia.org/wiki/長瀞駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","■秩父本線","46.5 km（羽生起点）","秩父鉄道","地上駅","1911年（明治44年）9月14日","2面3線","","","トロ","663人/日（降車客含まず）-2019年-","","1,311人/日-2019年-","","","","","","",""
"中滑川駅","中滑川駅（なかなめりかわえき）","https://ja.wikipedia.org/wiki/中滑川駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度45分43.12秒東経137度20分23.46秒","■本線","20.6 km（電鉄富山起点）","富山地方鉄道","地上駅","1914年（大正3年）2月18日","1面2線","富山県滑川市田中新町39北緯36度45分43.12秒東経137度20分23.46秒﻿ / ﻿北緯36.7619778度 東経137.3398500度﻿ /36.7619778; 137.3398500﻿ (中滑川駅)座標:北緯36度45分43.12秒東経137度20分23.46秒﻿ / ﻿北緯36.7619778度 東経137.3398500度﻿ /36.7619778; 137.3398500﻿ (中滑川駅)","土・休日無人駅","","","T17","808人/日-2018年-","","","","","","",""
"長苗代駅","長苗代駅（ながなわしろえき）","https://ja.wikipedia.org/wiki/長苗代駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯40度31分17.55秒東経141度27分59.11秒","■八戸線","3.4 km（八戸起点）","東日本旅客鉄道（JR東日本）","地上駅","1934年（昭和9年）6月1日[1]","1面1線","青森県八戸市大字長苗代字島ノ前北緯40度31分17.55秒東経141度27分59.11秒座標:北緯40度31分17.55秒 東経141度27分59.11秒","無人駅（自動券売機 有）","ナワ","","","","","","","","","",""
"長沼駅 (東京都)","長沼駅 (東京都)（ながぬまえき・京王電鉄京王線）","https://ja.wikipedia.org/wiki/長沼駅_(東京都)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度38分34秒東経139度21分53.8秒","■京王線","34.9 km（新宿起点）","京王電鉄","高架駅[1]","1925年（大正14年）3月24日","2面2線[1]","東京都八王子市長沼町700北緯35度38分34秒東経139度21分53.8秒﻿ / ﻿北緯35.64278度 東経139.364944度﻿ /35.64278; 139.364944﻿ (長沼駅)座標:北緯35度38分34秒東経139度21分53.8秒﻿ / ﻿北緯35.64278度 東経139.364944度﻿ /35.64278; 139.364944﻿ (長沼駅)","","","","KO32","4,034人/日-2019年-","","","","","","",""
"長沼駅 (静岡県)","長沼駅 (静岡県)（ながぬまえき・静岡鉄道静岡清水線）","https://ja.wikipedia.org/wiki/長沼駅_(静岡県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度59分20.02秒東経138度24分45.28秒","S静岡清水線","3.1 km（新静岡起点）","静岡鉄道","地上駅","1908年（明治41年）12月9日","島式・単式複合 2面3線","静岡市葵区長沼一丁目1番1号[1]北緯34度59分20.02秒東経138度24分45.28秒﻿ / ﻿北緯34.9888944度 東経138.4125778度﻿ /34.9888944; 138.4125778座標:北緯34度59分20.02秒東経138度24分45.28秒﻿ / ﻿北緯34.9888944度 東経138.4125778度﻿ /34.9888944; 138.4125778","","","1,304人/日（降車客含まず）-2018年-","S 06","2,498人/日-2018年-","CA  16 東静岡駅（JR東海）","","","","","",""
"中根駅","中根駅（なかねえき）","https://ja.wikipedia.org/wiki/中根駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度22分1.98秒東経140度33分45.66秒","湊線","4.8 km（勝田起点）","ひたちなか海浜鉄道","地上駅","1931年（昭和6年）7月16日","1面1線","茨城県ひたちなか市柳沢北緯36度22分1.98秒東経140度33分45.66秒﻿ / ﻿北緯36.3672167度 東経140.5626833度﻿ /36.3672167; 140.5626833座標:北緯36度22分1.98秒東経140度33分45.66秒﻿ / ﻿北緯36.3672167度 東経140.5626833度﻿ /36.3672167; 140.5626833","","","","","15[1]人/日-2019年-","","","","","","",""
"中野駅 (東京都)","中野駅 (東京都)（なかのえき・東日本旅客鉄道中央本線・東京地下鉄東西線）","https://ja.wikipedia.org/wiki/中野駅_(東京都)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯35度42分21秒東経139度39分56秒","■中央線（快速）（JR東日本）（正式には中央本線）","4.4 km（新宿起点）東京から14.7 km","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）東京地下鉄（東京メトロ）","高架駅","1889年（明治22年）4月11日","4面8線","東京都中野区中野五丁目31-1北緯35度42分21秒東経139度39分56秒﻿ / ﻿北緯35.70583度 東経139.66556度﻿ /35.70583; 139.66556﻿ (中野駅)座標:北緯35度42分21秒東経139度39分56秒﻿ / ﻿北緯35.70583度 東経139.66556度﻿ /35.70583; 139.66556﻿ (中野駅)","共同使用駅（JR東日本の管轄駅）直営駅（管理駅）みどりの窓口有東京都区内駅","カノ","（JR東日本）-2019年-150,907人/日（降車客含まず）","JC06","（東京メトロ）-2019年-163,466[* 1]人/日","","","","","","",""
"中野駅 (群馬県)","中野駅 (群馬県)（なかのえき・わたらせ渓谷鐵道わたらせ渓谷線）","https://ja.wikipedia.org/wiki/中野駅_(群馬県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度31分26.99秒東経139度19分1.66秒","■わたらせ渓谷線","22.0 km（桐生起点）","わたらせ渓谷鐵道","地上駅","1989年（平成元年）3月29日","1面1線","群馬県みどり市東町花輪613-1北緯36度31分26.99秒東経139度19分1.66秒﻿ / ﻿北緯36.5241639度 東経139.3171278度﻿ /36.5241639; 139.3171278座標:北緯36度31分26.99秒東経139度19分1.66秒﻿ / ﻿北緯36.5241639度 東経139.3171278度﻿ /36.5241639; 139.3171278","","ナカ","","WK10","8人/日-2018年-","","","","","","",""
"中野駅 (長野県)","中野駅 (長野県)（なかのえき・上田電鉄別所線）","https://ja.wikipedia.org/wiki/中野駅_(長野県)","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯36度21分38.35秒東経138度11分36.32秒","別所線","8.5 km（上田起点）","上田電鉄","地上駅","1921年（大正10年）6月17日[1]","単式1面1線[1]","長野県上田市中野字池下496-4北緯36度21分38.35秒東経138度11分36.32秒﻿ / ﻿北緯36.3606528度 東経138.1934222度﻿ /36.3606528; 138.1934222座標:北緯36度21分38.35秒東経138度11分36.32秒﻿ / ﻿北緯36.3606528度 東経138.1934222度﻿ /36.3606528; 138.1934222","無人駅","","42人/日（降車客含まず）-2017年-","BE12","","","","","","","",""
"長野駅","長野駅（ながのえき）","https://ja.wikipedia.org/wiki/長野駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）しなの鉄道（駅詳細）長野電鉄（駅詳細）","","","","長野県長野市","","","","","","","","","","","",""
"中之郷駅","中之郷駅（なかのごうえき）","https://ja.wikipedia.org/wiki/中之郷駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度28分46.02秒東経136度50分43.86秒","M志摩線","1.0km（鳥羽起点）伊勢中川から42.5 km","近畿日本鉄道近鉄","地上駅（橋上駅）","1929年（昭和4年）7月23日[1]","2面2線[1]","三重県鳥羽市鳥羽三丁目1484-107北緯34度28分46.02秒東経136度50分43.86秒﻿ / ﻿北緯34.4794500度 東経136.8455167度﻿ /34.4794500; 136.8455167﻿ (中之郷駅)座標:北緯34度28分46.02秒東経136度50分43.86秒﻿ / ﻿北緯34.4794500度 東経136.8455167度﻿ /34.4794500; 136.8455167﻿ (中之郷駅)","無人駅（乗車駅証明書発行機 有）","ナカコ","193人/日（降車客含まず）-2019年-"," M79 ","","","","","","","",""
"中野坂上駅","中野坂上駅（なかのさかうええき）","https://ja.wikipedia.org/wiki/中野坂上駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","","●[2]東京メトロ丸ノ内線（本線）","18.5 km（池袋起点）","東京地下鉄（東京メトロ）東京都交通局（都営地下鉄）","地下駅","1961年（昭和36年）2月8日","2面3線（丸ノ内線）1面2線（大江戸線）","","","サカ（東京メトロ）坂[1]（東京都交通局、駅名略称）","","M06[2]","（東京メトロ）-2019年-77,763人/日（東京都交通局）-2019年-41,990人/日","","","","","","",""
"中野栄駅","中野栄駅（なかのさかええき）","https://ja.wikipedia.org/wiki/中野栄駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯38度16分49.96秒東経140度59分5.22秒","■仙石線","10.3 km（あおば通起点）","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1981年（昭和56年）4月1日","2面2線","仙台市宮城野区栄四丁目10-15北緯38度16分49.96秒東経140度59分5.22秒﻿ / ﻿北緯38.2805444度 東経140.9847833度﻿ /38.2805444; 140.9847833﻿ (中野栄駅)座標:北緯38度16分49.96秒東経140度59分5.22秒﻿ / ﻿北緯38.2805444度 東経140.9847833度﻿ /38.2805444; 140.9847833﻿ (中野栄駅)","業務委託駅みどりの窓口有仙台市内駅","ナエ","5,550人/日（降車客含まず）-2019年-","","","","","","","","",""
"中ノ沢駅","中ノ沢駅（なかのさわえき）","https://ja.wikipedia.org/wiki/中ノ沢駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯42度28分40.5秒東経140度20分46.0秒","■函館本線","107.7 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1904年（明治37年）10月15日","2面2線","北海道山越郡長万部町字中ノ沢北緯42度28分40.5秒東経140度20分46.0秒﻿ / ﻿北緯42.477917度 東経140.346111度﻿ /42.477917; 140.346111﻿ (中ノ沢駅)","無人駅","ナワ","","○H48","6人/日-2014年-","","","","","","",""
"中の島駅","中の島駅（なかのしまえき・札幌市営地下鉄南北線）","https://ja.wikipedia.org/wiki/中の島駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯43度2分15.9秒東経141度21分38.7秒","札幌市営地下鉄南北線","8.3 km（麻生起点）","札幌市交通局","地下駅","1971年（昭和46年）12月16日","2面2線","札幌市豊平区中の島2条1丁目[1]北緯43度2分15.9秒東経141度21分38.7秒﻿ / ﻿北緯43.037750度 東経141.360750度﻿ /43.037750; 141.360750座標:北緯43度2分15.9秒東経141度21分38.7秒﻿ / ﻿北緯43.037750度 東経141.360750度﻿ /43.037750; 141.360750","","","6,090人/日（降車客含まず）-2019年-","○N11","","","","","","","",""
"中之島駅","中之島駅（なかのしまえき・京阪中之島線）","https://ja.wikipedia.org/wiki/中之島駅","日本の鉄道駅一覧_な","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_な","箇条書き,制限あり","北緯34度41分27.29秒東経135度29分12.7秒","■中之島線","","京阪電気鉄道（中之島高速鉄道）","地下駅","2008年（平成20年）10月19日","1面3線","大阪市北区中之島5丁目3-50北緯34度41分27.29秒東経135度29分12.7秒﻿ / ﻿北緯34.6909139度 東経135.486861度﻿ /34.6909139; 135.486861﻿ (中之島駅（大阪国際会議場）)座標:北緯34度41分27.29秒東経135度29分12.7秒﻿ / ﻿北緯34.6909139度 東経135.486861度﻿ /34.6909139; 135.486861﻿ (中之島駅（大阪国際会議場）)","","之（駅名略称方式）","","KH  54","9,560人/日-2019年-","福島駅*（阪神本線）新福島駅*（JR東西線）","","","","","",""
