"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","形状","史跡","規模","出土品","埋葬施設","法人番号","文化財","創建年","宗派","山号","別名","本尊","開基","所属","札所等"
"詩仙堂","[詩仙堂（しせんどう）〔京都市左京区〕] 詩仙堂 （しせんどう）は、 京都市 左京区 にある、江戸時代初期の文人 石川丈山 の山荘跡。国の 史跡 に指定されている。現在は 曹洞宗 の 寺院 でもあり 丈山寺 という。","https://ja.wikipedia.org/wiki/詩仙堂","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度2分37.39秒東経135度47分46.06秒","北緯35度2分37.39秒東経135度47分46.06秒﻿ / ﻿北緯35.0437194度 東経135.7961278度﻿ /35.0437194; 135.7961278","京都府京都市左京区一乗寺門口町27","","","","","","","","5130005002387","","寛永18年（1641年）","曹洞宗","六六山","","","石川丈山","",""
"聖護院","[聖護院旧仮皇居（しょうごいんきゅうかりこうきょ）〔京都市左京区〕] 聖護院 （しょうごいん）は 京都市 左京区 聖護院中町にある 本山修験宗 総本山 （本庁）。 聖護院門跡 （ - もんぜき）とも称する。 山号 はなし。錦林府とも称された。開山は増誉、 本尊 は 不動明王 である。かつては 天台宗 寺門派（ 天台寺門宗 ）三 門跡 の一つであった。","https://ja.wikipedia.org/wiki/聖護院","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度1分9秒東経135度46分49秒","北緯35度1分9秒東経135度46分49秒﻿ / ﻿北緯35.01917度 東経135.78028度﻿ /35.01917; 135.78028座標:北緯35度1分9秒東経135度46分49秒﻿ / ﻿北緯35.01917度 東経135.78028度﻿ /35.01917; 135.78028","京都府京都市左京区聖護院中町15","","","","","","","","7130005001370","書院・絹本著色熊野曼荼羅図ほか（重要文化財）聖護院旧仮皇居（史跡）","寛治4年（1090年）","本山修験宗","なし","","不動明王","","","近畿三十六不動尊第18番役行者霊蹟札所神仏霊場巡拝の道第112番（京都第32番）"
"南禅寺","[南禅寺境内（なんぜんじけいだい）〔京都市左京区〕] 南禅寺 （なんぜんじ）は、 京都市 左京区 南禅寺福地町にある 臨済宗南禅寺派 の 大本山 の 寺院 。 山号 は瑞龍山、正式には 太平興国南禅禅寺 （たいへいこうこくなんぜんぜんじ）と号する。 開山 は 無関普門 （大明国師）。 開基 は 亀山法皇 。日本最初の 勅願禅寺 であり、 京都五山 および 鎌倉五山 の上に置かれる別格扱いの寺院で、日本の全ての 禅寺 の中で最も高い格式を持つ。","https://ja.wikipedia.org/wiki/南禅寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度0分43.14秒東経135度47分39.8秒","北緯35度0分43.14秒東経135度47分39.8秒﻿ / ﻿北緯35.0119833度 東経135.794389度﻿ /35.0119833; 135.794389座標:北緯35度0分43.14秒東経135度47分39.8秒﻿ / ﻿北緯35.0119833度 東経135.794389度﻿ /35.0119833; 135.794389","京都府京都市左京区南禅寺福地町86","","","","","","","","2130005001094","方丈、亀山天皇宸翰禅林寺御祈願文案（国宝）三門、勅使門、絹本著色大明国師像ほか（重要文化財）境内（国の史跡）方丈庭園（国の名勝）","正応4年（1291年）","臨済宗南禅寺派","瑞龍山","","釈迦如来","亀山法皇","",""
"南禅院","[南禅院庭園（なんぜんいんていえん）〔京都市左京区〕] 南禅院 （なんぜんいん）は、 京都市 左京区 南禅寺福地町にある 臨済宗南禅寺派 の 寺院 。 南禅寺 の 塔頭 である。南禅寺の発祥地といわれている。門前には 琵琶湖疏水 事業の一環として建設された水路閣が通る。","https://ja.wikipedia.org/wiki/南禅院","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度0分37.08秒東経135度47分37.93秒","北緯35度0分37.08秒東経135度47分37.93秒﻿ / ﻿北緯35.0103000度 東経135.7938694度﻿ /35.0103000; 135.7938694座標:北緯35度0分37.08秒東経135度47分37.93秒﻿ / ﻿北緯35.0103000度 東経135.7938694度﻿ /35.0103000; 135.7938694","京都府京都市左京区南禅寺福地町86","","","","","","","","3130005001093","木造亀山法皇坐像、木造一山一寧坐像（重要文化財）庭園（史跡・名勝）","弘安10年（1287年）","臨済宗南禅寺派","","","","亀山上皇","",""
"賀茂別雷神社","[賀茂別雷神社境内（かもわけいかづちじんじゃけいだい）〔京都市北区〕 （「古都京都の文化財」の構成資産）] 賀茂別雷神社 （かもわけいかづちじんじゃ）は、 京都市 北区 にある 神社 。通称は 上賀茂神社 （かみがもじんじゃ）。 式内社 （ 名神大社 ）、 山城国 一宮 、 二十二社 （上七社）の一社。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/賀茂別雷神社","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度3分37秒東経135度45分10秒","北緯35度3分37秒東経135度45分10秒﻿ / ﻿北緯35.06028度 東経135.75278度﻿ /35.06028; 135.75278﻿ (賀茂別雷神社)座標:北緯35度3分37秒東経135度45分10秒﻿ / ﻿北緯35.06028度 東経135.75278度﻿ /35.06028; 135.75278﻿ (賀茂別雷神社)","京都府京都市北区上賀茂本山339","","","","","","","","","","","","","","","","","神仏霊場巡拝の道第102番（京都第22番）"
"御土居","[御土居（おどい）〔京都市北区・中京区・上京区〕] 御土居 （おどい）は 豊臣秀吉 によって作られた 京都 を囲む 土塁 である。外側の 堀 とあわせて 御土居堀 と呼ぶ場合もある。築造時の諸文献には「京廻堤」「新堤」「洛中惣構え」などと記される。 聚楽第 、 寺町 、 天正の地割 とともに秀吉による 京都改造 事業の一つである。一部が京都市内に現存し、 史跡 に指定されている。","https://ja.wikipedia.org/wiki/御土居","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"孤篷庵","[孤篷庵庭園（こほうあんていえん）〔京都市北区〕] 孤篷庵 （こほうあん）は、 京都府 京都市 北区 紫野 にある 臨済宗 の寺院。臨済宗大徳寺派大本山 大徳寺 の 塔頭 である。他の塔頭群とは離れた、大徳寺境域の西端に位置する。庵号の「孤篷」は「一艘の苫舟」の意で、 小堀政一 （遠州）が師事した 春屋宗園 から授かった号である  。非公開だが、数年に1回は10日間程度の特別公開がある。","https://ja.wikipedia.org/wiki/孤篷庵","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度2分35.4秒東経135度44分23.0秒","北緯35度2分35.4秒東経135度44分23.0秒﻿ / ﻿北緯35.043167度 東経135.739722度﻿ /35.043167; 135.739722","京都府京都市北区紫野大徳寺町66","","","","","","","","7130005001206","井戸茶碗（国宝）","","臨済宗大徳寺派","","","","","",""
"真珠庵","[真珠庵庭園（しんじゅあんていえん）〔京都市北区〕] 真珠庵 （しんじゅあん）は 京都府 京都市 北区 紫野 にある、 臨済宗 大本山 大徳寺 の 塔頭 である。型破りの禅僧として著名な 一休宗純 ゆかりの寺院である。特別公開時を除き、通常は非公開である。","https://ja.wikipedia.org/wiki/真珠庵","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度2分39.6秒東経135度44分47.1秒","北緯35度2分39.6秒東経135度44分47.1秒﻿ / ﻿北緯35.044333度 東経135.746417度﻿ /35.044333; 135.746417","〒603-8231 京都府京都市北区紫野大徳寺町５２","","","","","","","","3130005001218","","","臨済宗大徳寺派","","","","","",""
"大仙院","[大仙院書院庭園（だいせんいんしょいんていえん）〔京都市北区〕] 大仙院 （だいせんいん）は、 京都府 京都市 北区 にある 臨済宗 の 大徳寺 内にある 塔頭 寺院 。","https://ja.wikipedia.org/wiki/大仙院","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度2分40.44秒東経135度44分45.42秒","北緯35度2分40.44秒東経135度44分45.42秒﻿ / ﻿北緯35.0445667度 東経135.7459500度﻿ /35.0445667; 135.7459500座標:北緯35度2分40.44秒東経135度44分45.42秒﻿ / ﻿北緯35.0445667度 東経135.7459500度﻿ /35.0445667; 135.7459500","京都府京都市北区紫野大徳寺町54-1","","","","","","","","2130005001219","方丈、大燈国師墨蹟（国宝）方丈障壁画ほか（重要文化財）書院庭園（史跡、特別名勝）、庭園（名勝）","永正6年（1509年）","臨済宗大徳寺派北派","","","釈迦牟尼仏","古嶽宗亘","",""
"大徳寺","[大徳寺方丈庭園（だいとくじほうじょうていえん）〔京都市北区〕] 大徳寺 （だいとくじ、旧字体：大德寺）は、 京都府 京都市 北区 紫野大徳寺町にある 寺院 で、 臨済宗 大徳寺派の大本山である。山号は龍宝山（りゅうほうざん）。本尊は 釈迦如来 。開基（創立者）は大燈国師 宗峰妙超 で、 正中 2年（ 1325年 ）に正式に創立されている。","https://ja.wikipedia.org/wiki/大徳寺","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度2分38.10秒東経135度44分45.89秒","北緯35度2分38.10秒東経135度44分45.89秒﻿ / ﻿北緯35.0439167度 東経135.7460806度﻿ /35.0439167; 135.7460806","京都府京都市北区紫野大徳寺町53","","","","","","","","3130005001234","方丈、唐門、絹本墨画淡彩観音猿鶴図ほか（国宝）勅使門、山門、仏殿、法堂、木造大燈国師坐像ほか（重要文化財）方丈庭園（非公開）（史跡・特別名勝）","正中2年（1325年）","臨済宗大徳寺派","龍宝山","","釈迦如来","宗峰妙超","",""
"船岡山","[船岡山（ふなおかやま）〔京都市北区〕1968年2月15日] 船岡山 （ふなおかやま）は、 京都府 京都市 北区 に所在する山。","https://ja.wikipedia.org/wiki/船岡山","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度02分20.4秒東経135度44分30.2秒","北緯35度02分20.4秒東経135度44分30.2秒﻿ / ﻿北緯35.039000度 東経135.741722度﻿ /35.039000; 135.741722座標:北緯35度02分20.4秒東経135度44分30.2秒﻿ / ﻿北緯35.039000度 東経135.741722度﻿ /35.039000; 135.741722","日本京都府京都市北区","","","","","","","","","","","","","","","","",""
"伊藤仁斎","[伊藤仁斎宅（古義堂）跡ならびに書庫（いとうじんさいたく（こぎどう）あとならびにしょこ）〔京都市上京区〕] 伊藤 仁斎 （いとう じんさい、 寛永 4年 7月20日 （ 1627年 8月30日 ） - 宝永 2年 3月12日 （ 1705年 4月5日 ））は、 江戸時代 の前期に活躍した 儒学者 ・ 思想家 。 京都 の生まれ。日常生活のなかからあるべき 倫理 と 人間 像を探求して提示した。","https://ja.wikipedia.org/wiki/伊藤仁斎","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"豊楽院","[豊楽院跡（ぶらくいんあと）] 豊楽院 （ぶらくいん）は、 平安京 大内裏 （平安宮）の院の1つ。 朝廷 の饗宴に用いられた施設である。","https://ja.wikipedia.org/wiki/豊楽院","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度1分4.1秒 東経135度44分23.6秒","","","","","","","","","","","","","","","","","","",""
"頼山陽","[頼山陽書斎（山紫水明処）（らいさんようしょさい（さんしすいめいしょ））〔京都市上京区〕] 頼 山陽 （らい さんよう、 安永 9年 12月27日 （ 1781年 1月21日 ） - 天保 3年 9月23日 （ 1832年 10月16日 ））は、 大坂 生まれの 江戸時代 後期の 歴史家 、 思想家 、 漢詩人 、 文人 。幼名は 久太郎 （ひさたろう）、名は 襄 （のぼる）、字は 子成 。 山陽 、三十六峯外史と号した。主著に『 日本外史 』があり、これは 幕末 の 尊皇攘夷運動 に影響を与え、 日本史 上のベストセラーとなった。1891年（明治24年）贈 正四位  、1931年（昭和6年）贈 従三位  。","https://ja.wikipedia.org/wiki/頼山陽","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二条城","[旧二条離宮（二条城）（きゅうにじょうりきゅう（にじょうじょう））〔京都市中京区〕（「古都京都の文化財」の構成資産）] 二条城 （にじょうじょう）は、 京都市 中京区 二条通 堀川 西入二条城町（かつての 山城国 葛野郡 ）にある、 江戸時代 に造営された 日本の城 。正式名称は 元離宮二条城 （もとりきゅうにじょうじょう）。京都市街の中にある 平城 で、後述する足利氏・織田氏・豊臣氏・徳川氏によるものがあるが、現存する 城 は 徳川氏 によるものである。また、後の近代において二条城は京都府の府庁や 皇室 の 離宮 として使用された後、 1939年 （昭和14年） 京都市 に 恩賜 され現在に至る。 城内全体が国の 史跡 に指定されている他、二の丸御殿（6棟）が 国宝 に、22棟の建造物と二の丸御殿の障壁画計1016面が 重要文化財 に、二の丸御殿庭園が 特別名勝 に指定されている。さらに 1994年 （平成6年）には ユネスコ の 世界遺産 （ 世界文化遺産 ）に「 古都京都の文化財 」として登録されている。","https://ja.wikipedia.org/wiki/二条城","近畿地方の史跡一覧","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","箇条書き,制限あり","北緯35度0分50.96秒東経135度44分51.0秒","北緯35度0分50.96秒東経135度44分51.0秒﻿ / ﻿北緯35.0141556度 東経135.747500度﻿ /35.0141556; 135.747500座標:北緯35度0分50.96秒東経135度44分51.0秒﻿ / ﻿北緯35.0141556度 東経135.747500度﻿ /35.0141556; 135.747500","","元離宮二条城京都府の地図を表示元離宮二条城日本の地図を表示","","","","","","","","","","","","旧二条離宮恩賜元離宮二条城","","","",""
