"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","淡水・汽水","成因","周囲長","水面の,標高","最大水深","位置","湖沼型","平均水深","透明度","貯水量","国","人口密度","推計人口"," • 合計","最大都市","流出河川","凍結"
"五色沼 (福島市)","[五色沼ごしきぬま福島県火山0.039.50.000093吾妻連峰一切経山の山腹にある火口湖。] 五色沼 （ごしきぬま）とは、 福島県 福島市 、吾妻連峰 一切経山 の山腹にある 火口湖 である。","https://ja.wikipedia.org/wiki/五色沼_(福島市)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度44分26秒東経140度14分34秒","福島県","","淡水","火山","","","","北緯37度44分26秒東経140度14分34秒﻿ / ﻿北緯37.74056度 東経140.24278度﻿ /37.74056; 140.24278座標:北緯37度44分26秒東経140度14分34秒﻿ / ﻿北緯37.74056度 東経140.24278度﻿ /37.74056; 140.24278","カルデラ湖","","","","","","","","","",""
"五色沼 (北塩原村)","[五色沼ごしきぬま福島県火山---裏磐梯湖沼群。大小数十からなる湖沼群。青沼、赤沼、竜沼、毘沙門沼、弁天沼、深泥沼、柳沼、弥六沼、瑠璃沼など。] 五色沼 （ごしきぬま）とは、 磐梯山 の北側、 裏磐梯 と呼ばれる地域にある大小30余りの小 湖沼 群のこと。緑・赤・青など、様々な色の沼が点在し、 磐梯朝日国立公園 に指定されている。","https://ja.wikipedia.org/wiki/五色沼_(北塩原村)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","福島県北塩原村","","淡水","山体崩壊","","","","","堰き止め湖","","","","","","","","","",""
"曽原湖","[曽原湖そはらこ福島県火山0.3512.0-一級河川・阿賀野川水系。裏磐梯湖沼群。] 曽原湖 （そはらこ）は、 福島県 北塩原村 にある 湖 。 磐梯朝日国立公園 に属する。","https://ja.wikipedia.org/wiki/曽原湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度41分07.2秒東経140度04分13.9秒","日本福島県耶麻郡北塩原村","0.35km2","淡水","堰止湖","3.5km","830  m","12.0m","北緯37度41分07.2秒東経140度04分13.9秒﻿ / ﻿北緯37.685333度 東経140.070528度﻿ /37.685333; 140.070528座標:北緯37度41分07.2秒東経140度04分13.9秒﻿ / ﻿北緯37.685333度 東経140.070528度﻿ /37.685333; 140.070528","-","- m","2.4 m","-km3","","","","","","",""
"仁田沼","[仁田沼にだぬま福島県----] 仁田沼 （にだぬま）は 福島県 福島市 土湯温泉町にある沼。 ミズバショウ の群生地として多くの観光客が訪れる名所である。","https://ja.wikipedia.org/wiki/仁田沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度41分55秒 東経140度18分47秒","","","","","","","","","","","","","","","","","","",""
"沼沢湖","[沼沢湖ぬまざわこ福島県火山2.9996-一級河川・阿賀野川水系。東北電力第二沼沢発電所（揚水発電）の上部調整池。] 沼沢湖 （ぬまざわこ）は、 福島県 大沼郡 金山町 にある カルデラ湖 。","https://ja.wikipedia.org/wiki/沼沢湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度27分20秒東経139度34分20秒","日本福島県大沼郡金山町","2.99km2","淡水","カルデラ湖","","約475  m","約96m","北緯37度27分20秒東経139度34分20秒﻿ / ﻿北緯37.45556度 東経139.57222度﻿ /37.45556; 139.57222座標:北緯37度27分20秒東経139度34分20秒﻿ / ﻿北緯37.45556度 東経139.57222度﻿ /37.45556; 139.57222","","","","","","","","","","",""
"半田沼","[半田沼はんだぬま福島県その他0.0823.20.0005堰止め湖。] 半田沼 （はんだぬま）とは、 福島県 伊達郡 桑折町 にある 湖沼 である。","https://ja.wikipedia.org/wiki/半田沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","福島県伊達郡桑折町","0.062km2","淡水","山体崩壊","1.091km","419  m","","","堰止湖","","","","","","","","","",""
"桧原湖","[桧原湖ひばらこ福島県火山10.8630.50.13一級河川・阿賀野川水系。裏磐梯湖沼群。洪水調節と水力発電を目的とするダムとして福島県が管理している。] 桧原湖 （ひばらこ）は、 福島県 耶麻郡 北塩原村 にある 湖 。 磐梯朝日国立公園 に属する。","https://ja.wikipedia.org/wiki/桧原湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度40分30秒東経140度03分15秒","日本福島県耶麻郡北塩原村","10.70km2","淡水","堰止湖","37㎞km","822.0m","30.5m","北緯37度40分30秒東経140度03分15秒﻿ / ﻿北緯37.67500度 東経140.05417度﻿ /37.67500; 140.05417座標:北緯37度40分30秒東経140度03分15秒﻿ / ﻿北緯37.67500度 東経140.05417度﻿ /37.67500; 140.05417","中栄養湖","","6.5 m","0.13km3","","","","","","",""
"蓋沼","[蓋沼ふたぬま福島県その他---地すべりによる堰止湖。] 蓋沼 （ふたぬま）は、 福島県 大沼郡 会津美里町 にある周囲343m程度の小さな 沼 。県の 天然記念物 である 蓋沼の浮島 があることで知られる。","https://ja.wikipedia.org/wiki/蓋沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度28分54秒東経139度47分47秒","日本福島県大沼郡会津美里町","0.0024km2","淡水","堰止湖","0.343km","470  m","","北緯37度28分54秒東経139度47分47秒﻿ / ﻿北緯37.48167度 東経139.79639度﻿ /37.48167; 139.79639座標:北緯37度28分54秒東経139度47分47秒﻿ / ﻿北緯37.48167度 東経139.79639度﻿ /37.48167; 139.79639","","","","","","","","","","",""
"松川浦","[松川浦まつかわうら福島県海跡6.065.5-] 松川浦 （まつかわうら）は、 福島県 相馬市 郊外にある 潟湖 である。","https://ja.wikipedia.org/wiki/松川浦","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度48分00秒東経140度58分40秒","日本福島県相馬市","6.06km2","汽水","海跡湖","23km","0  m","5.5m","北緯37度48分00秒東経140度58分40秒﻿ / ﻿北緯37.80000度 東経140.97778度﻿ /37.80000; 140.97778座標:北緯37度48分00秒東経140度58分40秒﻿ / ﻿北緯37.80000度 東経140.97778度﻿ /37.80000; 140.97778","富栄養湖","約1 m","1.2 m","--km3","","","","","","",""
"女沼","[女沼めぬま福島県火山0.088.7-] 女沼 （めぬま）は、 福島県 福島市 土湯温泉町にある周囲約2 km の 沼 である。","https://ja.wikipedia.org/wiki/女沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯37度42分01秒東経140度19分20秒","福島県福島市土湯温泉町","","淡水","","2km","532  m","8.7m","北緯37度42分01秒東経140度19分20秒﻿ / ﻿北緯37.70028度 東経140.32222度﻿ /37.70028; 140.32222座標:北緯37度42分01秒東経140度19分20秒﻿ / ﻿北緯37.70028度 東経140.32222度﻿ /37.70028; 140.32222","","","","","","","","","","",""
"牛久沼","[牛久沼うしくぬま茨城県その他3.553.0-一級河川・利根川水系。河川による堰止湖。] 牛久沼 （うしくぬま）は、 茨城県 龍ケ崎市 にある 一級河川 利根川 水系の 小貝川 支流に含まれる 沼 。沼に近い 牛久市 と同じ名前であるが、全域が龍ケ崎市の区域内である。かつては太田沼とも言われた  。","https://ja.wikipedia.org/wiki/牛久沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯35度56分45秒東経140度7分48秒","日本茨城県龍ケ崎市","3.49km2","淡水","--","25.5km","--  m","3.0m","北緯35度56分45秒東経140度7分48秒﻿ / ﻿北緯35.94583度 東経140.13000度﻿ /35.94583; 140.13000座標:北緯35度56分45秒東経140度7分48秒﻿ / ﻿北緯35.94583度 東経140.13000度﻿ /35.94583; 140.13000","富栄養型","1.0 m","-- m","--km3","","","","","","",""
"霞ヶ浦","[霞ヶ浦かすみがうら茨城県・千葉県海跡2207.10.85一級河川・利根川水系。周囲は日本で最も長い。面積は日本で2番目に広い。北浦（35.03km2）、外浪逆浦（5.93km2）、西浦（168.10km2、狭義の霞ヶ浦）を含む。湖沼水位調節施設として多目的ダムの性格も有し、水資源機構が管理する。] 霞ヶ浦 （かすみがうら）は 茨城県 南東部に広がる、 琵琶湖 についで 日本 で二番目に大きい 湖 。 湖沼水質保全特別措置法 指定 湖沼 。「 霞ケ浦 」（大文字のケ）と表記することもある。 西浦 ・ 北浦 ・ 外浪逆浦 （そとなさかうら）・ 北利根川 ・ 鰐川 ・ 常陸川 の各水域の総体であり、一部水域は 千葉県 北東部にも跨がる  。 河川法 ではこの範囲を「 常陸利根川 」という 利根川 の支川としている。","https://ja.wikipedia.org/wiki/霞ヶ浦","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度0分0秒東経140度25分0秒","茨城県10市1町1村、千葉県1市","220km2","淡水","海跡湖","249.5km","0  m","7.1m","北緯36度0分0秒東経140度25分0秒﻿ / ﻿北緯36.00000度 東経140.41667度﻿ /36.00000; 140.41667座標:北緯36度0分0秒東経140度25分0秒﻿ / ﻿北緯36.00000度 東経140.41667度﻿ /36.00000; 140.41667","過栄養湖","4 m","0.6 m","0.85km3","","","","","","",""
"菅生沼","[菅生沼すがおぬま茨城県その他2.32-一級河川・利根川水系。堰止湖。] 菅生沼 （すがおぬま）は、 茨城県 坂東市 と 常総市 との間に存在する 沼 。","https://ja.wikipedia.org/wiki/菅生沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度01分24秒 東経139度54分59秒","日本茨城県坂東市常総市","2.3 (山林化湿地、湿地を含む)km2","","","","","2（推定）m","","","","","","","","","","","",""
"神之池","[神之池ごうのいけ茨城県-0.443.50.004] 神之池 （ごうのいけ）は、 茨城県 神栖市 にある 池 である。","https://ja.wikipedia.org/wiki/神之池","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"涸沼","[涸沼ひぬま茨城県海跡9.306.50.02一級河川・那珂川水系。] 涸沼 （ひぬま）は、 茨城県 中部の 鉾田市 、 東茨城郡 茨城町 、 大洗町 にまたがる 那珂川 水系の 汽水湖 。","https://ja.wikipedia.org/wiki/涸沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度16分30秒東経140度30分0秒","日本茨城県北緯36度16分30秒東経140度30分0秒﻿ / ﻿北緯36.27500度 東経140.50000度﻿ /36.27500; 140.50000座標:北緯36度16分30秒東経140度30分0秒﻿ / ﻿北緯36.27500度 東経140.50000度﻿ /36.27500; 140.50000涸沼の位置茨城県の地図を表示涸沼 (関東地方)関東地方の地図を表示涸沼 (日本)日本の地図を表示","9.30km2","汽水","海跡湖","22km","0  m","6.5m","","富栄養湖","2.1 m","0.7 m","0.02km3","","","","","","",""
"鬼怒沼","[鬼怒沼きぬぬま栃木県火山0.134--一級河川・利根川水系。] 鬼怒沼 （きぬぬま）は、 栃木県 日光市 にある 高層湿原 である  。標高は2020m前後。","https://ja.wikipedia.org/wiki/鬼怒沼","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度52分20秒 東経139度21分50秒","","","","","","","","","","","","","","","","","","",""
"五色沼 (日光市)","[五色沼ごしきぬま栃木県火山0.0550.0002] 五色沼 （ごしきぬま）は 奥日光 白根山を構成する 奥白根山 と 新第三紀 の古い火山岩類から構成される 前白根山 の間の侵食された窪地にある堰止湖。","https://ja.wikipedia.org/wiki/五色沼_(日光市)","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度48分0秒東経139度23分0秒","日本栃木県日光市36°48'04.8\"N 139°23'05.0\"E","0.05km2","","堰止湖","","2,175  m","5m","北緯36度48分0秒東経139度23分0秒﻿ / ﻿北緯36.80000度 東経139.38333度﻿ /36.80000; 139.38333座標:北緯36度48分0秒東経139度23分0秒﻿ / ﻿北緯36.80000度 東経139.38333度﻿ /36.80000; 139.38333","","","","","","","","","","",""
"中禅寺湖","[中禅寺湖ちゅうぜんじこ栃木県火山11.901631.1一級河川・利根川水系。標高1,269mの高地にある。大谷川流出口に洪水調節と水力発電を目的とした中禅寺ダムが建設されている。] 中禅寺湖 （ちゅうぜんじこ）は 栃木県 日光市 の 日光国立公園 内にある 湖 。 日本 の湖沼では25番目の面積規模を有する。","https://ja.wikipedia.org/wiki/中禅寺湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度44分26秒東経139度27分44秒","日本栃木県日光市","11.90km2","淡水","堰止湖","25km","1,269  m","163m","北緯36度44分26秒東経139度27分44秒﻿ / ﻿北緯36.74056度 東経139.46222度﻿ /36.74056; 139.46222座標:北緯36度44分26秒東経139度27分44秒﻿ / ﻿北緯36.74056度 東経139.46222度﻿ /36.74056; 139.46222","貧栄養湖","","9.0 m","","","","","","","",""
"湯ノ湖","[湯ノ湖ゆのこ栃木県火山0.31120.0017一級河川・利根川水系。] 湯ノ湖 （ゆのこ）は 栃木県 日光市 の西部にある 湖 。北東にある 三岳 火山の噴火によってつくられた 堰止湖 である  。標高1,478m  。","https://ja.wikipedia.org/wiki/湯ノ湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","北緯36度48分00秒東経139度25分25秒","栃木県日光市","0.32km2","淡水","堰止湖","2.8km","1,478m","12m","北緯36度48分00秒東経139度25分25秒﻿ / ﻿北緯36.80000度 東経139.42361度﻿ /36.80000; 139.42361座標:北緯36度48分00秒東経139度25分25秒﻿ / ﻿北緯36.80000度 東経139.42361度﻿ /36.80000; 139.42361","","","","","","","","","","",""
"西ノ湖","[西ノ湖さいのこ栃木県その他0.717.1-一級河川・利根川水系。中禅寺湖から切り離された湖沼。] 西ノ湖 （さいのこ）は、 栃木県 日光市 の 日光国立公園 内にある 湖 の一つ。 中禅寺湖 の西側、同湖西岸の千手ヶ浜よりさらに 2km ほど西に位置する小さな湖である。かつては中禅寺湖の一部であったが、そこから切り離されてできた遺留湖  である。","https://ja.wikipedia.org/wiki/西ノ湖","日本の湖沼一覧","https://ja.wikipedia.org/wiki/日本の湖沼一覧","表形式","","栃木県日光市","0.7km2","淡水","堰止湖（中禅寺湖）の遺留湖","1.5km","1,310m","","","貧栄養湖","","","","","","","","","",""
