"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種別","起終点","駅数","開業","所有者"
"大崎駅","大崎駅（おおさきえき）","https://ja.wikipedia.org/wiki/大崎駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度37分11秒東経139度43分42.8秒","■山手線（JR東日本）","2.0 km（品川起点）","東日本旅客鉄道（JR東日本）東京臨海高速鉄道（TWR）","1901年（明治34年）2月25日","地上駅（橋上駅）","4面8線","東京都品川区大崎一丁目21-4北緯35度37分11秒東経139度43分42.8秒﻿ / ﻿北緯35.61972度 東経139.728556度﻿ /35.61972; 139.728556﻿ (大崎駅)座標:北緯35度37分11秒東経139度43分42.8秒﻿ / ﻿北緯35.61972度 東経139.728556度﻿ /35.61972; 139.728556﻿ (大崎駅)","直営駅共同使用駅（JR東日本の管轄駅）みどりの窓口有東京山手線内・東京都区内駅","オサ←ヲサ","（JR東日本）-2019年-177,095人/日（降車客含まず）（東京臨海高速鉄道）-2019年-64,982人/日（降車客含まず）","JY24","","","","","","","",""
"大崎広小路駅","大崎広小路駅（おおさきひろこうじえき）","https://ja.wikipedia.org/wiki/大崎広小路駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度37分21秒東経139度43分21秒","■池上線","0.3 km（五反田起点）","東急電鉄","1927年（昭和2年）10月9日[1]","高架駅","1面2線","東京都品川区大崎四丁目1番1号北緯35度37分21秒東経139度43分21秒﻿ / ﻿北緯35.62250度 東経139.72250度﻿ /35.62250; 139.72250座標:北緯35度37分21秒東経139度43分21秒﻿ / ﻿北緯35.62250度 東経139.72250度﻿ /35.62250; 139.72250","","","","IK02","5,618人/日-2020年-","","","","","","",""
"大佐倉駅","大佐倉駅（おおさくらえき）","https://ja.wikipedia.org/wiki/大佐倉駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度43分48.46秒東経140度15分3.83秒","■本線","53.0 km（京成上野起点）","京成電鉄","1926年（大正15年）12月9日","地上駅","2面2線","千葉県佐倉市大佐倉字松山277北緯35度43分48.46秒東経140度15分3.83秒座標:北緯35度43分48.46秒 東経140度15分3.83秒","","","","KS36","402人/日-2019年-","","","","","","",""
"大里駅","大里駅（おおさとえき）","https://ja.wikipedia.org/wiki/大里駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度13分34.4秒東経136度49分6.6秒","名古屋本線","77.5 km（豊橋起点）","名古屋鉄道","1928年（昭和3年）2月3日","地上駅","2面2線","愛知県稲沢市奥田町三十番神7133-1北緯35度13分34.4秒東経136度49分6.6秒﻿ / ﻿北緯35.226222度 東経136.818500度﻿ /35.226222; 136.818500座標:北緯35度13分34.4秒東経136度49分6.6秒﻿ / ﻿北緯35.226222度 東経136.818500度﻿ /35.226222; 136.818500","無人駅（駅集中管理システム導入駅）*1943年大佐土より改称","","","NH  45 ","3,881人/日-2019年[1]-","","","","","","",""
"大沢駅 (新潟県)","大沢駅 (新潟県)（おおさわえき・東日本旅客鉄道上越線）","https://ja.wikipedia.org/wiki/大沢駅_(新潟県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度1分17.93秒東経138度49分17.95秒","■上越線","104.6 km（高崎起点）","東日本旅客鉄道（JR東日本）","1949年（昭和24年）5月28日[1]","地上駅","2面2線","新潟県南魚沼市大沢北緯37度1分17.93秒東経138度49分17.95秒﻿ / ﻿北緯37.0216472度 東経138.8216528度﻿ /37.0216472; 138.8216528﻿ (大沢駅)座標:北緯37度1分17.93秒東経138度49分17.95秒﻿ / ﻿北緯37.0216472度 東経138.8216528度﻿ /37.0216472; 138.8216528﻿ (大沢駅)","無人駅（自動券売機 有）","オワ←ヲサ","","","","","","","","","",""
"大沢駅 (山形県)","大沢駅 (山形県)（おおさわえき・東日本旅客鉄道奥羽本線）","https://ja.wikipedia.org/wiki/大沢駅_(山形県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯37度50分13.6秒東経140度12分1.4秒","■奥羽本線（山形線）","28.8 km（福島起点）","東日本旅客鉄道（JR東日本）","1906年（明治39年）12月25日","地上駅","2面2線","山形県米沢市大字大沢字大沢北緯37度50分13.6秒東経140度12分1.4秒座標:北緯37度50分13.6秒 東経140度12分1.4秒","無人駅","ホサ","3人/日（降車客含まず）-2004年-","","","","","","","","",""
"大沢内駅","大沢内駅（おおざわないえき）","https://ja.wikipedia.org/wiki/大沢内駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯40度56分23.82秒東経140度26分14.72秒","津軽鉄道線","17.7 km（津軽五所川原起点）","津軽鉄道","1930年（昭和5年）10月4日","地上駅","1面1線","青森県北津軽郡中泊町大字大沢内字海原48-2北緯40度56分23.82秒東経140度26分14.72秒﻿ / ﻿北緯40.9399500度 東経140.4374222度﻿ /40.9399500; 140.4374222座標:北緯40度56分23.82秒東経140度26分14.72秒﻿ / ﻿北緯40.9399500度 東経140.4374222度﻿ /40.9399500; 140.4374222","","","","","40人/日-2019年-","","","","","","",""
"大塩駅","大塩駅（おおしおえき）","https://ja.wikipedia.org/wiki/大塩駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","本線","42.8km（西代起点）梅田から79.9 km","山陽電気鉄道","1923年（大正12年）8月19日[1][2]","地上駅[1]","2面4線[1]","","","","2,606人/日（降車客含まず）-2017年-","●SY 35","","","","","","","",""
"大篠津町駅","大篠津町駅（おおしのづちょうえき）","https://ja.wikipedia.org/wiki/大篠津町駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度29分20.7秒東経133度15分21.5秒","C境線","11.1 km（米子起点）","西日本旅客鉄道（JR西日本）","1987年（昭和62年）11月1日[2]","地上駅","1面1線[1]","鳥取県米子市大篠津町2211北緯35度29分20.7秒東経133度15分21.5秒座標:北緯35度29分20.7秒 東経133度15分21.5秒","無人駅[1]*2008年に御崎口駅から改称。** 御崎口駅時代の記録[3]。","ミサ（御崎口時代）、オソ","","","118人/日-2018年-","","","","","","",""
"大島駅 (岐阜県)","大島駅 (岐阜県)（おおしまえき・長良川鉄道越美南線）","https://ja.wikipedia.org/wiki/大島駅_(岐阜県)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度52分6.28秒東経136度51分32.55秒","越美南線","64.3 km（美濃太田起点）","長良川鉄道","1955年3月1日[1]","地上駅","1面1線","岐阜県郡上市白鳥町大島北緯35度52分6.28秒東経136度51分32.55秒﻿ / ﻿北緯35.8684111度 東経136.8590417度﻿ /35.8684111; 136.8590417座標:北緯35度52分6.28秒東経136度51分32.55秒﻿ / ﻿北緯35.8684111度 東経136.8590417度﻿ /35.8684111; 136.8590417","無人駅","シマオオシマ（転換前）","6人/日（降車客含まず）-2015年-","33","","","","","","","",""
"大島駅 (東京都)","大島駅 (東京都)（おおじまえき・都営地下鉄新宿線）","https://ja.wikipedia.org/wiki/大島駅_(東京都)","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度41分23.4秒東経139度50分8.3秒","●[1]新宿線","12.9 km（新宿起点）","東京都交通局（都営地下鉄）","1978年（昭和53年）12月21日","地下駅","2面3線","東京都江東区大島五丁目10-8北緯35度41分23.4秒東経139度50分8.3秒﻿ / ﻿北緯35.689833度 東経139.835639度﻿ /35.689833; 139.835639﻿ (大島駅)座標:北緯35度41分23.4秒東経139度50分8.3秒﻿ / ﻿北緯35.689833度 東経139.835639度﻿ /35.689833; 139.835639﻿ (大島駅)","直営駅","島（駅名略称）","","S15[1]","34,111人/日-2019年-","","","","","","",""
"大清水駅","大清水駅（おおしみずえき）","https://ja.wikipedia.org/wiki/大清水駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度41分45.48秒東経137度21分32.64秒","渥美線","8.5 km（新豊橋起点）","豊橋鉄道","1924年（大正13年）1月22日","地上駅","2面2線","愛知県豊橋市大清水町大清水北緯34度41分45.48秒東経137度21分32.64秒﻿ / ﻿北緯34.6959667度 東経137.3590667度﻿ /34.6959667; 137.3590667座標:北緯34度41分45.48秒東経137度21分32.64秒﻿ / ﻿北緯34.6959667度 東経137.3590667度﻿ /34.6959667; 137.3590667","駅員時間配置駅駅員配置時間7:00〜18:30","","1,426人/日（降車客含まず）-2019年-"," 10 ","2,770人/日-2019年-","","","","","","",""
"大蛇駅","大蛇駅（おおじゃえき）","https://ja.wikipedia.org/wiki/大蛇駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯40度28分1.75秒東経141度39分2.90秒","■八戸線","25.8 km（八戸起点）","東日本旅客鉄道（JR東日本）","1956年（昭和31年）12月10日[1]","地上駅","1面1線","青森県三戸郡階上町大字道仏字大蛇北緯40度28分1.75秒東経141度39分2.90秒座標:北緯40度28分1.75秒 東経141度39分2.90秒","無人駅","オシ","","","","","","","","","",""
"大庄駅","大庄駅（おおしょうえき）","https://ja.wikipedia.org/wiki/大庄駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯36度37分10.4秒東経137度16分32.2秒","■上滝線","7.9 km（南富山起点）","富山地方鉄道","1921年（大正10年）4月25日","地上駅","単式1面1線","富山県富山市南大場131北緯36度37分10.4秒東経137度16分32.2秒﻿ / ﻿北緯36.619556度 東経137.275611度﻿ /36.619556; 137.275611﻿ (大庄駅)座標:北緯36度37分10.4秒東経137度16分32.2秒﻿ / ﻿北緯36.619556度 東経137.275611度﻿ /36.619556; 137.275611﻿ (大庄駅)","無人駅","","99人/日（降車客含まず）-2019年-","T68","194人/日-2019年-","","","","","","",""
"大小路停留場","大小路停留場（おおしょうじていりゅうじょう）","https://ja.wikipedia.org/wiki/大小路停留場","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度34分44.50秒東経135度28分27.78秒","■阪堺線","9.0km（恵美須町起点）天王寺駅前から8.8 km","阪堺電気軌道","1911年（明治44年）12月1日","地上駅","相対式 2面2線","堺市堺区市之町東1丁北緯34度34分44.50秒東経135度28分27.78秒﻿ / ﻿北緯34.5790278度 東経135.4743833度﻿ /34.5790278; 135.4743833座標:北緯34度34分44.50秒東経135度28分27.78秒﻿ / ﻿北緯34.5790278度 東経135.4743833度﻿ /34.5790278; 135.4743833","","",""," HN22 ","","","","","","","",""
"大白川駅","大白川駅（おおしらかわえき）","https://ja.wikipedia.org/wiki/大白川駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","","■只見線","109.2 km（会津若松起点）","東日本旅客鉄道（JR東日本）","1942年（昭和17年）11月1日","地上駅","1面2線","","無人駅　","オカ←ヲカ","9人/日（降車客含まず）-2007年-","","","","","","","","",""
"大須観音駅","大須観音駅（おおすかんのんえき）","https://ja.wikipedia.org/wiki/大須観音駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯35度9分39秒東経136度53分53.7秒","鶴舞線","7.8 km（上小田井起点）","名古屋市交通局（名古屋市営地下鉄）","1977年（昭和52年）3月18日","地下駅","2面2線","名古屋市中区大須二丁目10-39北緯35度9分39秒東経136度53分53.7秒﻿ / ﻿北緯35.16083度 東経136.898250度﻿ /35.16083; 136.898250座標:北緯35度9分39秒東経136度53分53.7秒﻿ / ﻿北緯35.16083度 東経136.898250度﻿ /35.16083; 136.898250","","","9,753人/日（降車客含まず）-2019年-","T08","20,515[1]人/日-2019年-","","","","","","",""
"大杉駅","大杉駅（おおすぎえき）","https://ja.wikipedia.org/wiki/大杉駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯33度45分40.30秒東経133度39分51.88秒","■土讃線","87.2km（多度津起点）岡山から139.9km高松から119.9 km","四国旅客鉄道（JR四国）","1932年（昭和7年）12月20日","地上駅","1面2線","高知県長岡郡大豊町中村大王1686北緯33度45分40.30秒東経133度39分51.88秒","簡易委託駅","オキ←ヲキ","","○D32","122[1]人/日-2019年-","","","","","","",""
"大住駅","大住駅（おおすみえき）","https://ja.wikipedia.org/wiki/大住駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯34度49分50.47秒東経135度44分57.8秒","H片町線（学研都市線）","14.5 km（木津起点）","西日本旅客鉄道（JR西日本）","1952年（昭和27年）12月1日","地上駅","2面2線","京都府京田辺市大住丸山17北緯34度49分50.47秒東経135度44分57.8秒﻿ / ﻿北緯34.8306861度 東経135.749389度﻿ /34.8306861; 135.749389座標:北緯34度49分50.47秒東経135度44分57.8秒﻿ / ﻿北緯34.8306861度 東経135.749389度﻿ /34.8306861; 135.749389","業務委託駅","オス","1,989人/日（降車客含まず）-2019年-","JR-H25","","","","","","","",""
"大隅大川原駅","大隅大川原駅（おおすみおおかわらえき）","https://ja.wikipedia.org/wiki/大隅大川原駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯31度46分21.86秒東経130度55分28.16秒","日豊本線","408.1 km（小倉起点）","九州旅客鉄道（JR九州）","1931年（昭和6年）11月1日","地上駅","1面2線","鹿児島県曽於市財部町下財部6723北緯31度46分21.86秒東経130度55分28.16秒","無人駅","オカ","6人/日（降車客含まず）-2015年-","","14人/日-2015年-","","","","","","",""
"大隅夏井駅","大隅夏井駅（おおすみなついえき）","https://ja.wikipedia.org/wiki/大隅夏井駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯31度28分11.27秒東経131度8分10.45秒","日南線","84.5 km（南宮崎起点）","九州旅客鉄道（JR九州）","1935年（昭和10年）4月15日[1]","地上駅","1面1線[1]","鹿児島県志布志市志布志町夏井[1]北緯31度28分11.27秒東経131度8分10.45秒﻿ / ﻿北緯31.4697972度 東経131.1362361度﻿ /31.4697972; 131.1362361座標:北緯31度28分11.27秒東経131度8分10.45秒﻿ / ﻿北緯31.4697972度 東経131.1362361度﻿ /31.4697972; 131.1362361","無人駅[1]","オナ","0.4人/日（降車客含まず）-2015年-","","1人/日-2015年-","","","","","","",""
"大隅横川駅","大隅横川駅（おおすみよこがわえき）","https://ja.wikipedia.org/wiki/大隅横川駅","日本の鉄道駅一覧_お","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_お","箇条書き,制限あり","北緯31度54分20.11秒東経130度42分11.19秒","肥薩線","100.8 km（八代起点）","九州旅客鉄道（JR九州）","1903年（明治36年）1月15日[1]","地上駅","2面2線","鹿児島県霧島市横川町中ノ39-1北緯31度54分20.11秒東経130度42分11.19秒﻿ / ﻿北緯31.9055861度 東経130.7031083度﻿ /31.9055861; 130.7031083﻿ (大隅横川駅*)","無人駅*1920年に横川駅から改称。","ヨコ","108人/日（降車客含まず）-2016年-","","220人/日-2016年-","","","","","","",""
